"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"14.0","1.499285714285714","2002","11","16"
"8.01","1.7478152309612984","2003","02","07"
"11.0","1.4545454545454546","2003","02","07"
"9.0","1.5555555555555556","2003","02","08"
"9.99","1.4014014014014013","2003","02","08"
"9.99","1.5025025025025025","2003","02","13"
"11.99","1.7506255212677229","2003","05","02"
"5.0","2.8","2003","05","03"
"11.0","1.3645454545454545","2003","06","08"
"11.0","1.2727272727272727","2003","08","09"
"7.0","2.144285714285714","2003","08","09"
"8.01","1.7478152309612984","2003","08","10"
"9.99","1.8018018018018018","2003","10","29"
"11.0","1.2727272727272727","2003","10","30"
"8.01","2.1235955056179776","2004","01","05"
"9.99","1.6016016016016015","2004","02","27"
"9.0","1.8900000000000001","2004","05","21"
"14.0","1.3564285714285713","2004","05","21"
"8.01","2.746566791510612","2004","05","21"
"11.0","1.6363636363636365","2004","05","21"
"16.0","1.375","2004","05","21"
"15.01","1.2651565622918053","2004","05","21"
"15.01","1.2651565622918053","2004","05","21"
"14.0","1.499285714285714","2004","05","21"
"17.01","1.2933568489124043","2004","05","21"
"15.01","1.3324450366422385","2004","05","21"
"11.99","1.4186822351959967","2004","05","21"
"17.01","1.1757789535567311","2004","05","22"
"13.0","1.4607692307692306","2004","05","22"
"14.0","1.5714285714285714","2004","05","22"
"9.99","1.6016016016016015","2004","05","22"
"11.99","1.9182652210175146","2004","05","22"
"8.01","2.1235955056179776","2004","05","22"
"11.99","1.8348623853211008","2004","05","22"
"15.01","1.1992005329780147","2004","05","22"
"13.0","1.2307692307692308","2004","05","22"
"9.99","1.6016016016016015","2004","05","22"
"14.0","1.215","2004","12","25"
"13.0","1.3846153846153846","2004","12","25"
"11.0","1.6363636363636365","2004","12","25"
"9.99","1.6016016016016015","2004","12","25"
"13.0","1.4607692307692306","2004","12","25"
"18.99","1.2111637704054767","2004","12","26"
"7.0","2.2857142857142856","2004","12","31"
"13.0","2.153076923076923","2005","01","06"
"17.01","1.6455026455026454","2005","01","06"
"17.01","1.5873015873015872","2005","01","06"
"7.0","2.5714285714285716","2005","01","07"
"16.0","1.625625","2005","01","08"
"15.01","1.3984010659560293","2005","01","11"
"7.0","2.0","2005","01","14"
"7.0","2.144285714285714","2005","03","18"
"11.0","1.6363636363636365","2005","03","18"
"9.0","2.0","2005","03","18"
"14.0","1.6428571428571428","2005","03","30"
"13.0","1.3084615384615386","2005","06","17"
"9.99","1.4014014014014013","2005","06","22"
"9.99","1.4014014014014013","2005","10","14"
"11.0","1.2727272727272727","2005","10","14"
"11.0","1.2727272727272727","2005","10","15"
"7.0","2.998571428571428","2006","01","13"
"13.0","1.3846153846153846","2006","02","04"
"15.01","1.2651565622918053","2006","02","04"
"11.99","1.4186822351959967","2006","02","04"
"15.01","1.3984010659560293","2006","02","04"
"15.01","1.3984010659560293","2006","02","04"
"16.0","1.375","2006","02","04"
"15.01","1.2651565622918053","2006","02","04"
"13.0","1.4607692307692306","2006","02","04"
"13.0","1.6146153846153846","2006","02","04"
"14.0","1.4285714285714286","2006","02","04"
"15.01","1.2651565622918053","2006","02","04"
"16.0","1.311875","2006","02","04"
"18.0","1.2777777777777777","2006","02","04"
"16.0","1.311875","2006","02","04"
"14.0","1.4285714285714286","2006","02","04"
"15.01","1.3324450366422385","2006","02","04"
"14.0","1.4285714285714286","2006","02","04"
"15.01","1.3324450366422385","2006","02","04"
"14.0","1.3564285714285713","2006","02","04"
"9.99","1.6016016016016015","2006","02","04"
"9.0","2.0","2006","02","22"
"13.0","1.3084615384615386","2006","03","16"
"11.99","1.5838198498748957","2006","03","16"
"9.0","1.5555555555555556","2006","03","17"
"9.0","1.7777777777777777","2006","03","17"
"9.0","1.6677777777777778","2006","03","18"
"9.0","1.6677777777777778","2006","03","18"
"11.99","1.2518765638031693","2006","10","28"
"11.0","1.4545454545454546","2007","01","09"
"9.99","1.4014014014014013","2007","01","31"
"11.99","1.3344453711426187","2007","03","03"
"9.0","1.8900000000000001","2007","03","03"
"11.99","1.6680567139282736","2007","03","03"
"8.01","2.247191011235955","2007","04","01"
"16.0","1.4375","2007","10","24"
"14.0","1.2857142857142858","2007","12","19"
"13.0","1.3846153846153846","2008","01","27"
"14.0","1.3564285714285713","2008","02","05"
"9.99","1.5025025025025025","2008","02","06"
"11.0","1.2727272727272727","2008","03","15"
"11.99","1.3344453711426187","2008","04","19"
"11.99","1.5012510425354462","2008","04","19"
"8.01","1.7478152309612984","2008","04","19"
"13.0","1.4607692307692306","2008","04","19"
"9.99","1.5025025025025025","2008","04","19"
"7.0","2.5714285714285716","2008","04","19"
"9.0","1.5555555555555556","2008","04","19"
"9.99","1.4014014014014013","2008","04","19"
"8.01","1.7478152309612984","2008","04","19"
"9.99","1.5025025025025025","2008","04","19"
"14.0","1.215","2008","04","19"
"11.99","1.5012510425354462","2008","04","19"
"11.0","1.5463636363636366","2008","04","19"
"6.01","2.329450915141431","2008","04","19"
"5.0","2.8","2008","04","19"
"7.0","2.0","2008","04","19"
"11.99","1.4186822351959967","2008","05","24"
"11.99","1.4186822351959967","2008","05","24"
"15.01","1.1992005329780147","2008","11","12"
"8.01","1.7478152309612984","2008","11","12"
"9.0","1.5555555555555556","2008","11","20"
"9.99","1.4014014014014013","2008","12","12"
"9.0","2.0","2008","12","13"
"9.0","1.8900000000000001","2008","12","13"
"9.99","2.002002002002002","2008","12","13"
"13.0","1.4607692307692306","2008","12","13"
"9.0","2.11","2008","12","13"
"11.99","1.5838198498748957","2008","12","15"
"13.0","1.5384615384615385","2008","12","15"
"8.01","1.873907615480649","2008","12","15"
"11.99","1.5838198498748957","2008","12","17"
"9.99","1.7027027027027029","2008","12","17"
"5.0","3.402","2008","12","31"
"2.99","5.351170568561873","2009","01","11"
"14.0","1.215","2009","03","07"
"7.0","2.144285714285714","2009","03","07"
"7.0","2.0","2009","06","26"
"11.0","1.4545454545454546","2009","12","07"
"8.01","1.7478152309612984","2009","12","08"
"11.0","1.4545454545454546","2009","12","08"
"9.0","1.6677777777777778","2009","12","08"
"9.0","1.5555555555555556","2009","12","20"
"11.99","1.5838198498748957","2009","12","20"
"13.0","1.2307692307692308","2009","12","20"
"15.01","1.1992005329780147","2009","12","20"
"14.0","1.5714285714285714","2009","12","20"
"13.0","1.3846153846153846","2009","12","20"
"15.01","1.3324450366422385","2009","12","20"
"15.01","1.3984010659560293","2009","12","20"
"9.99","1.8018018018018018","2009","12","21"
"9.99","1.5025025025025025","2009","12","21"
"13.0","1.4607692307692306","2010","04","11"
"9.0","1.7777777777777777","2010","08","15"
"11.99","1.3344453711426187","2010","10","06"
"15.01","1.2651565622918053","2010","10","06"
"11.0","1.6363636363636365","2010","10","06"
"13.0","1.3084615384615386","2010","11","15"
"13.0","1.5384615384615385","2010","11","15"
"13.0","1.4607692307692306","2010","11","15"
"11.0","1.5463636363636366","2010","11","15"
"13.0","1.3084615384615386","2010","11","16"
"13.0","1.4607692307692306","2010","11","16"
"11.99","1.3344453711426187","2010","11","16"
"13.0","1.3084615384615386","2010","11","16"
"15.01","1.1992005329780147","2010","11","16"
"9.99","1.7027027027027029","2010","11","16"
"13.0","1.3084615384615386","2010","11","16"
"8.01","1.9975031210986267","2010","11","19"
"9.0","1.6677777777777778","2010","12","18"
"6.01","2.662229617304493","2010","12","23"
"9.99","1.8018018018018018","2011","01","28"
"11.0","1.3645454545454545","2011","02","07"
"9.0","1.5555555555555556","2011","02","23"
"9.99","1.8018018018018018","2011","02","23"
"8.01","1.873907615480649","2011","02","23"
"2.99","6.351170568561872","2011","02","23"
"11.99","1.2518765638031693","2011","02","24"
"5.0","3.002","2011","12","30"
"13.0","1.2307692307692308","2011","12","30"
"11.99","1.3344453711426187","2011","12","30"
"13.0","1.3084615384615386","2011","12","30"
"15.01","1.1992005329780147","2011","12","30"
"11.0","1.2727272727272727","2011","12","30"
"11.99","1.2518765638031693","2011","12","30"
"13.0","1.5384615384615385","2011","12","30"
"11.0","1.3645454545454545","2012","01","14"
"9.0","1.5555555555555556","2012","01","14"
"9.0","1.5555555555555556","2012","01","14"
"7.0","2.7128571428571426","2012","01","14"
"8.01","1.9975031210986267","2012","01","15"
"11.99","1.8348623853211008","2012","01","16"
"6.01","2.497504159733777","2012","01","19"
"13.0","1.6146153846153846","2012","03","05"
"11.0","1.2727272727272727","2012","09","08"
"8.01","1.873907615480649","2012","10","01"
"8.01","2.620474406991261","2012","10","02"
"2.99","4.682274247491638","2012","12","25"
"8.01","1.7478152309612984","2012","12","26"
"9.99","1.4014014014014013","2013","01","28"
"9.99","2.002002002002002","2013","01","28"
"15.01","1.4656895403064625","2013","01","28"
"15.01","1.1992005329780147","2013","01","29"
"13.0","1.3084615384615386","2013","01","29"
"2.99","5.688963210702341","2013","03","14"
"9.99","1.5025025025025025","2013","03","20"
"9.99","1.5025025025025025","2013","03","20"
"9.0","1.6677777777777778","2013","03","20"
"8.01","1.7478152309612984","2013","04","20"
"11.0","1.5463636363636366","2013","05","21"
"9.99","1.5025025025025025","2013","05","21"
"9.0","1.5555555555555556","2013","05","21"
"6.01","2.329450915141431","2013","05","21"
"13.0","1.4607692307692306","2013","05","21"
"9.99","2.1011011011011007","2013","05","21"
"8.01","2.1235955056179776","2013","05","21"
"11.0","1.3645454545454545","2013","05","21"
"9.99","1.4014014014014013","2013","05","21"
"11.0","1.3645454545454545","2013","06","25"
"11.0","1.2727272727272727","2013","10","07"
"11.99","1.3344453711426187","2013","11","15"
"9.99","1.4014014014014013","2013","11","15"
"9.99","1.7027027027027029","2013","11","15"
"9.99","1.5025025025025025","2013","11","15"
"11.0","1.5463636363636366","2013","11","15"
"11.99","1.5838198498748957","2013","11","15"
"9.99","1.5025025025025025","2013","12","01"
"11.0","1.3645454545454545","2013","12","01"
"13.0","1.3084615384615386","2013","12","01"
"9.0","1.5555555555555556","2013","12","17"
"11.0","1.3645454545454545","2013","12","17"
"9.0","1.5555555555555556","2013","12","18"
"9.99","1.6016016016016015","2013","12","18"
"6.01","2.8302828618968388","2013","12","19"
"13.0","1.4607692307692306","2014","01","11"
"14.0","1.4285714285714286","2014","01","11"
"15.01","1.1992005329780147","2014","01","11"
"13.0","1.2307692307692308","2014","01","11"
"8.01","2.1235955056179776","2014","01","11"
"13.0","1.2307692307692308","2014","01","11"
"11.0","1.2727272727272727","2014","01","11"
"11.0","1.7263636363636363","2014","02","05"
"11.0","1.3645454545454545","2014","05","28"
"9.0","1.5555555555555556","2014","10","26"
"9.99","1.6016016016016015","2014","10","26"
"9.99","1.7027027027027029","2014","10","26"
"8.01","1.9975031210986267","2014","10","26"
"8.01","1.9975031210986267","2014","10","26"
"9.0","1.6677777777777778","2014","10","30"
"9.0","1.5555555555555556","2014","12","24"
"5.0","2.8","2015","01","06"
"4.0","3.5","2015","01","08"
"9.99","1.5025025025025025","2015","01","26"
"9.0","1.5555555555555556","2015","02","10"
"9.99","1.4014014014014013","2015","02","28"
"11.0","1.3645454545454545","2015","03","10"
"9.0","1.5555555555555556","2015","04","13"
"11.0","1.5463636363636366","2015","04","22"
"8.01","2.4968789013732833","2015","06","12"
"9.0","1.5555555555555556","2015","08","29"
"8.01","1.7478152309612984","2015","08","29"
"13.0","1.2307692307692308","2015","09","02"
"11.0","1.2727272727272727","2015","10","29"
"11.0","1.4545454545454546","2015","11","16"
"9.99","2.1011011011011007","2015","11","19"
"11.0","1.5463636363636366","2015","11","19"
"9.99","1.6016016016016015","2015","11","19"
"8.01","1.7478152309612984","2015","11","23"
"11.99","1.4186822351959967","2016","02","06"
"11.0","1.2727272727272727","2016","05","12"
"9.0","1.7777777777777777","2016","09","26"
"9.0","1.7777777777777777","2016","09","26"
"14.0","1.3564285714285713","2016","09","26"
"7.0","2.0","2016","10","02"
"7.0","2.0","2016","10","04"
"6.01","2.662229617304493","2016","12","09"
"6.01","2.662229617304493","2016","12","09"
"7.0","2.144285714285714","2016","12","09"
"9.0","1.5555555555555556","2016","12","14"
"8.01","1.7478152309612984","2016","12","14"
"7.0","2.0","2016","12","14"
"9.99","1.5025025025025025","2016","12","15"
"9.99","1.4014014014014013","2016","12","15"
"8.01","1.7478152309612984","2016","12","16"
"8.01","1.7478152309612984","2016","12","16"
"9.0","2.2222222222222223","2016","12","16"
"9.99","1.4014014014014013","2016","12","26"
"9.0","1.5555555555555556","2016","12","26"
"7.0","2.0","2016","12","31"
"9.0","1.5555555555555556","2016","12","31"
"11.99","1.5012510425354462","2016","12","31"
"9.0","2.0","2016","12","31"
"13.0","1.3846153846153846","2016","12","31"
"13.0","1.3846153846153846","2016","12","31"
"9.0","1.5555555555555556","2016","12","31"
"11.0","1.3645454545454545","2016","12","31"
"14.0","1.3564285714285713","2016","12","31"
"9.99","1.9009009009009008","2016","12","31"
"13.0","1.2307692307692308","2016","12","31"
"13.0","1.2307692307692308","2016","12","31"
"15.01","1.3324450366422385","2016","12","31"
"16.0","1.311875","2016","12","31"
"11.0","1.5463636363636366","2016","12","31"
"8.01","1.7478152309612984","2016","12","31"
"9.99","1.4014014014014013","2016","12","31"
"11.0","1.2727272727272727","2016","12","31"
"9.99","1.6016016016016015","2017","01","01"
"11.99","1.5012510425354462","2017","01","01"
"11.0","1.6363636363636365","2017","01","01"
"9.99","1.4014014014014013","2017","01","01"
"9.99","1.4014014014014013","2017","01","01"
"9.0","1.5555555555555556","2017","01","01"
"13.0","1.3846153846153846","2017","01","01"
"9.99","1.4014014014014013","2017","01","01"
"9.99","2.5025025025025025","2017","01","06"
