"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"11.99","1.2518765638031693","2002","11","18"
"14.0","1.2857142857142858","2002","11","26"
"9.0","2.0","2002","11","27"
"20.0","1.45","2003","01","23"
"20.99","1.3334921391138637","2003","01","23"
"17.01","1.4115226337448559","2003","03","05"
"17.01","1.3521457965902408","2003","03","06"
"14.0","1.499285714285714","2003","03","06"
"11.99","1.5012510425354462","2003","03","06"
"8.01","2.247191011235955","2003","03","06"
"9.0","1.5555555555555556","2003","03","06"
"13.0","1.4607692307692306","2003","03","06"
"17.01","1.3521457965902408","2003","03","06"
"9.99","2.2022022022022023","2003","03","06"
"13.0","1.6146153846153846","2003","03","06"
"15.01","1.3984010659560293","2003","03","06"
"13.0","1.4607692307692306","2003","03","06"
"11.0","1.908181818181818","2003","03","06"
"15.01","1.5323117921385743","2003","03","06"
"17.01","1.3521457965902408","2003","03","06"
"11.0","1.6363636363636365","2003","03","06"
"15.01","1.3324450366422385","2003","03","06"
"14.0","1.5714285714285714","2003","03","06"
"9.99","2.002002002002002","2003","03","06"
"11.0","1.2727272727272727","2003","03","06"
"15.01","1.798800799467022","2003","03","07"
"17.01","1.529100529100529","2003","03","07"
"11.99","1.9182652210175146","2003","03","07"
"15.01","1.4656895403064625","2003","03","07"
"15.01","1.5996002664890074","2003","03","08"
"16.0","1.4375","2003","03","08"
"17.01","1.2933568489124043","2003","03","08"
"17.01","1.2339800117577893","2003","03","08"
"16.0","1.311875","2003","03","08"
"20.99","1.2863268222963318","2003","03","08"
"20.99","1.4768937589328253","2003","03","08"
"24.01","1.2490628904623071","2003","03","08"
"20.99","1.2863268222963318","2003","03","08"
"11.0","1.7263636363636363","2003","03","08"
"11.0","1.8181818181818181","2003","03","08"
"18.99","1.4218009478672986","2003","03","09"
"11.0","1.4545454545454546","2003","03","09"
"16.0","1.6875","2003","03","09"
"16.0","1.375","2003","03","09"
"16.0","1.4375","2003","03","09"
"18.0","1.5","2003","03","09"
"13.0","1.5384615384615385","2003","03","09"
"16.0","1.500625","2003","03","09"
"17.01","1.2933568489124043","2003","03","09"
"18.0","1.2777777777777777","2003","03","09"
"15.01","1.4656895403064625","2003","03","09"
"14.0","1.4285714285714286","2003","03","09"
"18.99","1.2111637704054767","2003","03","09"
"15.01","1.3984010659560293","2003","03","09"
