"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.0","1.6677777777777778","2016","07","17"
"11.99","1.4186822351959967","2016","09","12"
"14.0","1.499285714285714","2016","09","13"
"13.0","1.6146153846153846","2016","09","13"
"11.0","1.6363636363636365","2016","09","16"
"9.0","2.0","2016","09","16"
"14.0","1.499285714285714","2016","09","24"
"9.99","1.5025025025025025","2016","10","25"
"9.99","1.8018018018018018","2016","11","28"
"11.0","1.6363636363636365","2016","11","28"
"9.99","1.5025025025025025","2016","11","28"
"11.99","1.6680567139282736","2016","11","30"
"14.0","1.5714285714285714","2016","11","30"
"16.0","1.6875","2016","11","30"
"16.0","1.311875","2016","11","30"
"15.01","1.665556295802798","2016","11","30"
"15.01","1.3324450366422385","2016","11","30"
"18.99","1.369668246445498","2016","11","30"
"18.99","1.4739336492890995","2016","11","30"
"18.99","1.4739336492890995","2016","11","30"
"23.0","1.2169565217391303","2016","11","30"
"18.0","1.8888888888888888","2016","11","30"
"22.0","1.5454545454545454","2016","11","30"
"23.0","1.2169565217391303","2016","11","30"
"23.0","1.391304347826087","2016","11","30"
"20.0","1.25","2016","11","30"
"23.0","1.391304347826087","2016","11","30"
"20.0","1.4994999999999998","2016","11","30"
"20.0","1.45","2016","11","30"
"20.0","1.45","2016","11","30"
"20.0","1.25","2016","11","30"
"17.01","1.469723691945914","2016","11","30"
"17.01","1.4115226337448559","2016","11","30"
"16.0","1.6875","2016","11","30"
"11.0","1.5463636363636366","2016","11","30"
"15.01","1.4656895403064625","2016","11","30"
"9.99","1.6016016016016015","2016","11","30"
"17.01","1.3521457965902408","2016","11","30"
"11.99","1.4186822351959967","2016","11","30"
"9.0","1.7777777777777777","2016","11","30"
"15.01","1.3324450366422385","2016","12","03"
"15.01","1.5323117921385743","2016","12","03"
"11.99","1.5012510425354462","2016","12","03"
"14.0","1.3564285714285713","2016","12","03"
"15.01","1.2651565622918053","2016","12","03"
"13.0","1.5384615384615385","2016","12","03"
"15.01","1.3984010659560293","2016","12","03"
"8.01","2.4968789013732833","2016","12","03"
"11.99","1.4186822351959967","2016","12","03"
"16.0","1.500625","2016","12","19"
"18.0","1.445","2016","12","19"
"8.01","2.620474406991261","2016","12","19"
"13.0","1.5384615384615385","2016","12","19"
"16.0","1.4375","2016","12","19"
"11.99","2.0025020850708923","2016","12","19"
"11.0","1.908181818181818","2016","12","19"
"11.0","1.7263636363636363","2016","12","19"
"13.0","1.4607692307692306","2016","12","19"
"11.0","2.0","2016","12","19"
"20.0","1.3005","2016","12","19"
"15.01","1.3324450366422385","2016","12","19"
"20.99","1.2391615054787997","2016","12","19"
"18.0","1.5","2016","12","19"
"29.0","1.2755172413793103","2016","12","19"
"23.0","1.2608695652173914","2016","12","19"
"18.99","1.5271195365982098","2016","12","19"
"22.0","1.5004545454545453","2016","12","19"
"24.01","1.3327780091628487","2016","12","19"
"15.01","1.5323117921385743","2016","12","19"
"18.0","1.5","2016","12","19"
"17.01","1.6455026455026454","2016","12","19"
"18.99","1.2643496577145867","2016","12","19"
"17.01","1.3521457965902408","2016","12","19"
"20.99","1.2863268222963318","2016","12","19"
"20.0","1.3005","2016","12","19"
"20.99","1.4287756074321105","2016","12","19"
"16.0","1.8125","2016","12","19"
"18.99","1.369668246445498","2016","12","19"
"15.01","1.4656895403064625","2016","12","19"
"20.99","1.4768937589328253","2016","12","19"
"20.99","1.2391615054787997","2016","12","19"
"18.99","1.2643496577145867","2016","12","19"
"18.99","1.4218009478672986","2016","12","19"
"15.01","1.3324450366422385","2016","12","19"
"18.0","1.2777777777777777","2016","12","19"
"13.0","1.3846153846153846","2016","12","19"
"16.0","1.311875","2016","12","19"
"13.0","1.3846153846153846","2016","12","19"
"17.01","1.2933568489124043","2016","12","19"
"13.0","1.3846153846153846","2016","12","19"
"14.0","1.5714285714285714","2016","12","19"
"11.99","2.3344453711426185","2016","12","19"
"14.0","1.4285714285714286","2016","12","19"
"15.01","2.06528980679547","2016","12","19"
"13.0","1.3846153846153846","2016","12","19"
"11.99","1.6680567139282736","2016","12","19"
"11.99","1.5012510425354462","2016","12","19"
"15.01","1.3984010659560293","2016","12","19"
"14.0","1.499285714285714","2016","12","19"
"13.0","1.6146153846153846","2016","12","19"
"13.0","2.153076923076923","2016","12","19"
"13.0","1.5384615384615385","2016","12","19"
"11.99","1.4186822351959967","2016","12","19"
"13.0","1.6923076923076923","2016","12","19"
"18.99","1.5271195365982098","2016","12","19"
"7.0","2.857142857142857","2016","12","19"
"9.0","1.6677777777777778","2016","12","28"
"15.01","1.5323117921385743","2017","01","14"
"9.99","1.7027027027027029","2017","01","15"
"9.0","1.8900000000000001","2017","01","16"
"9.0","2.5555555555555554","2017","01","17"
"15.01","1.2651565622918053","2017","01","23"
"16.0","1.6875","2017","01","25"
"24.01","1.5406080799666806","2017","01","28"
"27.99","1.392997499106824","2017","01","28"
"26.01","1.6532103037293349","2017","01","28"
"24.01","1.4581424406497292","2017","01","28"
"24.01","1.8742190753852561","2017","01","28"
"23.0","1.2169565217391303","2017","01","28"
"18.99","1.3164823591363877","2017","01","28"
"24.01","1.3327780091628487","2017","01","28"
"25.0","1.1996","2017","01","28"
"27.0","1.4074074074074074","2017","01","28"
"24.01","1.2911286963765096","2017","01","28"
"20.99","1.2863268222963318","2017","01","28"
"20.99","1.3816102906145784","2017","01","28"
"20.0","1.35","2017","01","28"
"18.0","1.5","2017","01","28"
"17.01","1.529100529100529","2017","01","29"
"17.01","1.529100529100529","2017","01","29"
"14.0","1.3564285714285713","2017","01","29"
"15.01","1.5323117921385743","2017","01","29"
"15.01","1.3984010659560293","2017","01","29"
"11.0","1.4545454545454546","2017","01","29"
"11.99","1.5012510425354462","2017","01","29"
"18.0","1.445","2017","02","11"
"18.99","1.3164823591363877","2017","02","11"
"9.99","1.7027027027027029","2017","02","11"
"11.99","1.5838198498748957","2017","02","11"
"13.0","1.4607692307692306","2017","02","11"
"14.0","1.5714285714285714","2017","02","11"
"14.0","1.3564285714285713","2017","02","11"
"11.0","1.5463636363636366","2017","02","11"
"13.0","1.3084615384615386","2017","02","11"
"9.0","2.11","2017","02","11"
"14.0","1.5714285714285714","2017","02","12"
"11.99","1.9182652210175146","2017","02","12"
"14.0","1.499285714285714","2017","02","12"
"11.99","1.5838198498748957","2017","02","12"
"13.0","1.4607692307692306","2017","02","12"
"9.99","1.5025025025025025","2017","04","30"
"9.0","1.5555555555555556","2017","05","12"
"9.99","1.7027027027027029","2017","05","12"
"7.0","2.0","2017","05","26"
"9.99","1.5025025025025025","2017","05","26"
"9.0","1.5555555555555556","2017","05","26"
"9.0","1.5555555555555556","2017","05","26"
"9.0","1.5555555555555556","2017","05","27"
"13.0","1.3846153846153846","2017","06","05"
"9.0","1.5555555555555556","2017","06","05"
"8.01","1.7478152309612984","2017","06","17"
"5.0","2.8","2017","07","08"
"11.99","1.2518765638031693","2017","08","13"
"9.99","1.5025025025025025","2017","08","13"
"8.01","1.873907615480649","2017","08","13"
"9.0","2.0","2017","08","14"
"11.0","1.7263636363636363","2017","08","30"
"9.99","1.9009009009009008","2017","08","30"
"11.0","1.5463636363636366","2017","08","30"
"11.99","1.4186822351959967","2017","08","30"
"8.01","1.873907615480649","2017","08","30"
"14.0","1.499285714285714","2017","10","06"
"9.0","2.332222222222222","2017","10","08"
"11.99","1.6680567139282736","2017","10","27"
"11.0","1.5463636363636366","2017","10","27"
"11.0","1.6363636363636365","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"13.0","1.4607692307692306","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"17.01","1.2933568489124043","2017","12","04"
"14.0","1.4285714285714286","2017","12","04"
"14.0","1.499285714285714","2017","12","04"
"11.99","1.4186822351959967","2017","12","04"
"15.01","1.3984010659560293","2017","12","04"
"14.0","1.5714285714285714","2017","12","04"
"15.01","1.3324450366422385","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"14.0","1.5714285714285714","2017","12","04"
"14.0","1.5714285714285714","2017","12","04"
"15.01","1.4656895403064625","2017","12","04"
"13.0","1.4607692307692306","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"13.0","1.3846153846153846","2017","12","04"
"17.01","1.3521457965902408","2017","12","04"
"15.01","1.3984010659560293","2017","12","04"
"14.0","1.499285714285714","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"14.0","1.3564285714285713","2017","12","04"
"13.0","1.3846153846153846","2017","12","04"
"15.01","1.4656895403064625","2017","12","04"
"13.0","1.3846153846153846","2017","12","04"
"15.01","1.3324450366422385","2017","12","04"
"16.0","1.311875","2017","12","04"
"18.0","1.2777777777777777","2017","12","04"
"18.0","1.2777777777777777","2017","12","14"
"13.0","1.9230769230769231","2017","12","14"
"14.0","1.4285714285714286","2017","12","14"
"16.0","1.311875","2017","12","14"
"11.99","1.4186822351959967","2017","12","14"
"11.99","1.6680567139282736","2017","12","14"
"15.01","1.4656895403064625","2017","12","15"
"9.99","1.7027027027027029","2017","12","15"
"14.0","1.499285714285714","2017","12","15"
"9.99","2.1011011011011007","2017","12","15"
"13.0","1.3846153846153846","2018","02","27"
"11.99","1.6680567139282736","2018","02","27"
"11.99","1.5012510425354462","2018","02","27"
"15.01","1.3324450366422385","2018","02","27"
"17.01","1.3521457965902408","2018","02","27"
"18.99","1.2643496577145867","2018","02","27"
"17.01","1.3521457965902408","2018","02","27"
"14.0","1.3564285714285713","2018","02","27"
"15.01","1.3324450366422385","2018","02","27"
"14.0","1.715","2018","02","27"
"11.0","1.4545454545454546","2018","02","27"
"11.0","1.4545454545454546","2018","02","27"
"17.01","1.4115226337448559","2018","02","27"
"20.0","1.25","2018","02","27"
"16.0","1.311875","2018","02","27"
"14.0","1.6428571428571428","2018","02","27"
"16.0","1.311875","2018","02","27"
"17.01","1.4115226337448559","2018","02","27"
"18.0","1.333888888888889","2018","02","27"
"18.0","1.2222222222222223","2018","02","27"
"11.99","1.7506255212677229","2018","03","09"
"11.99","1.5838198498748957","2018","03","09"
"9.99","1.8018018018018018","2018","03","09"
"14.0","1.3564285714285713","2018","03","09"
