"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"5.21","1.3358925143953935","2016","12","14"
"3.48","2.0","2016","12","14"
"0.87","8.0","2016","12","14"
"5.21","1.3358925143953935","2016","12","14"
"4.33","1.6073903002309469","2016","12","14"
"3.48","2.0","2016","12","14"
"3.48","1.7471264367816093","2016","12","14"
"2.6","2.6769230769230767","2016","12","14"
"4.33","1.6073903002309469","2016","12","14"
"3.48","1.4971264367816093","2016","12","14"
"3.48","1.4971264367816093","2016","12","14"
"5.21","1.3358925143953935","2016","12","14"
"4.33","1.8036951501154732","2016","12","14"
"4.33","1.6073903002309469","2016","12","14"
"2.6","2.3384615384615386","2016","12","14"
"2.6","1.6653846153846155","2016","12","14"
"1.75","2.474285714285714","2016","12","14"
"3.48","1.2442528735632183","2016","12","14"
"2.6","2.003846153846154","2016","12","14"
"2.6","2.003846153846154","2016","12","14"
"3.48","1.4971264367816093","2016","12","14"
"2.6","1.6653846153846155","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.3384615384615384","2016","12","14"
"2.6","1.6653846153846155","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.3384615384615384","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.0","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"0.87","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.3384615384615384","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.0","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.0","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.3384615384615384","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"0.87","4.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"13.02","1.467741935483871","2016","12","15"
"11.29","1.6147032772364927","2016","12","15"
"12.17","1.4281018898931799","2016","12","15"
"11.29","1.6147032772364927","2016","12","15"
"11.29","1.6147032772364927","2016","12","15"
"12.17","1.4979457682826622","2016","12","15"
"13.02","1.2672811059907834","2016","12","15"
"10.42","1.583493282149712","2016","12","15"
"10.42","1.5","2016","12","15"
"12.17","1.7838948233360723","2016","12","15"
"10.42","1.5","2016","12","15"
"10.42","1.5","2016","12","16"
"9.54","1.729559748427673","2016","12","16"
"6.96","1.622126436781609","2016","12","16"
"6.08","1.5690789473684208","2016","12","16"
"4.33","1.4041570438799076","2016","12","16"
"3.48","2.244252873563218","2016","12","16"
"5.21","1.6679462571976966","2016","12","16"
"4.33","1.8036951501154732","2016","12","16"
"3.48","1.7471264367816093","2016","12","16"
"4.33","2.203233256351039","2016","12","16"
"5.21","1.8310940499040305","2016","12","16"
"4.33","1.8036951501154732","2016","12","16"
"5.21","1.4990403071017273","2016","12","16"
"5.21","1.4990403071017273","2016","12","16"
"5.21","1.1669865642994242","2016","12","16"
"4.33","1.8036951501154732","2016","12","16"
"5.21","1.4990403071017273","2016","12","16"
"5.21","1.3358925143953935","2016","12","16"
"2.6","2.6769230769230767","2016","12","16"
"3.48","2.0","2016","12","16"
"3.48","2.0","2016","12","16"
"2.6","2.003846153846154","2016","12","16"
"4.33","1.2032332563510393","2016","12","16"
"2.6","1.3384615384615384","2016","12","16"
"3.48","1.2442528735632183","2016","12","16"
"2.6","1.6653846153846155","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"2.6","1.3384615384615384","2016","12","16"
"0.87","4.0","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","4.0","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"1.75","1.0","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","5.988505747126437","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"2.6","1.0","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"1.75","1.9885714285714287","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"1.75","1.4857142857142858","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.0114942528735633","2016","12","16"
"3.48","1.4971264367816093","2016","12","17"
"4.33","1.6073903002309469","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"3.48","1.4971264367816093","2016","12","17"
"4.33","1.4041570438799076","2016","12","17"
"4.33","1.6073903002309469","2016","12","17"
"5.21","1.4990403071017273","2016","12","17"
"5.21","1.6679462571976966","2016","12","17"
"4.33","1.4041570438799076","2016","12","17"
"3.48","1.4971264367816093","2016","12","17"
"3.48","1.4971264367816093","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"2.6","1.6653846153846155","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"2.6","1.6653846153846155","2016","12","17"
"0.87","4.977011494252873","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","4.0","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"0.87","5.988505747126437","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"4.33","1.6073903002309469","2016","12","17"
"3.48","1.2442528735632183","2016","12","17"
"3.48","1.4971264367816093","2016","12","17"
"3.48","1.4971264367816093","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"3.48","1.7471264367816093","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"3.48","1.7471264367816093","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"2.6","2.3384615384615386","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","4.977011494252873","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"0.87","4.977011494252873","2016","12","17"
"2.6","1.6653846153846155","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","2.9885057471264367","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"0.87","1.0","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","4.977011494252873","2016","12","17"
"3.48","3.7413793103448274","2016","12","18"
"4.33","3.4064665127020786","2016","12","18"
"0.87","1.0","2016","12","18"
"0.87","2.0114942528735633","2016","12","18"
"5.21","1.3358925143953935","2016","12","18"
"6.08","2.286184210526316","2016","12","19"
"1.75","2.9771428571428573","2016","12","20"
"3.48","1.4971264367816093","2016","12","20"
"1.75","2.9771428571428573","2016","12","20"
"1.75","2.9771428571428573","2016","12","20"
"0.87","2.0114942528735633","2016","12","20"
"1.75","1.4857142857142858","2016","12","20"
"0.87","2.9885057471264367","2016","12","20"
"2.6","1.3384615384615384","2016","12","20"
"3.48","1.2442528735632183","2016","12","20"
"2.6","1.3384615384615384","2016","12","20"
"2.6","1.3384615384615384","2016","12","20"
"0.87","2.9885057471264367","2016","12","20"
"1.75","1.9885714285714287","2016","12","20"
"2.6","1.3384615384615384","2016","12","21"
"1.75","1.4857142857142858","2016","12","21"
"2.6","1.0","2016","12","21"
"1.75","1.9885714285714287","2016","12","21"
"4.33","1.4041570438799076","2016","12","22"
"2.6","2.3384615384615386","2016","12","22"
"1.75","2.474285714285714","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"0.87","2.9885057471264367","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"0.87","1.0","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"2.6","1.3384615384615384","2016","12","22"
"0.87","2.9885057471264367","2016","12","22"
"0.87","2.9885057471264367","2016","12","22"
"0.87","1.0","2016","12","22"
