"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.48","1.4971264367816093","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.9885714285714287","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.9885057471264367","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.0","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"2.6","1.0","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"1.75","1.4857142857142858","2016","12","14"
"0.87","2.0114942528735633","2016","12","14"
"0.87","2.0114942528735633","2016","12","16"
"0.87","2.9885057471264367","2016","12","16"
"0.87","6.988505747126437","2016","12","16"
"3.48","1.4971264367816093","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"0.87","4.0","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"3.48","1.0","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"2.6","2.003846153846154","2016","12","17"
"0.87","4.0","2016","12","17"
"1.75","2.9771428571428573","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"1.75","1.9885714285714287","2016","12","17"
"0.87","2.9885057471264367","2016","12","17"
"1.75","1.0","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"1.75","1.4857142857142858","2016","12","17"
"0.87","2.0114942528735633","2016","12","17"
"1.75","1.0","2016","12","17"
"0.87","2.9885057471264367","2016","12","17"
"2.6","1.3384615384615384","2016","12","17"
"16.5","1.4206060606060606","2016","12","18"
"4.33","5.2170900692840645","2016","12","18"
"2.6","6.684615384615384","2016","12","18"
"8.69","2.2968929804372844","2016","12","18"
"5.21","3.3358925143953932","2016","12","18"
"7.81","1.8886043533930859","2016","12","18"
"1.75","1.4857142857142858","2016","12","18"
"17.38","1.7479861910241659","2016","12","18"
"7.81","2.5556978233034573","2016","12","18"
"16.5","1.841212121212121","2016","12","18"
"13.02","1.7350230414746544","2016","12","18"
"13.9","1.374820143884892","2016","12","18"
"12.17","1.85620377978636","2016","12","19"
"13.02","2.000768049155146","2016","12","19"
"13.02","1.8678955453149002","2016","12","19"
"12.17","1.9983566146261298","2016","12","19"
"13.9","2.0611510791366907","2016","12","19"
"14.75","2.2379661016949153","2016","12","19"
"7.81","3.4468629961587713","2016","12","19"
"11.29","1.845881310894597","2016","12","19"
"13.9","1.8741007194244603","2016","12","19"
"9.54","2.0922431865828095","2016","12","19"
"7.81","2.0012804097311143","2016","12","19"
"14.75","1.4718644067796611","2016","12","19"
"10.42","1.5","2016","12","19"
"13.9","1.5618705035971223","2016","12","19"
"13.02","1.533026113671275","2016","12","19"
"12.17","1.7838948233360723","2016","12","19"
"5.21","2.4990403071017275","2016","12","19"
"10.42","2.0834932821497123","2016","12","19"
"9.54","1.729559748427673","2016","12","19"
"7.81","1.8886043533930859","2016","12","19"
"4.33","2.203233256351039","2016","12","19"
"2.6","2.3384615384615386","2016","12","19"
"8.69","1.798619102416571","2016","12","19"
"7.81","2.0012804097311143","2016","12","19"
"6.08","3.427631578947368","2016","12","19"
"10.42","1.7495201535508638","2016","12","19"
"7.81","2.1126760563380285","2016","12","19"
"9.54","1.638364779874214","2016","12","19"
"8.69","2.1990794016110473","2016","12","19"
"10.42","2.3339731285988483","2016","12","19"
"6.96","2.9942528735632186","2016","12","19"
"4.33","2.810623556581986","2016","12","19"
"7.81","2.7797695262484","2016","12","19"
"4.33","2.0069284064665127","2016","12","19"
"13.02","1.533026113671275","2016","12","19"
"11.29","1.767936226749336","2016","12","19"
"10.42","2.0","2016","12","19"
"16.5","1.5254545454545456","2016","12","19"
"12.17","2.28430566967954","2016","12","19"
"16.5","1.5254545454545456","2016","12","19"
"11.29","1.845881310894597","2016","12","19"
"13.9","1.5618705035971223","2016","12","19"
"13.02","1.6674347158218128","2016","12","19"
"11.29","1.6147032772364927","2016","12","19"
"6.08","2.1414473684210527","2016","12","19"
"6.96","1.8706896551724137","2016","12","19"
"12.17","1.4979457682826622","2016","12","19"
"10.42","1.9155470249520155","2016","12","19"
"0.87","4.0","2016","12","20"
"0.87","4.0","2016","12","20"
"3.48","3.244252873563218","2016","12","20"
"1.75","1.9885714285714287","2016","12","20"
"2.6","1.0","2016","12","20"
"2.6","2.003846153846154","2016","12","20"
"1.75","1.4857142857142858","2016","12","20"
"0.87","2.0114942528735633","2016","12","20"
"0.87","4.0","2016","12","20"
"0.87","4.0","2016","12","20"
"1.75","2.9771428571428573","2016","12","20"
"18.23","1.666483817882611","2016","12","21"
"6.96","3.9942528735632186","2016","12","21"
"0.87","2.0114942528735633","2016","12","21"
"5.21","2.166986564299424","2016","12","21"
"6.08","2.713815789473684","2016","12","21"
"8.69","2.0","2016","12","21"
"12.17","1.9983566146261298","2016","12","21"
"5.21","1.8310940499040305","2016","12","22"
"3.48","2.7413793103448274","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"0.87","1.0","2016","12","22"
"0.87","2.0114942528735633","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"1.75","1.0","2016","12","22"
"3.48","1.4971264367816093","2016","12","22"
"2.6","1.3384615384615384","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"0.87","2.9885057471264367","2016","12","22"
"2.6","1.6653846153846155","2016","12","22"
"1.75","2.474285714285714","2016","12","22"
"1.75","1.9885714285714287","2016","12","22"
"2.6","2.003846153846154","2016","12","22"
"2.6","2.003846153846154","2016","12","23"
"1.75","2.474285714285714","2016","12","23"
"0.87","4.977011494252873","2016","12","23"
"0.87","4.0","2016","12","23"
"2.6","2.003846153846154","2016","12","23"
"0.87","4.0","2016","12","23"
"1.75","2.474285714285714","2016","12","23"
"1.75","2.474285714285714","2016","12","23"
"2.6","1.3384615384615384","2016","12","23"
"0.87","2.9885057471264367","2016","12","25"
"1.75","1.9885714285714287","2016","12","25"
"1.75","1.9885714285714287","2016","12","25"
"1.75","1.9885714285714287","2016","12","25"
"1.75","2.474285714285714","2016","12","25"
"0.87","4.977011494252873","2016","12","25"
"1.75","2.9771428571428573","2016","12","25"
"1.75","2.474285714285714","2016","12","25"
"0.87","5.988505747126437","2016","12","25"
"2.6","2.003846153846154","2016","12","25"
"3.48","2.244252873563218","2016","12","25"
"2.6","1.6653846153846155","2016","12","25"
"2.6","2.6769230769230767","2016","12","25"
"2.6","2.003846153846154","2016","12","25"
"2.6","2.3384615384615386","2016","12","25"
"1.75","2.9771428571428573","2016","12","25"
"2.6","2.003846153846154","2016","12","25"
"1.75","2.9771428571428573","2016","12","25"
"0.87","4.977011494252873","2016","12","25"
"2.6","1.6653846153846155","2016","12","25"
"1.75","2.474285714285714","2016","12","25"
"2.6","2.003846153846154","2016","12","25"
"0.87","2.9885057471264367","2016","12","25"
"1.75","1.9885714285714287","2016","12","26"
"1.75","2.9771428571428573","2016","12","26"
"0.87","5.988505747126437","2016","12","26"
"3.48","1.4971264367816093","2016","12","26"
"4.33","1.2032332563510393","2016","12","26"
"2.6","2.3384615384615386","2016","12","26"
"2.6","3.0038461538461534","2016","12","26"
"0.87","2.0114942528735633","2016","12","26"
"0.87","4.0","2016","12","26"
"0.87","2.9885057471264367","2016","12","26"
"2.6","2.6769230769230767","2016","12","26"
"2.6","1.6653846153846155","2016","12","26"
"1.75","2.9771428571428573","2016","12","26"
"1.75","2.474285714285714","2016","12","26"
"0.87","4.977011494252873","2016","12","26"
"2.6","1.6653846153846155","2016","12","26"
"1.75","2.474285714285714","2016","12","26"
"0.87","4.0","2016","12","27"
"0.87","2.0114942528735633","2016","12","27"
"0.87","8.0","2016","12","27"
"1.75","2.9771428571428573","2016","12","27"
"4.33","1.6073903002309469","2016","12","27"
"3.48","1.7471264367816093","2016","12","27"
"10.42","1.4155470249520155","2016","12","27"
"2.6","5.346153846153846","2016","12","27"
"6.08","1.856907894736842","2016","12","27"
"13.02","1.4001536098310292","2016","12","27"
"8.69","1.5995397008055237","2016","12","27"
"7.81","1.558258642765685","2016","12","27"
"10.42","2.0","2016","12","27"
"7.81","3.2227912932138287","2016","12","27"
"8.69","1.5995397008055237","2016","12","27"
"3.48","3.4971264367816093","2016","12","27"
"5.21","1.8310940499040305","2016","12","27"
"4.33","4.609699769053118","2016","12","27"
"6.96","3.2456896551724137","2016","12","27"
"3.48","3.4971264367816093","2016","12","27"
"8.69","1.798619102416571","2016","12","27"
"5.21","2.3358925143953937","2016","12","27"
"8.69","1.4982738780207134","2016","12","27"
"7.81","2.0012804097311143","2016","12","27"
"8.69","2.097813578826237","2016","12","27"
"9.54","1.729559748427673","2016","12","27"
"9.54","1.5461215932914047","2016","12","27"
"9.54","1.729559748427673","2016","12","27"
"9.54","1.729559748427673","2016","12","27"
"6.96","1.9971264367816093","2016","12","27"
"10.42","1.583493282149712","2016","12","27"
"12.17","1.6400986031224323","2016","12","27"
"6.08","2.1414473684210527","2016","12","27"
"6.96","1.622126436781609","2016","12","27"
"5.21","2.0","2016","12","27"
"6.96","1.7485632183908046","2016","12","27"
"2.6","3.6692307692307686","2016","12","27"
"0.87","8.977011494252872","2016","12","27"
"2.6","1.6653846153846155","2016","12","27"
"3.48","1.4971264367816093","2016","12","27"
"9.54","1.457023060796646","2016","12","27"
"6.96","2.1192528735632186","2016","12","27"
"1.75","3.474285714285714","2016","12","27"
"5.21","1.8310940499040305","2016","12","27"
"4.33","2.0069284064665127","2016","12","27"
"5.21","1.4990403071017273","2016","12","27"
"2.6","1.6653846153846155","2016","12","27"
"5.21","1.8310940499040305","2016","12","27"
"9.54","1.5461215932914047","2016","12","27"
"7.81","2.0012804097311143","2016","12","27"
"5.21","3.0","2016","12","27"
"7.81","2.0012804097311143","2016","12","27"
"6.08","2.4259868421052633","2016","12","27"
"8.69","1.4982738780207134","2016","12","27"
"7.81","2.0012804097311143","2016","12","27"
"9.54","2.5492662473794554","2016","12","27"
"6.08","2.8585526315789473","2016","12","27"
"6.08","2.0016447368421053","2016","12","28"
"6.96","3.367816091954023","2016","12","28"
"9.54","2.1844863731656186","2016","12","28"
"8.69","1.5995397008055237","2016","12","28"
"9.54","1.3647798742138366","2016","12","28"
"8.69","1.5995397008055237","2016","12","28"
"7.81","1.6670934699103714","2016","12","28"
"4.33","2.0069284064665127","2016","12","28"
"6.08","1.5690789473684208","2016","12","28"
"6.08","1.713815789473684","2016","12","28"
"8.69","1.6973532796317607","2016","12","28"
"9.54","1.638364779874214","2016","12","28"
"8.69","1.5995397008055237","2016","12","28"
"10.42","1.9155470249520155","2016","12","28"
"7.81","2.892445582586428","2016","12","28"
"11.29","1.845881310894597","2016","12","28"
"7.81","2.1126760563380285","2016","12","28"
"9.54","1.5461215932914047","2016","12","28"
"9.54","2.275681341719078","2016","12","28"
"10.42","2.1679462571976966","2016","12","28"
"11.29","1.845881310894597","2016","12","28"
"6.96","1.7485632183908046","2016","12","28"
"6.08","2.0016447368421053","2016","12","28"
"12.17","2.28430566967954","2016","12","28"
"9.54","1.638364779874214","2016","12","28"
"5.21","3.166986564299424","2016","12","28"
"6.96","2.1192528735632186","2016","12","28"
"10.42","1.6679462571976966","2016","12","28"
"1.75","2.9771428571428573","2016","12","29"
"2.6","3.342307692307692","2016","12","29"
"0.87","4.0","2016","12","29"
"1.75","1.9885714285714287","2016","12","29"
"1.75","1.4857142857142858","2016","12","29"
"2.6","1.6653846153846155","2016","12","29"
"0.87","2.9885057471264367","2016","12","29"
"2.6","1.6653846153846155","2016","12","29"
"1.75","1.0","2016","12","29"
"0.87","2.0114942528735633","2016","12","29"
"0.87","2.9885057471264367","2016","12","29"
"0.87","2.9885057471264367","2016","12","29"
"1.75","1.4857142857142858","2016","12","29"
"1.75","2.474285714285714","2016","12","29"
"1.75","2.9771428571428573","2016","12","29"
"1.75","1.9885714285714287","2016","12","29"
"0.87","5.988505747126437","2016","12","29"
"5.21","1.6679462571976966","2016","12","29"
"1.75","3.9771428571428573","2016","12","29"
"1.75","1.9885714285714287","2016","12","30"
"3.48","3.244252873563218","2016","12","30"
"4.33","2.0069284064665127","2016","12","30"
"6.08","2.1414473684210527","2016","12","30"
"8.69","1.5995397008055237","2016","12","30"
"5.21","2.166986564299424","2016","12","30"
"6.96","1.622126436781609","2016","12","30"
"5.21","2.0","2016","12","30"
"7.81","1.3341869398207427","2016","12","30"
"4.33","2.203233256351039","2016","12","30"
"4.33","2.6073903002309464","2016","12","30"
"1.75","2.474285714285714","2016","12","30"
"4.33","1.6073903002309469","2016","12","30"
"1.75","2.9771428571428573","2016","12","30"
"2.6","3.0038461538461534","2016","12","30"
"3.48","2.0","2016","12","30"
"1.75","2.9771428571428573","2016","12","30"
"2.6","1.6653846153846155","2016","12","30"
"0.87","2.0114942528735633","2016","12","30"
"1.75","1.9885714285714287","2016","12","30"
"1.75","2.474285714285714","2016","12","30"
"0.87","2.0114942528735633","2016","12","30"
"0.87","2.0114942528735633","2016","12","30"
"1.75","3.474285714285714","2016","12","30"
"0.87","2.9885057471264367","2016","12","30"
"1.75","2.9771428571428573","2016","12","30"
"1.75","1.4857142857142858","2016","12","30"
"1.75","1.4857142857142858","2016","12","30"
"3.48","2.4971264367816093","2016","12","30"
"0.87","2.0114942528735633","2016","12","30"
"0.87","4.0","2016","12","30"
"1.75","1.4857142857142858","2016","12","30"
"1.75","5.451428571428571","2016","12","30"
"9.54","1.729559748427673","2016","12","30"
"2.6","5.346153846153846","2016","12","30"
"4.33","2.810623556581986","2016","12","30"
"12.17","1.7124075595727197","2016","12","31"
"14.75","1.5891525423728814","2016","12","31"
"13.02","1.6674347158218128","2016","12","31"
"14.75","1.4718644067796611","2016","12","31"
"9.54","1.8218029350104823","2016","12","31"
"12.17","1.4979457682826622","2016","12","31"
"14.75","1.6488135593220339","2016","12","31"
"13.02","1.467741935483871","2016","12","31"
"10.42","2.0","2016","12","31"
"9.54","2.6383647798742142","2016","12","31"
"11.29","2.00088573959256","2016","12","31"
"12.17","1.7838948233360723","2016","12","31"
"9.54","2.275681341719078","2016","12","31"
"4.33","3.4064665127020786","2016","12","31"
"5.21","2.3358925143953937","2016","12","31"
"6.08","1.5690789473684208","2016","12","31"
"8.69","2.0","2016","12","31"
"6.96","2.1192528735632186","2016","12","31"
"7.81","1.558258642765685","2016","12","31"
"10.42","1.7495201535508638","2016","12","31"
"8.69","2.599539700805524","2016","12","31"
"9.54","2.1844863731656186","2016","12","31"
"7.81","3.0012804097311143","2016","12","31"
"7.81","2.2253521126760565","2016","12","31"
"13.9","1.374820143884892","2016","12","31"
"11.29","2.2294065544729853","2016","12","31"
"12.17","1.7838948233360723","2016","12","31"
"7.81","4.335467349551856","2016","12","31"
"7.81","2.6683738796414853","2016","12","31"
"13.02","1.8678955453149002","2016","12","31"
"13.9","2.0","2016","12","31"
"19.96","1.5220440881763526","2016","12","31"
"14.75","1.4718644067796611","2016","12","31"
"17.38","1.798619102416571","2016","12","31"
"19.96","1.7404809619238477","2016","12","31"
"13.9","1.6863309352517986","2016","12","31"
"18.23","1.7624794295117938","2016","12","31"
"13.02","1.6674347158218128","2016","12","31"
"18.23","2.000548546352167","2016","12","31"
"8.69","3.1990794016110473","2016","12","31"
"14.75","2.119322033898305","2016","12","31"
"10.42","2.5834932821497123","2016","12","31"
"12.17","2.4963023829087923","2016","12","31"
"13.9","2.3748201438848917","2016","12","31"
"13.9","1.749640287769784","2016","12","31"
"14.75","1.7064406779661019","2016","12","31"
"12.17","1.85620377978636","2016","12","31"
"13.02","2.2680491551459294","2016","12","31"
"11.29","2.2294065544729853","2016","12","31"
"9.54","2.5492662473794554","2016","12","31"
"14.75","1.5891525423728814","2016","12","31"
"16.5","1.6848484848484848","2016","12","31"
"11.29","1.6147032772364927","2016","12","31"
"13.9","1.749640287769784","2016","12","31"
"9.54","2.914046121593292","2016","12","31"
"13.02","2.1351766513056836","2016","12","31"
"12.17","2.0682004930156124","2016","12","31"
"1.75","2.9771428571428573","2016","12","31"
"0.87","2.0114942528735633","2016","12","31"
"1.75","1.0","2016","12","31"
"0.87","2.0114942528735633","2016","12","31"
"0.87","2.0114942528735633","2017","01","01"
"1.75","1.0","2017","01","01"
"2.6","1.3384615384615384","2017","01","01"
"0.87","2.0114942528735633","2017","01","01"
"1.75","1.4857142857142858","2017","01","01"
"1.75","1.0","2017","01","01"
"1.75","1.0","2017","01","01"
"0.87","2.9885057471264367","2017","01","02"
"4.33","1.8036951501154732","2017","01","02"
"2.6","2.003846153846154","2017","01","02"
"0.87","2.0114942528735633","2017","01","03"
"2.6","1.3384615384615384","2017","01","03"
"1.75","2.474285714285714","2017","01","03"
"1.75","1.9885714285714287","2017","01","03"
"0.87","2.0114942528735633","2017","01","03"
"3.48","1.4971264367816093","2017","01","03"
"3.48","1.4971264367816093","2017","01","03"
"2.6","1.6653846153846155","2017","01","03"
"2.6","1.6653846153846155","2017","01","03"
"1.75","1.4857142857142858","2017","01","03"
"0.87","2.9885057471264367","2017","01","03"
"0.87","4.977011494252873","2017","01","03"
"2.6","2.003846153846154","2017","01","03"
"0.87","2.0114942528735633","2017","01","03"
"0.87","2.0114942528735633","2017","01","03"
"2.6","2.6769230769230767","2017","01","03"
"4.33","2.203233256351039","2017","01","03"
"1.75","1.9885714285714287","2017","01","04"
"0.87","2.0114942528735633","2017","01","04"
"0.87","2.0114942528735633","2017","01","04"
"0.87","2.9885057471264367","2017","01","04"
"1.75","1.0","2017","01","04"
"1.75","1.4857142857142858","2017","01","04"
"0.87","2.0114942528735633","2017","01","04"
"1.75","1.4857142857142858","2017","01","04"
"0.87","2.9885057471264367","2017","01","04"
"1.75","1.4857142857142858","2017","01","04"
"0.87","2.0114942528735633","2017","01","04"
"1.75","1.9885714285714287","2017","01","04"
"1.75","1.4857142857142858","2017","01","04"
"2.6","1.6653846153846155","2017","01","04"
"2.6","1.6653846153846155","2017","01","04"
"2.6","1.3384615384615384","2017","01","04"
"2.6","1.6653846153846155","2017","01","04"
"0.87","2.0114942528735633","2017","01","05"
"1.75","1.0","2017","01","05"
"1.75","1.4857142857142858","2017","01","05"
"0.87","2.9885057471264367","2017","01","05"
"1.75","1.4857142857142858","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"1.75","1.4857142857142858","2017","01","05"
"1.75","1.0","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","2.0114942528735633","2017","01","05"
"0.87","1.0","2017","01","05"
"1.75","1.4857142857142858","2017","01","11"
"0.87","2.0114942528735633","2017","01","12"
"0.87","2.0114942528735633","2017","01","12"
"1.75","1.0","2017","01","12"
"0.87","2.0114942528735633","2017","01","12"
"0.87","4.0","2017","01","12"
"0.87","2.0114942528735633","2017","01","12"
"2.6","1.6653846153846155","2017","01","13"
"3.48","2.0","2017","01","13"
"1.75","3.474285714285714","2017","01","13"
"5.21","1.3358925143953935","2017","01","13"
"1.75","4.965714285714285","2017","01","13"
"4.33","1.8036951501154732","2017","01","13"
"5.21","1.6679462571976966","2017","01","13"
"0.87","2.9885057471264367","2017","01","13"
"0.87","4.977011494252873","2017","01","13"
"0.87","10.96551724137931","2017","01","13"
"0.87","4.0","2017","01","14"
"1.75","1.9885714285714287","2017","01","16"
"0.87","2.9885057471264367","2017","01","16"
"0.87","4.977011494252873","2017","01","16"
"3.48","2.4971264367816093","2017","01","17"
"4.33","2.810623556581986","2017","01","17"
"2.6","3.342307692307692","2017","01","17"
"1.75","1.4857142857142858","2017","01","17"
"2.6","2.003846153846154","2017","01","17"
"3.48","2.7413793103448274","2017","01","17"
"1.75","4.965714285714285","2017","01","17"
"5.21","1.6679462571976966","2017","01","17"
"3.48","1.7471264367816093","2017","01","17"
"3.48","2.0","2017","01","17"
"1.75","2.9771428571428573","2017","01","17"
"2.6","2.003846153846154","2017","01","17"
"3.48","2.0","2017","01","17"
"0.87","2.9885057471264367","2017","01","17"
"3.48","1.7471264367816093","2017","01","17"
"4.33","1.4041570438799076","2017","01","17"
"2.6","2.003846153846154","2017","01","17"
"1.75","2.9771428571428573","2017","01","17"
"1.75","1.4857142857142858","2017","01","17"
"0.87","2.0114942528735633","2017","01","17"
"0.87","2.0114942528735633","2017","01","17"
"3.48","2.9942528735632186","2017","01","17"
"1.75","4.965714285714285","2017","01","17"
"0.87","4.0","2017","01","17"
"0.87","2.0114942528735633","2017","01","17"
"0.87","2.0114942528735633","2017","01","17"
"3.48","2.9942528735632186","2017","01","18"
"4.33","2.0069284064665127","2017","01","18"
"0.87","2.0114942528735633","2017","01","18"
"2.6","3.342307692307692","2017","01","19"
"8.69","1.5995397008055237","2017","01","19"
"7.81","2.1126760563380285","2017","01","19"
"6.96","2.3706896551724137","2017","01","19"
"7.81","1.7797695262483997","2017","01","19"
"9.54","1.638364779874214","2017","01","19"
"9.54","1.729559748427673","2017","01","19"
"6.96","2.2456896551724137","2017","01","19"
"6.96","1.7485632183908046","2017","01","19"
"6.08","2.286184210526316","2017","01","19"
"1.75","1.9885714285714287","2017","01","19"
"3.48","1.4971264367816093","2017","01","19"
"6.08","1.5690789473684208","2017","01","19"
"2.6","3.0038461538461534","2017","01","19"
"6.08","1.713815789473684","2017","01","19"
"5.21","2.0","2017","01","19"
"4.33","2.0069284064665127","2017","01","19"
"6.96","1.622126436781609","2017","01","19"
"3.48","2.7413793103448274","2017","01","19"
"6.08","2.8585526315789473","2017","01","19"
"12.17","1.4979457682826622","2017","01","19"
"9.54","1.9109014675052414","2017","01","19"
"12.17","1.57025472473295","2017","01","19"
"6.96","2.7456896551724137","2017","01","19"
"9.54","2.0031446540880506","2017","01","19"
"11.29","1.5394154118689105","2017","01","19"
"5.21","2.831094049904031","2017","01","19"
"6.96","2.2456896551724137","2017","01","19"
"2.6","5.007692307692308","2017","01","19"
"1.75","5.954285714285715","2017","01","19"
"5.21","2.0","2017","01","19"
"6.96","1.622126436781609","2017","01","19"
"1.75","5.451428571428571","2017","01","19"
"5.21","1.6679462571976966","2017","01","19"
"1.75","2.9771428571428573","2017","01","19"
"1.75","1.4857142857142858","2017","01","19"
"0.87","2.0114942528735633","2017","01","19"
"1.75","2.9771428571428573","2017","01","19"
"1.75","2.474285714285714","2017","01","19"
"1.75","1.9885714285714287","2017","01","19"
"3.48","1.7471264367816093","2017","01","19"
"1.75","1.9885714285714287","2017","01","20"
"3.48","2.244252873563218","2017","01","20"
"2.6","1.6653846153846155","2017","01","20"
"0.87","4.0","2017","01","20"
"3.48","2.7413793103448274","2017","01","20"
"2.6","3.342307692307692","2017","01","20"
"3.48","2.9942528735632186","2017","01","20"
"5.21","1.3358925143953935","2017","01","20"
"2.6","2.6769230769230767","2017","01","20"
"1.75","1.9885714285714287","2017","01","20"
"4.33","1.8036951501154732","2017","01","20"
"6.96","1.4971264367816093","2017","01","20"
"1.75","1.9885714285714287","2017","01","20"
"6.08","1.713815789473684","2017","01","20"
"4.33","2.4064665127020786","2017","01","20"
"2.6","1.6653846153846155","2017","01","20"
"2.6","2.3384615384615386","2017","01","20"
"0.87","4.0","2017","01","20"
"2.6","1.3384615384615384","2017","01","20"
"4.33","1.6073903002309469","2017","01","20"
"3.48","1.2442528735632183","2017","01","20"
"3.48","1.7471264367816093","2017","01","20"
"1.75","3.474285714285714","2017","01","20"
"1.75","2.9771428571428573","2017","01","20"
"1.75","2.474285714285714","2017","01","20"
"1.75","1.4857142857142858","2017","01","20"
"1.75","1.4857142857142858","2017","01","20"
"3.48","1.4971264367816093","2017","01","20"
"3.48","2.0","2017","01","20"
"5.21","1.4990403071017273","2017","01","20"
