"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.36","2.041666666666667","2016","07","14"
"1.36","3.455882352941176","2016","07","14"
"0.04","19.0","2016","07","14"
"1.48","2.7027027027027026","2016","07","14"
"0.21","6.666666666666666","2016","07","14"
"1.28","2.9296875","2016","07","15"
"0.86","3.4534883720930236","2016","07","15"
"0.14","14.428571428571427","2016","07","15"
"0.1","6.999999999999999","2016","07","15"
"0.17","6.411764705882353","2016","07","15"
"0.19","5.0","2016","07","15"
"1.11","3.8378378378378373","2016","07","16"
"0.17","14.176470588235293","2016","07","16"
"0.21","11.476190476190478","2016","07","16"
"0.23","6.08695652173913","2016","07","16"
"4.53","2.1876379690949226","2016","07","16"
"5.02","1.908366533864542","2016","07","17"
"4.72","1.9766949152542375","2016","07","17"
"3.29","2.5106382978723403","2016","07","17"
"2.6","3.223076923076923","2016","07","17"
"1.4","2.7642857142857147","2016","07","17"
"2.66","2.7481203007518795","2016","07","17"
"1.3","4.246153846153845","2016","07","18"
"1.09","4.55045871559633","2016","07","18"
"1.15","3.095652173913044","2016","07","18"
"0.6","3.816666666666667","2016","07","18"
"2.9","2.3655172413793104","2016","07","19"
"2.31","2.5584415584415585","2016","07","19"
"2.57","2.595330739299611","2016","07","19"
"4.61","2.0650759219088934","2016","07","19"
"0.84","7.571428571428572","2016","07","20"
"1.17","3.9059829059829063","2016","07","20"
"1.36","3.360294117647059","2016","07","20"
"1.36","2.5735294117647056","2016","07","20"
"1.46","2.089041095890411","2016","07","20"
"1.54","2.5974025974025974","2016","07","20"
"1.59","2.79874213836478","2016","07","20"
"1.83","2.360655737704918","2016","07","20"
"1.67","2.4670658682634734","2016","07","20"
"1.03","2.2233009708737863","2016","07","20"
"0.97","3.2061855670103094","2016","07","20"
"0.33","7.303030303030303","2016","07","20"
"2.59","2.3783783783783785","2016","07","20"
"0.84","5.142857142857143","2016","07","21"
"1.69","3.035502958579882","2016","07","21"
"1.26","3.134920634920635","2016","07","21"
"1.75","2.7199999999999998","2016","07","21"
"2.06","2.121359223300971","2016","07","21"
"1.83","2.677595628415301","2016","07","21"
"1.46","3.4726027397260277","2016","07","21"
"2.0","2.41","2016","07","21"
"1.59","3.0817610062893084","2016","07","22"
"2.27","3.0220264317180616","2016","07","22"
"1.13","4.88495575221239","2016","07","22"
"0.95","4.421052631578948","2016","07","22"
"1.17","5.051282051282052","2016","07","22"
"1.54","4.0","2016","07","22"
"1.3","3.9","2016","07","22"
"1.46","4.86986301369863","2016","07","22"
"2.0","2.985","2016","07","23"
"1.77","3.830508474576271","2016","07","23"
"2.37","3.430379746835443","2016","07","23"
"1.98","2.984848484848485","2016","07","23"
"0.93","5.731182795698924","2016","07","23"
"1.05","5.552380952380952","2016","07","23"
"1.42","4.514084507042254","2016","07","23"
"0.97","5.288659793814433","2016","07","23"
"1.77","4.84180790960452","2016","07","23"
"2.27","4.026431718061675","2016","07","23"
"1.83","4.6502732240437155","2016","07","23"
"2.1","4.719047619047619","2016","07","23"
"2.04","5.509803921568627","2016","07","23"
"1.9","4.647368421052632","2016","07","23"
"2.25","3.7600000000000002","2016","07","23"
"2.97","3.2255892255892253","2016","07","24"
"2.74","4.375912408759124","2016","07","24"
"2.94","4.278911564625851","2016","07","24"
"3.19","2.8275862068965516","2016","07","24"
"3.85","2.7506493506493506","2016","07","24"
"2.39","3.506276150627615","2016","07","24"
"2.1","3.814285714285714","2016","07","24"
"1.89","3.5873015873015874","2016","07","24"
"1.9","3.610526315789474","2016","07","24"
"1.85","3.0864864864864865","2016","07","24"
"1.79","2.910614525139665","2016","07","24"
"1.85","4.52972972972973","2016","07","25"
"1.92","4.406250000000001","2016","07","25"
"1.38","4.0","2016","07","25"
"0.91","4.186813186813187","2016","07","25"
"0.62","5.919354838709677","2016","07","25"
"0.97","4.391752577319587","2016","07","25"
"1.69","2.437869822485207","2016","07","25"
"1.05","3.8666666666666663","2016","07","25"
"1.61","2.484472049689441","2016","07","26"
"1.71","2.7485380116959064","2016","07","26"
"1.57","2.8343949044585988","2016","07","26"
"0.82","3.1097560975609757","2016","07","26"
"0.41","9.146341463414634","2016","07","26"
"0.54","4.0","2016","07","26"
"0.43","5.325581395348838","2016","07","26"
"0.47","7.702127659574469","2016","07","27"
"0.86","4.953488372093023","2016","07","27"
"0.78","4.230769230769231","2016","07","27"
"0.95","4.947368421052632","2016","07","27"
"0.12","7.0","2016","07","27"
"0.12","8.416666666666668","2016","07","27"
"0.1","15.2","2016","07","27"
"1.48","4.412162162162162","2016","07","28"
"0.78","5.384615384615385","2016","07","28"
"2.04","3.764705882352941","2016","07","28"
"2.06","3.087378640776699","2016","07","28"
"1.96","3.9591836734693877","2016","07","28"
"1.21","4.768595041322314","2016","07","29"
"1.73","3.6763005780346822","2016","07","29"
"2.51","2.7330677290836656","2016","07","29"
"1.63","3.3496932515337425","2016","07","29"
"2.24","2.8883928571428568","2016","07","29"
"2.57","2.867704280155642","2016","07","29"
"2.24","2.839285714285714","2016","07","29"
"1.75","2.8971428571428572","2016","07","29"
"0.93","3.344086021505376","2016","07","30"
"0.39","5.0256410256410255","2016","07","30"
"2.18","2.1559633027522933","2016","07","31"
"1.96","2.7551020408163267","2016","07","31"
"0.93","3.7634408602150535","2016","07","31"
"1.11","3.8378378378378373","2016","07","31"
"0.06","11.666666666666666","2016","07","31"
"1.94","2.3969072164948457","2016","08","01"
"2.04","2.058823529411765","2016","08","01"
"2.25","2.3155555555555556","2016","08","01"
"0.51","8.470588235294118","2016","08","01"
"0.52","8.076923076923077","2016","08","01"
"1.05","3.571428571428571","2016","08","01"
"1.05","3.761904761904762","2016","08","01"
"1.71","2.672514619883041","2016","08","01"
"2.39","3.1297071129707112","2016","08","01"
"3.03","2.514851485148515","2016","08","02"
"2.31","3.056277056277056","2016","08","02"
"2.08","2.533653846153846","2016","08","02"
"2.16","2.6203703703703702","2016","08","02"
"0.78","4.884615384615384","2016","08","02"
"1.52","4.052631578947368","2016","08","02"
"0.33","7.303030303030303","2016","08","02"
"0.17","15.294117647058822","2016","08","02"
"0.37","7.891891891891892","2016","08","02"
"0.56","4.999999999999999","2016","08","02"
"0.68","3.7499999999999996","2016","08","02"
"1.05","3.019047619047619","2016","08","03"
"0.91","4.8901098901098905","2016","08","03"
"0.02","25.5","2016","08","03"
"0.14","7.785714285714286","2016","08","03"
"0.41","4.024390243902439","2016","08","03"
"0.1","16.499999999999996","2016","08","03"
"0.93","5.053763440860215","2016","08","03"
"0.45","8.466666666666667","2016","08","03"
"0.62","4.919354838709677","2016","08","03"
"1.22","3.4918032786885247","2016","08","03"
"1.42","3.570422535211268","2016","08","03"
"3.4","2.6117647058823534","2016","08","03"
"3.27","2.311926605504587","2016","08","03"
"1.89","2.386243386243386","2016","08","04"
"0.8","4.7625","2016","08","04"
"2.12","2.339622641509434","2016","08","04"
"2.62","2.66412213740458","2016","08","04"
"2.22","2.3108108108108105","2016","08","04"
"0.89","3.7752808988764044","2016","08","04"
"0.54","5.87037037037037","2016","08","04"
"0.12","10.083333333333334","2016","08","04"
"1.05","3.095238095238095","2016","08","04"
"2.84","2.3274647887323945","2016","08","05"
"0.99","5.323232323232323","2016","08","05"
"3.75","2.3013333333333335","2016","08","05"
"3.85","2.277922077922078","2016","08","05"
"3.03","2.726072607260726","2016","08","06"
"4.32","2.069444444444444","2016","08","06"
"4.41","1.7981859410430838","2016","08","07"
"2.57","1.9066147859922182","2016","08","08"
"2.12","2.391509433962264","2016","08","08"
"1.26","3.8888888888888893","2016","08","08"
"0.66","5.7727272727272725","2016","08","08"
"0.47","4.042553191489362","2016","08","08"
"0.41","3.707317073170732","2016","08","08"
"0.7","4.885714285714286","2016","08","08"
"1.36","3.7720588235294112","2016","08","08"
"0.93","5.0","2016","08","08"
"1.28","3.21875","2016","08","09"
"0.84","3.535714285714286","2016","08","09"
"0.43","9.0","2016","08","09"
"0.84","4.166666666666667","2016","08","09"
"1.59","3.188679245283019","2016","08","09"
"1.89","2.7566137566137567","2016","08","09"
"2.35","2.382978723404255","2016","08","09"
"2.68","1.9141791044776117","2016","08","09"
"1.63","3.006134969325154","2016","08","09"
"1.46","3.3561643835616444","2016","08","09"
"1.3","4.1","2016","08","09"
"0.58","5.4655172413793105","2016","08","10"
"1.19","3.7899159663865545","2016","08","10"
"1.83","2.677595628415301","2016","08","10"
"1.44","3.229166666666667","2016","08","10"
"1.63","3.5766871165644174","2016","08","10"
"0.87","5.344827586206897","2016","08","10"
"1.36","3.455882352941176","2016","08","10"
