"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.56","1.0920502092050208","2016","06","01"
"8.69","1.2991944764096663","2016","06","01"
"6.96","1.3735632183908046","2016","06","01"
"6.96","1.122126436781609","2016","06","01"
"6.08","1.144736842105263","2016","06","01"
"5.21","1.0","2016","06","01"
"5.21","1.0","2016","06","01"
"1.75","1.9885714285714287","2016","06","01"
"5.21","1.1669865642994242","2016","06","01"
"6.08","1.0","2016","06","01"
"3.48","1.0","2016","06","01"
"3.48","1.2442528735632183","2016","06","01"
"4.33","1.4041570438799076","2016","06","01"
"1.75","1.9885714285714287","2016","06","01"
"1.75","1.9885714285714287","2016","06","01"
"2.6","1.6653846153846155","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.0","2016","06","01"
"1.75","1.0","2016","06","01"
"2.6","1.0","2016","06","01"
"1.75","1.0","2016","06","01"
"1.75","1.0","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"4.33","1.0","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.0","2016","06","01"
"0.87","2.9885057471264367","2016","06","01"
"0.87","1.0","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.0","2016","06","01"
"0.87","1.0","2016","06","01"
"2.6","1.0","2016","06","01"
"1.75","2.9771428571428573","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"1.75","1.0","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"2.6","1.0","2016","06","01"
"0.87","2.0114942528735633","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"1.75","1.4857142857142858","2016","06","01"
"5.21","1.0","2016","06","01"
"4.33","1.0","2016","06","01"
"5.21","1.0","2016","06","01"
"10.44","1.0814176245210727","2016","06","01"
"9.56","1.0920502092050208","2016","06","01"
"7.81","1.3367477592829706","2016","06","01"
"7.81","1.1126760563380282","2016","06","01"
