"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.21","1.5454545454545456","2012","09","17"
"3.29","1.8267477203647415","2012","09","17"
"4.92","1.6991869918699185","2012","09","18"
"0.43","3.883720930232558","2012","09","18"
"1.32","2.992424242424242","2012","09","18"
"0.97","2.6288659793814433","2012","09","18"
"1.52","2.3289473684210527","2012","09","18"
"1.22","1.6557377049180328","2012","09","18"
"0.72","3.430555555555556","2012","09","18"
"3.6","1.3722222222222222","2012","09","18"
"2.94","1.5136054421768708","2012","09","18"
"2.9","1.3724137931034484","2012","09","18"
"2.78","1.5035971223021583","2012","09","18"
"2.84","1.6901408450704225","2012","09","18"
"1.36","1.904411764705882","2012","09","19"
"1.09","2.3027522935779814","2012","09","19"
"1.32","2.962121212121212","2012","09","19"
"1.42","1.711267605633803","2012","09","19"
"0.93","2.2795698924731185","2012","09","19"
"2.66","1.526315789473684","2012","09","19"
"1.56","1.9294871794871793","2012","09","19"
"2.55","2.219607843137255","2012","09","19"
"4.7","1.6340425531914893","2012","09","27"
"1.21","3.1652892561983474","2012","09","27"
"6.86","1.4562682215743439","2012","09","28"
"8.94","1.308724832214765","2012","09","28"
"3.89","2.043701799485861","2012","09","28"
"6.98","1.5401146131805157","2012","09","28"
"1.36","2.0735294117647056","2012","09","28"
"2.41","2.033195020746888","2012","09","28"
"2.94","1.9387755102040818","2012","09","28"
"2.74","1.751824817518248","2012","09","29"
"1.54","2.766233766233766","2012","09","29"
"2.64","1.7462121212121213","2012","09","29"
"2.55","1.5490196078431375","2012","09","29"
"1.77","1.9096045197740112","2012","09","29"
"1.96","2.372448979591837","2012","09","29"
"3.03","1.6303630363036306","2012","09","29"
"1.24","3.0080645161290325","2012","09","30"
"1.81","2.18232044198895","2012","09","30"
"3.73","1.7453083109919572","2012","09","30"
"3.3","1.7272727272727275","2012","09","30"
"1.94","2.1752577319587627","2012","09","30"
"3.32","1.9909638554216869","2012","10","01"
"2.51","1.756972111553785","2012","10","01"
"2.33","1.9270386266094421","2012","10","01"
"3.48","1.7586206896551724","2012","10","01"
"0.72","2.75","2012","10","01"
"1.59","1.8238993710691822","2012","10","01"
"1.15","3.0434782608695654","2012","10","01"
"2.12","2.4952830188679243","2012","10","01"
"7.64","1.5418848167539267","2012","10","01"
"2.9","1.8758620689655174","2012","10","02"
"2.16","2.0787037037037037","2012","10","02"
"1.56","2.391025641025641","2012","10","02"
"3.48","1.586206896551724","2012","10","02"
"2.68","1.8432835820895523","2012","10","02"
"3.03","1.8217821782178218","2012","10","02"
"2.39","3.945606694560669","2012","10","02"
"2.51","1.3784860557768925","2012","10","02"
"1.09","2.1559633027522933","2012","10","02"
"2.41","1.5145228215767634","2012","10","02"
"2.12","1.650943396226415","2012","10","02"
"1.15","1.8782608695652177","2012","10","02"
"1.67","1.5029940119760479","2012","10","03"
"1.46","2.034246575342466","2012","10","03"
"1.26","2.5952380952380953","2012","10","03"
"2.6","1.8692307692307693","2012","10","03"
"2.68","1.5149253731343282","2012","10","03"
"1.75","1.542857142857143","2012","10","03"
"1.69","1.7396449704142012","2012","10","03"
"1.48","1.9864864864864864","2012","10","03"
"1.46","1.7945205479452055","2012","10","04"
"2.12","2.5141509433962264","2012","10","04"
"2.41","1.6224066390041494","2012","10","04"
"1.65","1.8000000000000003","2012","10","04"
"2.29","2.519650655021834","2012","10","04"
"2.8","1.917857142857143","2012","10","04"
"0.68","2.2941176470588234","2012","10","04"
"0.56","3.3928571428571423","2012","10","04"
"0.14","7.07142857142857","2012","10","04"
"1.01","2.1386138613861387","2012","10","04"
"0.51","2.627450980392157","2012","10","05"
"1.4","2.692857142857143","2012","10","05"
"0.86","2.255813953488372","2012","10","05"
"1.4","1.792857142857143","2012","10","05"
"1.75","1.8857142857142857","2012","10","05"
"0.72","3.2638888888888893","2012","10","05"
"1.48","1.587837837837838","2012","10","05"
"1.01","2.8316831683168315","2012","10","05"
"1.01","1.9603960396039604","2012","10","05"
"0.66","3.272727272727273","2012","10","06"
"3.56","1.3988764044943822","2012","10","06"
"3.54","1.3446327683615817","2012","10","06"
"2.82","1.7659574468085109","2012","10","06"
"2.66","1.5864661654135337","2012","10","06"
"1.73","2.4624277456647397","2012","10","06"
"3.63","1.3388429752066118","2012","10","06"
"4.32","1.3634259259259258","2012","10","06"
"4.43","1.1941309255079007","2012","10","06"
"2.02","1.7920792079207921","2012","10","06"
"2.66","1.5413533834586464","2012","10","07"
"1.46","2.3424657534246576","2012","10","07"
"1.05","1.8857142857142857","2012","10","07"
"1.4","1.6785714285714288","2012","10","07"
"1.13","2.734513274336283","2012","10","07"
"1.71","1.719298245614035","2012","10","07"
"5.02","1.4800796812749004","2012","10","07"
"1.94","1.6443298969072164","2012","10","08"
"0.27","4.4074074074074066","2012","10","08"
"0.39","3.3333333333333335","2012","10","08"
"1.59","1.6037735849056602","2012","10","08"
"2.68","1.761194029850746","2012","10","08"
"4.59","1.5882352941176472","2012","10","08"
"0.29","4.827586206896552","2012","10","09"
"0.89","2.3820224719101124","2012","10","09"
"1.09","2.018348623853211","2012","10","09"
"1.9","2.057894736842105","2012","10","10"
"2.33","1.51931330472103","2012","10","10"
"2.72","1.2867647058823528","2012","10","10"
"1.22","1.6885245901639345","2012","10","11"
"1.75","1.8857142857142857","2012","10","11"
"2.02","2.0495049504950495","2012","10","11"
"0.19","8.0","2012","10","13"
"1.69","3.532544378698225","2012","10","13"
"8.49","1.6254416961130742","2012","10","13"
"7.76","1.4755154639175256","2012","10","13"
"3.83","2.689295039164491","2012","10","13"
"1.54","3.5064935064935066","2012","10","14"
"1.3","2.076923076923077","2012","10","14"
"1.73","2.2369942196531793","2012","10","14"
"3.58","1.276536312849162","2012","10","15"
"2.39","1.3974895397489537","2012","10","15"
"1.63","1.98159509202454","2012","10","15"
"0.84","3.0833333333333335","2012","10","15"
"4.86","1.751028806584362","2012","10","15"
"3.05","1.4327868852459018","2012","10","15"
"0.29","4.344827586206897","2012","10","16"
"2.66","2.601503759398496","2012","10","16"
"1.48","2.2837837837837838","2012","10","17"
"2.27","1.7709251101321584","2012","10","18"
"0.58","9.620689655172415","2012","10","18"
"1.17","3.05982905982906","2012","10","18"
"1.24","2.2419354838709675","2012","10","18"
"0.97","2.2268041237113403","2012","10","19"
"1.44","2.375","2012","10","19"
"2.02","2.7326732673267324","2012","10","19"
"1.77","2.384180790960452","2012","10","19"
"2.74","1.4270072992700729","2012","10","19"
"3.07","1.8175895765472314","2012","10","19"
"1.07","2.981308411214953","2012","10","19"
"0.72","3.5416666666666665","2012","10","19"
"0.72","4.125","2012","10","19"
"2.24","1.7098214285714284","2012","10","19"
"1.96","2.229591836734694","2012","10","19"
"4.16","2.1033653846153846","2012","10","20"
"2.1","1.952380952380952","2012","10","20"
"2.08","2.8894230769230766","2012","10","20"
"3.09","1.993527508090615","2012","10","20"
"3.34","2.2185628742514973","2012","10","20"
"1.32","3.2803030303030303","2012","10","20"
"2.0","2.43","2012","10","20"
"10.4","1.7846153846153845","2012","10","21"
"2.76","2.4927536231884058","2012","10","22"
"11.37","1.461741424802111","2012","10","22"
"5.77","2.062391681109186","2012","10","24"
"7.19","1.892906815020862","2012","10","25"
"10.77","1.7474466109563604","2012","10","25"
"7.68","1.7864583333333335","2012","10","26"
"7.48","1.9184491978609624","2012","10","26"
"1.89","2.291005291005291","2012","10","30"
"3.32","1.7620481927710843","2012","10","30"
"5.17","1.574468085106383","2012","10","30"
"4.22","1.8104265402843602","2012","10","30"
"4.1","1.6682926829268294","2012","10","30"
"4.32","1.6550925925925926","2012","10","30"
"3.44","1.6569767441860466","2012","10","30"
"3.69","1.9078590785907859","2012","10","30"
"2.08","2.980769230769231","2012","10","30"
"3.6","1.6138888888888887","2012","10","31"
"2.37","1.5400843881856539","2012","10","31"
"2.02","1.9158415841584158","2012","10","31"
"0.95","4.0736842105263165","2012","10","31"
"4.26","1.5610328638497655","2012","10","31"
"1.13","2.4601769911504427","2012","10","31"
"3.73","1.6005361930294906","2012","10","31"
"1.92","1.9010416666666667","2012","10","31"
"2.18","1.587155963302752","2012","10","31"
"0.87","2.103448275862069","2012","10","31"
"3.79","1.3245382585751977","2012","10","31"
"1.79","1.8268156424581006","2012","10","31"
"2.33","1.9270386266094421","2012","10","31"
"1.81","2.116022099447514","2012","10","31"
"1.01","3.267326732673267","2012","10","31"
