"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.09","2.226537216828479","2012","09","17"
"4.47","1.6174496644295304","2012","09","17"
"2.8","2.528571428571429","2012","09","18"
"3.79","2.678100263852243","2012","09","18"
"2.22","2.0045045045045042","2012","09","18"
"1.52","2.598684210526316","2012","09","18"
"2.04","1.8480392156862744","2012","09","18"
"2.22","1.7927927927927927","2012","09","18"
"1.89","2.4603174603174605","2012","09","18"
"2.51","1.2868525896414345","2012","09","18"
"1.15","1.947826086956522","2012","09","18"
"2.25","1.4","2012","09","18"
"0.8","3.325","2012","09","18"
"1.87","1.3636363636363635","2012","09","18"
"1.61","1.4099378881987576","2012","09","18"
"1.21","1.6694214876033058","2012","09","18"
"0.93","2.6559139784946235","2012","09","18"
"1.19","2.1092436974789917","2012","09","18"
"1.34","2.8582089552238803","2012","09","18"
"1.75","2.1314285714285712","2012","09","18"
"2.88","2.0034722222222223","2012","09","19"
"1.22","2.581967213114754","2012","09","19"
"1.17","1.8803418803418805","2012","09","19"
"1.11","1.3693693693693694","2012","09","19"
"1.85","1.5459459459459457","2012","09","19"
"1.4","1.9857142857142858","2012","09","19"
"1.54","1.883116883116883","2012","09","19"
"1.89","1.746031746031746","2012","09","19"
"1.22","2.7049180327868854","2012","09","19"
"2.97","1.8451178451178452","2012","09","19"
"2.45","1.9102040816326529","2012","09","19"
"2.0","2.74","2012","09","26"
"1.96","2.0918367346938775","2012","09","27"
"12.67","1.8934490923441198","2012","09","27"
"5.83","2.5574614065180103","2012","09","27"
"6.69","1.4962630792227203","2012","09","27"
"2.25","2.16","2012","09","27"
"8.16","1.9252450980392157","2012","09","27"
"11.45","1.6497816593886465","2012","09","27"
"10.28","1.556420233463035","2012","09","27"
"10.52","1.7889733840304183","2012","09","27"
"6.34","2.2602523659305995","2012","09","27"
"10.03","1.5812562313060818","2012","09","27"
"9.41","1.7768331562167905","2012","09","27"
"7.68","1.7916666666666667","2012","09","27"
"9.93","1.6112789526686808","2012","09","27"
"11.45","1.6331877729257642","2012","09","27"
"10.65","1.8816901408450704","2012","09","27"
"7.35","1.6870748299319729","2012","09","27"
"6.88","1.4636627906976745","2012","09","27"
"9.8","1.8265306122448977","2012","09","27"
"8.32","1.6778846153846154","2012","09","27"
"12.07","2.0223695111847557","2012","09","27"
"8.24","1.9975728155339807","2012","09","27"
"8.61","2.0406504065040654","2012","09","27"
