"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.73","2.809248554913295","2014","12","09"
"5.4","1.4","2014","12","09"
"2.92","1.113013698630137","2014","12","10"
"4.43","1.4604966139954854","2014","12","10"
"5.56","1.2625899280575539","2014","12","10"
"4.16","1.4302884615384615","2014","12","10"
"2.97","1.2693602693602692","2014","12","10"
"4.86","1.1111111111111112","2014","12","10"
"14.07","1.2530206112295663","2015","02","21"
"11.82","1.2267343485617597","2015","02","21"
"15.2","1.3092105263157894","2015","02","21"
"13.02","1.5960061443932414","2015","02","21"
"14.68","1.1478201634877385","2015","02","22"
"9.91","1.2885973763874874","2015","02","22"
"6.43","1.4447900466562986","2015","02","22"
"11.82","1.1607445008460238","2015","02","22"
"8.34","1.4796163069544364","2015","02","22"
"8.69","1.5385500575373994","2015","02","22"
"2.78","3.161870503597122","2015","02","28"
"0.17","16.941176470588232","2015","02","28"
"6.69","1.209267563527653","2015","02","28"
"13.72","1.1333819241982508","2015","02","28"
"15.03","1.2594810379241517","2015","02","28"
"14.77","1.1936357481381177","2015","02","28"
"17.55","1.1185185185185185","2015","02","28"
"22.41","1.1909861668897814","2015","03","01"
"14.95","1.359866220735786","2015","03","01"
"20.94","1.1408787010506207","2015","03","01"
"11.82","1.824027072758037","2015","03","01"
"10.24","1.2392578125","2015","03","02"
"7.46","1.1782841823056298","2015","03","03"
"12.87","1.2820512820512822","2015","03","03"
"15.2","1.2453947368421052","2015","03","03"
"11.37","1.2752858399296394","2015","03","03"
"14.35","1.2411149825783971","2015","03","03"
"15.38","1.203511053315995","2015","03","03"
"13.9","1.318705035971223","2015","03","03"
"38.74","1.1822405782137324","2015","03","03"
"35.61","1.1884302162313958","2015","03","03"
"33.28","1.1541466346153846","2015","03","04"
"24.69","1.1186715269339813","2015","03","04"
"12.34","1.6474878444084278","2015","03","05"
"11.64","1.3513745704467353","2015","03","05"
"11.57","1.2687986171132237","2015","03","05"
"9.74","1.2217659137577002","2015","03","05"
"10.44","1.3649425287356323","2015","03","05"
"10.34","1.3268858800773695","2015","03","05"
