"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.54","2.9814814814814814","2015","03","17"
"0.54","10.0","2015","03","17"
"1.61","3.018633540372671","2015","03","18"
"1.61","2.341614906832298","2015","03","18"
"1.09","4.954128440366972","2015","03","21"
"1.09","3.458715596330275","2015","03","22"
"0.54","4.0","2015","03","24"
"1.61","1.6770186335403727","2015","03","24"
"5.4","2.6999999999999997","2015","03","25"
"1.61","3.018633540372671","2015","03","28"
"3.25","2.1599999999999997","2015","03","30"
"7.54","1.7891246684350133","2015","03","30"
"2.7","2.5999999999999996","2015","04","01"
"3.25","2.1599999999999997","2015","04","01"
"1.09","4.458715596330276","2015","04","03"
"1.09","1.9816513761467889","2015","04","04"
"1.09","1.9816513761467889","2015","04","04"
"0.54","2.9814814814814814","2015","04","05"
"1.09","1.4770642201834863","2015","04","05"
"0.54","4.0","2015","04","05"
"0.54","10.0","2015","04","07"
"3.25","2.32","2015","04","10"
"1.09","4.458715596330276","2015","04","10"
"2.7","2.7925925925925923","2015","04","18"
"1.09","2.477064220183486","2015","04","22"
"0.54","23.981481481481477","2015","04","22"
"0.54","14.981481481481481","2015","04","24"
"2.7","2.7925925925925923","2015","04","24"
"2.16","3.9953703703703707","2015","04","24"
"1.61","1.6770186335403727","2015","04","25"
"1.61","1.6770186335403727","2015","04","25"
"0.54","10.0","2015","04","28"
"1.09","2.477064220183486","2015","05","03"
"2.7","1.8","2015","05","03"
"2.7","2.2037037037037037","2015","05","04"
"4.86","3.1069958847736623","2015","05","04"
"7.54","3.2201591511936343","2015","05","04"
"0.54","5.0","2015","05","05"
"1.09","2.9816513761467887","2015","05","05"
"1.09","3.458715596330275","2015","05","05"
"1.09","4.954128440366972","2015","05","06"
"0.54","6.018518518518518","2015","05","07"
"1.09","2.477064220183486","2015","05","07"
"3.25","2.990769230769231","2015","05","07"
"1.09","2.9816513761467887","2015","05","08"
"0.54","2.9814814814814814","2015","05","08"
"1.61","2.0186335403726705","2015","05","08"
"2.16","2.7546296296296293","2015","05","08"
"1.61","3.018633540372671","2015","05","08"
"3.25","1.9907692307692306","2015","05","08"
"2.16","2.5","2015","05","08"
"1.61","2.341614906832298","2015","05","12"
"1.09","3.458715596330275","2015","05","12"
"1.09","1.9816513761467889","2015","05","13"
"0.54","2.9814814814814814","2015","05","18"
"2.7","1.8","2015","05","19"
"1.61","3.3540372670807455","2015","05","24"
"1.61","2.6832298136645965","2015","05","24"
"1.61","3.018633540372671","2015","06","03"
"3.25","3.1507692307692308","2015","06","08"
"6.47","1.667697063369397","2015","06","08"
"2.7","3.396296296296296","2015","06","09"
"1.09","3.9633027522935778","2015","06","09"
"1.61","1.6770186335403727","2015","06","09"
"1.09","2.477064220183486","2015","06","09"
"2.7","3.9962962962962956","2015","06","12"
"0.54","5.0","2015","06","12"
"0.54","6.981481481481481","2015","06","13"
"2.16","5.5","2015","06","13"
"0.54","6.981481481481481","2015","06","14"
"1.61","4.0186335403726705","2015","06","14"
"1.09","3.9633027522935778","2015","06","14"
"2.7","2.0","2015","06","15"
"2.7","2.0","2015","06","20"
"0.54","2.9814814814814814","2015","06","23"
"0.54","5.0","2015","06","27"
"0.54","2.9814814814814814","2015","06","27"
"1.09","1.9816513761467889","2015","06","27"
"0.54","6.018518518518518","2015","06","28"
"0.54","5.0","2015","06","28"
"1.09","2.477064220183486","2015","06","30"
"1.09","2.477064220183486","2015","06","30"
"0.54","5.0","2015","07","03"
"1.09","2.9816513761467887","2015","07","04"
"1.09","4.954128440366972","2015","07","06"
"0.54","9.0","2015","07","08"
"1.09","1.9816513761467889","2015","07","09"
"1.09","4.458715596330276","2015","07","09"
"0.54","6.981481481481481","2015","07","09"
"0.54","5.0","2015","07","09"
"0.54","2.9814814814814814","2015","07","10"
"2.7","2.7925925925925923","2015","07","13"
"1.09","3.458715596330275","2015","07","14"
"2.7","2.996296296296296","2015","07","18"
"3.25","3.1507692307692308","2015","07","22"
"0.54","19.981481481481477","2015","07","23"
"5.4","2.2962962962962963","2015","07","24"
"1.61","2.0186335403726705","2015","07","25"
"0.54","6.981481481481481","2015","07","26"
"3.25","2.4892307692307694","2015","07","26"
"3.77","1.4323607427055705","2015","08","01"
"1.09","4.458715596330276","2015","08","01"
"0.54","10.0","2015","08","07"
"1.09","3.9633027522935778","2015","08","08"
"0.54","2.9814814814814814","2015","08","13"
"1.61","4.3602484472049685","2015","08","13"
"0.54","4.0","2015","08","14"
"1.09","2.9816513761467887","2015","08","15"
"1.09","3.9633027522935778","2015","08","16"
"0.54","2.0185185185185186","2015","08","16"
"1.61","7.7018633540372665","2015","08","22"
"0.54","4.0","2015","08","24"
"0.54","5.0","2015","08","25"
"1.61","2.0186335403726705","2015","08","25"
"3.25","2.1599999999999997","2015","08","28"
"0.54","8.0","2015","09","02"
"0.54","10.0","2015","09","02"
"0.54","24.98148148148148","2015","09","03"
"1.09","5.458715596330275","2015","09","03"
"0.54","5.0","2015","09","05"
"0.54","4.0","2015","09","08"
"1.61","2.341614906832298","2015","09","08"
"0.54","4.0","2015","09","09"
"1.09","2.477064220183486","2015","09","11"
"0.54","6.981481481481481","2015","09","11"
"0.54","6.981481481481481","2015","09","13"
"1.09","3.458715596330275","2015","09","13"
"0.54","6.981481481481481","2015","09","15"
"2.7","4.996296296296296","2015","09","16"
"0.54","9.0","2015","10","01"
"1.09","9.899082568807337","2015","10","02"
"5.4","2.398148148148148","2015","10","02"
"0.54","5.0","2015","10","02"
"1.61","2.6832298136645965","2015","10","02"
"0.54","4.0","2015","10","03"
"1.09","2.477064220183486","2015","10","03"
"0.54","2.9814814814814814","2015","10","05"
"1.61","1.6770186335403727","2015","10","05"
"0.54","6.018518518518518","2015","10","05"
"1.09","3.9633027522935778","2015","10","05"
"0.54","2.9814814814814814","2015","10","06"
"0.54","4.0","2015","10","06"
"0.54","4.0","2015","10","08"
"1.61","6.037267080745342","2015","10","14"
"2.16","2.9953703703703702","2015","10","16"
"1.61","7.7018633540372665","2015","10","19"
