"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.54","2.9814814814814814","2015","03","17"
"3.25","1.4953846153846155","2015","03","18"
"0.54","6.981481481481481","2015","03","18"
"0.54","2.9814814814814814","2015","03","19"
"2.7","2.2037037037037037","2015","03","22"
"1.09","2.9816513761467887","2015","03","22"
"1.61","2.341614906832298","2015","03","23"
"2.7","2.996296296296296","2015","03","26"
"0.54","4.0","2015","03","26"
"2.7","1.6","2015","03","30"
"1.61","4.3602484472049685","2015","03","30"
"1.09","2.477064220183486","2015","04","04"
"1.09","2.477064220183486","2015","04","04"
"0.54","4.0","2015","04","05"
"0.54","16.98148148148148","2015","04","21"
"2.7","2.0","2015","04","23"
"5.4","3.4944444444444445","2015","04","23"
"1.61","3.3540372670807455","2015","04","24"
"2.16","5.24537037037037","2015","04","24"
"4.32","2.4976851851851847","2015","04","24"
"1.09","2.477064220183486","2015","04","25"
"1.09","1.9816513761467889","2015","04","25"
"8.63","3.687137891077636","2015","04","28"
"3.25","1.4953846153846155","2015","05","04"
"2.7","2.7925925925925923","2015","05","04"
"2.7","2.996296296296296","2015","05","04"
"6.47","2.7527047913446676","2015","05","04"
"5.95","3.354621848739496","2015","05","04"
"5.95","2.3579831932773105","2015","05","04"
"1.61","2.6832298136645965","2015","05","04"
"2.16","2.25","2015","05","04"
"1.09","5.935779816513761","2015","05","05"
"0.54","4.0","2015","05","08"
"0.54","10.0","2015","05","08"
"2.16","2.25","2015","05","14"
"1.09","4.954128440366972","2015","05","17"
"0.54","4.0","2015","06","10"
"1.61","2.6832298136645965","2015","06","13"
"0.54","4.0","2015","06","13"
"1.61","4.0186335403726705","2015","06","13"
"0.54","5.0","2015","06","14"
"0.54","8.0","2015","06","14"
"1.09","3.458715596330275","2015","06","15"
"2.7","2.0","2015","06","15"
"2.16","4.995370370370369","2015","06","15"
"3.77","1.716180371352785","2015","06","16"
"1.09","12.871559633027521","2015","06","16"
"2.16","8.486111111111109","2015","06","16"
"1.61","2.341614906832298","2015","06","16"
"0.54","2.9814814814814814","2015","06","28"
"0.54","6.018518518518518","2015","06","28"
"0.54","5.0","2015","07","01"
"3.77","2.5782493368700266","2015","07","03"
"1.61","4.3602484472049685","2015","07","07"
"1.09","3.458715596330275","2015","07","18"
"0.54","20.98148148148148","2015","07","26"
"1.09","2.9816513761467887","2015","08","13"
"1.61","4.0186335403726705","2015","08","16"
"0.54","8.0","2015","08","24"
"2.7","3.9962962962962956","2015","09","01"
"3.77","2.145888594164456","2015","09","01"
"1.61","5.360248447204969","2015","09","01"
"8.09","1.6674907292954264","2015","09","02"
"5.95","2.3579831932773105","2015","09","02"
"6.47","2.587326120556414","2015","09","02"
"4.32","3.122685185185185","2015","09","02"
"1.61","2.6832298136645965","2015","09","03"
"1.61","4.0186335403726705","2015","09","03"
"3.25","3.4861538461538464","2015","09","03"
"1.09","3.458715596330275","2015","09","03"
"5.4","1.8962962962962961","2015","09","11"
"3.25","2.990769230769231","2015","09","13"
"3.25","2.990769230769231","2015","09","14"
"2.7","2.2037037037037037","2015","09","22"
"2.7","1.6","2015","09","24"
"1.09","4.954128440366972","2015","10","01"
"1.09","4.458715596330276","2015","10","02"
"2.16","3.2499999999999996","2015","10","02"
"1.09","2.477064220183486","2015","10","02"
"0.54","2.9814814814814814","2015","10","03"
"0.54","6.981481481481481","2015","10","03"
"2.16","2.25","2015","10","03"
"0.54","5.0","2015","10","05"
"0.54","2.0185185185185186","2015","10","06"
"0.54","6.018518518518518","2015","10","06"
"1.09","3.458715596330275","2015","10","16"
"2.16","2.25","2015","10","26"
"0.54","2.9814814814814814","2015","10","28"
"0.54","2.9814814814814814","2015","10","28"
"0.54","6.981481481481481","2015","10","31"
"5.4","2.796296296296296","2015","11","01"
"2.7","1.8","2015","11","01"
"3.25","1.9907692307692306","2015","11","01"
"1.09","4.458715596330276","2015","11","01"
"1.61","3.6956521739130435","2015","11","16"
"0.54","5.0","2015","11","22"
"1.09","1.0","2015","12","03"
"1.09","4.954128440366972","2015","12","03"
"0.54","6.018518518518518","2015","12","05"
"2.16","3.7453703703703702","2015","12","06"
"2.7","7.392592592592592","2015","12","06"
"0.54","4.0","2015","12","07"
"1.09","2.477064220183486","2015","12","08"
"4.86","2.664609053497942","2015","12","08"
"2.7","3.196296296296296","2015","12","11"
"3.77","1.716180371352785","2015","12","11"
"1.61","4.0186335403726705","2015","12","18"
"1.61","3.6956521739130435","2015","12","20"
"5.4","2.498148148148148","2015","12","20"
"1.61","1.6770186335403727","2015","12","24"
"0.54","6.018518518518518","2015","12","24"
"1.09","1.4770642201834863","2016","01","09"
"1.61","3.3540372670807455","2016","01","09"
"1.61","3.018633540372671","2016","01","13"
"4.86","1.7757201646090535","2016","01","16"
"1.09","2.477064220183486","2016","01","17"
"1.09","5.458715596330275","2016","01","17"
