"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","4.0","2002","08","30"
"2.6","3.676923076923077","2002","08","30"
"5.21","2.4990403071017275","2002","08","30"
"7.81","1.6670934699103714","2002","08","30"
"6.96","2.4971264367816093","2002","08","30"
"10.44","1.5804597701149425","2002","08","30"
"9.56","1.544979079497908","2002","08","30"
"8.69","1.5995397008055237","2002","08","30"
"6.96","1.7485632183908046","2002","08","31"
"3.48","4.244252873563219","2002","08","31"
"7.81","1.6670934699103714","2002","08","31"
"6.96","1.622126436781609","2002","08","31"
"6.96","1.5","2002","08","31"
"6.96","1.622126436781609","2002","08","31"
"8.69","1.4004602991944766","2002","08","31"
"6.96","2.6221264367816093","2002","08","31"
"10.44","1.5804597701149425","2002","08","31"
"7.81","1.6670934699103714","2002","08","31"
"6.08","2.1414473684210527","2002","08","31"
"8.69","1.6996547756041427","2002","08","31"
"6.08","1.5723684210526316","2002","08","31"
"1.75","2.474285714285714","2002","09","01"
"2.6","1.3384615384615384","2002","09","01"
"1.75","1.9885714285714287","2002","09","01"
"3.48","1.4971264367816093","2002","09","01"
"1.75","2.9771428571428573","2002","09","02"
"2.6","4.015384615384615","2002","09","02"
"7.81","1.7797695262483997","2002","09","02"
"6.96","1.5","2002","09","02"
"5.21","1.3358925143953935","2002","09","02"
"1.75","5.4628571428571435","2002","09","02"
"7.81","1.6670934699103714","2002","09","03"
"4.33","2.0069284064665127","2002","09","03"
"5.21","2.4990403071017275","2002","09","03"
"0.87","2.9885057471264367","2002","09","04"
"2.6","4.015384615384615","2002","09","06"
"6.08","2.0016447368421053","2002","09","06"
"6.96","1.8706896551724137","2002","09","07"
"7.81","1.8911651728553138","2002","09","07"
"6.08","1.856907894736842","2002","09","07"
"5.21","2.3358925143953937","2002","09","07"
"6.08","2.0016447368421053","2002","09","07"
"6.96","1.9971264367816093","2002","09","07"
"7.81","1.8911651728553138","2002","09","07"
"8.69","1.4982738780207134","2002","09","07"
"8.69","1.4982738780207134","2002","09","07"
"6.96","1.622126436781609","2002","09","07"
"6.96","1.8706896551724137","2002","09","07"
"6.96","1.5","2002","09","07"
"4.33","3.2101616628175518","2002","09","07"
"7.81","1.6670934699103714","2002","09","07"
"4.33","1.6073903002309469","2002","09","07"
"2.6","2.6769230769230767","2002","09","07"
"6.08","1.856907894736842","2002","09","08"
"4.33","1.8036951501154732","2002","09","08"
"3.48","2.244252873563218","2002","09","08"
"3.48","2.4971264367816093","2002","09","08"
"6.08","1.7171052631578947","2002","09","08"
"4.33","1.8036951501154732","2002","09","08"
"6.08","1.5723684210526316","2002","09","08"
"3.48","3.0","2002","09","08"
"6.96","1.8706896551724137","2002","09","08"
"7.81","1.7797695262483997","2002","09","08"
"6.96","1.8706896551724137","2002","09","08"
"4.33","2.810623556581986","2002","09","09"
"5.21","2.0038387715930903","2002","09","09"
"4.33","2.6073903002309464","2002","09","09"
"5.21","1.6679462571976966","2002","09","09"
"6.96","1.5","2002","09","09"
"5.21","2.6679462571976966","2002","09","09"
"5.21","4.00383877159309","2002","09","09"
"7.81","2.4494238156209986","2002","09","09"
"8.69","2.2991944764096663","2002","09","09"
"10.44","2.412835249042146","2002","09","09"
"12.17","1.85620377978636","2002","09","09"
"11.29","2.7705934455270156","2002","09","09"
"14.77","2.0582261340555177","2002","09","09"
"13.9","2.625179856115108","2002","09","09"
"16.5","2.4751515151515155","2002","09","09"
"15.65","2.331629392971246","2002","09","09"
"2.6","2.003846153846154","2002","09","10"
"1.75","5.4628571428571435","2002","09","10"
"6.96","1.3735632183908046","2002","09","10"
"1.75","6.451428571428571","2002","09","10"
"5.21","2.3358925143953937","2002","09","10"
"6.96","2.3706896551724137","2002","09","11"
"7.81","1.8911651728553138","2002","09","11"
"3.48","3.0","2002","09","11"
"4.33","3.0069284064665127","2002","09","11"
"6.08","1.856907894736842","2002","09","11"
"6.08","1.4292763157894737","2002","09","11"
"5.21","1.834932821497121","2002","09","11"
"4.33","2.6073903002309464","2002","09","11"
"4.33","2.0069284064665127","2002","09","11"
"6.08","2.0016447368421053","2002","09","11"
"2.6","2.003846153846154","2002","09","11"
"3.48","2.4971264367816093","2002","09","11"
"6.96","1.622126436781609","2002","09","11"
"0.87","2.0114942528735633","2002","09","12"
"3.48","1.4971264367816093","2002","09","14"
"7.81","1.558258642765685","2002","09","15"
"7.81","2.1126760563380285","2002","09","15"
"7.81","2.4494238156209986","2002","09","15"
"10.44","1.7480842911877394","2002","09","15"
"10.44","1.5804597701149425","2002","09","15"
"9.56","1.6370292887029287","2002","09","15"
"3.48","3.4971264367816093","2002","09","16"
"8.69","1.800920598388953","2002","09","16"
"8.69","1.89873417721519","2002","09","16"
"10.44","1.6647509578544062","2002","09","16"
"10.44","1.913793103448276","2002","09","16"
"12.17","1.57189811010682","2002","09","16"
"9.56","1.725941422594142","2002","09","16"
"10.44","1.6647509578544062","2002","09","16"
"10.44","1.9980842911877394","2002","09","16"
"8.69","1.6996547756041427","2002","09","16"
"8.69","2.0","2002","09","17"
"9.56","1.544979079497908","2002","09","17"
"4.33","1.8036951501154732","2002","09","17"
"3.48","3.244252873563218","2002","09","17"
"3.48","2.0","2002","09","18"
"4.33","2.0069284064665127","2002","09","18"
"5.21","2.6679462571976966","2002","09","18"
"8.69","1.800920598388953","2002","09","18"
"7.81","2.003841229193342","2002","09","18"
"7.81","2.4494238156209986","2002","09","18"
"9.56","2.089958158995816","2002","09","18"
"8.69","2.4004602991944766","2002","09","18"
"12.17","2.14215283483977","2002","09","18"
"13.9","2.437410071942446","2002","09","18"
"17.38","2.149597238204833","2002","09","18"
"0.87","12.977011494252872","2002","09","19"
"1.75","1.9885714285714287","2002","09","20"
"5.21","1.834932821497121","2002","09","20"
"3.48","1.4971264367816093","2002","09","21"
"5.21","2.0038387715930903","2002","09","21"
"5.21","1.834932821497121","2002","09","21"
"4.33","2.41108545034642","2002","09","21"
"6.08","2.8585526315789473","2002","09","21"
"9.56","1.6370292887029287","2002","09","21"
"8.69","2.2013808975834293","2002","09","21"
"11.29","1.8476527900797166","2002","09","21"
"11.29","2.2311780336581046","2002","09","21"
"11.29","1.4614703277236494","2002","09","21"
"0.87","6.988505747126437","2002","09","22"
"4.33","2.0069284064665127","2002","09","22"
"1.75","2.474285714285714","2002","09","22"
"0.87","4.0","2002","09","22"
"5.21","2.6679462571976966","2002","09","24"
"5.21","2.166986564299424","2002","09","24"
"6.08","1.856907894736842","2002","09","25"
"6.08","1.5723684210526316","2002","09","25"
"6.08","2.1414473684210527","2002","09","25"
"6.96","1.5","2002","09","25"
"6.08","1.4292763157894737","2002","09","25"
"6.08","2.0016447368421053","2002","09","26"
"2.6","3.676923076923077","2003","05","08"
"5.21","2.4990403071017275","2003","05","08"
"4.33","4.013856812933025","2003","05","08"
