"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.48","3.4971264367816093","2002","08","29"
"0.87","4.0","2002","08","30"
"5.21","3.0038387715930903","2002","08","31"
"2.6","2.003846153846154","2002","09","01"
"2.6","2.003846153846154","2002","09","01"
"1.75","2.9771428571428573","2002","09","01"
"1.75","2.474285714285714","2002","09","01"
"1.75","3.474285714285714","2002","09","01"
"4.33","1.6073903002309469","2002","09","02"
"3.48","2.7471264367816093","2002","09","02"
"6.08","1.856907894736842","2002","09","02"
"6.08","2.4292763157894735","2002","09","03"
"7.81","1.8911651728553138","2002","09","03"
"1.75","2.9771428571428573","2002","09","03"
"1.75","7.942857142857143","2002","09","03"
"9.56","1.4539748953974896","2002","09","03"
"8.69","1.6996547756041427","2002","09","04"
"4.33","1.2032332563510393","2002","09","04"
"5.21","1.3358925143953935","2002","09","04"
"3.48","1.4971264367816093","2002","09","04"
"2.6","2.3384615384615386","2002","09","04"
"1.75","4.462857142857143","2002","09","04"
"1.75","2.9771428571428573","2002","09","05"
"2.6","1.6653846153846155","2002","09","05"
"0.87","5.988505747126437","2002","09","05"
"3.48","1.4971264367816093","2002","09","05"
"2.6","2.003846153846154","2002","09","05"
"5.21","2.3358925143953937","2002","09","06"
"0.87","4.0","2002","09","06"
"2.6","1.6653846153846155","2002","09","06"
"6.08","1.856907894736842","2002","09","06"
"5.21","1.834932821497121","2002","09","06"
"4.33","2.0069284064665127","2002","09","06"
"4.33","2.0069284064665127","2002","09","06"
"5.21","2.166986564299424","2002","09","06"
"7.81","1.7797695262483997","2002","09","07"
"6.08","2.0016447368421053","2002","09","07"
"6.08","2.1414473684210527","2002","09","07"
"11.29","1.4614703277236494","2002","09","07"
"10.44","1.4990421455938698","2002","09","07"
"9.56","1.4539748953974896","2002","09","07"
"6.96","1.622126436781609","2002","09","07"
"4.33","1.8036951501154732","2002","09","07"
"3.48","2.244252873563218","2002","09","08"
"5.21","1.834932821497121","2002","09","08"
"5.21","2.0038387715930903","2002","09","08"
"3.48","2.0","2002","09","08"
"7.81","1.7797695262483997","2002","09","08"
"4.33","3.41108545034642","2002","09","08"
"5.21","1.834932821497121","2002","09","08"
"7.81","1.558258642765685","2002","09","08"
"4.33","1.6073903002309469","2002","09","09"
"4.33","1.8036951501154732","2002","09","10"
"3.48","2.4971264367816093","2002","09","10"
"2.6","3.0038461538461534","2002","09","10"
"2.6","2.6769230769230767","2002","09","10"
"2.6","4.015384615384615","2002","09","10"
"5.21","1.6679462571976966","2002","09","10"
"4.33","3.810623556581986","2002","09","10"
"9.56","1.544979079497908","2002","09","10"
"9.56","1.544979079497908","2002","09","11"
"4.33","1.8036951501154732","2002","09","11"
"3.48","1.7471264367816093","2002","09","11"
"4.33","1.8036951501154732","2002","09","11"
"6.96","1.8706896551724137","2002","09","11"
"6.96","1.8706896551724137","2002","09","11"
"8.69","1.800920598388953","2002","09","11"
"6.96","1.9971264367816093","2002","09","11"
"6.96","1.7485632183908046","2002","09","11"
"7.81","1.6670934699103714","2002","09","11"
"5.21","2.0038387715930903","2002","09","12"
"5.21","1.834932821497121","2002","09","12"
"0.87","5.988505747126437","2002","09","12"
"0.87","2.9885057471264367","2002","09","13"
