"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"8.36","1.7667464114832536","2016","12","06"
"7.0","1.75","2016","12","06"
"7.58","1.8720316622691293","2016","12","06"
"5.64","2.274822695035461","2016","12","06"
"8.94","1.7393736017897095","2016","12","06"
"8.55","1.8421052631578947","2016","12","06"
"9.33","1.7502679528403","2016","12","06"
"10.11","1.672601384767557","2016","12","07"
"8.94","1.82662192393736","2016","12","07"
"7.97","2.121706398996236","2016","12","07"
"9.52","1.8172268907563027","2016","12","07"
"9.33","1.812433011789925","2016","12","07"
"9.14","1.8074398249452952","2016","12","07"
"9.33","1.812433011789925","2016","12","07"
"11.08","1.6489169675090252","2016","12","07"
"10.89","1.945821854912764","2016","12","07"
"8.75","1.7325714285714287","2016","12","07"
"6.8","2.058823529411765","2016","12","07"
"5.64","2.377659574468085","2016","12","07"
"9.14","1.6586433260393871","2016","12","07"
"8.94","1.5436241610738257","2016","12","07"
"6.22","2.2508038585209005","2016","12","07"
"6.61","1.6475037821482603","2016","12","08"
"6.8","1.5720588235294117","2016","12","08"
"9.14","1.5098468271334793","2016","12","08"
"8.36","1.2320574162679427","2016","12","08"
"8.36","1.2320574162679427","2016","12","08"
"9.14","1.2975929978118161","2016","12","08"
"9.33","1.2293676312968917","2016","12","08"
"9.14","1.1695842450765863","2016","12","08"
"9.33","1.207931404072883","2016","12","08"
"8.94","1.2606263982102908","2016","12","08"
"8.55","1.182456140350877","2016","12","08"
"7.78","1.299485861182519","2016","12","08"
"7.78","1.1748071979434447","2016","12","08"
"7.97","1.2685069008782937","2016","12","08"
"7.0","1.1942857142857142","2016","12","08"
"6.8","1.286764705882353","2016","12","08"
"7.39","1.1569688768606226","2016","12","08"
"6.03","1.2255389718076284","2016","12","08"
"6.41","1.1528861154446177","2016","12","08"
"5.83","1.1663807890222984","2016","12","08"
"5.83","1.2332761578044598","2016","12","08"
"6.41","1.1528861154446177","2016","12","08"
"6.03","1.2570480928689884","2016","12","08"
"5.05","1.423762376237624","2016","12","08"
"4.67","1.6659528907922914","2016","12","08"
"5.25","1.6666666666666667","2016","12","08"
"3.69","2.002710027100271","2016","12","08"
"2.72","4.360294117647058","2016","12","09"
"3.69","2.845528455284553","2016","12","09"
"3.5","2.277142857142857","2016","12","09"
"2.14","2.906542056074766","2016","12","09"
"4.28","3.7242990654205603","2016","12","09"
"2.14","3.7242990654205603","2016","12","09"
"3.89","2.2493573264781492","2016","12","09"
"4.47","1.9574944071588367","2016","12","09"
"3.69","2.476964769647697","2016","12","09"
"5.44","2.4650735294117645","2016","12","09"
"3.11","2.8135048231511255","2016","12","09"
"3.89","2.7480719794344473","2016","12","09"
"4.67","2.2055674518201287","2016","12","09"
"5.83","2.7667238421955402","2016","12","09"
"4.47","2.4787472035794185","2016","12","09"
"4.86","2.4403292181069958","2016","12","09"
"3.89","3.048843187660668","2016","12","09"
"6.61","1.853252647503782","2016","12","09"
"4.47","3.3489932885906044","2016","12","09"
"4.67","2.2890792291220556","2016","12","09"
"6.22","1.7508038585209005","2016","12","09"
"6.22","2.0","2016","12","09"
"7.0","2.277142857142857","2016","12","09"
"5.83","2.334476843910806","2016","12","09"
"3.89","2.8483290488431874","2016","12","09"
"6.03","2.837479270315091","2016","12","10"
"6.03","2.708126036484245","2016","12","10"
"4.47","3.8277404921700224","2016","12","10"
"6.03","3.578772802653399","2016","12","10"
"8.16","2.191176470588235","2016","12","10"
"6.8","2.916176470588235","2016","12","10"
"7.58","2.282321899736148","2016","12","10"
"6.41","1.8798751950078003","2016","12","10"
"9.52","1.7972689075630253","2016","12","10"
"7.97","1.9021329987452948","2016","12","10"
"9.91","1.5499495459132189","2016","12","10"
"9.14","2.063457330415755","2016","12","10"
"8.94","1.8914988814317675","2016","12","10"
"11.08","1.78971119133574","2016","12","10"
"7.97","1.6097867001254706","2016","12","10"
"7.97","1.5846925972396488","2016","12","10"
"9.33","1.8960342979635585","2016","12","10"
"3.5","1.8885714285714286","2016","12","10"
"2.53","3.612648221343874","2016","12","10"
"3.3","1.9424242424242426","2016","12","10"
"3.89","5.097686375321336","2016","12","11"
"5.83","3.0343053173241854","2016","12","11"
"5.44","3.5367647058823524","2016","12","11"
"6.03","3.1276948590381424","2016","12","11"
"4.47","2.912751677852349","2016","12","11"
"5.25","2.6285714285714286","2016","12","11"
"5.25","1.5923809523809522","2016","12","11"
"4.67","1.6231263383297645","2016","12","11"
"3.89","1.5989717223650384","2016","12","11"
"4.08","2.191176470588235","2016","12","11"
"3.69","2.3170731707317076","2016","12","11"
"2.53","3.150197628458498","2016","12","11"
"4.08","2.191176470588235","2016","12","11"
"3.89","2.2493573264781492","2016","12","11"
"2.33","2.5021459227467813","2016","12","11"
"3.11","2.688102893890675","2016","12","11"
"2.72","2.786764705882353","2016","12","11"
"2.33","2.004291845493562","2016","12","11"
"2.14","2.2710280373831777","2016","12","11"
"3.5","2.165714285714286","2016","12","11"
"3.69","2.5799457994579944","2016","12","11"
"2.14","3.2710280373831773","2016","12","11"
"3.11","2.1864951768488745","2016","12","11"
"1.94","2.4072164948453607","2016","12","11"
"1.94","2.7061855670103094","2016","12","11"
"7.0","1.1942857142857142","2016","12","12"
"5.44","1.3216911764705883","2016","12","12"
"3.11","1.87459807073955","2016","12","12"
"2.53","1.766798418972332","2016","12","12"
"2.14","1.7242990654205606","2016","12","12"
"2.33","1.7510729613733906","2016","12","12"
"2.92","1.7294520547945205","2016","12","12"
"2.53","1.6916996047430832","2016","12","12"
"3.11","3.6881028938906755","2016","12","12"
"2.72","2.0735294117647056","2016","12","12"
"2.92","1.6643835616438358","2016","12","12"
"5.25","2.6285714285714286","2016","12","12"
"3.5","2.3885714285714283","2016","12","12"
"2.53","2.2292490118577075","2016","12","12"
"2.14","1.6355140186915886","2016","12","12"
"1.75","2.222857142857143","2016","12","12"
"1.56","2.9935897435897436","2016","12","12"
"0.97","2.8041237113402064","2016","12","12"
"1.36","2.426470588235294","2016","12","12"
"1.36","2.860294117647059","2016","12","13"
"1.56","2.1153846153846154","2016","12","13"
"0.78","3.243589743589743","2016","12","13"
"0.78","2.7435897435897436","2016","12","13"
"0.97","3.0103092783505154","2016","12","13"
"0.58","2.344827586206897","2016","12","13"
"1.75","1.6685714285714286","2016","12","13"
"1.56","2.3653846153846154","2016","12","13"
"0.97","3.2061855670103094","2016","12","13"
"1.17","2.658119658119658","2016","12","13"
"1.36","3.1470588235294117","2016","12","13"
"1.36","3.2867647058823524","2016","12","13"
"1.75","2.8857142857142857","2016","12","13"
"2.33","2.8369098712446355","2016","12","13"
"2.33","1.8369098712446352","2016","12","13"
