"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.53","2.8418972332015815","2016","12","09"
"2.53","3.4584980237154155","2016","12","09"
"4.08","3.144607843137255","2016","12","09"
"3.69","2.845528455284553","2016","12","09"
"3.3","4.357575757575758","2016","12","09"
"4.86","2.240740740740741","2016","12","09"
"3.89","2.948586118251928","2016","12","09"
"5.25","3.1847619047619045","2016","12","09"
"5.05","3.7722772277227725","2016","12","10"
"4.86","3.039094650205761","2016","12","10"
"7.19","3.297635605006954","2016","12","10"
"5.83","2.967409948542024","2016","12","10"
"6.03","2.417910447761194","2016","12","10"
"10.3","2.133009708737864","2016","12","10"
"7.97","2.5370138017565873","2016","12","10"
"7.58","2.0514511873350925","2016","12","10"
"6.41","2.001560062402496","2016","12","10"
"5.25","1.8876190476190478","2016","12","10"
"3.89","4.197943444730076","2016","12","10"
"5.05","2.3485148514851484","2016","12","10"
"2.53","2.458498023715415","2016","12","10"
"5.05","2.4257425742574257","2016","12","10"
"5.64","2.171985815602837","2016","12","10"
"5.05","2.0792079207920793","2016","12","10"
"6.41","3.0936037441497657","2016","12","10"
"4.28","2.4065420560747666","2016","12","10"
"5.05","2.001980198019802","2016","12","10"
"6.41","3.6692667706708266","2016","12","10"
"7.78","2.922879177377892","2016","12","10"
"7.97","2.2685069008782937","2016","12","10"
"7.0","2.3042857142857143","2016","12","10"
"6.61","2.4992435703479576","2016","12","10"
"9.91","2.628657921291625","2016","12","10"
"10.11","2.4035608308605343","2016","12","10"
"12.44","2.1093247588424435","2016","12","10"
"13.02","2.4331797235023043","2016","12","11"
"18.08","2.0857300884955756","2016","12","11"
"9.33","3.0","2016","12","11"
"9.72","2.4794238683127574","2016","12","11"
"6.61","2.794251134644478","2016","12","11"
"6.03","3.416252072968491","2016","12","11"
"5.25","3.1466666666666665","2016","12","11"
"5.44","2.536764705882353","2016","12","11"
"3.11","3.3762057877813505","2016","12","11"
"4.47","2.2170022371364655","2016","12","11"
"3.5","2.165714285714286","2016","12","11"
"1.94","2.9072164948453607","2016","12","11"
"1.94","2.4072164948453607","2016","12","11"
"4.28","2.497663551401869","2016","12","11"
"6.8","1.6294117647058823","2016","12","11"
"8.55","1.3637426900584795","2016","12","11"
"7.19","1.4603616133518775","2016","12","11"
"1.17","3.153846153846154","2016","12","12"
"0.78","3.243589743589743","2016","12","12"
"2.14","3.088785046728972","2016","12","13"
"6.03","1.7412935323383083","2016","12","13"
"8.55","1.5005847953216374","2016","12","13"
"3.3","2.415151515151515","2016","12","13"
"3.69","2.1598915989159893","2016","12","13"
"6.61","1.8229954614220878","2016","12","13"
"7.19","1.6759388038942977","2016","12","13"
"4.28","1.8177570093457944","2016","12","13"
"2.53","4.533596837944665","2016","12","13"
"3.5","2.5542857142857143","2016","12","15"
"2.33","1.502145922746781","2016","12","15"
"0.58","2.6896551724137936","2016","12","15"
"1.56","2.9935897435897436","2016","12","15"
"1.56","2.2435897435897436","2016","12","16"
"4.28","2.3154205607476634","2016","12","16"
"2.14","1.9065420560747663","2016","12","16"
"4.08","1.9534313725490196","2016","12","16"
"3.89","1.4987146529562982","2016","12","16"
"5.25","1.740952380952381","2016","12","16"
"3.3","2.2969696969696973","2016","12","16"
"1.94","3.1082474226804124","2016","12","16"
"2.33","2.334763948497854","2016","12","16"
"1.94","2.4072164948453607","2016","12","17"
"2.14","3.088785046728972","2016","12","17"
"2.14","3.4532710280373826","2016","12","21"
"2.14","2.995327102803738","2016","12","21"
"1.36","2.426470588235294","2016","12","21"
"1.75","1.8857142857142857","2016","12","21"
"2.14","1.7242990654205606","2016","12","21"
"2.72","3.2867647058823524","2016","12","21"
"1.56","1.9935897435897434","2016","12","21"
"2.14","2.6355140186915884","2016","12","22"
"4.28","2.588785046728972","2016","12","22"
