"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.78","3.173521850899743","2016","12","07"
"5.05","2.617821782178218","2016","12","07"
"3.3","2.5909090909090913","2016","12","09"
"3.11","2.87459807073955","2016","12","09"
"4.67","3.246252676659529","2016","12","09"
"3.89","3.097686375321337","2016","12","09"
"3.89","3.1979434447300767","2016","12","09"
"5.44","2.143382352941176","2016","12","09"
"4.67","2.4561027837259104","2016","12","09"
"5.64","2.4822695035460995","2016","12","09"
"5.83","2.8336192109777016","2016","12","09"
"6.22","2.406752411575563","2016","12","09"
"4.67","2.9143468950749463","2016","12","10"
"4.47","2.3914988814317675","2016","12","10"
"4.28","2.906542056074766","2016","12","10"
"2.92","1.9315068493150684","2016","12","11"
"1.56","3.4871794871794872","2016","12","11"
"1.17","2.9914529914529915","2016","12","13"
"0.39","2.4871794871794872","2016","12","15"
"0.58","3.344827586206897","2016","12","16"
"1.36","2.1470588235294117","2016","12","16"
"2.33","2.4206008583690983","2016","12","17"
"1.94","2.505154639175258","2016","12","17"
"7.58","2.2572559366754614","2016","12","17"
"8.36","1.8600478468899524","2016","12","17"
"6.61","2.0287443267776095","2016","12","17"
"5.64","2.723404255319149","2016","12","18"
"2.72","2.4301470588235294","2016","12","18"
"2.14","1.8177570093457944","2016","12","18"
"1.17","3.153846153846154","2016","12","18"
"4.67","2.7880085653104922","2016","12","18"
"7.58","1.66622691292876","2016","12","18"
"11.08","1.473826714801444","2016","12","18"
"13.22","1.3819969742813918","2016","12","18"
"11.86","1.3768971332209106","2016","12","18"
"10.3","1.453398058252427","2016","12","18"
"8.16","1.9301470588235294","2016","12","18"
"8.75","1.5771428571428572","2016","12","18"
"5.05","2.001980198019802","2016","12","18"
"7.0","1.8042857142857145","2016","12","18"
"8.16","1.6200980392156863","2016","12","18"
"5.83","1.699828473413379","2016","12","18"
"6.22","1.5","2016","12","18"
"5.25","2.48","2016","12","18"
"6.8","1.4573529411764707","2016","12","18"
"3.3","2.0606060606060606","2016","12","18"
"5.25","2.1466666666666665","2016","12","18"
"14.97","2.817635270541082","2016","12","18"
"14.19","2.739957716701903","2016","12","19"
"11.66","2.783876500857633","2016","12","19"
"8.36","2.6279904306220097","2016","12","19"
"8.16","3.669117647058824","2016","12","19"
"6.03","2.5787728026533996","2016","12","19"
"8.55","2.364912280701754","2016","12","19"
"9.72","2.2602880658436213","2016","12","19"
"5.44","3.323529411764705","2016","12","19"
"5.83","3.066895368782161","2016","12","19"
"5.25","3.220952380952381","2016","12","19"
"10.5","1.8695238095238094","2016","12","19"
"10.69","1.9457436856875587","2016","12","19"
"9.14","2.0415754923413565","2016","12","19"
"9.91","2.0201816347124115","2016","12","19"
"11.08","2.3330324909747295","2016","12","19"
"8.16","2.501225490196078","2016","12","19"
"15.16","1.7051451187335094","2016","12","19"
"9.72","2.3796296296296293","2016","12","19"
"9.91","1.6871846619576185","2016","12","19"
"6.61","2.6172465960665656","2016","12","19"
"7.0","2.6385714285714283","2016","12","19"
"8.75","2.043428571428571","2016","12","19"
"10.3","1.661165048543689","2016","12","19"
"10.69","2.2544434050514504","2016","12","19"
"11.27","1.7417923691215615","2016","12","19"
"8.94","1.9787472035794187","2016","12","19"
"9.14","1.6378555798687089","2016","12","19"
"8.75","2.7325714285714287","2016","12","19"
"10.3","2.1135922330097086","2016","12","19"
"8.55","1.8643274853801168","2016","12","19"
"7.39","2.7618403247631935","2016","12","19"
"10.89","1.731864095500459","2016","12","19"
"6.8","2.7161764705882354","2016","12","19"
"9.33","1.812433011789925","2016","12","19"
"7.58","2.3073878627968334","2016","12","19"
"13.8","1.7463768115942029","2016","12","19"
"14.19","1.959126145172657","2016","12","19"
"9.91","1.922300706357215","2016","12","19"
"12.05","1.9037344398340248","2016","12","19"
"10.89","2.1423324150596876","2016","12","19"
"9.72","2.3796296296296293","2016","12","19"
"14.0","1.6385714285714286","2016","12","19"
"13.02","1.8963133640552996","2016","12","19"
"11.66","1.8336192109777014","2016","12","19"
"10.89","1.8383838383838382","2016","12","19"
"12.83","1.9088074824629773","2016","12","19"
"10.11","2.1147378832838775","2016","12","19"
"11.08","2.0171480144404335","2016","12","19"
"9.72","1.979423868312757","2016","12","19"
"5.83","3.3001715265866207","2016","12","19"
"5.05","2.847524752475248","2016","12","19"
"6.8","2.486764705882353","2016","12","19"
"6.41","2.5163806552262087","2016","12","19"
"7.39","1.8944519621109608","2016","12","19"
"8.94","1.9138702460850112","2016","12","19"
"8.16","1.738970588235294","2016","12","19"
"10.3","1.849514563106796","2016","12","19"
"14.19","1.9175475687103596","2016","12","19"
"9.14","2.4037199124726474","2016","12","19"
"6.03","2.6434494195688223","2016","12","19"
"7.78","2.1491002570694087","2016","12","19"
"6.61","2.2344931921331312","2016","12","19"
"8.16","2.001225490196078","2016","12","19"
"8.94","2.0","2016","12","19"
"12.44","1.8593247588424437","2016","12","20"
