,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,0.400934231,1.895492924,2015,1,1
1,0.200467116,2.898989174,2015,1,2
2,4.510510104,0.862263447,2015,1,3
3,3.508174525,1.108624433,2015,1,3
4,7.01634905,0.841025431,2015,1,3
5,5.312378567,1.321164879,2015,1,3
6,4.911444335,0.764568574,2015,1,3
7,3.909108756,1.052098636,2015,1,3
8,3.909108756,1.383738424,2015,1,3
9,5.212145009,1.029226926,2015,1,3
10,3.508174525,0.828282622,2015,1,3
11,3.909108756,1.463789407,2015,1,3
12,2.80653962,1.099067325,2015,1,3
13,4.610743661,0.950170366,2015,1,3
14,3.909108756,1.052098636,2015,1,3
15,4.510510104,1.020840633,2015,1,3
16,4.710977219,0.948932627,2015,1,3
17,4.009342314,1.226495421,2015,1,3
18,3.608408083,0.991107411,2015,1,3
19,4.009342314,0.992346295,2015,1,3
20,3.207473851,1.421619693,2015,1,3
21,1.503503368,2.200258452,2015,1,3
22,1.503503368,1.15959567,2015,1,3
23,1.503503368,1.129862448,2015,1,5
24,0.701634905,1.529137149,2015,1,5
25,0.400934231,2.118492093,2015,1,5
26,1.202802694,1.523827645,2015,1,5
27,0.400934231,1.560994175,2015,1,5
28,1.303036252,0.994919362,2015,1,6
29,1.002335578,1.917792841,2015,1,6
30,1.303036252,1.886916033,2015,1,6
31,1.202802694,1.412328061,2015,1,7
32,1.002335578,1.427194673,2015,1,7
33,1.303036252,1.029226927,2015,1,8
34,3.407940967,1.075643043,2015,1,8
35,3.808875199,1.267574215,2015,1,8
36,3.407940967,0.983819856,2015,1,8
37,3.808875199,1.525783777,2015,1,8
38,6.014013472,0.936596503,2015,1,8
39,2.405605389,1.096412573,2015,1,9
40,2.505838946,1.302315138,2015,1,9
41,3.608408083,0.966329725,2015,1,9
42,4.811210777,1.105704205,2015,1,10
43,2.606072504,1.097842055,2015,1,10
44,3.007006736,1.219062115,2015,1,10
45,1.804204041,1.090218152,2015,1,10
46,1.603736926,1.3658699,2015,1,10
47,1.603736926,1.087120941,2015,1,10
48,1.804204041,0.991107411,2015,1,10
49,2.004671157,1.02579617,2015,1,11
50,3.508174525,1.070396004,2015,1,11
51,3.007006736,0.936596503,2015,1,11
52,3.107240294,1.064641186,2015,1,11
53,4.009342314,0.847396836,2015,1,11
54,2.80653962,1.529137148,2015,1,11
55,2.80653962,0.939782206,2015,1,11
56,2.004671157,0.914296587,2015,1,12
57,1.503503368,1.635327228,2015,1,12
58,3.608408083,1.114995837,2015,1,12
59,1.804204041,1.139773522,2015,1,12
60,2.706306062,1.123255066,2015,1,12
61,4.911444335,0.873792656,2015,1,12
62,2.305371831,1.202256381,2015,1,12
63,3.407940967,1.442935789,2015,1,12
64,3.608408083,1.152162365,2015,1,12
65,2.606072504,0.857689106,2015,1,12
66,5.111911451,1.171838762,2015,1,12
67,5.813546356,0.915065549,2015,1,12
68,6.014013472,1.003496253,2015,1,12
69,6.214480587,0.920770756,2015,1,12
70,5.61307924,0.979603486,2015,1,12
71,4.310042988,1.026833376,2015,1,12
72,2.706306062,1.20584735,2015,1,12
73,5.713312798,1.220627022,2015,1,12
74,6.314714145,1.012345427,2015,1,12
75,4.811210777,1.049954413,2015,1,12
76,5.61307924,1.027389021,2015,1,12
77,4.911444335,0.937506704,2015,1,12
78,7.01634905,1.03853898,2015,1,12
79,6.615414819,1.047420332,2015,1,12
80,6.515181261,0.871412131,2015,1,12
81,6.014013472,1.427194671,2015,1,12
82,6.014013472,0.951463114,2015,1,12
83,5.312378567,1.194938935,2015,1,12
84,6.214480587,0.913577234,2015,1,12
85,5.813546356,1.153443969,2015,1,12
86,7.717983955,0.799321691,2015,1,12
87,5.61307924,0.93181795,2015,1,12
88,6.615414819,1.054177882,2015,1,12
89,6.214480587,1.086221751,2015,1,12
90,6.014013472,1.167028976,2015,1,12
91,6.014013472,1.308261782,2015,1,12
92,8.519852418,1.017925611,2015,1,12
93,6.715648377,0.945250202,2015,1,12
94,6.916115492,1.098836477,2015,1,12
95,7.517516839,1.034716137,2015,1,12
96,7.317049724,1.056954958,2015,1,12
97,9.121253765,0.867491267,2015,1,12
98,8.118918186,1.051675086,2015,1,12
99,6.615414819,0.89199667,2015,1,12
100,7.617750397,0.95654906,2015,1,12
101,8.620085976,1.099437756,2015,1,13
102,7.517516839,0.814690292,2015,1,13
103,7.317049724,0.946982766,2015,1,13
104,8.018684629,0.936596503,2015,1,13
105,5.512845682,1.013632579,2015,1,13
106,7.317049724,1.368542836,2015,1,13
107,7.417283282,1.024590769,2015,1,13
108,6.815881934,0.905114268,2015,1,13
109,5.813546356,1.038099573,2015,1,13
110,8.620085976,1.296506788,2015,1,13
111,8.41961886,1.104376829,2015,1,13
112,9.923122228,1.166803724,2015,1,13
113,9.923122228,1.090218152,2015,1,13
114,12.82989541,0.83973124,2015,1,13
115,12.62942829,0.89199667,2015,1,13
116,2.906773178,1.061168452,2015,1,14
117,4.310042988,1.25501857,2015,1,14
118,4.109575872,1.294482972,2015,1,14
119,5.913779914,0.922233845,2015,1,14
120,3.007006736,1.189328893,2015,1,14
121,3.909108756,1.200764748,2015,1,14
122,5.713312798,0.852874009,2015,1,14
123,7.116582608,0.753800003,2015,1,14
124,5.212145009,1.209341639,2015,1,14
125,4.710977219,1.091272522,2015,1,14
126,5.512845682,1.013632579,2015,1,14
127,4.911444335,1.410811059,2015,1,14
128,4.009342314,1.070396004,2015,1,14
129,4.911444335,1.083138813,2015,1,14
130,5.312378567,1.430560697,2015,1,14
131,4.710977219,0.96791128,2015,1,14
132,4.610743661,1.425255549,2015,1,14
133,6.615414819,0.979844827,2015,1,14
134,6.515181261,0.94002726,2015,1,14
135,9.923122228,0.950562108,2015,1,14
136,10.42429002,1.1021305,2015,1,14
137,5.011677893,1.222035438,2015,1,15
138,8.219151744,0.995337747,2015,1,15
139,9.622421554,1.008142069,2015,1,15
140,7.01634905,0.911110884,2015,1,15
141,5.412612124,0.999366639,2015,1,15
142,7.918451071,0.942806607,2015,1,15
143,9.522187996,0.610313511,2015,1,16
144,6.414947703,0.954715186,2015,1,17
145,4.811210777,0.957038094,2015,1,17
146,4.610743661,1.085908989,2015,1,17
147,4.510510104,0.901907744,2015,1,17
148,3.107240294,1.136576402,2015,1,17
149,3.007006736,1.085262615,2015,1,17
150,3.207473851,1.282245213,2015,1,17
151,5.412612124,1.304958091,2015,1,17
152,2.80653962,1.433566076,2015,1,17
153,5.212145009,0.874842888,2015,1,17
154,7.01634905,0.936596503,2015,1,17
155,7.216816166,1.375161532,2015,1,17
156,7.818217513,0.949175943,2015,1,17
157,5.111911451,0.935721997,2015,1,17
158,5.813546356,1.122685464,2015,1,17
159,4.911444335,1.09224082,2015,1,17
160,5.813546356,0.984272187,2015,1,17
161,5.713312798,1.009364653,2015,1,17
162,4.710977219,0.854039365,2015,1,17
163,4.610743661,1.202256381,2015,1,17
164,4.811210777,0.947746462,2015,1,17
165,2.004671157,0.95889642,2015,1,17
166,2.104904715,0.934472702,2015,1,17
167,2.405605389,0.966329725,2015,1,17
168,0.701634905,1.529137149,2015,1,18
169,1.804204041,1.114995838,2015,1,19
170,0.902102021,1.337995004,2015,1,19
171,1.703970484,1.337995004,2015,1,20
172,3.407940967,1.364230201,2015,1,20
173,6.114247029,0.921242462,2015,1,20
174,4.009342314,0.970046379,2015,1,20
175,4.510510104,1.1100403,2015,1,20
176,3.909108756,1.017791072,2015,1,20
177,5.111911451,1.425445658,2015,1,20
178,3.007006736,0.89199667,2015,1,20
179,6.014013472,1.21162881,2015,1,20
180,5.913779914,0.884437376,2015,1,20
181,5.312378567,0.934071984,2015,1,20
182,7.01634905,0.74545436,2015,1,20
183,7.01634905,0.911110884,2015,1,20
184,6.314714145,0.998186749,2015,1,20
185,7.617750397,0.880259871,2015,1,20
186,5.813546356,1.099616584,2015,1,20
187,5.61307924,0.939782206,2015,1,20
188,5.913779914,1.020504664,2015,1,20
189,6.314714145,0.870758654,2015,1,20
190,6.214480587,1.0358671,2015,1,20
191,7.717983955,0.839866994,2015,1,20
192,7.01634905,0.993939146,2015,1,20
193,4.310042988,1.441715547,2015,1,20
194,4.911444335,0.873792656,2015,1,20
195,4.109575872,1.153068866,2015,1,20
196,3.708641641,1.121022842,2015,1,20
197,4.009342314,0.925446545,2015,1,20
198,1.603736926,1.031371149,2015,1,20
199,1.703970484,1.311759808,2015,1,20
200,3.107240294,1.266059789,2015,1,20
201,2.505838946,1.070396004,2015,1,20
202,3.207473851,0.975621358,2015,1,21
203,2.906773178,0.953513681,2015,1,21
204,2.405605389,0.910579933,2015,1,21
205,2.405605389,1.152162365,2015,1,21
206,3.207473851,0.919871566,2015,1,21
207,2.706306062,1.057181238,2015,1,21
208,2.906773178,1.184202475,2015,1,21
209,2.606072504,1.029226927,2015,1,21
210,2.305371831,1.221647613,2015,1,21
211,3.608408083,1.251273106,2015,1,21
212,3.708641641,0.867888652,2015,1,21
213,2.906773178,1.061168452,2015,1,21
214,2.80653962,1.083138813,2015,1,21
215,3.007006736,0.981196337,2015,1,21
216,2.80653962,1.051281789,2015,1,21
217,2.606072504,0.926304234,2015,1,21
218,2.405605389,0.966329725,2015,1,21
219,3.407940967,1.180583828,2015,1,21
220,2.606072504,1.320841222,2015,1,21
221,3.708641641,1.14513086,2015,1,21
222,4.009342314,1.048096087,2015,1,21
223,4.710977219,0.958421954,2015,1,21
224,2.706306062,1.156291979,2015,1,21
225,3.508174525,0.917482289,2015,1,21
226,2.80653962,1.019424766,2015,1,21
227,3.107240294,0.949544842,2015,1,21
228,2.104904715,1.125614845,2015,1,21
229,1.804204041,1.263661949,2015,1,21
230,3.808875199,0.833312678,2015,1,21
231,3.407940967,1.272407014,2015,1,21
232,4.510510104,1.209151041,2015,1,21
233,1.804204041,1.139773522,2015,1,21
234,1.603736926,1.198620525,2015,1,21
235,1.303036252,1.097842055,2015,1,21
236,1.40326981,1.083138813,2015,1,21
237,0.300700674,2.229991673,2015,1,21
238,1.202802694,1.375161533,2015,1,21
239,3.608408083,1.053051624,2015,1,23
240,5.011677893,0.981196337,2015,1,23
241,4.009342314,1.02579617,2015,1,23
242,2.706306062,1.123255066,2015,1,23
243,3.808875199,1.220627022,2015,1,23
244,5.412612124,1.214106578,2015,1,23
245,5.813546356,1.13037509,2015,1,23
246,4.911444335,0.955710718,2015,1,23
247,6.715648377,0.812116371,2015,1,23
248,5.512845682,0.940651034,2015,1,23
249,5.813546356,1.39182239,2015,1,23
250,2.606072504,1.269379876,2015,1,24
251,4.310042988,1.047577484,2015,1,24
252,4.410276546,1.114995837,2015,1,24
253,3.708641641,1.325940995,2015,1,24
254,3.207473851,1.421619693,2015,1,24
255,3.608408083,1.214106578,2015,1,24
