,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,1.89,1.7195767195767198,2014,12,10
1,3.46,0.9393063583815028,2014,12,11
2,0.25,14.92,2015,2,21
3,22.76,1.1265377855887522,2015,2,27
4,19.28,1.1400414937759336,2015,2,27
5,7.66,1.2480417754569189,2015,2,27
6,0.6,7.550000000000002,2015,2,28
7,10.77,1.5487465181058495,2015,3,1
8,0.1,53.1,2015,3,1
9,2.78,1.5935251798561152,2015,3,26
10,19.13,1.203868269733403,2015,4,14
11,7.39,3.0690121786197566,2015,4,19
12,0.1,3.5,2015,4,19
13,2.35,6.136170212765957,2015,4,22
14,1.05,8.438095238095237,2015,4,26
15,8.24,1.7597087378640777,2015,4,26
16,8.51,2.0622796709753235,2015,4,26
17,8.34,1.5311750599520384,2015,5,3
18,6.96,2.083333333333333,2015,5,4
19,3.21,1.3489096573208723,2015,5,9
20,1.83,1.6120218579234973,2015,5,10
21,1.05,8.104761904761903,2015,5,12
22,21.63,1.0730466944059178,2015,5,13
23,1.75,2.5314285714285707,2015,5,21
24,4.61,2.4121475054229933,2015,5,31
25,0.95,5.294736842105263,2015,5,31
26,38.66,1.188566994309364,2015,6,13
27,4.96,4.292338709677419,2015,6,16
28,8.69,1.3889528193325662,2015,6,18
29,5.21,2.0191938579654507,2015,6,18
30,2.88,2.354166666666667,2015,6,19
31,7.91,1.955752212389381,2015,6,22
32,0.17,21.47058823529412,2015,7,4
33,2.78,3.0,2015,7,4
34,2.78,4.438848920863308,2015,7,6
35,3.03,2.033003300330033,2015,7,10
36,10.17,1.3146509341199606,2015,7,10
37,0.1,47.8,2015,7,21
38,0.52,21.384615384615387,2015,7,22
39,2.68,2.242537313432836,2015,7,23
40,1.56,2.5064102564102564,2015,7,24
41,1.75,2.3885714285714283,2015,7,24
42,1.48,1.6418918918918919,2015,8,8
43,16.0,1.183125,2015,8,13
44,0.95,5.4,2015,8,14
45,1.4,4.5285714285714285,2015,8,15
46,4.88,1.4262295081967211,2015,8,15
47,10.34,1.581237911025145,2015,8,15
48,7.56,1.4708994708994712,2015,8,21
49,5.81,2.0344234079173837,2015,8,21
50,5.46,2.1959706959706957,2015,8,21
51,3.91,2.9590792838874678,2015,8,25
52,7.31,1.3324213406292749,2015,8,25
53,1.05,3.980952380952381,2015,8,26
54,11.29,1.3773250664304697,2015,9,3
55,7.46,1.863270777479893,2015,9,3
56,6.69,2.1674140508221225,2015,9,3
57,3.73,1.793565683646113,2015,9,6
58,4.26,1.7981220657276995,2015,9,6
59,3.48,2.244252873563218,2015,9,6
