,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,0.47,4.212765957446809,2016,11,2
1,1.09,2.8899082568807337,2016,11,2
2,0.04,18.0,2016,11,2
3,0.99,2.9292929292929286,2016,11,2
4,0.58,3.517241379310345,2016,11,2
5,0.89,2.707865168539326,2016,11,2
6,1.09,2.403669724770642,2016,11,2
7,1.34,2.1194029850746268,2016,11,2
8,1.01,2.3663366336633658,2016,11,2
9,1.32,2.636363636363636,2016,11,2
10,1.05,3.314285714285714,2016,11,2
11,0.99,2.707070707070707,2016,11,2
12,0.45,4.488888888888889,2016,11,2
13,0.68,2.8235294117647056,2016,11,2
14,1.19,3.5294117647058827,2016,11,2
15,0.54,3.851851851851852,2016,11,2
16,0.14,9.714285714285714,2016,11,2
17,0.33,4.878787878787879,2016,11,2
18,0.45,3.1555555555555554,2016,11,2
19,0.43,8.441860465116278,2016,11,2
20,0.56,4.8928571428571415,2016,11,2
21,0.35,7.3428571428571425,2016,11,3
22,0.27,6.5555555555555545,2016,11,3
23,0.39,4.128205128205129,2016,11,3
24,0.21,8.142857142857142,2016,11,3
25,0.19,15.63157894736842,2016,11,3
26,0.29,8.172413793103447,2016,11,3
27,0.54,3.555555555555556,2016,11,3
28,0.86,3.4186046511627906,2016,11,3
29,0.84,3.0357142857142856,2016,11,3
30,0.8,3.1125000000000003,2016,11,3
31,0.68,4.294117647058823,2016,11,3
32,0.74,5.256756756756757,2016,11,3
33,0.84,3.2142857142857144,2016,11,3
34,0.45,6.777777777777778,2016,11,3
35,0.47,4.425531914893617,2016,11,3
36,0.43,3.3953488372093017,2016,11,3
37,0.74,3.6486486486486487,2016,11,3
38,0.97,2.865979381443299,2016,11,3
39,1.15,2.9217391304347826,2016,11,3
40,1.01,3.93069306930693,2016,11,3
41,0.8,3.8625,2016,11,3
42,0.33,6.787878787878787,2016,11,3
43,0.47,2.8936170212765964,2016,11,3
44,0.56,4.017857142857142,2016,11,3
45,0.45,4.4,2016,11,3
46,0.37,8.189189189189191,2016,11,3
47,0.51,4.411764705882354,2016,11,3
48,0.37,4.0540540540540535,2016,11,3
49,0.39,3.641025641025641,2016,11,3
50,0.31,4.258064516129033,2016,11,3
51,0.37,4.9459459459459465,2016,11,3
52,0.31,5.032258064516129,2016,11,3
53,0.39,4.0,2016,11,3
54,0.37,4.0,2016,11,3
55,0.17,9.352941176470589,2016,11,3
56,0.23,4.913043478260869,2016,11,3
57,0.37,4.0540540540540535,2016,11,3
58,0.16,6.0625,2016,11,3
59,0.16,6.8125,2016,11,3
60,0.06,14.333333333333336,2016,11,3
61,0.14,5.999999999999999,2016,11,3
62,0.12,13.583333333333332,2016,11,3
63,0.27,4.518518518518519,2016,11,3
64,0.41,4.073170731707316,2016,11,3
65,0.06,18.83333333333333,2016,11,3
66,1.44,3.4305555555555562,2016,11,3
67,1.56,2.3269230769230766,2016,11,3
68,1.5,2.8000000000000003,2016,11,3
69,0.56,4.267857142857142,2016,11,4
70,0.52,4.596153846153847,2016,11,4
71,0.49,3.693877551020409,2016,11,4
72,0.06,9.333333333333334,2016,11,4
73,0.1,8.2,2016,11,4
74,0.1,13.2,2016,11,4
75,0.14,5.7142857142857135,2016,11,4
76,0.04,6.25,2016,11,4
77,0.04,5.75,2016,11,4
78,0.04,5.75,2016,11,5
79,1.22,2.7540983606557377,2016,11,5
80,2.22,2.2342342342342336,2016,11,5
81,1.19,2.8067226890756296,2016,11,5
82,0.95,2.6210526315789475,2016,11,5
83,0.82,3.670731707317073,2016,11,5
84,1.34,3.044776119402985,2016,11,5
85,0.95,3.073684210526316,2016,11,5
86,0.8,2.9375,2016,11,5
87,0.95,3.926315789473685,2016,11,5
88,0.35,5.171428571428573,2016,11,5
89,0.43,2.976744186046512,2016,11,5
90,1.05,3.0,2016,11,5
91,1.4,2.5,2016,11,5
92,1.42,2.218309859154929,2016,11,5
93,0.54,4.462962962962963,2016,11,6
94,0.66,3.1515151515151514,2016,11,6
95,0.06,14.0,2016,11,7
96,0.06,14.5,2016,11,7
97,0.16,9.125,2016,11,7
98,0.12,13.916666666666664,2016,11,7
99,0.29,6.241379310344827,2016,11,7
100,0.33,5.4848484848484835,2016,11,7
