,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,23,1.7027027027027029,3,9.99,2003,PAGS_W.csv
1,31,1.3846153846153846,3,13.0,2003,PAGS_W.csv
2,12,1.6363636363636365,4,11.0,2003,PAGS_W.csv
3,16,1.5025025025025025,4,9.99,2003,PAGS_W.csv
4,16,1.4545454545454546,4,11.0,2003,PAGS_W.csv
5,16,1.5555555555555556,4,9.0,2003,PAGS_W.csv
6,5,1.5012510425354462,5,11.99,2003,PAGS_W.csv
7,5,1.7777777777777777,5,9.0,2003,PAGS_W.csv
8,5,1.5463636363636366,5,11.0,2003,PAGS_W.csv
9,5,1.4014014014014011,5,9.99,2003,PAGS_W.csv
10,6,1.89,5,9.0,2003,PAGS_W.csv
11,6,1.6016016016016017,5,9.99,2003,PAGS_W.csv
12,6,1.873907615480649,5,8.01,2003,PAGS_W.csv
13,6,1.89,5,9.0,2003,PAGS_W.csv
14,6,1.2727272727272727,5,11.0,2003,PAGS_W.csv
15,6,1.7027027027027029,5,9.99,2003,PAGS_W.csv
16,6,1.6677777777777778,5,9.0,2003,PAGS_W.csv
17,8,1.4545454545454546,6,11.0,2003,PAGS_W.csv
18,8,1.5555555555555556,6,9.0,2003,PAGS_W.csv
19,8,1.3846153846153846,6,13.0,2003,PAGS_W.csv
20,9,1.3846153846153846,6,13.0,2003,PAGS_W.csv
21,9,1.5012510425354462,6,11.99,2003,PAGS_W.csv
22,19,2.0,6,7.0,2003,PAGS_W.csv
23,21,1.4014014014014011,6,9.99,2003,PAGS_W.csv
24,23,1.6677777777777778,6,9.0,2003,PAGS_W.csv
25,2,1.4014014014014011,7,9.99,2003,PAGS_W.csv
26,4,1.5463636363636366,7,11.0,2003,PAGS_W.csv
27,4,1.5463636363636366,7,11.0,2003,PAGS_W.csv
28,4,1.418682235195997,7,11.99,2003,PAGS_W.csv
29,4,1.2857142857142858,7,14.0,2003,PAGS_W.csv
30,4,1.5463636363636366,7,11.0,2003,PAGS_W.csv
31,14,1.6677777777777778,7,9.0,2003,PAGS_W.csv
32,24,1.3084615384615386,7,13.0,2003,PAGS_W.csv
33,24,1.5012510425354462,7,11.99,2003,PAGS_W.csv
34,2,1.3846153846153846,8,13.0,2003,PAGS_W.csv
35,2,1.7263636363636363,8,11.0,2003,PAGS_W.csv
36,2,1.2727272727272727,8,11.0,2003,PAGS_W.csv
37,9,1.6016016016016017,11,9.99,2003,PAGS_W.csv
38,29,1.7263636363636363,11,11.0,2003,PAGS_W.csv
39,29,1.356428571428571,11,14.0,2003,PAGS_W.csv
40,29,1.7263636363636363,11,11.0,2003,PAGS_W.csv
41,29,2.6622296173044933,11,6.01,2003,PAGS_W.csv
42,29,1.5025025025025025,11,9.99,2003,PAGS_W.csv
43,29,2.144285714285714,11,7.0,2003,PAGS_W.csv
