,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,1,5.988505747126437,6,0.87,2016,HONA2_NW.csv
1,1,4.0,6,0.87,2016,HONA2_NW.csv
2,1,4.0,6,0.87,2016,HONA2_NW.csv
3,1,2.9771428571428573,6,1.75,2016,HONA2_NW.csv
4,1,5.988505747126437,6,0.87,2016,HONA2_NW.csv
5,1,8.0,6,0.87,2016,HONA2_NW.csv
6,2,4.977011494252873,6,0.87,2016,HONA2_NW.csv
7,3,3.0038461538461534,6,2.6,2016,HONA2_NW.csv
8,3,3.342307692307692,6,2.6,2016,HONA2_NW.csv
9,3,2.244252873563218,6,3.48,2016,HONA2_NW.csv
10,5,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
11,5,2.244252873563218,6,3.48,2016,HONA2_NW.csv
12,8,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
13,8,1.4857142857142858,6,1.75,2016,HONA2_NW.csv
14,8,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
15,8,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
16,8,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
17,8,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
18,8,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
19,9,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
20,9,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
21,9,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
22,9,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
23,9,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
24,9,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
25,12,2.4742857142857138,6,1.75,2016,HONA2_NW.csv
26,14,4.0,6,0.87,2016,HONA2_NW.csv
27,14,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
28,14,1.4857142857142858,6,1.75,2016,HONA2_NW.csv
29,14,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
30,14,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
31,14,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
32,14,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
33,15,4.0,6,0.87,2016,HONA2_NW.csv
34,15,2.4742857142857138,6,1.75,2016,HONA2_NW.csv
35,15,3.474285714285714,6,1.75,2016,HONA2_NW.csv
36,15,4.0,6,0.87,2016,HONA2_NW.csv
37,15,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
38,16,3.977142857142857,6,1.75,2016,HONA2_NW.csv
39,16,1.6653846153846157,6,2.6,2016,HONA2_NW.csv
40,16,4.977011494252873,6,0.87,2016,HONA2_NW.csv
41,17,4.977011494252873,6,0.87,2016,HONA2_NW.csv
42,17,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
43,17,4.0,6,0.87,2016,HONA2_NW.csv
44,17,2.4742857142857138,6,1.75,2016,HONA2_NW.csv
45,18,8.977011494252872,6,0.87,2016,HONA2_NW.csv
46,18,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
47,18,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
48,19,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
49,19,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
50,20,5.988505747126437,6,0.87,2016,HONA2_NW.csv
51,20,4.977011494252873,6,0.87,2016,HONA2_NW.csv
52,20,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
53,20,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
54,21,3.977142857142857,6,1.75,2016,HONA2_NW.csv
55,21,2.9771428571428573,6,1.75,2016,HONA2_NW.csv
56,21,3.474285714285714,6,1.75,2016,HONA2_NW.csv
57,21,6.988505747126437,6,0.87,2016,HONA2_NW.csv
58,21,4.0,6,0.87,2016,HONA2_NW.csv
59,21,8.0,6,0.87,2016,HONA2_NW.csv
60,21,2.9771428571428573,6,1.75,2016,HONA2_NW.csv
61,23,1.9885714285714289,6,1.75,2016,HONA2_NW.csv
62,23,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
63,23,1.0,6,1.75,2016,HONA2_NW.csv
64,23,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
65,23,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
66,24,15.977011494252874,6,0.87,2016,HONA2_NW.csv
67,24,2.9885057471264367,6,0.87,2016,HONA2_NW.csv
68,25,3.474285714285714,6,1.75,2016,HONA2_NW.csv
69,25,4.965714285714285,6,1.75,2016,HONA2_NW.csv
70,26,3.977142857142857,6,1.75,2016,HONA2_NW.csv
71,26,2.003846153846154,6,2.6,2016,HONA2_NW.csv
72,27,3.342307692307692,6,2.6,2016,HONA2_NW.csv
73,27,4.977011494252873,6,0.87,2016,HONA2_NW.csv
74,28,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
75,28,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
76,29,4.0,6,0.87,2016,HONA2_NW.csv
77,29,4.977011494252873,6,0.87,2016,HONA2_NW.csv
78,29,2.0114942528735638,6,0.87,2016,HONA2_NW.csv
79,1,2.4742857142857138,7,1.75,2016,HONA2_NW.csv
80,1,4.0,7,0.87,2016,HONA2_NW.csv
81,1,2.9885057471264367,7,0.87,2016,HONA2_NW.csv
82,2,5.0076923076923086,7,2.6,2016,HONA2_NW.csv
83,2,5.346153846153847,7,2.6,2016,HONA2_NW.csv
84,2,3.6769230769230763,7,2.6,2016,HONA2_NW.csv
85,2,3.977142857142857,7,1.75,2016,HONA2_NW.csv
86,3,2.9885057471264367,7,0.87,2016,HONA2_NW.csv
87,3,2.9885057471264367,7,0.87,2016,HONA2_NW.csv
88,3,2.0114942528735638,7,0.87,2016,HONA2_NW.csv
89,3,2.9885057471264367,7,0.87,2016,HONA2_NW.csv
