,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,8,1.8018018018018016,12,9.99,2002,PAEL_SW.csv
1,6,2.002002002002002,1,9.99,2003,PAEL_SW.csv
2,6,1.873907615480649,1,8.01,2003,PAEL_SW.csv
3,10,2.4975041597337766,1,6.01,2003,PAEL_SW.csv
4,24,1.6016016016016017,9,9.99,2003,PAEL_SW.csv
5,24,1.8018018018018016,9,9.99,2003,PAEL_SW.csv
6,19,1.5025025025025025,10,9.99,2003,PAEL_SW.csv
7,22,1.6016016016016017,11,9.99,2003,PAEL_SW.csv
8,22,1.5025025025025025,11,9.99,2003,PAEL_SW.csv
9,29,1.5025025025025025,11,9.99,2003,PAEL_SW.csv
10,2,1.5025025025025025,12,9.99,2003,PAEL_SW.csv
11,2,1.8348623853211008,12,11.99,2003,PAEL_SW.csv
12,16,1.6229712858926342,12,8.01,2003,PAEL_SW.csv
13,22,1.9980013324450363,12,15.01,2003,PAEL_SW.csv
14,22,1.6680567139282736,12,11.99,2003,PAEL_SW.csv
15,10,1.6680567139282736,3,11.99,2004,PAEL_SW.csv
16,15,1.4968789013732835,3,8.01,2004,PAEL_SW.csv
17,28,2.0,3,20.0,2004,PAEL_SW.csv
18,29,2.002002002002002,3,9.99,2004,PAEL_SW.csv
19,29,1.5025025025025025,3,9.99,2004,PAEL_SW.csv
20,21,1.8018018018018016,9,9.99,2004,PAEL_SW.csv
21,27,1.4968789013732835,9,8.01,2004,PAEL_SW.csv
22,29,1.4968789013732835,9,8.01,2004,PAEL_SW.csv
23,29,1.7478152309612984,9,8.01,2004,PAEL_SW.csv
24,30,1.4968789013732835,9,8.01,2004,PAEL_SW.csv
25,1,1.4968789013732835,10,8.01,2004,PAEL_SW.csv
26,1,1.7478152309612984,10,8.01,2004,PAEL_SW.csv
27,1,1.4968789013732835,10,8.01,2004,PAEL_SW.csv
28,1,2.002002002002002,10,9.99,2004,PAEL_SW.csv
29,1,1.7128571428571429,10,7.0,2004,PAEL_SW.csv
30,1,1.5025025025025025,10,9.99,2004,PAEL_SW.csv
31,3,2.4034034034034035,11,9.99,2004,PAEL_SW.csv
32,3,2.0850708924103416,11,11.99,2004,PAEL_SW.csv
33,3,2.0,11,20.0,2004,PAEL_SW.csv
34,3,1.9980013324450363,11,15.01,2004,PAEL_SW.csv
35,3,1.873907615480649,11,8.01,2004,PAEL_SW.csv
36,23,2.1319120586275817,12,15.01,2004,PAEL_SW.csv
37,23,2.002002002002002,12,9.99,2004,PAEL_SW.csv
38,24,1.5025025025025025,9,9.99,2005,PAEL_SW.csv
39,24,1.4968789013732835,9,8.01,2005,PAEL_SW.csv
40,24,1.7027027027027029,9,9.99,2005,PAEL_SW.csv
41,24,1.4968789013732835,9,8.01,2005,PAEL_SW.csv
42,18,1.4968789013732835,10,8.01,2005,PAEL_SW.csv
43,18,1.4968789013732835,10,8.01,2005,PAEL_SW.csv
44,22,2.002002002002002,10,9.99,2005,PAEL_SW.csv
45,8,2.002002002002002,11,9.99,2005,PAEL_SW.csv
46,8,2.002002002002002,11,9.99,2005,PAEL_SW.csv
47,17,1.5025025025025025,11,9.99,2005,PAEL_SW.csv
48,17,1.4968789013732835,11,8.01,2005,PAEL_SW.csv
49,17,1.4968789013732835,11,8.01,2005,PAEL_SW.csv
50,17,1.874375,11,16.0,2005,PAEL_SW.csv
51,19,1.8018018018018016,11,9.99,2005,PAEL_SW.csv
52,19,1.9980013324450363,11,15.01,2005,PAEL_SW.csv
53,19,1.873907615480649,11,8.01,2005,PAEL_SW.csv
54,19,3.0020020020020017,11,9.99,2005,PAEL_SW.csv
55,23,2.002002002002002,11,9.99,2005,PAEL_SW.csv
56,23,2.0850708924103416,11,11.99,2005,PAEL_SW.csv
57,23,1.5025025025025025,11,9.99,2005,PAEL_SW.csv
58,22,3.0020020020020017,1,9.99,2006,PAEL_SW.csv
59,22,2.5012510425354457,1,11.99,2006,PAEL_SW.csv
60,9,1.873907615480649,5,8.01,2006,PAEL_SW.csv
61,20,1.8348623853211008,12,11.99,2006,PAEL_SW.csv
62,21,2.002002002002002,1,9.99,2007,PAEL_SW.csv
63,21,2.919933277731442,1,11.99,2007,PAEL_SW.csv
64,22,1.4968789013732835,3,8.01,2007,PAEL_SW.csv
65,23,1.8018018018018016,3,9.99,2007,PAEL_SW.csv
66,23,2.002002002002002,3,9.99,2007,PAEL_SW.csv
67,16,1.4968789013732835,9,8.01,2007,PAEL_SW.csv
68,16,1.873907615480649,9,8.01,2007,PAEL_SW.csv
