,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,2,4.0,2,0.87,2016,MHPA2_E.csv
1,3,4.0,2,0.87,2016,MHPA2_E.csv
2,3,2.4742857142857138,2,1.75,2016,MHPA2_E.csv
3,3,6.988505747126437,2,0.87,2016,MHPA2_E.csv
4,3,4.977011494252873,2,0.87,2016,MHPA2_E.csv
5,3,4.977011494252873,2,0.87,2016,MHPA2_E.csv
6,3,4.977011494252873,2,0.87,2016,MHPA2_E.csv
7,3,4.977011494252873,2,0.87,2016,MHPA2_E.csv
8,3,6.988505747126437,2,0.87,2016,MHPA2_E.csv
9,3,4.0,2,0.87,2016,MHPA2_E.csv
10,3,4.0,2,0.87,2016,MHPA2_E.csv
11,4,4.977011494252873,2,0.87,2016,MHPA2_E.csv
12,4,4.965714285714285,2,1.75,2016,MHPA2_E.csv
13,4,6.988505747126437,2,0.87,2016,MHPA2_E.csv
14,4,5.988505747126437,2,0.87,2016,MHPA2_E.csv
15,4,4.0,2,0.87,2016,MHPA2_E.csv
16,4,4.0,2,0.87,2016,MHPA2_E.csv
17,4,5.988505747126437,2,0.87,2016,MHPA2_E.csv
18,4,4.965714285714285,2,1.75,2016,MHPA2_E.csv
19,4,5.988505747126437,2,0.87,2016,MHPA2_E.csv
20,4,6.988505747126437,2,0.87,2016,MHPA2_E.csv
21,4,4.977011494252873,2,0.87,2016,MHPA2_E.csv
22,4,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
23,4,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
24,4,4.0,2,0.87,2016,MHPA2_E.csv
25,4,4.0,2,0.87,2016,MHPA2_E.csv
26,5,2.9771428571428573,2,1.75,2016,MHPA2_E.csv
27,5,5.988505747126437,2,0.87,2016,MHPA2_E.csv
28,5,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
29,7,10.988505747126435,2,0.87,2016,MHPA2_E.csv
30,7,4.977011494252873,2,0.87,2016,MHPA2_E.csv
31,8,4.0,2,0.87,2016,MHPA2_E.csv
32,8,4.977011494252873,2,0.87,2016,MHPA2_E.csv
33,9,4.0,2,0.87,2016,MHPA2_E.csv
34,9,5.988505747126437,2,0.87,2016,MHPA2_E.csv
35,9,5.988505747126437,2,0.87,2016,MHPA2_E.csv
36,9,4.977011494252873,2,0.87,2016,MHPA2_E.csv
37,9,5.988505747126437,2,0.87,2016,MHPA2_E.csv
38,9,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
39,9,2.9771428571428573,2,1.75,2016,MHPA2_E.csv
40,9,2.9771428571428573,2,1.75,2016,MHPA2_E.csv
41,9,3.474285714285714,2,1.75,2016,MHPA2_E.csv
42,10,4.0,2,0.87,2016,MHPA2_E.csv
43,10,4.0,2,0.87,2016,MHPA2_E.csv
44,10,4.0,2,0.87,2016,MHPA2_E.csv
45,10,4.0,2,0.87,2016,MHPA2_E.csv
46,10,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
47,10,4.977011494252873,2,0.87,2016,MHPA2_E.csv
48,10,2.9885057471264367,2,0.87,2016,MHPA2_E.csv
49,10,4.977011494252873,2,0.87,2016,MHPA2_E.csv
50,11,4.0,2,0.87,2016,MHPA2_E.csv
51,11,3.977142857142857,2,1.75,2016,MHPA2_E.csv
52,11,5.988505747126437,2,0.87,2016,MHPA2_E.csv
