,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,2,5.988505747126437,2,0.87,2016,MHPA2_N.csv
1,2,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
2,2,4.0,2,0.87,2016,MHPA2_N.csv
3,2,4.0,2,0.87,2016,MHPA2_N.csv
4,3,4.0,2,0.87,2016,MHPA2_N.csv
5,3,4.0,2,0.87,2016,MHPA2_N.csv
6,3,6.988505747126437,2,0.87,2016,MHPA2_N.csv
7,3,5.988505747126437,2,0.87,2016,MHPA2_N.csv
8,3,4.0,2,0.87,2016,MHPA2_N.csv
9,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
10,3,3.474285714285714,2,1.75,2016,MHPA2_N.csv
11,3,5.988505747126437,2,0.87,2016,MHPA2_N.csv
12,3,5.988505747126437,2,0.87,2016,MHPA2_N.csv
13,3,2.9771428571428573,2,1.75,2016,MHPA2_N.csv
14,3,2.9771428571428573,2,1.75,2016,MHPA2_N.csv
15,3,4.0,2,0.87,2016,MHPA2_N.csv
16,3,4.0,2,0.87,2016,MHPA2_N.csv
17,3,2.4742857142857138,2,1.75,2016,MHPA2_N.csv
18,3,5.988505747126437,2,0.87,2016,MHPA2_N.csv
19,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
20,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
21,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
22,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
23,3,6.988505747126437,2,0.87,2016,MHPA2_N.csv
24,3,5.988505747126437,2,0.87,2016,MHPA2_N.csv
25,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
26,3,4.0,2,0.87,2016,MHPA2_N.csv
27,3,4.0,2,0.87,2016,MHPA2_N.csv
28,3,4.0,2,0.87,2016,MHPA2_N.csv
29,3,4.977011494252873,2,0.87,2016,MHPA2_N.csv
30,3,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
31,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
32,4,2.4742857142857138,2,1.75,2016,MHPA2_N.csv
33,4,4.0,2,0.87,2016,MHPA2_N.csv
34,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
35,4,4.0,2,0.87,2016,MHPA2_N.csv
36,4,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
37,4,4.0,2,0.87,2016,MHPA2_N.csv
38,4,4.965714285714285,2,1.75,2016,MHPA2_N.csv
39,4,4.0,2,0.87,2016,MHPA2_N.csv
40,4,4.0,2,0.87,2016,MHPA2_N.csv
41,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
42,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
43,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
44,4,4.0,2,0.87,2016,MHPA2_N.csv
45,4,2.4742857142857138,2,1.75,2016,MHPA2_N.csv
46,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
47,4,4.0,2,0.87,2016,MHPA2_N.csv
48,4,4.0,2,0.87,2016,MHPA2_N.csv
49,4,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
50,4,4.0,2,0.87,2016,MHPA2_N.csv
51,4,4.977011494252873,2,0.87,2016,MHPA2_N.csv
52,4,4.0,2,0.87,2016,MHPA2_N.csv
53,5,4.0,2,0.87,2016,MHPA2_N.csv
54,5,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
55,5,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
56,7,4.0,2,0.87,2016,MHPA2_N.csv
57,7,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
58,7,4.977011494252873,2,0.87,2016,MHPA2_N.csv
59,7,4.0,2,0.87,2016,MHPA2_N.csv
60,7,4.0,2,0.87,2016,MHPA2_N.csv
61,7,6.988505747126437,2,0.87,2016,MHPA2_N.csv
62,7,3.977142857142857,2,1.75,2016,MHPA2_N.csv
63,7,2.4742857142857138,2,1.75,2016,MHPA2_N.csv
64,7,4.977011494252873,2,0.87,2016,MHPA2_N.csv
65,7,8.0,2,0.87,2016,MHPA2_N.csv
66,7,4.0,2,0.87,2016,MHPA2_N.csv
67,7,4.0,2,0.87,2016,MHPA2_N.csv
68,7,2.9771428571428573,2,1.75,2016,MHPA2_N.csv
69,7,5.988505747126437,2,0.87,2016,MHPA2_N.csv
70,7,5.988505747126437,2,0.87,2016,MHPA2_N.csv
71,8,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
72,8,4.0,2,0.87,2016,MHPA2_N.csv
73,8,4.0,2,0.87,2016,MHPA2_N.csv
74,8,4.0,2,0.87,2016,MHPA2_N.csv
75,8,2.6769230769230767,2,2.6,2016,MHPA2_N.csv
76,8,5.988505747126437,2,0.87,2016,MHPA2_N.csv
77,8,4.4628571428571435,2,1.75,2016,MHPA2_N.csv
78,8,5.988505747126437,2,0.87,2016,MHPA2_N.csv
79,8,4.977011494252873,2,0.87,2016,MHPA2_N.csv
80,9,4.977011494252873,2,0.87,2016,MHPA2_N.csv
81,9,2.9885057471264367,2,0.87,2016,MHPA2_N.csv
82,9,4.977011494252873,2,0.87,2016,MHPA2_N.csv
