,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,31,2.0114942528735638,8,0.87,2010,BLTA2_S.csv
1,31,2.9885057471264367,8,0.87,2010,BLTA2_S.csv
2,2,2.9885057471264367,9,0.87,2010,BLTA2_S.csv
3,12,2.9885057471264367,9,0.87,2010,BLTA2_S.csv
4,15,1.9885714285714289,9,1.75,2010,BLTA2_S.csv
5,17,4.977011494252873,9,0.87,2010,BLTA2_S.csv
6,27,4.0,9,0.87,2010,BLTA2_S.csv
7,9,2.003846153846154,10,2.6,2010,BLTA2_S.csv
8,9,2.9885057471264367,10,0.87,2010,BLTA2_S.csv
9,11,4.0,10,0.87,2010,BLTA2_S.csv
10,12,2.0114942528735638,10,0.87,2010,BLTA2_S.csv
11,14,2.4742857142857138,10,1.75,2010,BLTA2_S.csv
12,14,2.9885057471264367,10,0.87,2010,BLTA2_S.csv
13,7,2.0114942528735638,11,0.87,2010,BLTA2_S.csv
14,15,2.9885057471264367,11,0.87,2010,BLTA2_S.csv
15,15,2.9771428571428573,11,1.75,2010,BLTA2_S.csv
16,16,2.9885057471264367,11,0.87,2010,BLTA2_S.csv
17,10,2.9885057471264367,12,0.87,2010,BLTA2_S.csv
18,6,2.4742857142857138,1,1.75,2011,BLTA2_S.csv
19,8,2.4742857142857138,1,1.75,2011,BLTA2_S.csv
20,8,2.9771428571428573,1,1.75,2011,BLTA2_S.csv
21,17,4.0,1,0.87,2011,BLTA2_S.csv
22,20,2.0114942528735638,1,0.87,2011,BLTA2_S.csv
23,20,2.4742857142857138,1,1.75,2011,BLTA2_S.csv
24,21,4.0,1,0.87,2011,BLTA2_S.csv
25,21,2.4742857142857138,1,1.75,2011,BLTA2_S.csv
26,26,2.9885057471264367,1,0.87,2011,BLTA2_S.csv
27,2,4.977011494252873,2,0.87,2011,BLTA2_S.csv
28,4,4.4628571428571435,2,1.75,2011,BLTA2_S.csv
29,4,2.9771428571428573,2,1.75,2011,BLTA2_S.csv
30,4,2.9885057471264367,2,0.87,2011,BLTA2_S.csv
31,7,1.6653846153846157,2,2.6,2011,BLTA2_S.csv
32,7,2.0114942528735638,2,0.87,2011,BLTA2_S.csv
33,13,4.977011494252873,2,0.87,2011,BLTA2_S.csv
34,17,2.0114942528735638,2,0.87,2011,BLTA2_S.csv
35,20,2.9885057471264367,2,0.87,2011,BLTA2_S.csv
36,20,4.977011494252873,2,0.87,2011,BLTA2_S.csv
37,22,2.9771428571428573,2,1.75,2011,BLTA2_S.csv
38,24,4.0,2,0.87,2011,BLTA2_S.csv
39,26,4.977011494252873,2,0.87,2011,BLTA2_S.csv
40,7,2.9885057471264367,3,0.87,2011,BLTA2_S.csv
41,17,2.9885057471264367,3,0.87,2011,BLTA2_S.csv
42,22,4.0,3,0.87,2011,BLTA2_S.csv
43,23,4.0,3,0.87,2011,BLTA2_S.csv
44,23,2.0114942528735638,3,0.87,2011,BLTA2_S.csv
45,24,4.977011494252873,3,0.87,2011,BLTA2_S.csv
46,25,4.0,3,0.87,2011,BLTA2_S.csv
47,28,3.474285714285714,3,1.75,2011,BLTA2_S.csv
48,28,4.0,3,0.87,2011,BLTA2_S.csv
49,2,4.0,4,0.87,2011,BLTA2_S.csv
50,4,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
51,6,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
52,18,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
53,19,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
54,19,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
55,19,5.988505747126437,4,0.87,2011,BLTA2_S.csv
56,29,5.988505747126437,4,0.87,2011,BLTA2_S.csv
57,29,2.9885057471264367,4,0.87,2011,BLTA2_S.csv
58,2,2.9885057471264367,5,0.87,2011,BLTA2_S.csv
59,5,2.9885057471264367,5,0.87,2011,BLTA2_S.csv
60,5,1.4857142857142858,5,1.75,2011,BLTA2_S.csv
61,5,2.0114942528735638,5,0.87,2011,BLTA2_S.csv
62,7,2.4742857142857138,5,1.75,2011,BLTA2_S.csv
63,7,4.977011494252873,5,0.87,2011,BLTA2_S.csv
64,9,4.977011494252873,5,0.87,2011,BLTA2_S.csv
65,9,2.9885057471264367,5,0.87,2011,BLTA2_S.csv
66,9,2.9885057471264367,5,0.87,2011,BLTA2_S.csv
67,12,2.9885057471264367,5,0.87,2011,BLTA2_S.csv
68,12,2.0114942528735638,5,0.87,2011,BLTA2_S.csv
69,24,4.977011494252873,5,0.87,2011,BLTA2_S.csv
70,24,2.0114942528735638,5,0.87,2011,BLTA2_S.csv
71,26,4.0,5,0.87,2011,BLTA2_S.csv
72,4,4.0,6,0.87,2011,BLTA2_S.csv
73,20,4.0,6,0.87,2011,BLTA2_S.csv
74,11,2.244252873563218,9,3.48,2015,BLTA2_S.csv
75,11,2.003846153846154,9,2.6,2015,BLTA2_S.csv
76,11,2.6769230769230767,9,2.6,2015,BLTA2_S.csv
77,11,1.7485632183908046,9,6.96,2015,BLTA2_S.csv
78,11,1.5,9,6.96,2015,BLTA2_S.csv
79,11,1.6679462571976966,9,5.21,2015,BLTA2_S.csv
80,11,1.8036951501154728,9,4.33,2015,BLTA2_S.csv
81,11,1.7471264367816093,9,3.48,2015,BLTA2_S.csv
82,11,1.7471264367816093,9,3.48,2015,BLTA2_S.csv
83,11,1.6653846153846157,9,2.6,2015,BLTA2_S.csv
84,11,2.6769230769230767,9,2.6,2015,BLTA2_S.csv
85,11,2.9885057471264367,9,0.87,2015,BLTA2_S.csv
86,12,2.003846153846154,9,2.6,2015,BLTA2_S.csv
87,12,1.7471264367816093,9,3.48,2015,BLTA2_S.csv
88,14,2.003846153846154,9,2.6,2015,BLTA2_S.csv
89,14,2.0,9,3.48,2015,BLTA2_S.csv
90,14,1.6073903002309469,9,4.33,2015,BLTA2_S.csv
91,14,2.3384615384615386,9,2.6,2015,BLTA2_S.csv
92,5,2.4742857142857138,2,1.75,2016,BLTA2_S.csv
93,5,2.810623556581986,2,4.33,2016,BLTA2_S.csv
94,6,2.9771428571428573,2,1.75,2016,BLTA2_S.csv
95,9,2.0038412291933416,2,7.81,2016,BLTA2_S.csv
96,9,1.5995397008055237,2,8.69,2016,BLTA2_S.csv
97,9,1.6679462571976966,2,5.21,2016,BLTA2_S.csv
98,13,2.0114942528735638,2,0.87,2016,BLTA2_S.csv
99,15,2.0069284064665127,2,4.33,2016,BLTA2_S.csv
100,15,4.0,2,0.87,2016,BLTA2_S.csv
101,22,3.474285714285714,2,1.75,2016,BLTA2_S.csv
102,22,2.0,2,3.48,2016,BLTA2_S.csv
103,22,2.003846153846154,2,2.6,2016,BLTA2_S.csv
104,29,2.4742857142857138,2,1.75,2016,BLTA2_S.csv
105,29,2.003846153846154,2,2.6,2016,BLTA2_S.csv
106,3,2.0,3,3.48,2016,BLTA2_S.csv
107,4,3.977142857142857,3,1.75,2016,BLTA2_S.csv
108,5,2.0114942528735638,3,0.87,2016,BLTA2_S.csv
109,7,2.9771428571428573,3,1.75,2016,BLTA2_S.csv
110,26,1.9885714285714289,3,1.75,2016,BLTA2_S.csv
111,27,4.0,3,0.87,2016,BLTA2_S.csv
112,27,1.6679462571976966,3,5.21,2016,BLTA2_S.csv
113,28,1.6670934699103714,3,7.81,2016,BLTA2_S.csv
114,28,1.7171052631578947,3,6.08,2016,BLTA2_S.csv
115,28,1.6679462571976966,3,5.21,2016,BLTA2_S.csv
116,28,1.6679462571976966,3,5.21,2016,BLTA2_S.csv
117,28,2.4971264367816093,3,3.48,2016,BLTA2_S.csv
118,28,2.0,3,3.48,2016,BLTA2_S.csv
119,30,2.003846153846154,3,2.6,2016,BLTA2_S.csv
120,30,2.9771428571428573,3,1.75,2016,BLTA2_S.csv
121,30,2.4742857142857138,3,1.75,2016,BLTA2_S.csv
122,30,2.9771428571428573,3,1.75,2016,BLTA2_S.csv
123,30,2.9885057471264367,3,0.87,2016,BLTA2_S.csv
124,1,2.0,4,3.48,2016,BLTA2_S.csv
125,1,2.244252873563218,4,3.48,2016,BLTA2_S.csv
126,2,2.4742857142857138,4,1.75,2016,BLTA2_S.csv
127,2,2.4742857142857138,4,1.75,2016,BLTA2_S.csv
128,2,4.0,4,0.87,2016,BLTA2_S.csv
129,2,2.0,4,3.48,2016,BLTA2_S.csv
130,2,1.8349328214971208,4,5.21,2016,BLTA2_S.csv
131,2,2.0038387715930903,4,5.21,2016,BLTA2_S.csv
132,2,2.4110854503464196,4,4.33,2016,BLTA2_S.csv
133,2,2.1414473684210527,4,6.08,2016,BLTA2_S.csv
134,2,2.0,4,3.48,2016,BLTA2_S.csv
135,2,2.003846153846154,4,2.6,2016,BLTA2_S.csv
136,2,2.003846153846154,4,2.6,2016,BLTA2_S.csv
137,2,1.6073903002309469,4,4.33,2016,BLTA2_S.csv
138,2,1.4990403071017273,4,5.21,2016,BLTA2_S.csv
139,2,1.7485632183908046,4,6.96,2016,BLTA2_S.csv
