,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,4,1.0,6,7.78,2016,46145_NE.csv
1,4,1.0,6,3.89,2016,46145_NE.csv
2,4,2.0051546391752577,6,1.94,2016,46145_NE.csv
3,5,1.1975308641975309,6,9.72,2016,46145_NE.csv
4,5,1.2493573264781492,6,7.78,2016,46145_NE.csv
5,5,1.0,6,3.89,2016,46145_NE.csv
6,5,1.0,6,1.94,2016,46145_NE.csv
7,5,1.0,6,3.89,2016,46145_NE.csv
8,6,1.0,6,3.89,2016,46145_NE.csv
9,10,2.0051546391752577,6,1.94,2016,46145_NE.csv
10,17,1.334476843910806,6,5.83,2016,46145_NE.csv
11,17,1.0,6,7.78,2016,46145_NE.csv
12,17,1.2493573264781492,6,7.78,2016,46145_NE.csv
13,17,1.2493573264781492,6,7.78,2016,46145_NE.csv
14,17,1.334476843910806,6,5.83,2016,46145_NE.csv
15,22,1.4987146529562982,6,3.89,2016,46145_NE.csv
16,22,1.334476843910806,6,5.83,2016,46145_NE.csv
17,22,1.0,6,7.78,2016,46145_NE.csv
18,22,1.334476843910806,6,5.83,2016,46145_NE.csv
19,23,1.4987146529562982,6,3.89,2016,46145_NE.csv
20,25,1.2493573264781492,6,7.78,2016,46145_NE.csv
21,25,1.1975308641975309,6,9.72,2016,46145_NE.csv
22,25,1.1975308641975309,6,9.72,2016,46145_NE.csv
23,5,1.0,7,5.83,2016,46145_NE.csv
24,7,1.2493573264781492,7,7.78,2016,46145_NE.csv
25,7,1.2493573264781492,7,7.78,2016,46145_NE.csv
26,7,1.2493573264781492,7,7.78,2016,46145_NE.csv
27,8,1.0,7,3.89,2016,46145_NE.csv
28,8,1.0,7,3.89,2016,46145_NE.csv
29,8,1.334476843910806,7,5.83,2016,46145_NE.csv
30,14,1.1692439862542954,7,11.64,2016,46145_NE.csv
31,14,1.1975308641975309,7,9.72,2016,46145_NE.csv
32,14,1.4002057613168724,7,9.72,2016,46145_NE.csv
33,14,1.1975308641975309,7,9.72,2016,46145_NE.csv
34,14,1.4987146529562982,7,3.89,2016,46145_NE.csv
35,14,1.0,7,3.89,2016,46145_NE.csv
36,19,1.0,7,3.89,2016,46145_NE.csv
37,19,1.4987146529562982,7,3.89,2016,46145_NE.csv
38,20,1.2493573264781492,7,7.78,2016,46145_NE.csv
39,20,1.1975308641975309,7,9.72,2016,46145_NE.csv
40,21,1.0,7,1.94,2016,46145_NE.csv
41,21,1.0,7,5.83,2016,46145_NE.csv
42,21,1.4987146529562982,7,3.89,2016,46145_NE.csv
43,25,1.334476843910806,7,5.83,2016,46145_NE.csv
44,25,1.334476843910806,7,5.83,2016,46145_NE.csv
45,25,1.0,7,5.83,2016,46145_NE.csv
46,26,1.334476843910806,7,5.83,2016,46145_NE.csv
47,26,1.0,7,5.83,2016,46145_NE.csv
48,27,1.0,7,5.83,2016,46145_NE.csv
49,27,1.0,7,5.83,2016,46145_NE.csv
50,27,2.0051546391752577,7,1.94,2016,46145_NE.csv
51,28,1.0,7,3.89,2016,46145_NE.csv
52,28,2.0051546391752577,7,1.94,2016,46145_NE.csv
53,15,1.4987146529562982,8,3.89,2016,46145_NE.csv
54,15,1.334476843910806,8,5.83,2016,46145_NE.csv
55,15,1.0,8,1.94,2016,46145_NE.csv
56,28,1.0,8,3.89,2016,46145_NE.csv
57,31,1.0,8,9.72,2016,46145_NE.csv
58,1,1.0,9,5.83,2016,46145_NE.csv
59,1,1.0,9,5.83,2016,46145_NE.csv
60,1,1.4987146529562982,9,3.89,2016,46145_NE.csv
61,1,1.0,9,1.94,2016,46145_NE.csv
62,11,1.4987146529562982,9,3.89,2016,46145_NE.csv
63,19,1.6672384219554033,9,5.83,2016,46145_NE.csv
64,19,1.334476843910806,9,5.83,2016,46145_NE.csv
65,19,1.0,9,7.78,2016,46145_NE.csv
66,19,1.334476843910806,9,5.83,2016,46145_NE.csv
67,19,1.0,9,7.78,2016,46145_NE.csv
68,19,1.4987146529562982,9,3.89,2016,46145_NE.csv
69,19,1.0,9,1.94,2016,46145_NE.csv
70,21,1.4987146529562982,9,3.89,2016,46145_NE.csv
71,25,1.1692439862542954,9,11.64,2016,46145_NE.csv
72,28,1.1410727406318883,9,13.61,2016,46145_NE.csv
73,29,1.1975308641975309,9,9.72,2016,46145_NE.csv
74,29,1.0,9,5.83,2016,46145_NE.csv
75,29,1.0,9,1.94,2016,46145_NE.csv
76,30,2.0051546391752577,9,1.94,2016,46145_NE.csv
77,30,1.4961439588688947,9,7.78,2016,46145_NE.csv
78,1,1.1975308641975309,10,9.72,2016,46145_NE.csv
79,1,1.1692439862542954,10,11.64,2016,46145_NE.csv
80,1,1.1255634256278173,10,15.53,2016,46145_NE.csv
81,1,1.1975308641975309,10,9.72,2016,46145_NE.csv
82,4,1.1692439862542954,10,11.64,2016,46145_NE.csv
83,4,1.1692439862542954,10,11.64,2016,46145_NE.csv
84,4,1.1975308641975309,10,9.72,2016,46145_NE.csv
85,4,1.1975308641975309,10,9.72,2016,46145_NE.csv
86,6,2.0051546391752577,10,1.94,2016,46145_NE.csv
87,6,1.334476843910806,10,5.83,2016,46145_NE.csv
88,6,1.1975308641975309,10,9.72,2016,46145_NE.csv
89,6,1.0,10,11.64,2016,46145_NE.csv
90,6,1.4002057613168724,10,9.72,2016,46145_NE.csv
91,7,1.334476843910806,10,5.83,2016,46145_NE.csv
92,7,1.0,10,5.83,2016,46145_NE.csv
93,7,1.0,10,3.89,2016,46145_NE.csv
94,7,1.4002057613168724,10,9.72,2016,46145_NE.csv
95,8,1.0,10,9.72,2016,46145_NE.csv
96,8,1.334476843910806,10,5.83,2016,46145_NE.csv
97,8,1.1692439862542954,10,11.64,2016,46145_NE.csv
98,8,1.1692439862542954,10,11.64,2016,46145_NE.csv
99,8,1.1410727406318883,10,13.61,2016,46145_NE.csv
100,8,1.2493573264781492,10,7.78,2016,46145_NE.csv
101,8,1.334476843910806,10,5.83,2016,46145_NE.csv
102,8,1.0,10,5.83,2016,46145_NE.csv
103,9,1.4987146529562982,10,3.89,2016,46145_NE.csv
104,9,1.0,10,3.89,2016,46145_NE.csv
105,10,1.2493573264781492,10,7.78,2016,46145_NE.csv
106,10,1.2493573264781492,10,7.78,2016,46145_NE.csv
107,14,1.2504829362524148,10,15.53,2016,46145_NE.csv
108,14,1.2219679633867275,10,17.48,2016,46145_NE.csv
109,16,1.1975308641975309,10,9.72,2016,46145_NE.csv
110,23,1.2504829362524148,10,15.53,2016,46145_NE.csv
111,23,1.2504829362524148,10,15.53,2016,46145_NE.csv
112,23,1.3754024468770123,10,15.53,2016,46145_NE.csv
113,23,1.2729400749063668,10,21.36,2016,46145_NE.csv
114,23,1.182116104868914,10,21.36,2016,46145_NE.csv
115,24,1.1410727406318883,10,13.61,2016,46145_NE.csv
116,24,1.2504829362524148,10,15.53,2016,46145_NE.csv
117,24,1.2219679633867275,10,17.48,2016,46145_NE.csv
118,24,1.2504829362524148,10,15.53,2016,46145_NE.csv
119,24,1.2219679633867275,10,17.48,2016,46145_NE.csv
120,24,1.2219679633867275,10,17.48,2016,46145_NE.csv
121,24,1.2504829362524148,10,15.53,2016,46145_NE.csv
122,24,1.2504829362524148,10,15.53,2016,46145_NE.csv
123,24,1.1255634256278173,10,15.53,2016,46145_NE.csv
124,24,1.2219679633867275,10,17.48,2016,46145_NE.csv
125,24,1.28434974283615,10,13.61,2016,46145_NE.csv
126,25,1.1255634256278173,10,15.53,2016,46145_NE.csv
127,25,1.2504829362524148,10,15.53,2016,46145_NE.csv
128,25,1.1692439862542954,10,11.64,2016,46145_NE.csv
129,25,1.1692439862542954,10,11.64,2016,46145_NE.csv
130,25,1.1410727406318883,10,13.61,2016,46145_NE.csv
131,25,1.1255634256278173,10,15.53,2016,46145_NE.csv
132,25,1.2504829362524148,10,15.53,2016,46145_NE.csv
133,25,1.1410727406318883,10,13.61,2016,46145_NE.csv
134,25,1.1255634256278173,10,15.53,2016,46145_NE.csv
135,25,1.1255634256278173,10,15.53,2016,46145_NE.csv
136,25,1.2219679633867275,10,17.48,2016,46145_NE.csv
137,25,1.182116104868914,10,21.36,2016,46145_NE.csv
138,25,1.1664521664521663,10,23.31,2016,46145_NE.csv
139,25,1.2729400749063668,10,21.36,2016,46145_NE.csv
140,25,1.2003089598352212,10,19.42,2016,46145_NE.csv
141,25,1.2003089598352212,10,19.42,2016,46145_NE.csv
