,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,5,1.0,6,3.89,2016,46145_SW.csv
1,6,1.1692439862542954,6,11.64,2016,46145_SW.csv
2,9,1.2493573264781492,6,7.78,2016,46145_SW.csv
3,9,1.1692439862542954,6,11.64,2016,46145_SW.csv
4,9,1.0,6,11.64,2016,46145_SW.csv
5,9,1.3341924398625429,6,11.64,2016,46145_SW.csv
6,9,1.1975308641975309,6,9.72,2016,46145_SW.csv
7,9,1.1975308641975309,6,9.72,2016,46145_SW.csv
8,12,1.2003089598352212,6,19.42,2016,46145_SW.csv
9,12,1.110983981693364,6,17.48,2016,46145_SW.csv
10,13,1.28434974283615,6,13.61,2016,46145_SW.csv
11,13,1.2504829362524148,6,15.53,2016,46145_SW.csv
12,13,1.28434974283615,6,13.61,2016,46145_SW.csv
13,13,1.1692439862542954,6,11.64,2016,46145_SW.csv
14,13,1.3341924398625429,6,11.64,2016,46145_SW.csv
15,13,1.1975308641975309,6,9.72,2016,46145_SW.csv
16,13,1.1692439862542954,6,11.64,2016,46145_SW.csv
17,13,1.2493573264781492,6,7.78,2016,46145_SW.csv
18,13,1.2493573264781492,6,7.78,2016,46145_SW.csv
19,13,1.1975308641975309,6,9.72,2016,46145_SW.csv
20,13,1.334476843910806,6,5.83,2016,46145_SW.csv
21,13,1.334476843910806,6,5.83,2016,46145_SW.csv
22,15,1.4961439588688947,6,7.78,2016,46145_SW.csv
23,15,1.2493573264781492,6,7.78,2016,46145_SW.csv
24,15,1.334476843910806,6,5.83,2016,46145_SW.csv
25,16,1.2493573264781492,6,7.78,2016,46145_SW.csv
26,17,2.0051546391752577,6,1.94,2016,46145_SW.csv
27,21,1.2493573264781492,6,7.78,2016,46145_SW.csv
28,21,1.2493573264781492,6,7.78,2016,46145_SW.csv
29,21,1.0,6,7.78,2016,46145_SW.csv
30,21,1.0,6,7.78,2016,46145_SW.csv
31,21,1.0,6,7.78,2016,46145_SW.csv
32,22,1.0,6,5.83,2016,46145_SW.csv
33,22,1.334476843910806,6,5.83,2016,46145_SW.csv
34,24,1.4961439588688947,6,7.78,2016,46145_SW.csv
35,24,1.1692439862542954,6,11.64,2016,46145_SW.csv
36,26,1.334476843910806,6,5.83,2016,46145_SW.csv
37,30,1.334476843910806,6,5.83,2016,46145_SW.csv
38,30,1.334476843910806,6,5.83,2016,46145_SW.csv
39,1,1.4987146529562982,7,3.89,2016,46145_SW.csv
40,2,1.4002057613168724,7,9.72,2016,46145_SW.csv
41,2,1.1410727406318883,7,13.61,2016,46145_SW.csv
42,2,1.2493573264781492,7,7.78,2016,46145_SW.csv
43,5,1.4987146529562982,7,3.89,2016,46145_SW.csv
44,5,1.4987146529562982,7,3.89,2016,46145_SW.csv
45,9,1.4987146529562982,7,3.89,2016,46145_SW.csv
46,9,1.2493573264781492,7,7.78,2016,46145_SW.csv
47,9,1.1975308641975309,7,9.72,2016,46145_SW.csv
48,10,1.1975308641975309,7,9.72,2016,46145_SW.csv
49,10,1.334476843910806,7,5.83,2016,46145_SW.csv
50,10,1.334476843910806,7,5.83,2016,46145_SW.csv
51,10,1.334476843910806,7,5.83,2016,46145_SW.csv
52,19,1.334476843910806,7,5.83,2016,46145_SW.csv
53,22,1.334476843910806,7,5.83,2016,46145_SW.csv
54,22,1.0,7,7.78,2016,46145_SW.csv
55,22,1.334476843910806,7,5.83,2016,46145_SW.csv
56,22,1.1975308641975309,7,9.72,2016,46145_SW.csv
57,22,1.1975308641975309,7,9.72,2016,46145_SW.csv
58,23,1.6672384219554033,7,5.83,2016,46145_SW.csv
59,23,1.4002057613168724,7,9.72,2016,46145_SW.csv
60,23,1.1410727406318883,7,13.61,2016,46145_SW.csv
61,24,1.1975308641975309,7,9.72,2016,46145_SW.csv
62,24,1.2493573264781492,7,7.78,2016,46145_SW.csv
63,24,1.1692439862542954,7,11.64,2016,46145_SW.csv
64,24,1.4002057613168724,7,9.72,2016,46145_SW.csv
65,24,1.1692439862542954,7,11.64,2016,46145_SW.csv
66,24,1.1692439862542954,7,11.64,2016,46145_SW.csv
67,24,1.1975308641975309,7,9.72,2016,46145_SW.csv
68,24,1.1975308641975309,7,9.72,2016,46145_SW.csv
69,24,1.0,7,7.78,2016,46145_SW.csv
70,24,1.4961439588688947,7,7.78,2016,46145_SW.csv
71,24,1.334476843910806,7,5.83,2016,46145_SW.csv
72,24,1.6672384219554033,7,5.83,2016,46145_SW.csv
73,24,1.4987146529562982,7,3.89,2016,46145_SW.csv
74,24,1.2493573264781492,7,7.78,2016,46145_SW.csv
75,25,1.0,7,1.94,2016,46145_SW.csv
76,28,1.6672384219554033,7,5.83,2016,46145_SW.csv
77,28,2.0051546391752577,7,1.94,2016,46145_SW.csv
78,3,1.2493573264781492,8,7.78,2016,46145_SW.csv
79,3,1.2493573264781492,8,7.78,2016,46145_SW.csv
80,3,1.2493573264781492,8,7.78,2016,46145_SW.csv
81,3,1.0,8,9.72,2016,46145_SW.csv
82,4,1.1692439862542954,8,11.64,2016,46145_SW.csv
83,8,2.0051546391752577,8,1.94,2016,46145_SW.csv
84,9,1.2493573264781492,8,7.78,2016,46145_SW.csv
85,9,1.2493573264781492,8,7.78,2016,46145_SW.csv
