,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,29,1.4987146529562982,9,3.89,2017,46082_NW.csv
1,30,1.2493573264781492,9,7.78,2017,46082_NW.csv
2,30,1.1692439862542954,9,11.64,2017,46082_NW.csv
3,6,1.4002057613168724,10,9.72,2017,46082_NW.csv
4,7,1.1975308641975309,10,9.72,2017,46082_NW.csv
5,7,1.334476843910806,10,5.83,2017,46082_NW.csv
6,9,3.0051546391752577,10,1.94,2017,46082_NW.csv
7,10,1.4987146529562982,10,3.89,2017,46082_NW.csv
8,10,1.0,10,3.89,2017,46082_NW.csv
9,10,1.0,10,3.89,2017,46082_NW.csv
10,11,2.0051546391752577,10,1.94,2017,46082_NW.csv
11,11,1.1975308641975309,10,9.72,2017,46082_NW.csv
12,11,1.2493573264781492,10,7.78,2017,46082_NW.csv
13,11,1.2493573264781492,10,7.78,2017,46082_NW.csv
14,11,1.1975308641975309,10,9.72,2017,46082_NW.csv
15,11,1.1975308641975309,10,9.72,2017,46082_NW.csv
16,11,1.1692439862542954,10,11.64,2017,46082_NW.csv
17,11,1.4002057613168724,10,9.72,2017,46082_NW.csv
18,11,1.334476843910806,10,5.83,2017,46082_NW.csv
19,11,1.2493573264781492,10,7.78,2017,46082_NW.csv
20,11,1.0,10,7.78,2017,46082_NW.csv
21,11,1.0,10,7.78,2017,46082_NW.csv
22,11,1.1975308641975309,10,9.72,2017,46082_NW.csv
23,11,1.2493573264781492,10,7.78,2017,46082_NW.csv
24,12,1.334476843910806,10,5.83,2017,46082_NW.csv
25,12,1.334476843910806,10,5.83,2017,46082_NW.csv
26,12,1.4987146529562982,10,3.89,2017,46082_NW.csv
27,12,2.0051546391752577,10,1.94,2017,46082_NW.csv
28,12,1.334476843910806,10,5.83,2017,46082_NW.csv
29,15,1.4987146529562982,10,3.89,2017,46082_NW.csv
30,19,1.9965694682675816,10,5.83,2017,46082_NW.csv
31,19,1.4987146529562982,10,3.89,2017,46082_NW.csv
32,19,1.1975308641975309,10,9.72,2017,46082_NW.csv
33,19,1.6672384219554033,10,5.83,2017,46082_NW.csv
34,19,1.334476843910806,10,5.83,2017,46082_NW.csv
35,19,2.0,10,3.89,2017,46082_NW.csv
36,19,1.4961439588688947,10,7.78,2017,46082_NW.csv
37,20,1.6672384219554033,10,5.83,2017,46082_NW.csv
38,20,2.0,10,3.89,2017,46082_NW.csv
39,20,1.334476843910806,10,5.83,2017,46082_NW.csv
40,21,1.2493573264781492,10,7.78,2017,46082_NW.csv
41,21,2.0,10,3.89,2017,46082_NW.csv
42,22,1.0,10,5.83,2017,46082_NW.csv
43,22,1.2493573264781492,10,7.78,2017,46082_NW.csv
44,22,1.0,10,9.72,2017,46082_NW.csv
45,22,1.4002057613168724,10,9.72,2017,46082_NW.csv
46,22,1.1975308641975309,10,9.72,2017,46082_NW.csv
47,22,1.4002057613168724,10,9.72,2017,46082_NW.csv
48,22,1.3341924398625429,10,11.64,2017,46082_NW.csv
49,22,1.2504829362524148,10,15.53,2017,46082_NW.csv
50,22,1.28434974283615,10,13.61,2017,46082_NW.csv
51,22,1.28434974283615,10,13.61,2017,46082_NW.csv
52,22,1.4002057613168724,10,9.72,2017,46082_NW.csv
53,22,1.4002057613168724,10,9.72,2017,46082_NW.csv
54,22,1.4002057613168724,10,9.72,2017,46082_NW.csv
55,22,1.7493573264781492,10,7.78,2017,46082_NW.csv
56,22,1.7493573264781492,10,7.78,2017,46082_NW.csv
57,22,1.4961439588688947,10,7.78,2017,46082_NW.csv
58,22,1.6672384219554033,10,5.83,2017,46082_NW.csv
59,22,1.4987146529562982,10,3.89,2017,46082_NW.csv
60,22,1.4987146529562982,10,3.89,2017,46082_NW.csv
61,23,1.4987146529562982,10,3.89,2017,46082_NW.csv
62,24,1.28434974283615,10,13.61,2017,46082_NW.csv
63,24,1.1410727406318883,10,13.61,2017,46082_NW.csv
64,29,2.0051546391752577,10,1.94,2017,46082_NW.csv
65,31,1.4002057613168724,10,9.72,2017,46082_NW.csv
66,31,1.1975308641975309,10,9.72,2017,46082_NW.csv
67,31,1.3341924398625429,10,11.64,2017,46082_NW.csv
68,31,1.28434974283615,10,13.61,2017,46082_NW.csv
69,31,1.28434974283615,10,13.61,2017,46082_NW.csv
70,31,1.1975308641975309,10,9.72,2017,46082_NW.csv
71,31,1.6672384219554033,10,5.83,2017,46082_NW.csv
72,31,3.0051546391752577,10,1.94,2017,46082_NW.csv
73,1,1.334476843910806,11,5.83,2017,46082_NW.csv
74,1,2.0,11,3.89,2017,46082_NW.csv
75,1,1.334476843910806,11,5.83,2017,46082_NW.csv
76,2,1.0,11,1.94,2017,46082_NW.csv
77,2,1.3341924398625429,11,11.64,2017,46082_NW.csv
78,3,1.4987146529562982,11,3.89,2017,46082_NW.csv
79,3,1.2493573264781492,11,7.78,2017,46082_NW.csv
80,3,1.0,11,5.83,2017,46082_NW.csv
81,3,1.1692439862542954,11,11.64,2017,46082_NW.csv
82,3,1.0,11,11.64,2017,46082_NW.csv
83,3,1.0,11,9.72,2017,46082_NW.csv
84,3,1.4987146529562982,11,3.89,2017,46082_NW.csv
85,3,1.6672384219554033,11,5.83,2017,46082_NW.csv
86,4,2.0051546391752577,11,1.94,2017,46082_NW.csv
87,4,1.0,11,5.83,2017,46082_NW.csv
88,4,1.1975308641975309,11,9.72,2017,46082_NW.csv
89,7,1.6672384219554033,11,5.83,2017,46082_NW.csv
90,7,3.0051546391752577,11,1.94,2017,46082_NW.csv
91,7,1.6672384219554033,11,5.83,2017,46082_NW.csv
92,8,1.7493573264781492,11,7.78,2017,46082_NW.csv
93,8,1.5017182130584192,11,11.64,2017,46082_NW.csv
94,8,1.5977366255144032,11,9.72,2017,46082_NW.csv
95,8,1.5977366255144032,11,9.72,2017,46082_NW.csv
96,8,1.4002057613168724,11,9.72,2017,46082_NW.csv
97,8,1.6672384219554033,11,5.83,2017,46082_NW.csv
98,8,2.4987146529562985,11,3.89,2017,46082_NW.csv
99,8,2.0,11,3.89,2017,46082_NW.csv
100,8,1.4961439588688947,11,7.78,2017,46082_NW.csv
101,8,1.4961439588688947,11,7.78,2017,46082_NW.csv
102,8,1.4961439588688947,11,7.78,2017,46082_NW.csv
103,8,1.4002057613168724,11,9.72,2017,46082_NW.csv
104,8,1.4002057613168724,11,9.72,2017,46082_NW.csv
105,8,1.4961439588688947,11,7.78,2017,46082_NW.csv
106,8,1.9965694682675816,11,5.83,2017,46082_NW.csv
107,8,1.4268919911829538,11,13.61,2017,46082_NW.csv
108,8,1.5017182130584192,11,11.64,2017,46082_NW.csv
109,8,1.3341924398625429,11,11.64,2017,46082_NW.csv
110,8,1.3341924398625429,11,11.64,2017,46082_NW.csv
111,9,3.0051546391752577,11,1.94,2017,46082_NW.csv
112,9,3.0051546391752577,11,1.94,2017,46082_NW.csv
113,9,2.0,11,3.89,2017,46082_NW.csv
114,9,1.6672384219554033,11,5.83,2017,46082_NW.csv
115,9,1.4961439588688947,11,7.78,2017,46082_NW.csv
116,9,1.4961439588688947,11,7.78,2017,46082_NW.csv
117,9,1.2493573264781492,11,7.78,2017,46082_NW.csv
118,10,1.334476843910806,11,5.83,2017,46082_NW.csv
119,10,1.334476843910806,11,5.83,2017,46082_NW.csv
120,10,1.6672384219554033,11,5.83,2017,46082_NW.csv
121,10,1.2493573264781492,11,7.78,2017,46082_NW.csv
122,10,1.4961439588688947,11,7.78,2017,46082_NW.csv
123,10,1.4961439588688947,11,7.78,2017,46082_NW.csv
124,10,1.4961439588688947,11,7.78,2017,46082_NW.csv
125,10,2.0,11,3.89,2017,46082_NW.csv
126,12,1.1692439862542954,11,11.64,2017,46082_NW.csv
127,12,1.2493573264781492,11,7.78,2017,46082_NW.csv
128,15,1.2493573264781492,11,7.78,2017,46082_NW.csv
129,15,1.2493573264781492,11,7.78,2017,46082_NW.csv
130,15,1.6672384219554033,11,5.83,2017,46082_NW.csv
131,15,1.334476843910806,11,5.83,2017,46082_NW.csv
132,15,1.334476843910806,11,5.83,2017,46082_NW.csv
133,16,1.4987146529562982,11,3.89,2017,46082_NW.csv
134,16,1.4987146529562982,11,3.89,2017,46082_NW.csv
135,16,1.4987146529562982,11,3.89,2017,46082_NW.csv
136,16,3.0051546391752577,11,1.94,2017,46082_NW.csv
137,16,1.2493573264781492,11,7.78,2017,46082_NW.csv
138,16,1.334476843910806,11,5.83,2017,46082_NW.csv
139,16,2.0051546391752577,11,1.94,2017,46082_NW.csv
140,18,2.0051546391752577,11,1.94,2017,46082_NW.csv
141,22,1.6672384219554033,11,5.83,2017,46082_NW.csv
142,22,1.6672384219554033,11,5.83,2017,46082_NW.csv
143,22,1.3341924398625429,11,11.64,2017,46082_NW.csv
144,22,1.4961439588688947,11,7.78,2017,46082_NW.csv
145,22,1.1692439862542954,11,11.64,2017,46082_NW.csv
146,22,1.28434974283615,11,13.61,2017,46082_NW.csv
147,22,1.110983981693364,11,17.48,2017,46082_NW.csv
148,22,1.1255634256278173,11,15.53,2017,46082_NW.csv
149,22,1.1692439862542954,11,11.64,2017,46082_NW.csv
150,23,1.4961439588688947,11,7.78,2017,46082_NW.csv
151,23,1.334476843910806,11,5.83,2017,46082_NW.csv
152,25,1.6672384219554033,11,5.83,2017,46082_NW.csv
153,1,1.4987146529562982,12,3.89,2017,46082_NW.csv
154,1,1.334476843910806,12,5.83,2017,46082_NW.csv
155,1,1.2493573264781492,12,7.78,2017,46082_NW.csv
156,1,1.334476843910806,12,5.83,2017,46082_NW.csv
157,1,1.334476843910806,12,5.83,2017,46082_NW.csv
158,1,1.4987146529562982,12,3.89,2017,46082_NW.csv
159,1,1.4002057613168724,12,9.72,2017,46082_NW.csv
160,1,1.1692439862542954,12,11.64,2017,46082_NW.csv
161,2,1.2493573264781492,12,7.78,2017,46082_NW.csv
162,2,1.4987146529562982,12,3.89,2017,46082_NW.csv
163,2,1.4987146529562982,12,3.89,2017,46082_NW.csv
164,2,1.334476843910806,12,5.83,2017,46082_NW.csv
165,2,1.4987146529562982,12,3.89,2017,46082_NW.csv
166,2,2.0051546391752577,12,1.94,2017,46082_NW.csv
167,2,2.0051546391752577,12,1.94,2017,46082_NW.csv
168,19,1.334476843910806,12,5.83,2017,46082_NW.csv
169,19,1.0,12,7.78,2017,46082_NW.csv
170,19,2.0,12,3.89,2017,46082_NW.csv
171,19,1.4987146529562982,12,3.89,2017,46082_NW.csv
172,19,1.334476843910806,12,5.83,2017,46082_NW.csv
173,19,1.2493573264781492,12,7.78,2017,46082_NW.csv
174,19,1.334476843910806,12,5.83,2017,46082_NW.csv
175,19,1.4987146529562982,12,3.89,2017,46082_NW.csv
176,19,2.0051546391752577,12,1.94,2017,46082_NW.csv
177,20,1.2493573264781492,12,7.78,2017,46082_NW.csv
178,20,1.3341924398625429,12,11.64,2017,46082_NW.csv
179,20,1.1975308641975309,12,9.72,2017,46082_NW.csv
180,20,1.3341924398625429,12,11.64,2017,46082_NW.csv
181,21,1.28434974283615,12,13.61,2017,46082_NW.csv
182,21,1.1410727406318883,12,13.61,2017,46082_NW.csv
183,21,1.1410727406318883,12,13.61,2017,46082_NW.csv
184,21,1.1692439862542954,12,11.64,2017,46082_NW.csv
185,21,1.1975308641975309,12,9.72,2017,46082_NW.csv
186,25,1.334476843910806,12,5.83,2017,46082_NW.csv
187,25,1.6672384219554033,12,5.83,2017,46082_NW.csv
188,26,1.4961439588688947,12,7.78,2017,46082_NW.csv
189,26,1.334476843910806,12,5.83,2017,46082_NW.csv
190,26,1.4987146529562982,12,3.89,2017,46082_NW.csv
191,26,1.334476843910806,12,5.83,2017,46082_NW.csv
192,26,1.334476843910806,12,5.83,2017,46082_NW.csv
193,26,1.334476843910806,12,5.83,2017,46082_NW.csv
194,26,1.2493573264781492,12,7.78,2017,46082_NW.csv
195,26,1.1975308641975309,12,9.72,2017,46082_NW.csv
196,26,1.2493573264781492,12,7.78,2017,46082_NW.csv
197,26,1.1692439862542954,12,11.64,2017,46082_NW.csv
198,26,1.2493573264781492,12,7.78,2017,46082_NW.csv
199,26,1.334476843910806,12,5.83,2017,46082_NW.csv
200,28,1.4987146529562982,12,3.89,2017,46082_NW.csv
201,28,2.0,12,3.89,2017,46082_NW.csv
202,28,1.2493573264781492,12,7.78,2017,46082_NW.csv
203,28,1.1975308641975309,12,9.72,2017,46082_NW.csv
204,28,1.1692439862542954,12,11.64,2017,46082_NW.csv
205,28,1.1692439862542954,12,11.64,2017,46082_NW.csv
206,28,1.3341924398625429,12,11.64,2017,46082_NW.csv
207,28,1.3341924398625429,12,11.64,2017,46082_NW.csv
208,28,1.3341924398625429,12,11.64,2017,46082_NW.csv
209,29,1.1692439862542954,12,11.64,2017,46082_NW.csv
210,29,1.3341924398625429,12,11.64,2017,46082_NW.csv
211,29,1.1692439862542954,12,11.64,2017,46082_NW.csv
212,29,1.1692439862542954,12,11.64,2017,46082_NW.csv
213,29,1.4961439588688947,12,7.78,2017,46082_NW.csv
214,29,2.0,12,3.89,2017,46082_NW.csv
