,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,29,3.3653846153846154,7,0.52,2016,GNUA2_W.csv
1,29,2.5,7,0.7,2016,GNUA2_W.csv
2,30,2.2357142857142858,7,1.4,2016,GNUA2_W.csv
3,30,2.1052631578947367,7,0.95,2016,GNUA2_W.csv
4,30,4.714285714285714,7,0.35,2016,GNUA2_W.csv
5,31,3.0232558139534884,7,0.43,2016,GNUA2_W.csv
6,1,2.473684210526316,8,0.95,2016,GNUA2_W.csv
7,1,1.6095238095238094,8,2.1,2016,GNUA2_W.csv
8,3,1.7948717948717947,8,0.78,2016,GNUA2_W.csv
9,3,2.466666666666667,8,0.6,2016,GNUA2_W.csv
10,4,1.9314285714285715,8,1.75,2016,GNUA2_W.csv
11,4,1.7428571428571429,8,1.05,2016,GNUA2_W.csv
12,4,2.103448275862069,8,0.87,2016,GNUA2_W.csv
13,5,1.5714285714285712,8,1.05,2016,GNUA2_W.csv
14,5,3.2285714285714286,8,0.35,2016,GNUA2_W.csv
15,5,2.2105263157894743,8,0.95,2016,GNUA2_W.csv
16,5,2.0737704918032787,8,1.22,2016,GNUA2_W.csv
17,5,1.8857142857142857,8,1.75,2016,GNUA2_W.csv
18,6,2.792857142857143,8,1.4,2016,GNUA2_W.csv
19,6,2.916666666666667,8,0.6,2016,GNUA2_W.csv
20,6,3.3653846153846154,8,0.52,2016,GNUA2_W.csv
21,7,2.1142857142857143,8,0.7,2016,GNUA2_W.csv
22,7,3.255813953488372,8,0.43,2016,GNUA2_W.csv
23,7,2.339743589743589,8,1.56,2016,GNUA2_W.csv
24,7,1.7454545454545456,8,1.65,2016,GNUA2_W.csv
25,7,1.9210526315789476,8,1.9,2016,GNUA2_W.csv
26,8,4.0,8,0.35,2016,GNUA2_W.csv
27,8,3.4857142857142858,8,0.35,2016,GNUA2_W.csv
28,8,3.2285714285714286,8,0.35,2016,GNUA2_W.csv
29,9,2.75,8,0.6,2016,GNUA2_W.csv
30,9,5.153846153846153,8,0.52,2016,GNUA2_W.csv
31,10,2.1153846153846154,8,0.78,2016,GNUA2_W.csv
32,11,2.2988505747126435,8,0.87,2016,GNUA2_W.csv
33,11,3.1153846153846154,8,0.78,2016,GNUA2_W.csv
34,11,2.333333333333333,8,0.6,2016,GNUA2_W.csv
35,12,2.1575757575757577,8,1.65,2016,GNUA2_W.csv
36,12,1.9453551912568303,8,1.83,2016,GNUA2_W.csv
37,13,2.238095238095238,8,1.05,2016,GNUA2_W.csv
