,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,25,3.0000000000000004,5,0.35,2018,GLIA2_NE.csv
1,26,4.633333333333333,5,0.6,2018,GLIA2_NE.csv
2,1,1.846153846153846,6,1.56,2018,GLIA2_NE.csv
3,7,2.612021857923497,6,1.83,2018,GLIA2_NE.csv
4,7,2.360655737704918,6,1.22,2018,GLIA2_NE.csv
5,7,3.2844444444444445,6,2.25,2018,GLIA2_NE.csv
6,8,1.4729729729729732,6,1.48,2018,GLIA2_NE.csv
7,9,1.383050847457627,6,2.95,2018,GLIA2_NE.csv
8,15,1.5000000000000002,6,1.4,2018,GLIA2_NE.csv
9,17,2.346153846153846,6,0.52,2018,GLIA2_NE.csv
10,24,1.986238532110092,6,2.18,2018,GLIA2_NE.csv
11,25,2.564102564102564,6,0.78,2018,GLIA2_NE.csv
12,26,1.331914893617021,6,2.35,2018,GLIA2_NE.csv
13,29,3.75,6,0.6,2018,GLIA2_NE.csv
14,1,1.278688524590164,7,1.22,2018,GLIA2_NE.csv
15,2,1.6848484848484848,7,1.65,2018,GLIA2_NE.csv
16,10,2.7885714285714287,7,1.75,2018,GLIA2_NE.csv
17,12,1.8584070796460181,7,1.13,2018,GLIA2_NE.csv
18,20,1.9142857142857144,7,1.4,2018,GLIA2_NE.csv
19,24,1.4346153846153846,7,2.6,2018,GLIA2_NE.csv
20,24,1.2469135802469131,7,2.43,2018,GLIA2_NE.csv
21,24,1.6071428571428572,7,1.4,2018,GLIA2_NE.csv
22,27,3.692307692307692,7,0.78,2018,GLIA2_NE.csv
23,6,3.255813953488372,8,0.43,2018,GLIA2_NE.csv
24,13,2.294736842105264,8,0.95,2018,GLIA2_NE.csv
25,13,2.78,8,2.0,2018,GLIA2_NE.csv
26,14,2.7103825136612016,8,1.83,2018,GLIA2_NE.csv
27,15,2.48,8,2.0,2018,GLIA2_NE.csv
28,15,2.04,8,2.0,2018,GLIA2_NE.csv
29,16,1.68141592920354,8,1.13,2018,GLIA2_NE.csv
30,16,2.4054054054054053,8,1.48,2018,GLIA2_NE.csv
31,17,2.0484848484848484,8,1.65,2018,GLIA2_NE.csv
32,17,2.147368421052632,8,1.9,2018,GLIA2_NE.csv
33,20,2.0761904761904764,8,1.05,2018,GLIA2_NE.csv
34,20,1.842105263157895,8,0.95,2018,GLIA2_NE.csv
35,20,1.846153846153846,8,1.56,2018,GLIA2_NE.csv
36,22,2.3842105263157896,8,1.9,2018,GLIA2_NE.csv
37,23,1.9263157894736844,8,0.95,2018,GLIA2_NE.csv
38,25,2.8315789473684214,8,1.9,2018,GLIA2_NE.csv
39,30,1.5137614678899083,8,2.18,2018,GLIA2_NE.csv
40,30,1.8641975308641976,8,2.43,2018,GLIA2_NE.csv
41,31,2.339743589743589,8,1.56,2018,GLIA2_NE.csv
42,1,1.7650273224043715,9,1.83,2018,GLIA2_NE.csv
43,3,1.642105263157895,9,0.95,2018,GLIA2_NE.csv
44,3,2.505747126436782,9,0.87,2018,GLIA2_NE.csv
45,11,2.276190476190476,9,2.1,2018,GLIA2_NE.csv
46,14,1.7201646090534977,9,2.43,2018,GLIA2_NE.csv
47,15,2.053627760252366,9,6.34,2018,GLIA2_NE.csv
48,22,2.278688524590164,9,1.22,2018,GLIA2_NE.csv
49,23,2.296442687747036,9,2.53,2018,GLIA2_NE.csv
50,24,2.0472972972972974,9,1.48,2018,GLIA2_NE.csv
51,24,2.9551282051282053,9,1.56,2018,GLIA2_NE.csv
52,2,1.7635782747603832,10,6.26,2018,GLIA2_NE.csv
53,2,1.7683615819209042,10,5.31,2018,GLIA2_NE.csv
54,2,1.9520153550863724,10,5.21,2018,GLIA2_NE.csv
55,2,1.3502304147465436,10,6.51,2018,GLIA2_NE.csv
56,2,1.7307692307692306,10,1.3,2018,GLIA2_NE.csv
57,3,1.9932432432432436,10,1.48,2018,GLIA2_NE.csv
58,17,1.8306709265175718,10,3.13,2018,GLIA2_NE.csv
59,18,1.9904761904761905,10,2.1,2018,GLIA2_NE.csv
60,29,1.915,10,2.0,2018,GLIA2_NE.csv
61,29,1.4207650273224044,10,1.83,2018,GLIA2_NE.csv
62,30,2.278688524590164,10,1.22,2018,GLIA2_NE.csv
63,28,3.7142857142857144,11,0.35,2018,GLIA2_NE.csv
64,26,1.852941176470588,12,4.08,2018,GLIA2_NE.csv
65,29,1.4472843450479234,12,3.13,2018,GLIA2_NE.csv
66,29,2.230769230769231,12,1.56,2018,GLIA2_NE.csv
67,13,2.0472972972972974,1,1.48,2019,GLIA2_NE.csv
68,17,2.182978723404255,1,2.35,2019,GLIA2_NE.csv
69,2,1.5385500575373994,2,8.69,2019,GLIA2_NE.csv
70,18,1.5214521452145215,2,3.03,2019,GLIA2_NE.csv
71,21,2.477966101694915,2,2.95,2019,GLIA2_NE.csv
72,28,2.8742857142857146,2,1.75,2019,GLIA2_NE.csv
73,28,1.7114624505928857,2,2.53,2019,GLIA2_NE.csv
74,27,2.1052631578947367,3,0.95,2019,GLIA2_NE.csv
75,11,1.9047619047619049,4,1.05,2019,GLIA2_NE.csv
76,20,1.896969696969697,4,1.65,2019,GLIA2_NE.csv
77,25,1.5314285714285716,4,1.75,2019,GLIA2_NE.csv
78,25,1.475,4,2.0,2019,GLIA2_NE.csv
79,27,3.3893805309734515,4,1.13,2019,GLIA2_NE.csv
80,5,2.3212121212121213,5,1.65,2019,GLIA2_NE.csv
81,13,2.0157894736842112,5,1.9,2019,GLIA2_NE.csv
82,13,1.615,5,2.0,2019,GLIA2_NE.csv
83,13,1.9911504424778763,5,1.13,2019,GLIA2_NE.csv
84,23,2.413793103448276,5,0.87,2019,GLIA2_NE.csv
85,25,2.1052631578947367,5,0.95,2019,GLIA2_NE.csv
86,30,1.8071428571428567,5,1.4,2019,GLIA2_NE.csv
87,1,1.5454545454545456,6,2.53,2019,GLIA2_NE.csv
88,5,2.0,6,0.78,2019,GLIA2_NE.csv
89,5,1.5641025641025639,6,0.78,2019,GLIA2_NE.csv
90,9,1.7213114754098362,6,1.22,2019,GLIA2_NE.csv
91,10,1.4242424242424243,6,1.65,2019,GLIA2_NE.csv
92,11,2.466666666666667,6,0.6,2019,GLIA2_NE.csv
93,11,2.142857142857143,6,1.05,2019,GLIA2_NE.csv
94,12,2.6982758620689657,6,3.48,2019,GLIA2_NE.csv
95,17,1.4666666666666666,6,2.25,2019,GLIA2_NE.csv
96,17,4.9836065573770485,6,1.22,2019,GLIA2_NE.csv
97,18,2.098814229249012,6,2.53,2019,GLIA2_NE.csv
98,21,1.4423076923076923,6,1.56,2019,GLIA2_NE.csv
99,23,1.4346153846153846,6,2.6,2019,GLIA2_NE.csv
100,23,2.04,6,2.0,2019,GLIA2_NE.csv
101,23,1.735714285714286,6,1.4,2019,GLIA2_NE.csv
102,24,1.3795379537953796,6,3.03,2019,GLIA2_NE.csv
103,25,1.7699115044247788,6,1.13,2019,GLIA2_NE.csv
104,26,1.5571428571428574,6,1.4,2019,GLIA2_NE.csv
105,26,1.8692307692307693,6,1.3,2019,GLIA2_NE.csv
106,30,1.8584070796460181,6,1.13,2019,GLIA2_NE.csv
107,2,1.2355555555555555,7,2.25,2019,GLIA2_NE.csv
108,3,1.46448087431694,7,1.83,2019,GLIA2_NE.csv
109,3,2.357142857142857,7,0.7,2019,GLIA2_NE.csv
110,4,1.9263157894736844,7,0.95,2019,GLIA2_NE.csv
111,6,2.22972972972973,7,1.48,2019,GLIA2_NE.csv
112,7,1.8857142857142857,7,1.75,2019,GLIA2_NE.csv
113,7,2.033003300330033,7,3.03,2019,GLIA2_NE.csv
114,12,1.807692307692308,7,1.3,2019,GLIA2_NE.csv
115,12,2.8177777777777777,7,2.25,2019,GLIA2_NE.csv
116,13,1.809523809523809,7,1.05,2019,GLIA2_NE.csv
117,16,2.0157894736842112,7,1.9,2019,GLIA2_NE.csv
118,18,1.9210526315789476,7,1.9,2019,GLIA2_NE.csv
119,18,1.46448087431694,7,1.83,2019,GLIA2_NE.csv
120,19,2.0737704918032787,7,1.22,2019,GLIA2_NE.csv
121,22,2.3142857142857145,7,1.05,2019,GLIA2_NE.csv
122,27,2.0571428571428574,7,1.4,2019,GLIA2_NE.csv
123,29,1.6790123456790125,7,2.43,2019,GLIA2_NE.csv
124,1,1.9263157894736844,8,0.95,2019,GLIA2_NE.csv
125,3,1.5384615384615383,8,1.3,2019,GLIA2_NE.csv
126,3,2.8846153846153846,8,0.78,2019,GLIA2_NE.csv
127,3,1.9047619047619049,8,1.05,2019,GLIA2_NE.csv
128,3,1.5000000000000002,8,1.4,2019,GLIA2_NE.csv
129,4,2.0,8,1.3,2019,GLIA2_NE.csv
130,6,1.7307692307692306,8,1.3,2019,GLIA2_NE.csv
131,7,3.3307692307692314,8,1.3,2019,GLIA2_NE.csv
132,10,3.0000000000000004,8,0.7,2019,GLIA2_NE.csv
133,10,1.9047619047619049,8,1.05,2019,GLIA2_NE.csv
134,10,2.0,8,1.05,2019,GLIA2_NE.csv
135,11,1.5571428571428574,8,1.4,2019,GLIA2_NE.csv
136,12,2.243589743589744,8,0.78,2019,GLIA2_NE.csv
137,13,2.0,8,1.65,2019,GLIA2_NE.csv
138,13,1.8032786885245902,8,1.83,2019,GLIA2_NE.csv
139,14,1.8692307692307693,8,1.3,2019,GLIA2_NE.csv
140,16,1.6418918918918919,8,1.48,2019,GLIA2_NE.csv
141,21,1.3461538461538465,8,1.56,2019,GLIA2_NE.csv
142,22,1.7462686567164176,8,2.68,2019,GLIA2_NE.csv
143,25,1.6153846153846154,8,1.3,2019,GLIA2_NE.csv
144,27,2.4142857142857137,8,1.4,2019,GLIA2_NE.csv
145,30,2.1504424778761067,8,1.13,2019,GLIA2_NE.csv
146,6,3.6311475409836063,9,1.22,2019,GLIA2_NE.csv
147,8,1.9918032786885247,9,1.22,2019,GLIA2_NE.csv
148,15,2.3513513513513518,9,1.48,2019,GLIA2_NE.csv
149,20,2.435897435897436,9,0.78,2019,GLIA2_NE.csv
150,24,1.4857142857142858,9,1.05,2019,GLIA2_NE.csv
151,26,1.9210526315789476,9,1.9,2019,GLIA2_NE.csv
152,29,1.6091954022988504,9,0.87,2019,GLIA2_NE.csv
153,1,2.0382513661202184,10,1.83,2019,GLIA2_NE.csv
154,1,2.353211009174312,10,2.18,2019,GLIA2_NE.csv
155,2,2.610619469026549,10,1.13,2019,GLIA2_NE.csv
156,10,1.865,10,2.0,2019,GLIA2_NE.csv
157,15,2.145631067961165,10,7.21,2019,GLIA2_NE.csv
158,19,2.0472972972972974,10,1.48,2019,GLIA2_NE.csv
159,24,2.0472972972972974,10,1.48,2019,GLIA2_NE.csv
160,6,2.9080459770114935,11,0.87,2019,GLIA2_NE.csv
161,8,2.2357142857142858,11,1.4,2019,GLIA2_NE.csv
162,12,1.3911111111111107,2,2.25,2020,GLIA2_NE.csv
163,13,2.098814229249012,2,2.53,2020,GLIA2_NE.csv
164,19,1.7868852459016396,3,1.22,2020,GLIA2_NE.csv
165,17,1.5947368421052632,4,1.9,2020,GLIA2_NE.csv
166,19,1.807692307692308,4,1.3,2020,GLIA2_NE.csv
167,23,1.891025641025641,4,1.56,2020,GLIA2_NE.csv
168,23,2.0,4,0.95,2020,GLIA2_NE.csv
169,29,2.6769230769230767,8,2.6,2015,GQIA2_NE.csv
170,30,3.342307692307692,8,2.6,2015,GQIA2_NE.csv
171,31,1.6653846153846157,8,2.6,2015,GQIA2_NE.csv
172,31,2.4742857142857138,8,1.75,2015,GQIA2_NE.csv
173,31,1.4971264367816093,8,3.48,2015,GQIA2_NE.csv
174,31,1.4971264367816093,8,3.48,2015,GQIA2_NE.csv
175,31,1.6653846153846157,8,2.6,2015,GQIA2_NE.csv
176,31,2.9771428571428573,8,1.75,2015,GQIA2_NE.csv
177,1,2.003846153846154,9,2.6,2015,GQIA2_NE.csv
178,4,1.9885714285714289,9,1.75,2015,GQIA2_NE.csv
179,4,2.4742857142857138,9,1.75,2015,GQIA2_NE.csv
180,4,3.474285714285714,9,1.75,2015,GQIA2_NE.csv
181,4,4.4628571428571435,9,1.75,2015,GQIA2_NE.csv
182,5,4.680769230769231,9,2.6,2015,GQIA2_NE.csv
183,6,4.0,9,0.87,2015,GQIA2_NE.csv
184,7,3.474285714285714,9,1.75,2015,GQIA2_NE.csv
185,8,4.0,9,0.87,2015,GQIA2_NE.csv
186,13,2.0114942528735638,9,0.87,2015,GQIA2_NE.csv
187,15,2.4971264367816093,9,3.48,2015,GQIA2_NE.csv
188,15,3.977142857142857,9,1.75,2015,GQIA2_NE.csv
189,15,3.474285714285714,9,1.75,2015,GQIA2_NE.csv
190,16,3.4971264367816093,9,3.48,2015,GQIA2_NE.csv
191,17,2.5740131578947367,9,6.08,2015,GQIA2_NE.csv
192,18,1.4857142857142858,9,1.75,2015,GQIA2_NE.csv
193,18,1.9885714285714289,9,1.75,2015,GQIA2_NE.csv
194,20,3.0038461538461534,9,2.6,2015,GQIA2_NE.csv
195,20,2.003846153846154,9,2.6,2015,GQIA2_NE.csv
196,20,3.474285714285714,9,1.75,2015,GQIA2_NE.csv
197,20,3.342307692307692,9,2.6,2015,GQIA2_NE.csv
198,21,2.4742857142857138,9,1.75,2015,GQIA2_NE.csv
199,25,1.9885714285714289,9,1.75,2015,GQIA2_NE.csv
200,26,3.0038461538461534,9,2.6,2015,GQIA2_NE.csv
201,26,4.0,9,0.87,2015,GQIA2_NE.csv
202,27,1.6653846153846157,9,2.6,2015,GQIA2_NE.csv
203,27,2.9885057471264367,9,0.87,2015,GQIA2_NE.csv
204,29,2.7471264367816093,9,3.48,2015,GQIA2_NE.csv
205,1,2.4742857142857138,10,1.75,2015,GQIA2_NE.csv
206,2,2.4742857142857138,10,1.75,2015,GQIA2_NE.csv
207,2,2.9885057471264367,10,0.87,2015,GQIA2_NE.csv
208,3,2.9885057471264367,10,0.87,2015,GQIA2_NE.csv
209,3,1.4857142857142858,10,1.75,2015,GQIA2_NE.csv
210,3,2.9885057471264367,10,0.87,2015,GQIA2_NE.csv
211,3,2.0114942528735638,10,0.87,2015,GQIA2_NE.csv
212,4,2.0114942528735638,10,0.87,2015,GQIA2_NE.csv
213,4,4.0,10,0.87,2015,GQIA2_NE.csv
214,9,2.9771428571428573,10,1.75,2015,GQIA2_NE.csv
215,9,3.474285714285714,10,1.75,2015,GQIA2_NE.csv
216,11,2.9771428571428573,10,1.75,2015,GQIA2_NE.csv
217,11,3.0038461538461534,10,2.6,2015,GQIA2_NE.csv
218,11,2.244252873563218,10,3.48,2015,GQIA2_NE.csv
219,11,3.0,10,3.48,2015,GQIA2_NE.csv
220,11,3.0016447368421053,10,6.08,2015,GQIA2_NE.csv
221,12,3.210161662817552,10,4.33,2015,GQIA2_NE.csv
222,12,2.0038387715930903,10,5.21,2015,GQIA2_NE.csv
223,12,3.244252873563218,10,3.48,2015,GQIA2_NE.csv
224,15,2.244252873563218,10,3.48,2015,GQIA2_NE.csv
225,15,1.6653846153846157,10,2.6,2015,GQIA2_NE.csv
226,17,3.1669865642994237,10,5.21,2015,GQIA2_NE.csv
227,17,3.0,10,3.48,2015,GQIA2_NE.csv
228,18,2.244252873563218,10,3.48,2015,GQIA2_NE.csv
229,20,2.003846153846154,10,2.6,2015,GQIA2_NE.csv
230,20,2.244252873563218,10,3.48,2015,GQIA2_NE.csv
231,24,2.6769230769230767,10,2.6,2015,GQIA2_NE.csv
232,24,1.6653846153846157,10,2.6,2015,GQIA2_NE.csv
233,24,3.474285714285714,10,1.75,2015,GQIA2_NE.csv
234,24,2.9771428571428573,10,1.75,2015,GQIA2_NE.csv
235,25,2.3384615384615386,10,2.6,2015,GQIA2_NE.csv
236,25,4.0,10,0.87,2015,GQIA2_NE.csv
237,30,1.7471264367816093,10,3.48,2015,GQIA2_NE.csv
238,30,1.6653846153846157,10,2.6,2015,GQIA2_NE.csv
239,30,2.9885057471264367,10,0.87,2015,GQIA2_NE.csv
240,26,2.9191489361702128,7,2.35,2016,GQIA2_NE.csv
241,27,6.1764705882352935,7,0.17,2016,GQIA2_NE.csv
242,29,2.3278688524590163,7,1.83,2016,GQIA2_NE.csv
243,30,1.6743119266055044,7,2.18,2016,GQIA2_NE.csv
244,30,1.6653846153846157,7,2.6,2016,GQIA2_NE.csv
245,30,1.6837944664031619,7,2.53,2016,GQIA2_NE.csv
246,30,1.5191256830601092,7,1.83,2016,GQIA2_NE.csv
247,30,2.1504424778761067,7,1.13,2016,GQIA2_NE.csv
248,31,2.114864864864865,7,1.48,2016,GQIA2_NE.csv
249,31,2.2357142857142858,7,1.4,2016,GQIA2_NE.csv
250,31,1.8692307692307693,7,1.3,2016,GQIA2_NE.csv
251,1,2.04,8,2.0,2016,GQIA2_NE.csv
252,1,3.9203539823008846,8,1.13,2016,GQIA2_NE.csv
253,2,6.000000000000001,8,0.35,2016,GQIA2_NE.csv
254,2,2.993243243243243,8,1.48,2016,GQIA2_NE.csv
255,2,1.5737704918032789,8,1.83,2016,GQIA2_NE.csv
256,2,1.8571428571428572,8,1.4,2016,GQIA2_NE.csv
257,2,1.702127659574468,8,2.35,2016,GQIA2_NE.csv
258,2,1.6857142857142855,8,1.75,2016,GQIA2_NE.csv
259,3,1.5349794238683123,8,2.43,2016,GQIA2_NE.csv
260,4,2.0,8,1.65,2016,GQIA2_NE.csv
261,4,2.1314285714285712,8,1.75,2016,GQIA2_NE.csv
262,4,3.5000000000000004,8,0.6,2016,GQIA2_NE.csv
263,4,1.9262295081967211,8,1.22,2016,GQIA2_NE.csv
264,5,2.0484848484848484,8,1.65,2016,GQIA2_NE.csv
265,5,1.7789473684210526,8,1.9,2016,GQIA2_NE.csv
266,5,1.6997389033942558,8,3.83,2016,GQIA2_NE.csv
267,5,2.3292181069958846,8,2.43,2016,GQIA2_NE.csv
268,5,1.8297213622291024,8,3.23,2016,GQIA2_NE.csv
