,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,0.1,7.8,2016,11,2
1,0.93,3.1397849462365586,2016,11,2
2,1.48,2.891891891891892,2016,11,2
3,1.85,2.27027027027027,2016,11,3
4,1.19,2.8067226890756296,2016,11,3
5,1.32,2.325757575757576,2016,11,3
6,0.7,3.7,2016,11,3
7,0.06,12.666666666666668,2016,11,3
8,0.29,5.1034482758620685,2016,11,3
9,0.12,13.000000000000002,2016,11,3
10,0.45,3.933333333333333,2016,11,3
11,0.66,2.8636363636363638,2016,11,4
12,0.47,3.191489361702128,2016,11,4
13,0.51,3.1960784313725488,2016,11,4
14,1.07,2.1588785046728973,2016,11,4
15,0.8,2.0625,2016,11,4
16,1.85,2.0270270270270268,2016,11,4
17,2.24,1.9330357142857144,2016,11,4
18,2.0,1.68,2016,11,4
19,1.67,1.7365269461077844,2016,11,4
20,1.01,1.7722772277227723,2016,11,4
21,0.95,2.9052631578947365,2016,11,4
22,1.26,2.761904761904762,2016,11,4
23,0.82,3.109756097560976,2016,11,4
24,1.63,1.8036809815950918,2016,11,4
25,0.89,2.775280898876405,2016,11,4
26,0.37,3.2972972972972974,2016,11,4
27,0.43,3.790697674418604,2016,11,4
28,0.89,2.0786516853932584,2016,11,4
29,0.74,2.391891891891892,2016,11,4
30,0.43,3.255813953488372,2016,11,4
31,0.19,7.473684210526315,2016,11,4
32,0.19,6.63157894736842,2016,11,4
33,0.23,4.652173913043479,2016,11,4
34,0.06,4.500000000000001,2016,11,4
35,0.06,4.166666666666667,2016,11,4
36,0.29,4.413793103448277,2016,11,4
37,0.62,2.8870967741935485,2016,11,4
38,0.64,2.921875,2016,11,4
39,0.37,6.1891891891891895,2016,11,4
40,0.31,4.064516129032258,2016,11,4
41,0.06,3.8333333333333335,2016,11,4
42,0.14,9.142857142857142,2016,11,4
43,0.06,3.8333333333333335,2016,11,4
44,0.06,3.8333333333333335,2016,11,4
45,0.04,5.75,2016,11,5
46,0.04,5.75,2016,11,5
47,0.27,7.481481481481482,2016,11,5
48,0.04,5.25,2016,11,5
49,0.56,3.1607142857142856,2016,11,5
50,0.72,4.402777777777779,2016,11,5
51,0.14,6.928571428571428,2016,11,6
52,1.03,2.116504854368932,2016,11,6
53,0.68,2.0882352941176467,2016,11,6
54,0.87,2.2068965517241383,2016,11,6
55,0.31,3.9354838709677415,2016,11,6
56,0.74,2.121621621621622,2016,11,6
57,1.07,2.074766355140187,2016,11,6
58,1.17,1.5641025641025643,2016,11,6
59,1.44,1.9027777777777781,2016,11,6
60,1.96,1.6377551020408163,2016,11,6
61,1.94,1.6237113402061856,2016,11,6
62,1.44,1.9166666666666663,2016,11,6
63,1.69,1.7041420118343196,2016,11,6
64,1.83,1.5846994535519126,2016,11,6
65,1.11,2.7837837837837838,2016,11,6
66,0.93,2.236559139784946,2016,11,6
67,1.19,2.0084033613445382,2016,11,6
68,1.61,2.0310559006211184,2016,11,6
69,1.96,1.7040816326530612,2016,11,6
70,1.63,1.7914110429447854,2016,11,6
71,1.56,1.6346153846153844,2016,11,6
72,1.44,1.7152777777777781,2016,11,6
73,1.52,1.8157894736842104,2016,11,6
74,1.48,2.168918918918919,2016,11,6
75,2.06,1.7281553398058251,2016,11,6
76,1.96,2.0816326530612246,2016,11,6
77,2.41,1.8132780082987552,2016,11,6
78,2.57,1.4980544747081714,2016,11,6
79,2.27,1.7973568281938326,2016,11,6
80,1.42,2.8732394366197185,2016,11,6
81,0.41,3.317073170731708,2016,11,6
82,0.64,2.125,2016,11,6
83,0.45,2.466666666666667,2016,11,6
84,0.23,4.913043478260869,2016,11,6
85,0.25,5.04,2016,11,6
86,1.09,1.963302752293578,2016,11,6
87,1.21,1.9421487603305787,2016,11,6
88,0.97,1.9793814432989687,2016,11,6
89,0.86,1.9418604651162792,2016,11,6
90,0.72,2.083333333333333,2016,11,6
91,0.1,6.8,2016,11,6
92,0.06,3.8333333333333335,2016,11,6
93,0.47,2.765957446808511,2016,11,7
94,0.21,6.9523809523809526,2016,11,7
95,0.02,3.0,2016,11,7
96,0.06,4.166666666666667,2016,11,7
97,1.24,2.2419354838709675,2016,11,7
98,0.8,3.45,2016,11,7
99,0.56,4.446428571428571,2016,11,7
100,0.14,7.642857142857142,2016,11,7
101,0.56,3.821428571428571,2016,11,7
102,0.86,2.255813953488372,2016,11,7
103,1.59,2.10062893081761,2016,11,15
104,0.02,7.000000000000001,2016,11,15
105,0.06,3.8333333333333335,2016,11,15
106,0.06,3.8333333333333335,2016,11,15
107,0.06,3.8333333333333335,2016,11,15
108,0.06,3.8333333333333335,2016,11,15
109,0.06,3.8333333333333335,2016,11,15
110,0.08,2.875,2016,11,15
111,0.06,3.8333333333333335,2016,11,15
112,0.06,3.8333333333333335,2016,11,15
113,0.06,3.8333333333333335,2016,11,15
114,0.06,3.8333333333333335,2016,11,15
115,0.08,2.875,2016,11,15
116,0.06,3.8333333333333335,2016,11,15
117,0.06,3.8333333333333335,2016,11,15
118,0.06,3.8333333333333335,2016,11,15
119,0.06,3.8333333333333335,2016,11,15
120,0.06,3.8333333333333335,2016,11,15
121,0.06,3.8333333333333335,2016,11,15
122,0.06,3.8333333333333335,2016,11,15
123,0.06,3.8333333333333335,2016,11,16
124,0.06,3.8333333333333335,2016,11,16
125,0.06,4.166666666666667,2016,11,16
126,0.06,3.8333333333333335,2016,11,16
127,0.06,3.8333333333333335,2016,11,16
128,0.06,3.8333333333333335,2016,11,16
129,0.06,3.8333333333333335,2016,11,16
130,0.06,3.8333333333333335,2016,11,16
131,0.06,3.8333333333333335,2016,11,16
132,0.06,3.8333333333333335,2016,11,16
133,0.06,3.8333333333333335,2016,11,16
134,0.06,4.166666666666667,2016,11,16
135,0.06,3.8333333333333335,2016,11,16
136,0.06,4.500000000000001,2016,11,16
137,0.06,3.8333333333333335,2016,11,16
138,0.06,3.8333333333333335,2016,11,16
139,0.06,3.8333333333333335,2016,11,16
140,0.06,3.8333333333333335,2016,11,16
141,0.06,3.8333333333333335,2016,11,16
142,0.06,3.8333333333333335,2016,11,16
143,0.06,3.8333333333333335,2016,11,16
144,0.06,3.8333333333333335,2016,11,16
145,0.06,3.8333333333333335,2016,11,16
146,0.06,3.8333333333333335,2016,11,16
147,0.06,3.8333333333333335,2016,11,16
148,0.06,3.8333333333333335,2016,11,16
149,0.06,3.8333333333333335,2016,11,16
150,0.06,4.166666666666667,2016,11,16
151,0.06,3.8333333333333335,2016,11,16
152,0.06,3.8333333333333335,2016,11,16
153,0.06,3.8333333333333335,2016,11,16
154,0.06,4.166666666666667,2016,11,16
155,0.06,3.8333333333333335,2016,11,16
156,0.06,3.8333333333333335,2016,11,16
157,0.06,3.8333333333333335,2016,11,16
158,0.06,3.8333333333333335,2016,11,16
159,0.74,6.54054054054054,2016,11,16
160,3.34,2.065868263473054,2016,11,16
161,2.51,2.414342629482072,2016,11,16
162,3.29,1.990881458966565,2016,11,16
163,3.69,1.7804878048780488,2016,11,16
164,3.54,1.7966101694915255,2016,11,16
165,3.69,1.7181571815718155,2016,11,16
166,3.19,1.968652037617555,2016,11,16
167,3.63,1.8209366391184572,2016,11,16
168,3.19,1.877742946708464,2016,11,16
169,2.94,1.9965986394557824,2016,11,16
170,3.79,1.7387862796833773,2016,11,16
171,3.48,1.6637931034482758,2016,11,16
172,3.07,1.905537459283388,2016,11,16
173,3.83,1.9086161879895558,2016,11,16
174,4.12,1.844660194174757,2016,11,16
175,4.02,1.77363184079602,2016,11,16
176,3.52,2.1875,2016,11,16
177,3.29,1.8419452887537997,2016,11,16
178,3.83,1.597911227154047,2016,11,16
179,3.85,1.9532467532467532,2016,11,16
180,3.95,1.5316455696202531,2016,11,16
181,3.67,1.6893732970027249,2016,11,16
182,3.4,1.823529411764706,2016,11,16
183,3.98,2.0125628140703515,2016,11,16
184,3.95,1.610126582278481,2016,11,16
185,4.06,1.9581280788177344,2016,11,16
186,3.75,2.2186666666666666,2016,11,16
187,4.0,2.0125,2016,11,16
188,3.67,1.9291553133514987,2016,11,16
189,3.15,1.831746031746032,2016,11,16
190,3.21,1.7570093457943925,2016,11,16
191,3.62,1.8204419889502759,2016,11,16
192,3.6,1.7055555555555555,2016,11,16
193,3.73,1.7828418230563003,2016,11,16
194,3.4,2.217647058823529,2016,11,16
195,3.23,2.111455108359133,2016,11,16
196,3.54,1.7288135593220342,2016,11,16
197,4.53,1.7726269315673286,2016,11,16
198,4.0,1.8325,2016,11,16
199,4.18,2.129186602870813,2016,11,16
200,3.71,1.5256064690026954,2016,11,16
201,3.71,1.7439353099730457,2016,11,16
202,3.87,1.55297157622739,2016,11,16
203,3.77,1.973474801061008,2016,11,16
204,4.04,1.9678217821782176,2016,11,16
205,4.02,1.6791044776119404,2016,11,16
206,3.83,1.934725848563969,2016,11,16
207,4.06,1.8103448275862069,2016,11,16
208,3.83,1.7911227154046998,2016,11,16
