,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,9.99,2.2022022022022023,2002,11,19
1,9.0,2.2222222222222223,2002,12,12
2,11.99,1.418682235195997,2003,1,4
3,9.0,1.7777777777777777,2003,1,4
4,18.0,1.5,2003,1,5
5,8.01,1.873907615480649,2003,1,30
6,6.01,2.4975041597337766,2003,3,18
7,13.0,1.3084615384615386,2003,3,23
8,11.99,1.5012510425354462,2003,3,23
9,11.0,1.818181818181818,2003,4,9
10,11.0,1.4545454545454546,2003,4,21
11,9.0,2.2222222222222223,2003,4,27
12,14.0,1.5714285714285714,2003,5,2
13,9.99,1.6016016016016017,2003,5,2
14,9.0,1.89,2003,5,3
15,9.99,1.5025025025025025,2003,5,3
16,9.99,1.6016016016016017,2003,5,5
17,16.0,1.311875,2003,5,10
18,14.0,1.6428571428571428,2003,5,12
19,13.0,1.5384615384615383,2003,5,12
20,13.0,1.6146153846153846,2003,5,13
21,9.99,1.9009009009009008,2003,5,14
22,11.0,1.3645454545454545,2003,5,15
23,11.0,1.4545454545454546,2003,5,15
24,11.0,1.7263636363636363,2003,5,22
25,9.0,1.7777777777777777,2003,5,22
26,13.0,1.7692307692307692,2003,5,22
27,9.99,2.603603603603604,2003,5,26
28,11.99,1.5012510425354462,2003,5,29
29,11.0,1.818181818181818,2003,6,1
30,11.0,1.4545454545454546,2003,6,1
31,9.99,2.1011011011011007,2003,6,1
32,11.0,1.5463636363636366,2003,6,6
33,11.99,1.3344453711426187,2003,6,6
34,11.0,1.9081818181818182,2003,6,18
35,13.0,1.5384615384615383,2003,7,2
36,11.0,1.7263636363636363,2003,7,2
37,14.0,1.5714285714285714,2003,7,3
38,11.99,1.418682235195997,2003,7,13
39,14.0,1.4285714285714286,2003,7,28
40,9.0,1.7777777777777777,2003,7,28
41,9.99,2.002002002002002,2003,7,28
42,9.0,1.7777777777777777,2003,8,11
43,9.99,1.8018018018018016,2003,8,13
44,11.99,1.5012510425354462,2003,8,13
45,9.0,1.6677777777777778,2003,8,17
46,13.0,1.2307692307692308,2003,8,18
47,9.99,2.002002002002002,2003,8,18
48,11.0,1.5463636363636366,2003,9,2
49,11.0,1.6363636363636365,2003,9,2
50,11.99,1.418682235195997,2003,9,13
51,9.99,1.9009009009009008,2003,10,25
52,14.0,1.7857142857142858,2003,11,14
53,15.01,1.4656895403064625,2003,11,14
54,9.99,1.6016016016016017,2003,11,14
55,11.0,2.0,2003,11,14
56,15.01,1.5996002664890074,2003,12,2
57,8.01,2.3707865168539324,2003,12,2
58,13.0,1.4607692307692306,2003,12,2
59,11.99,1.418682235195997,2003,12,13
60,14.0,1.7857142857142858,2004,2,6
61,24.01,1.4160766347355267,2004,3,8
62,13.0,1.846923076923077,2004,3,8
63,14.0,1.215,2004,3,8
64,11.0,1.7263636363636363,2004,3,9
65,8.01,1.7478152309612984,2004,3,9
66,9.0,2.11,2004,3,9
67,11.0,1.818181818181818,2004,3,10
68,13.0,1.3846153846153846,2004,3,14
69,9.0,1.6677777777777778,2004,3,25
70,15.01,1.3324450366422385,2004,3,27
71,9.99,1.8018018018018016,2004,3,28
72,15.01,1.4656895403064625,2004,3,28
73,18.0,1.5,2004,3,29
74,11.99,1.6680567139282736,2004,3,30
75,15.01,1.3984010659560293,2004,3,30
76,13.0,1.7692307692307692,2004,3,30
77,13.0,1.5384615384615383,2004,3,31
78,9.0,1.5555555555555556,2004,3,31
79,11.99,1.5838198498748957,2004,3,31
80,13.0,1.6146153846153846,2004,3,31
81,11.99,1.5838198498748957,2004,3,31
82,9.99,2.1011011011011007,2004,3,31
83,14.0,1.499285714285714,2004,3,31
84,8.01,2.1235955056179776,2004,3,31
85,11.99,1.7506255212677229,2004,3,31
86,11.99,1.5838198498748957,2004,3,31
87,13.0,1.6923076923076923,2004,3,31
88,15.01,1.5323117921385745,2004,3,31
89,16.0,1.4375,2004,3,31
90,16.0,1.5625,2004,4,1
91,13.0,1.7692307692307692,2004,4,1
92,15.01,1.5996002664890074,2004,4,1
93,15.01,1.7328447701532312,2004,4,1
94,9.0,1.89,2004,4,1
95,11.0,1.4545454545454546,2004,4,3
96,8.01,1.7478152309612984,2004,4,4
97,11.99,1.418682235195997,2004,4,4
98,11.0,1.2727272727272727,2004,4,9
99,9.99,1.8018018018018016,2004,4,14
100,9.99,1.9009009009009008,2004,4,14
101,9.99,2.603603603603604,2004,4,14
102,7.0,2.0,2004,4,18
103,11.0,1.7263636363636363,2004,4,18
104,11.0,1.6363636363636365,2004,4,18
105,8.01,3.247191011235955,2004,4,23
106,13.0,1.5384615384615383,2004,4,23
107,7.0,2.144285714285714,2004,5,17
108,9.0,1.7777777777777777,2004,5,17
109,11.99,1.418682235195997,2004,5,17
110,11.99,1.418682235195997,2004,6,1
111,11.0,1.7263636363636363,2004,6,2
112,11.0,2.0,2004,7,17
113,11.0,1.3645454545454545,2004,7,22
114,9.0,2.11,2004,8,22
115,11.99,1.418682235195997,2004,8,22
116,9.99,1.5025025025025025,2004,9,14
117,9.99,1.6016016016016017,2004,9,14
118,8.01,1.7478152309612984,2004,9,22
119,15.01,1.4656895403064625,2004,9,29
120,9.99,1.5025025025025025,2004,10,3
121,6.01,2.4975041597337766,2004,10,7
122,9.99,1.7027027027027029,2004,10,10
123,9.99,1.5025025025025025,2004,10,13
124,7.0,2.2857142857142856,2004,10,18
125,6.01,2.329450915141431,2004,10,18
126,9.99,1.7027027027027029,2004,10,31
127,13.0,2.0769230769230766,2004,11,2
128,18.0,1.5,2004,11,2
129,11.0,2.0,2004,11,2
130,9.99,2.1011011011011007,2004,11,2
131,9.0,1.89,2004,11,4
132,11.0,2.182727272727273,2004,12,3
133,13.0,1.5384615384615383,2004,12,3
134,7.0,2.712857142857142,2004,12,11
135,17.01,1.998824221046443,2004,12,17
136,9.0,1.89,2005,1,22
137,11.0,1.5463636363636366,2005,1,31
138,11.0,1.5463636363636366,2005,1,31
139,14.0,2.071428571428572,2005,1,31
140,11.0,1.818181818181818,2005,2,9
141,11.99,1.3344453711426187,2005,2,21
142,6.01,3.3277870216306162,2005,2,21
143,11.99,1.3344453711426187,2005,2,26
144,8.01,1.7478152309612984,2005,2,26
145,16.0,1.375,2005,2,26
146,14.0,1.215,2005,2,27
147,13.0,1.4607692307692306,2005,2,27
148,9.0,2.2222222222222223,2005,3,7
149,8.01,2.1235955056179776,2005,3,9
150,13.0,1.2307692307692308,2005,3,18
151,8.01,1.7478152309612984,2005,3,18
152,9.0,1.7777777777777777,2005,3,20
153,9.99,1.9009009009009008,2005,3,20
154,9.99,1.6016016016016017,2005,3,22
155,9.0,2.0,2005,3,22
156,11.99,1.9182652210175144,2005,3,28
157,11.0,1.5463636363636366,2005,3,28
158,14.0,1.356428571428571,2005,3,28
159,18.0,1.3338888888888891,2005,3,29
160,9.99,1.9009009009009008,2005,3,29
161,9.99,1.9009009009009008,2005,3,29
162,9.99,1.8018018018018016,2005,3,29
163,11.0,1.7263636363636363,2005,3,29
164,11.99,1.5012510425354462,2005,3,29
165,9.99,1.4014014014014011,2005,3,31
166,9.99,1.8018018018018016,2005,3,31
167,13.0,1.5384615384615383,2005,3,31
168,9.99,1.8018018018018016,2005,4,1
169,11.0,1.6363636363636365,2005,4,18
170,9.0,1.5555555555555556,2005,4,20
171,11.0,1.5463636363636366,2005,4,21
172,7.0,2.144285714285714,2005,4,29
173,11.0,1.4545454545454546,2005,4,29
174,9.0,2.11,2005,4,30
175,9.0,2.0,2005,5,1
176,9.99,1.5025025025025025,2005,5,1
177,8.01,1.7478152309612984,2005,5,5
178,13.0,1.3084615384615386,2005,5,30
179,9.99,1.9009009009009008,2005,5,30
180,14.0,1.2857142857142858,2005,7,2
