,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,17.01,1.2339800117577893,2002,11,21
1,13.0,1.6146153846153846,2002,12,26
2,9.0,1.5555555555555556,2003,1,4
3,15.01,1.3324450366422385,2003,1,7
4,15.01,1.5323117921385745,2003,1,11
5,16.0,1.186875,2003,1,12
6,13.0,1.3084615384615386,2003,1,23
7,8.01,1.7478152309612984,2003,2,2
8,14.0,1.2857142857142858,2003,2,19
9,16.0,1.311875,2003,3,5
10,16.0,1.4375,2003,3,5
11,8.01,2.3707865168539324,2003,3,6
12,9.99,1.4014014014014011,2003,3,6
13,17.01,1.5291005291005288,2003,3,6
14,18.99,1.2643496577145867,2003,3,6
15,22.0,1.2722727272727272,2003,3,6
16,23.0,1.2608695652173914,2003,3,6
17,23.0,1.2169565217391305,2003,3,6
18,24.01,1.374843815077051,2003,3,6
19,20.99,1.191043353978085,2003,3,6
20,16.0,1.5625,2003,3,6
21,18.99,1.2643496577145867,2003,3,6
22,25.0,1.3204,2003,3,6
23,16.0,1.6875,2003,3,7
24,13.0,1.6923076923076923,2003,3,7
25,9.0,2.11,2003,3,7
26,8.01,2.1235955056179776,2003,3,7
27,8.01,1.9975031210986267,2003,3,7
28,14.0,1.4285714285714286,2003,3,7
29,9.99,1.5025025025025025,2003,3,8
30,20.0,1.15,2003,3,9
31,11.99,1.6680567139282736,2003,3,9
32,9.99,1.7027027027027029,2003,3,9
33,13.0,1.846923076923077,2003,3,9
34,13.0,1.6146153846153846,2003,3,9
35,11.0,2.0,2003,3,10
36,9.0,1.6677777777777778,2003,3,10
37,14.0,1.4285714285714286,2003,3,10
38,9.0,2.11,2003,3,10
39,9.99,1.9009009009009008,2003,3,10
40,15.01,1.3324450366422385,2003,3,10
41,18.0,1.2777777777777777,2003,3,10
42,18.0,1.3888888888888888,2003,3,10
43,14.0,1.6428571428571428,2003,3,10
44,17.01,1.469723691945914,2003,3,10
45,13.0,1.4607692307692306,2003,3,12
46,11.0,1.9081818181818182,2003,3,12
47,9.99,2.1011011011011007,2003,3,12
48,20.0,1.45,2003,3,12
