,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,1.61,3.354037267080745,2016,6,2
1,2.16,2.9953703703703702,2016,6,2
2,3.77,2.5782493368700266,2016,6,2
3,2.7,3.6,2016,6,3
4,2.7,2.396296296296296,2016,6,3
5,2.7,2.7925925925925923,2016,6,3
6,3.77,2.2891246684350133,2016,6,5
7,1.09,2.9816513761467887,2016,6,8
8,2.16,3.4907407407407405,2016,6,9
9,0.54,2.9814814814814814,2016,6,9
10,0.54,6.981481481481482,2016,6,9
11,2.7,2.7925925925925923,2016,6,10
12,6.47,2.001545595054096,2016,6,11
13,0.54,15.981481481481485,2016,6,11
14,2.16,2.5,2016,6,13
15,1.09,5.935779816513762,2016,6,13
16,2.16,4.5,2016,6,13
17,4.32,2.75,2016,6,14
18,1.61,2.0186335403726705,2016,6,15
19,1.61,2.3416149068322984,2016,6,15
20,0.54,1.0,2016,6,15
21,2.16,1.25,2016,6,16
22,1.61,1.3416149068322982,2016,6,16
23,0.54,2.9814814814814814,2016,6,16
24,1.61,1.6770186335403727,2016,6,16
25,1.09,1.9816513761467889,2016,6,16
26,2.16,1.25,2016,6,16
27,0.54,6.981481481481482,2016,6,17
28,2.7,1.8,2016,6,17
29,3.77,2.145888594164456,2016,6,17
30,4.86,3.331275720164609,2016,6,17
31,0.54,2.9814814814814814,2016,6,18
32,5.95,2.450420168067226,2016,6,19
33,0.54,2.0185185185185186,2016,6,20
34,1.09,5.458715596330276,2016,6,23
35,3.25,2.9907692307692315,2016,6,25
36,1.61,4.683229813664597,2016,6,26
37,1.09,1.0,2016,6,28
38,3.77,3.5782493368700266,2016,6,28
39,1.09,1.0,2016,6,29
40,3.77,1.5782493368700266,2016,6,29
41,1.61,3.0186335403726714,2016,6,30
42,1.09,1.4770642201834865,2016,6,30
43,1.61,3.0186335403726714,2016,6,30
44,1.09,4.4587155963302765,2016,6,30
45,3.77,2.5782493368700266,2016,6,30
46,5.4,2.7,2016,6,30
47,1.61,3.695652173913044,2016,7,1
48,4.32,1.9976851851851851,2016,7,2
49,2.7,2.7925925925925923,2016,7,4
50,3.77,2.2891246684350133,2016,7,4
51,1.61,8.043478260869565,2016,7,5
52,6.47,2.0850077279752712,2016,7,7
