,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,1.61,1.3416149068322982,2016,6,2
1,2.7,1.396296296296296,2016,6,3
2,1.09,2.4770642201834856,2016,6,6
3,0.54,9.0,2016,6,6
4,1.09,1.4770642201834865,2016,6,8
5,0.54,2.0185185185185186,2016,6,9
6,4.32,1.872685185185185,2016,6,9
7,1.61,5.3602484472049685,2016,6,9
8,0.54,6.981481481481482,2016,6,9
9,1.61,3.695652173913044,2016,6,9
10,3.77,1.716180371352785,2016,6,9
11,1.09,7.422018348623853,2016,6,10
12,1.09,4.4587155963302765,2016,6,10
13,0.54,6.018518518518517,2016,6,12
14,0.54,10.0,2016,6,12
15,1.09,3.458715596330275,2016,6,14
16,0.54,14.981481481481481,2016,6,14
17,1.61,2.3416149068322984,2016,6,14
18,1.61,3.354037267080745,2016,6,14
19,2.16,1.7453703703703702,2016,6,14
20,3.25,1.830769230769231,2016,6,15
21,1.61,3.695652173913044,2016,6,15
22,1.09,9.394495412844037,2016,6,15
23,1.61,3.0186335403726714,2016,6,16
24,3.25,1.9907692307692304,2016,6,16
25,1.09,5.935779816513762,2016,6,16
26,1.09,4.954128440366971,2016,6,16
27,2.7,2.996296296296296,2016,6,17
28,0.54,2.0185185185185186,2016,6,18
29,2.16,1.7453703703703702,2016,6,21
30,1.09,3.458715596330275,2016,6,21
31,2.7,1.6,2016,6,21
32,1.61,1.3416149068322982,2016,6,22
33,2.16,1.5046296296296295,2016,6,22
34,1.61,3.0186335403726714,2016,6,23
35,1.09,6.440366972477063,2016,6,23
36,0.54,2.9814814814814814,2016,6,24
37,0.54,2.9814814814814814,2016,6,25
38,1.09,1.9816513761467889,2016,6,25
39,0.54,6.981481481481482,2016,6,27
40,1.09,3.458715596330275,2016,6,27
41,0.54,6.981481481481482,2016,6,27
42,1.09,1.4770642201834865,2016,6,29
43,1.09,3.9633027522935778,2016,6,29
44,2.16,1.5046296296296295,2016,6,29
45,1.61,3.695652173913044,2016,6,29
46,0.54,2.0185185185185186,2016,7,1
47,1.09,2.4770642201834856,2016,7,1
48,0.54,6.018518518518517,2016,7,4
49,1.09,1.4770642201834865,2016,7,4
50,0.54,1.0,2016,7,6
51,2.7,1.8,2016,7,7
52,1.61,2.0186335403726705,2016,7,7
53,1.09,1.4770642201834865,2016,7,11
54,0.54,13.962962962962964,2016,7,14
55,1.09,1.4770642201834865,2016,7,15
56,1.61,1.3416149068322982,2016,7,17
57,1.09,1.4770642201834865,2016,7,18
58,0.54,2.0185185185185186,2016,7,18
59,0.54,4.0,2016,7,19
60,1.09,3.458715596330275,2016,7,19
61,3.77,1.716180371352785,2016,7,19
62,2.16,3.4907407407407405,2016,7,19
63,2.7,2.7925925925925923,2016,7,19
64,0.54,2.9814814814814814,2016,7,20
65,0.54,9.0,2016,7,22
66,0.54,6.018518518518517,2016,7,22
67,0.54,6.981481481481482,2016,7,23
68,2.16,1.7453703703703702,2016,7,23
69,2.16,2.9953703703703702,2016,7,23
70,1.61,1.6770186335403727,2016,7,23
71,0.54,10.0,2016,7,24
72,0.54,11.018518518518515,2016,7,28
73,1.61,2.0186335403726705,2016,7,28
74,0.54,5.0,2016,7,30
75,1.09,1.9816513761467889,2016,7,30
76,1.09,1.0,2016,8,1
77,0.54,5.0,2016,8,1
78,1.09,2.9816513761467887,2016,8,1
79,0.54,11.018518518518515,2016,8,9
80,1.09,1.4770642201834865,2016,8,11
81,0.54,2.9814814814814814,2016,8,12
82,0.54,8.0,2016,8,13
83,0.54,9.0,2016,8,20
84,0.54,9.0,2016,8,21
85,1.09,1.4770642201834865,2016,8,21
86,0.54,4.0,2016,8,26
