,Sustained Wind Speed (kts),Gust Factor,Year,Month,Day
0,0.87,2.0114942528735638,2010,8,31
1,0.87,2.9885057471264367,2010,8,31
2,0.87,2.9885057471264367,2010,9,2
3,0.87,2.9885057471264367,2010,9,12
4,1.75,1.9885714285714289,2010,9,15
5,0.87,4.977011494252873,2010,9,17
6,0.87,4.0,2010,9,27
7,2.6,2.003846153846154,2010,10,9
8,0.87,2.9885057471264367,2010,10,9
9,0.87,4.0,2010,10,11
10,0.87,2.0114942528735638,2010,10,12
11,1.75,2.4742857142857138,2010,10,14
12,0.87,2.9885057471264367,2010,10,14
13,0.87,2.0114942528735638,2010,11,7
14,0.87,2.9885057471264367,2010,11,15
15,1.75,2.9771428571428573,2010,11,15
16,0.87,2.9885057471264367,2010,11,16
17,0.87,2.9885057471264367,2010,12,10
18,1.75,2.4742857142857138,2011,1,6
19,1.75,2.4742857142857138,2011,1,8
20,1.75,2.9771428571428573,2011,1,8
21,0.87,4.0,2011,1,17
22,0.87,2.0114942528735638,2011,1,20
23,1.75,2.4742857142857138,2011,1,20
24,0.87,4.0,2011,1,21
25,1.75,2.4742857142857138,2011,1,21
26,0.87,2.9885057471264367,2011,1,26
27,0.87,4.977011494252873,2011,2,2
28,1.75,4.4628571428571435,2011,2,4
29,1.75,2.9771428571428573,2011,2,4
30,0.87,2.9885057471264367,2011,2,4
31,2.6,1.6653846153846157,2011,2,7
32,0.87,2.0114942528735638,2011,2,7
33,0.87,4.977011494252873,2011,2,13
34,0.87,2.0114942528735638,2011,2,17
35,0.87,2.9885057471264367,2011,2,20
36,0.87,4.977011494252873,2011,2,20
37,1.75,2.9771428571428573,2011,2,22
38,0.87,4.0,2011,2,24
39,0.87,4.977011494252873,2011,2,26
40,0.87,2.9885057471264367,2011,3,7
41,0.87,2.9885057471264367,2011,3,17
42,0.87,4.0,2011,3,22
43,0.87,4.0,2011,3,23
44,0.87,2.0114942528735638,2011,3,23
45,0.87,4.977011494252873,2011,3,24
46,0.87,4.0,2011,3,25
47,1.75,3.474285714285714,2011,3,28
48,0.87,4.0,2011,3,28
49,0.87,4.0,2011,4,2
50,0.87,2.9885057471264367,2011,4,4
51,0.87,2.9885057471264367,2011,4,6
52,0.87,2.9885057471264367,2011,4,18
53,0.87,2.9885057471264367,2011,4,19
54,0.87,2.9885057471264367,2011,4,19
55,0.87,5.988505747126437,2011,4,19
56,0.87,5.988505747126437,2011,4,29
57,0.87,2.9885057471264367,2011,4,29
58,0.87,2.9885057471264367,2011,5,2
59,0.87,2.9885057471264367,2011,5,5
60,1.75,1.4857142857142858,2011,5,5
61,0.87,2.0114942528735638,2011,5,5
62,1.75,2.4742857142857138,2011,5,7
63,0.87,4.977011494252873,2011,5,7
64,0.87,4.977011494252873,2011,5,9
65,0.87,2.9885057471264367,2011,5,9
66,0.87,2.9885057471264367,2011,5,9
67,0.87,2.9885057471264367,2011,5,12
68,0.87,2.0114942528735638,2011,5,12
69,0.87,4.977011494252873,2011,5,24
70,0.87,2.0114942528735638,2011,5,24
71,0.87,4.0,2011,5,26
72,0.87,4.0,2011,6,4
73,0.87,4.0,2011,6,20
74,3.48,2.244252873563218,2015,9,11
75,2.6,2.003846153846154,2015,9,11
76,2.6,2.6769230769230767,2015,9,11
77,6.96,1.7485632183908046,2015,9,11
78,6.96,1.5,2015,9,11
79,5.21,1.6679462571976966,2015,9,11
80,4.33,1.8036951501154728,2015,9,11
