,Day,Gust Factor,Month,Sustained Wind Speed (kts),Year,file
0,6,1.5,6,6.96,2016,JFBA2_S.csv
1,6,2,6,3.48,2016,JFBA2_S.csv
2,6,2.810623557,6,4.33,2016,JFBA2_S.csv
3,6,2.001644737,6,6.08,2016,JFBA2_S.csv
4,8,1.386182462,6,11.29,2016,JFBA2_S.csv
5,8,2.335892514,6,5.21,2016,JFBA2_S.csv
6,8,1.80369515,6,4.33,2016,JFBA2_S.csv
7,8,1.224071703,6,7.81,2016,JFBA2_S.csv
8,8,1.235612729,6,14.77,2016,JFBA2_S.csv
9,8,1.348348348,6,19.98,2016,JFBA2_S.csv
10,10,3.342307692,6,2.6,2016,JFBA2_S.csv
11,10,1.404157044,6,4.33,2016,JFBA2_S.csv
12,10,2.474285714,6,1.75,2016,JFBA2_S.csv
13,10,1.404157044,6,4.33,2016,JFBA2_S.csv
14,10,2.003846154,6,2.6,2016,JFBA2_S.csv
15,10,5.988505747,6,0.87,2016,JFBA2_S.csv
16,10,1.166986564,6,5.21,2016,JFBA2_S.csv
17,11,1.558258643,6,7.81,2016,JFBA2_S.csv
18,12,1.499040307,6,5.21,2016,JFBA2_S.csv
19,12,1.694419841,6,11.29,2016,JFBA2_S.csv
20,12,1.694419841,6,11.29,2016,JFBA2_S.csv
21,12,2.497126437,6,10.44,2016,JFBA2_S.csv
22,12,1.445582586,6,7.81,2016,JFBA2_S.csv
23,12,1.15323295,6,11.29,2016,JFBA2_S.csv
24,12,1.386182462,6,11.29,2016,JFBA2_S.csv
25,12,1.717105263,6,6.08,2016,JFBA2_S.csv
26,12,1.997126437,6,6.96,2016,JFBA2_S.csv
27,12,1.834932821,6,5.21,2016,JFBA2_S.csv
28,12,1.355792933,6,12.17,2016,JFBA2_S.csv
29,13,1.748563218,6,6.96,2016,JFBA2_S.csv
30,13,1.15323295,6,11.29,2016,JFBA2_S.csv
31,13,1.85620378,6,12.17,2016,JFBA2_S.csv
32,13,1.761643836,6,18.25,2016,JFBA2_S.csv
33,13,1.401689708,6,13.02,2016,JFBA2_S.csv
34,13,1.499589154,6,12.17,2016,JFBA2_S.csv
35,13,2.429276316,6,6.08,2016,JFBA2_S.csv
36,13,1.664750958,6,10.44,2016,JFBA2_S.csv
37,13,1.461470328,6,11.29,2016,JFBA2_S.csv
38,13,1.922940655,6,11.29,2016,JFBA2_S.csv
39,13,2.00088574,6,11.29,2016,JFBA2_S.csv
40,13,1.461470328,6,11.29,2016,JFBA2_S.csv
41,13,1.58045977,6,10.44,2016,JFBA2_S.csv
42,14,2.338461538,6,2.6,2016,JFBA2_S.csv
43,14,3.474285714,6,1.75,2016,JFBA2_S.csv
44,14,1.226346053,6,19.13,2016,JFBA2_S.csv
45,15,1.20023015,6,17.38,2016,JFBA2_S.csv
46,15,1.250359712,6,13.9,2016,JFBA2_S.csv
47,15,1.898734177,6,8.69,2016,JFBA2_S.csv
48,15,2.166986564,6,5.21,2016,JFBA2_S.csv
49,15,1.498273878,6,8.69,2016,JFBA2_S.csv
50,15,2.667946257,6,5.21,2016,JFBA2_S.csv
51,15,5.007692308,6,2.6,2016,JFBA2_S.csv
52,15,1.092050209,6,9.56,2016,JFBA2_S.csv
53,15,1.267281106,6,13.02,2016,JFBA2_S.csv
54,15,1.05958023,6,14.77,2016,JFBA2_S.csv
55,15,1.308237378,6,11.29,2016,JFBA2_S.csv
56,15,3.977142857,6,1.75,2016,JFBA2_S.csv
57,16,3.474285714,6,1.75,2016,JFBA2_S.csv
58,20,1.400460299,6,8.69,2016,JFBA2_S.csv
