"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.94","2.0051546391752577","2017","09","21"
"9.72","1.1975308641975309","2017","09","21"
"15.53","1.2504829362524148","2017","09","21"
"17.48","1.110983981693364","2017","09","21"
"19.42","1.3002059732234807","2017","09","21"
"7.78","1.0","2017","09","23"
"3.89","1.4987146529562982","2017","09","23"
"7.78","1.0","2017","09","23"
"7.78","1.2493573264781492","2017","09","23"
"9.72","1.1975308641975309","2017","09","23"
"11.64","1.1692439862542954","2017","09","23"
"11.64","1.3341924398625429","2017","09","23"
"15.53","1.2504829362524148","2017","09","24"
"13.61","1.2843497428361499","2017","09","24"
"13.61","1.2843497428361499","2017","09","24"
"15.53","1.2504829362524148","2017","09","24"
"17.48","1.2219679633867275","2017","09","24"
"17.48","1.110983981693364","2017","09","24"
"9.72","1.1975308641975309","2017","09","25"
"3.89","1.4987146529562982","2017","09","25"
"17.48","1.2219679633867275","2017","09","27"
"15.53","1.2504829362524148","2017","09","27"
"13.61","1.2843497428361499","2017","09","27"
"17.48","1.2219679633867275","2017","09","27"
"21.36","1.182116104868914","2017","09","27"
"17.48","1.2219679633867275","2017","09","28"
"19.42","1.3002059732234807","2017","09","28"
"19.42","1.4001029866117405","2017","09","28"
"17.48","1.333524027459954","2017","09","28"
"19.42","1.2003089598352212","2017","09","28"
"21.36","1.182116104868914","2017","09","28"
"19.42","1.0998970133882593","2017","09","28"
"19.42","1.3002059732234807","2017","09","28"
"19.42","1.2003089598352212","2017","09","28"
"21.36","1.0912921348314606","2017","09","28"
"19.42","1.0998970133882593","2017","09","28"
"15.53","1.2504829362524148","2017","09","28"
"15.53","1.2504829362524148","2017","09","28"
"17.48","1.110983981693364","2017","09","28"
"15.53","1.2504829362524148","2017","09","28"
"17.48","1.2219679633867275","2017","09","28"
"17.48","1.110983981693364","2017","09","28"
"15.53","1.2504829362524148","2017","09","28"
"15.53","1.1255634256278173","2017","09","28"
"13.61","1.2843497428361499","2017","09","29"
"9.72","1.4002057613168724","2017","09","29"
"9.72","1.1975308641975309","2017","09","29"
"9.72","1.1975308641975309","2017","09","29"
"5.83","1.0","2017","09","29"
"3.89","1.4987146529562982","2017","09","29"
"3.89","1.4987146529562982","2017","09","29"
"3.89","1.4987146529562982","2017","09","29"
"3.89","1.0","2017","09","29"
"3.89","1.0","2017","10","01"
"3.89","1.0","2017","10","01"
"3.89","1.4987146529562982","2017","10","01"
"11.64","1.0","2017","10","02"
"13.61","1.1410727406318883","2017","10","02"
"13.61","1.1410727406318883","2017","10","02"
"11.64","1.1692439862542954","2017","10","02"
"17.48","1.2219679633867275","2017","10","02"
"19.42","1.2003089598352212","2017","10","02"
"7.78","1.4961439588688947","2017","10","04"
"7.78","1.2493573264781492","2017","10","05"
"9.72","1.1975308641975309","2017","10","05"
"11.64","1.1692439862542954","2017","10","05"
"13.61","1.2843497428361499","2017","10","05"
"13.61","1.1410727406318883","2017","10","05"
"15.53","1.1255634256278173","2017","10","05"
"15.53","1.1255634256278173","2017","10","05"
