"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"3.89","1.0","2016","06","03"
"5.83","1.3344768439108061","2016","06","03"
"5.83","1.3344768439108061","2016","06","03"
"3.89","1.4987146529562982","2016","06","03"
"9.72","1.1975308641975309","2016","06","03"
"13.61","1.2843497428361499","2016","06","03"
"7.78","1.4961439588688947","2016","06","05"
"3.89","1.0","2016","06","21"
"5.83","1.3344768439108061","2016","07","02"
"9.72","1.1975308641975309","2016","07","02"
"5.83","1.3344768439108061","2016","07","02"
"17.48","1.2219679633867275","2016","07","02"
"3.89","1.4987146529562982","2016","08","03"
"3.89","1.0","2016","08","04"
"1.94","2.0051546391752577","2016","08","17"
"3.89","1.0","2016","08","27"
"3.89","1.4987146529562982","2016","08","28"
"1.94","1.0","2016","08","28"
"3.89","1.4987146529562982","2016","08","28"
"3.89","2.0","2016","08","28"
"3.89","1.0","2016","08","29"
"3.89","2.0","2016","08","30"
"5.83","1.3344768439108061","2016","08","30"
"3.89","1.4987146529562982","2016","08","30"
"7.78","1.2493573264781492","2016","09","19"
"7.78","1.2493573264781492","2016","09","19"
"7.78","1.2493573264781492","2016","09","25"
"1.94","2.0051546391752577","2016","09","27"
"3.89","2.0","2016","09","27"
"5.83","1.3344768439108061","2016","09","27"
"9.72","1.1975308641975309","2016","09","28"
"11.64","1.3341924398625429","2016","10","03"
"3.89","1.4987146529562982","2016","10","06"
"5.83","1.3344768439108061","2016","10","08"
"5.83","1.3344768439108061","2016","10","08"
"3.89","1.4987146529562982","2016","10","08"
"1.94","2.0051546391752577","2016","10","08"
"3.89","1.4987146529562982","2016","10","11"
"13.61","1.2843497428361499","2016","10","13"
"5.83","1.6672384219554033","2016","10","13"
"5.83","1.3344768439108061","2016","10","13"
"5.83","1.3344768439108061","2016","10","14"
"5.83","1.3344768439108061","2016","10","14"
"5.83","1.3344768439108061","2016","10","14"
"7.78","1.749357326478149","2016","10","15"
"3.89","1.4987146529562982","2016","10","16"
