"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"9.72","1.1975308641975309","2016","06","02"
"11.64","1.1692439862542954","2016","06","02"
"5.83","1.0","2016","06","02"
"3.89","1.4987146529562982","2016","06","02"
"13.61","1.1410727406318883","2016","06","03"
"21.36","1.272940074906367","2016","06","03"
"15.53","1.3754024468770123","2016","06","03"
"21.36","1.3642322097378279","2016","06","03"
"21.36","1.272940074906367","2016","06","03"
"17.48","1.333524027459954","2016","06","03"
"17.48","1.333524027459954","2016","06","03"
"11.64","1.5017182130584192","2016","06","04"
"15.53","1.1255634256278173","2016","06","04"
"11.64","1.1692439862542954","2016","06","04"
"11.64","1.1692439862542954","2016","06","04"
"11.64","1.1692439862542954","2016","06","04"
"7.78","1.2493573264781492","2016","06","04"
"9.72","1.1975308641975309","2016","06","04"
"9.72","1.1975308641975309","2016","06","04"
"3.89","1.4987146529562982","2016","06","04"
"1.94","1.0","2016","06","05"
"1.94","2.0051546391752577","2016","06","05"
"1.94","1.0","2016","06","06"
"11.64","1.1692439862542954","2016","06","09"
"3.89","1.4987146529562982","2016","06","09"
"15.53","1.1255634256278173","2016","06","12"
"13.61","1.1410727406318883","2016","06","12"
"15.53","1.1255634256278173","2016","06","12"
"11.64","1.3341924398625429","2016","06","12"
"11.64","1.1692439862542954","2016","06","12"
"7.78","1.0","2016","06","21"
"5.83","1.3344768439108061","2016","06","21"
"5.83","1.0","2016","06","21"
"5.83","1.3344768439108061","2016","06","21"
"5.83","1.3344768439108061","2016","06","21"
"5.83","1.3344768439108061","2016","06","22"
"3.89","1.0","2016","06","22"
"1.94","1.0","2016","06","22"
"5.83","1.3344768439108061","2016","06","26"
"5.83","1.3344768439108061","2016","06","26"
"3.89","1.0","2016","06","30"
"3.89","1.0","2016","06","30"
"5.83","1.3344768439108061","2016","07","01"
"5.83","1.3344768439108061","2016","07","01"
"7.78","1.2493573264781492","2016","07","01"
"15.53","1.1255634256278173","2016","07","02"
"9.72","1.1975308641975309","2016","07","02"
"11.64","1.3341924398625429","2016","07","02"
"9.72","1.1975308641975309","2016","07","02"
"9.72","1.1975308641975309","2016","07","02"
"13.61","1.1410727406318883","2016","07","02"
"11.64","1.1692439862542954","2016","07","02"
"9.72","1.1975308641975309","2016","07","02"
"5.83","1.3344768439108061","2016","07","05"
"3.89","1.4987146529562982","2016","07","08"
"5.83","1.0","2016","07","09"
"5.83","1.0","2016","07","19"
"9.72","1.1975308641975309","2016","07","22"
"5.83","1.3344768439108061","2016","07","22"
"7.78","1.2493573264781492","2016","07","22"
"7.78","1.0","2016","07","22"
"7.78","1.0","2016","07","22"
"9.72","1.1975308641975309","2016","07","22"
"7.78","1.2493573264781492","2016","07","22"
"7.78","1.2493573264781492","2016","07","22"
"7.78","1.2493573264781492","2016","07","22"
"3.89","1.4987146529562982","2016","07","22"
"1.94","2.0051546391752577","2016","07","23"
"3.89","1.4987146529562982","2016","07","23"
"3.89","1.4987146529562982","2016","07","23"
"7.78","1.0","2016","07","23"
"9.72","1.1975308641975309","2016","07","23"
"7.78","1.4961439588688947","2016","07","24"
"7.78","1.0","2016","07","24"
"7.78","1.0","2016","07","24"
"5.83","1.3344768439108061","2016","07","24"
"3.89","1.0","2016","07","25"
"1.94","2.0051546391752577","2016","07","25"
"3.89","1.4987146529562982","2016","07","25"
"3.89","1.0","2016","07","26"
"3.89","1.0","2016","07","26"
"1.94","1.0","2016","07","27"
"3.89","2.0","2016","07","28"
"5.83","1.3344768439108061","2016","08","08"
"5.83","1.3344768439108061","2016","08","09"
"5.83","1.0","2016","08","09"
"3.89","1.4987146529562982","2016","08","13"
"7.78","1.2493573264781492","2016","08","14"
"1.94","1.0","2016","08","14"
"3.89","1.0","2016","08","15"
"1.94","1.0","2016","08","15"
"5.83","1.0","2016","08","15"
"1.94","1.0","2016","08","15"
"3.89","1.4987146529562982","2016","08","15"
"5.83","1.3344768439108061","2016","08","15"
"3.89","1.4987146529562982","2016","08","15"
"1.94","1.0","2016","08","23"
"1.94","2.0051546391752577","2016","09","05"
"7.78","1.2493573264781492","2016","09","07"
"5.83","1.3344768439108061","2016","09","07"
"9.72","1.1975308641975309","2016","09","07"
"13.61","1.1410727406318883","2016","09","07"
"11.64","1.1692439862542954","2016","09","07"
"9.72","1.4002057613168724","2016","09","07"
"11.64","1.3341924398625429","2016","09","07"
"11.64","1.1692439862542954","2016","09","09"
"13.61","1.1410727406318883","2016","09","09"
"11.64","1.3341924398625429","2016","09","09"
"9.72","1.4002057613168724","2016","09","09"
"9.72","1.1975308641975309","2016","09","10"
"5.83","1.3344768439108061","2016","09","13"
"5.83","1.3344768439108061","2016","09","13"
"5.83","1.0","2016","09","13"
"3.89","1.4987146529562982","2016","09","13"
"3.89","1.4987146529562982","2016","09","13"
"9.72","1.1975308641975309","2016","09","15"
"9.72","1.0","2016","09","15"
"9.72","1.1975308641975309","2016","09","15"
"17.48","1.110983981693364","2016","09","16"
"17.48","1.2219679633867275","2016","09","16"
"15.53","1.1255634256278173","2016","09","16"
"11.64","1.8350515463917525","2016","09","16"
"1.94","2.0051546391752577","2016","09","17"
"1.94","2.0051546391752577","2016","09","17"
"13.61","1.2843497428361499","2016","09","17"
"11.64","1.1692439862542954","2016","09","17"
"9.72","1.4002057613168724","2016","09","17"
"7.78","1.2493573264781492","2016","09","17"
"7.78","1.4961439588688947","2016","09","17"
"7.78","1.2493573264781492","2016","09","17"
"7.78","1.0","2016","09","17"
"5.83","1.3344768439108061","2016","09","17"
"5.83","1.0","2016","09","17"
"3.89","1.0","2016","09","17"
"1.94","2.0051546391752577","2016","09","17"
"1.94","2.0051546391752577","2016","09","17"
"3.89","1.4987146529562982","2016","09","18"
"3.89","1.4987146529562982","2016","09","18"
"5.83","1.0","2016","09","18"
"7.78","1.0","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"5.83","1.0","2016","09","18"
"3.89","1.4987146529562982","2016","09","18"
"7.78","1.4961439588688947","2016","09","18"
"7.78","1.2493573264781492","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"7.78","1.2493573264781492","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"5.83","1.3344768439108061","2016","09","18"
"3.89","1.4987146529562982","2016","09","18"
"3.89","1.0","2016","09","18"
"3.89","1.4987146529562982","2016","09","19"
"3.89","1.4987146529562982","2016","09","19"
"11.64","1.1692439862542954","2016","09","22"
"15.53","1.2504829362524148","2016","09","23"
"9.72","1.1975308641975309","2016","09","23"
"9.72","1.1975308641975309","2016","09","23"
"5.83","1.3344768439108061","2016","09","23"
"7.78","1.2493573264781492","2016","09","24"
"5.83","1.6672384219554033","2016","09","24"
"5.83","1.3344768439108061","2016","09","24"
"9.72","1.1975308641975309","2016","09","24"
"9.72","1.1975308641975309","2016","09","24"
"7.78","1.0","2016","09","24"
"9.72","1.0","2016","09","24"
"19.42","1.2003089598352212","2016","09","26"
"15.53","1.1255634256278173","2016","09","26"
"7.78","1.2493573264781492","2016","09","27"
"5.83","1.3344768439108061","2016","09","27"
"3.89","1.4987146529562982","2016","09","27"
"3.89","1.4987146529562982","2016","09","27"
"3.89","1.0","2016","09","27"
"7.78","1.2493573264781492","2016","09","27"
"7.78","1.0","2016","09","27"
"5.83","1.0","2016","09","27"
"9.72","1.7983539094650205","2016","09","28"
"5.83","1.6672384219554033","2016","09","28"
"1.94","1.0","2016","09","29"
"7.78","1.0","2016","09","30"
"3.89","1.0","2016","10","02"
"5.83","1.0","2016","10","02"
"1.94","1.0","2016","10","15"
"9.72","1.1975308641975309","2016","10","15"
"9.72","1.1975308641975309","2016","10","17"
"15.53","1.1255634256278173","2016","10","18"
"13.61","1.1410727406318883","2016","10","18"
"7.78","1.4961439588688947","2016","10","18"
"7.78","1.4961439588688947","2016","10","18"
"11.64","1.1692439862542954","2016","10","18"
"7.78","1.2493573264781492","2016","10","18"
"7.78","1.0","2016","10","18"
"7.78","1.2493573264781492","2016","10","18"
"5.83","1.3344768439108061","2016","10","18"
"15.53","1.2504829362524148","2016","10","19"
"11.64","1.3341924398625429","2016","10","19"
"9.72","1.4002057613168724","2016","10","19"
"11.64","1.5017182130584192","2016","10","19"
"7.78","1.2493573264781492","2016","10","19"
"11.64","1.1692439862542954","2016","10","20"
"7.78","1.2493573264781492","2016","10","20"
"11.64","1.1692439862542954","2016","10","20"
"7.78","1.2493573264781492","2016","10","20"
"7.78","1.0","2016","10","20"
"7.78","1.2493573264781492","2016","10","20"
"9.72","1.1975308641975309","2016","10","20"
"9.72","1.1975308641975309","2016","10","20"
"11.64","1.3341924398625429","2016","10","20"
"9.72","1.1975308641975309","2016","10","20"
"7.78","1.4961439588688947","2016","10","20"
"7.78","1.0","2016","10","20"
"11.64","1.5017182130584192","2016","10","21"
"19.42","1.3002059732234807","2016","10","21"
"19.42","1.2003089598352212","2016","10","21"
"17.48","1.2219679633867275","2016","10","22"
"19.42","1.2003089598352212","2016","10","22"
"19.42","1.0998970133882593","2016","10","22"
"15.53","1.3754024468770123","2016","10","22"
"19.42","1.2003089598352212","2016","10","22"
"19.42","1.2003089598352212","2016","10","22"
"19.42","1.2003089598352212","2016","10","22"
"19.42","1.2003089598352212","2016","10","22"
"19.42","1.0998970133882593","2016","10","22"
"17.48","1.110983981693364","2016","10","22"
"17.48","1.110983981693364","2016","10","22"
"15.53","1.1255634256278173","2016","10","22"
"15.53","1.1255634256278173","2016","10","22"
"15.53","1.1255634256278173","2016","10","22"
"11.64","1.1692439862542954","2016","10","22"
"13.61","1.2843497428361499","2016","10","22"
"3.89","1.4987146529562982","2016","10","30"
"5.83","1.3344768439108061","2016","10","30"
"11.64","1.3341924398625429","2016","11","01"
"5.83","1.3344768439108061","2016","11","01"
"7.78","1.0","2016","11","01"
"7.78","1.2493573264781492","2016","11","01"
"3.89","2.0","2016","11","02"
"9.72","1.1975308641975309","2016","11","02"
"7.78","1.749357326478149","2016","11","02"
"11.64","1.1692439862542954","2016","11","02"
"13.61","1.1410727406318883","2016","11","02"
"11.64","1.3341924398625429","2016","11","02"
"23.31","1.25010725010725","2016","11","03"
"23.31","1.3333333333333333","2016","11","03"
"21.36","1.272940074906367","2016","11","03"
"15.53","1.5009658725048294","2016","11","03"
"23.31","1.25010725010725","2016","11","03"
"17.48","1.555491990846682","2016","11","03"
"9.72","1.1975308641975309","2016","11","03"
"11.64","1.3341924398625429","2016","11","03"
"27.19","1.2147848473703566","2016","11","05"
"21.36","1.272940074906367","2016","11","05"
"11.64","1.1692439862542954","2016","11","05"
"13.61","1.2843497428361499","2016","11","05"
"11.64","1.1692439862542954","2016","11","06"
"13.61","1.1410727406318883","2016","11","06"
"19.42","1.2003089598352212","2016","11","08"
"17.48","1.2219679633867275","2016","11","08"
"17.48","1.2219679633867275","2016","11","09"
"17.48","1.110983981693364","2016","11","09"
"13.61","1.2843497428361499","2016","11","10"
"19.42","1.2003089598352212","2016","11","11"
"19.42","1.2003089598352212","2016","11","11"
"19.42","1.2003089598352212","2016","11","11"
"19.42","1.0998970133882593","2016","11","11"
"15.53","1.2504829362524148","2016","11","11"
"13.61","1.2843497428361499","2016","11","12"
"11.64","1.3341924398625429","2016","11","12"
"13.61","1.1410727406318883","2016","11","12"
"11.64","1.1692439862542954","2016","11","12"
"9.72","1.1975308641975309","2016","11","12"
"9.72","1.1975308641975309","2016","11","12"
"11.64","1.1692439862542954","2016","11","12"
"19.42","1.4001029866117405","2016","11","13"
"25.25","1.3081188118811882","2016","11","13"
"23.31","1.1664521664521665","2016","11","13"
"13.61","1.2843497428361499","2016","11","13"
"11.64","1.3341924398625429","2016","11","13"
"13.61","1.2843497428361499","2016","11","13"
"11.64","1.1692439862542954","2016","11","13"
"11.64","1.0","2016","11","14"
"13.61","1.1410727406318883","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"17.48","1.110983981693364","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"15.53","1.2504829362524148","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"17.48","1.2219679633867275","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"15.53","1.2504829362524148","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"15.53","1.2504829362524148","2016","11","14"
"13.61","1.1410727406318883","2016","11","14"
"11.64","1.3341924398625429","2016","11","14"
"15.53","1.2504829362524148","2016","11","14"
"13.61","1.1410727406318883","2016","11","14"
"13.61","1.2843497428361499","2016","11","14"
"13.61","1.2843497428361499","2016","11","14"
"13.61","1.1410727406318883","2016","11","14"
"15.53","1.1255634256278173","2016","11","14"
"13.61","1.2843497428361499","2016","11","15"
"15.53","1.2504829362524148","2016","11","15"
"19.42","1.0998970133882593","2016","11","15"
"11.64","1.3341924398625429","2016","11","15"
"7.78","1.2493573264781492","2016","11","15"
"13.61","1.1410727406318883","2016","11","15"
"13.61","1.2843497428361499","2016","11","15"
"13.61","1.2843497428361499","2016","11","15"
"13.61","1.2843497428361499","2016","11","15"
"11.64","1.3341924398625429","2016","11","15"
"13.61","1.2843497428361499","2016","11","15"
"7.78","1.4961439588688947","2016","11","15"
"5.83","1.3344768439108061","2016","11","21"
"7.78","1.2493573264781492","2016","11","21"
"7.78","1.2493573264781492","2016","11","21"
"19.42","1.3002059732234807","2016","11","22"
"15.53","1.1255634256278173","2016","11","22"
"11.64","1.1692439862542954","2016","11","22"
"13.61","1.1410727406318883","2016","11","22"
"15.53","1.2504829362524148","2016","11","22"
"21.36","1.182116104868914","2016","11","23"
"21.36","1.182116104868914","2016","11","23"
"19.42","1.2003089598352212","2016","11","23"
"19.42","1.2003089598352212","2016","11","23"
"15.53","1.1255634256278173","2016","11","24"
"17.48","1.110983981693364","2016","11","24"
"1.94","2.0051546391752577","2016","11","25"
"5.83","1.3344768439108061","2016","11","25"
"5.83","1.3344768439108061","2016","11","25"
"5.83","1.3344768439108061","2016","11","25"
"5.83","1.3344768439108061","2016","11","25"
"7.78","1.2493573264781492","2016","11","25"
"9.72","1.4002057613168724","2016","11","25"
"11.64","1.1692439862542954","2016","11","25"
"11.64","1.1692439862542954","2016","11","25"
"13.61","1.2843497428361499","2016","11","25"
"15.53","1.1255634256278173","2016","11","25"
"15.53","1.2504829362524148","2016","11","25"
"5.83","1.3344768439108061","2016","11","27"
"7.78","1.2493573264781492","2016","11","27"
"9.72","1.1975308641975309","2016","11","27"
"11.64","1.1692439862542954","2016","11","27"
"13.61","1.1410727406318883","2016","11","27"
"15.53","1.1255634256278173","2016","11","27"
"13.61","1.1410727406318883","2016","11","27"
"17.48","1.2219679633867275","2016","11","27"
"19.42","1.2003089598352212","2016","11","27"
"21.36","1.182116104868914","2016","11","27"
"27.19","1.2147848473703566","2016","11","27"
"25.25","1.2308910891089109","2016","11","27"
"19.42","1.3002059732234807","2016","11","27"
"11.64","1.3341924398625429","2016","11","27"
"13.61","1.2843497428361499","2016","11","28"
"15.53","1.1255634256278173","2016","11","28"
"17.48","1.2219679633867275","2016","11","28"
"17.48","1.2219679633867275","2016","11","28"
"11.64","1.1692439862542954","2016","11","28"
"11.64","1.3341924398625429","2016","11","29"
"11.64","1.5017182130584192","2016","11","29"
"15.53","1.3754024468770123","2016","11","29"
"9.72","1.1975308641975309","2016","11","30"
"15.53","1.1255634256278173","2016","11","30"
"15.53","1.2504829362524148","2016","11","30"
"7.78","1.4961439588688947","2016","11","30"
"7.78","1.4961439588688947","2016","12","01"
"11.64","1.1692439862542954","2016","12","01"
"11.64","1.1692439862542954","2016","12","01"
"21.36","1.272940074906367","2016","12","01"
"19.42","1.3002059732234807","2016","12","01"
"15.53","1.2504829362524148","2016","12","01"
"15.53","1.2504829362524148","2016","12","01"
"15.53","1.2504829362524148","2016","12","01"
"13.61","1.2843497428361499","2016","12","01"
"36.91","1.2107829856407477","2016","12","02"
"27.19","1.429201912467819","2016","12","02"
"23.31","1.3333333333333333","2016","12","02"
"21.36","1.272940074906367","2016","12","02"
"25.25","1.3841584158415843","2016","12","02"
"27.19","1.4998161088635527","2016","12","02"
"23.31","1.3333333333333333","2016","12","02"
"25.25","1.3081188118811882","2016","12","02"
"23.31","1.25010725010725","2016","12","02"
"9.72","1.5977366255144032","2016","12","04"
"13.61","1.2843497428361499","2016","12","04"
"13.61","1.2843497428361499","2016","12","04"
"11.64","1.5017182130584192","2016","12","04"
"15.53","1.1255634256278173","2016","12","04"
"13.61","1.2843497428361499","2016","12","04"
"7.78","1.2493573264781492","2016","12","04"
"11.64","1.1692439862542954","2016","12","04"
"3.89","2.9922879177377895","2016","12","04"
"7.78","1.2493573264781492","2016","12","05"
"3.89","1.4987146529562982","2016","12","13"
"3.89","1.4987146529562982","2016","12","13"
"1.94","2.0051546391752577","2016","12","14"
"7.78","1.2493573264781492","2016","12","17"
"3.89","1.4987146529562982","2016","12","17"
"13.61","1.1410727406318883","2016","12","17"
"11.64","1.3341924398625429","2016","12","17"
"13.61","1.1410727406318883","2016","12","17"
"17.48","1.2219679633867275","2016","12","17"
"15.53","1.2504829362524148","2016","12","18"
"15.53","1.1255634256278173","2016","12","18"
"17.48","1.2219679633867275","2016","12","18"
"17.48","1.110983981693364","2016","12","18"
"17.48","1.2219679633867275","2016","12","18"
"17.48","1.2219679633867275","2016","12","18"
"15.53","1.3754024468770123","2016","12","18"
"15.53","1.1255634256278173","2016","12","18"
"17.48","1.333524027459954","2016","12","18"
"19.42","1.3002059732234807","2016","12","18"
"19.42","1.3002059732234807","2016","12","18"
"29.14","1.133493479752917","2016","12","18"
"29.14","1.1993822923816062","2016","12","18"
"27.19","1.2147848473703566","2016","12","18"
"27.19","1.2147848473703566","2016","12","18"
"13.61","1.2843497428361499","2016","12","19"
"15.53","1.2504829362524148","2016","12","19"
"13.61","1.4268919911829538","2016","12","19"
"19.42","1.2003089598352212","2016","12","20"
"21.36","1.182116104868914","2016","12","20"
"21.36","1.182116104868914","2016","12","21"
"21.36","1.182116104868914","2016","12","21"
"21.36","1.272940074906367","2016","12","21"
"11.64","1.3341924398625429","2016","12","21"
"17.48","1.2219679633867275","2016","12","21"
"17.48","1.2219679633867275","2016","12","21"
"19.42","1.4001029866117405","2016","12","21"
"19.42","1.2003089598352212","2016","12","21"
"17.48","1.2219679633867275","2016","12","21"
"15.53","1.2504829362524148","2016","12","21"
"11.64","1.3341924398625429","2016","12","21"
"11.64","1.1692439862542954","2016","12","22"
"11.64","1.0","2016","12","22"
"7.78","1.4961439588688947","2016","12","22"
"1.94","2.0051546391752577","2016","12","22"
"1.94","3.0051546391752577","2016","12","22"
"1.94","2.0051546391752577","2016","12","22"
"5.83","1.3344768439108061","2016","12","22"
"3.89","1.4987146529562982","2016","12","22"
"7.78","1.2493573264781492","2016","12","22"
"7.78","1.2493573264781492","2016","12","22"
"7.78","1.2493573264781492","2016","12","22"
"7.78","1.2493573264781492","2016","12","22"
"13.61","1.2843497428361499","2016","12","25"
"13.61","1.2843497428361499","2016","12","25"
"27.19","1.2853990437660905","2016","12","26"
"23.31","1.1664521664521665","2016","12","26"
"19.42","1.2003089598352212","2016","12","26"
"17.48","1.110983981693364","2016","12","26"
"17.48","1.110983981693364","2016","12","26"
"19.42","1.2003089598352212","2016","12","26"
"19.42","1.2003089598352212","2016","12","26"
"27.19","1.2147848473703566","2016","12","26"
"27.19","1.2147848473703566","2016","12","26"
"29.14","1.1993822923816062","2016","12","26"
"9.72","1.7983539094650205","2016","12","28"
"11.64","1.5017182130584192","2016","12","28"
"13.61","1.2843497428361499","2016","12","28"
"15.53","1.1255634256278173","2016","12","28"
"11.64","1.3341924398625429","2016","12","28"
"13.61","1.2843497428361499","2016","12","28"
"11.64","1.3341924398625429","2016","12","28"
"13.61","1.1410727406318883","2016","12","28"
"11.64","1.3341924398625429","2016","12","28"
"13.61","1.1410727406318883","2016","12","28"
"13.61","1.2843497428361499","2016","12","28"
