"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"17.48","1.2219679633867275","2016","06","02"
"17.48","1.2219679633867275","2016","06","02"
"17.48","1.333524027459954","2016","06","02"
"17.48","1.2219679633867275","2016","06","02"
"19.42","1.2003089598352212","2016","06","03"
"23.31","1.25010725010725","2016","06","03"
"23.31","1.1664521664521665","2016","06","03"
"5.83","1.3344768439108061","2016","06","04"
"7.78","1.4961439588688947","2016","06","04"
"7.78","1.2493573264781492","2016","06","04"
"5.83","1.3344768439108061","2016","06","04"
"3.89","1.4987146529562982","2016","06","04"
"7.78","1.2493573264781492","2016","06","05"
"5.83","1.3344768439108061","2016","06","05"
"7.78","1.2493573264781492","2016","06","05"
"7.78","1.2493573264781492","2016","06","05"
"9.72","1.1975308641975309","2016","06","05"
"11.64","1.0","2016","06","05"
"11.64","1.1692439862542954","2016","06","05"
"13.61","1.1410727406318883","2016","07","01"
"19.42","1.3002059732234807","2016","07","01"
"19.42","1.2003089598352212","2016","07","01"
"19.42","1.2003089598352212","2016","07","01"
"19.42","1.2003089598352212","2016","07","01"
"21.36","1.182116104868914","2016","07","01"
"19.42","1.2003089598352212","2016","07","01"
"13.61","1.1410727406318883","2016","07","01"
"17.48","1.2219679633867275","2016","07","02"
"17.48","1.333524027459954","2016","07","02"
"7.78","1.2493573264781492","2016","07","05"
"7.78","1.2493573264781492","2016","07","05"
"9.72","1.1975308641975309","2016","07","05"
"11.64","1.1692439862542954","2016","07","05"
"5.83","1.3344768439108061","2016","07","05"
"5.83","1.3344768439108061","2016","07","06"
"9.72","1.1975308641975309","2016","07","06"
"9.72","1.1975308641975309","2016","07","06"
"7.78","1.2493573264781492","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.0","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.0","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.0","2016","07","06"
"7.78","1.0","2016","07","06"
"7.78","1.0","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"3.89","1.4987146529562982","2016","07","06"
"3.89","1.4987146529562982","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"7.78","1.0","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"5.83","1.3344768439108061","2016","07","06"
"7.78","1.2493573264781492","2016","07","07"
"5.83","1.3344768439108061","2016","07","07"
"3.89","1.4987146529562982","2016","07","07"
"13.61","1.2843497428361499","2016","07","07"
"13.61","1.2843497428361499","2016","07","07"
"11.64","1.3341924398625429","2016","07","07"
"11.64","1.1692439862542954","2016","07","07"
"11.64","1.1692439862542954","2016","07","07"
"11.64","1.1692439862542954","2016","07","07"
"9.72","1.1975308641975309","2016","07","07"
"9.72","1.1975308641975309","2016","07","08"
"9.72","1.1975308641975309","2016","07","08"
"13.61","1.1410727406318883","2016","07","11"
"9.72","1.1975308641975309","2016","07","12"
"9.72","1.4002057613168724","2016","07","12"
"9.72","1.4002057613168724","2016","07","12"
"11.64","1.1692439862542954","2016","07","12"
"11.64","1.3341924398625429","2016","07","12"
"13.61","1.1410727406318883","2016","07","12"
"13.61","1.1410727406318883","2016","07","12"
"9.72","1.1975308641975309","2016","07","12"
"5.83","1.6672384219554033","2016","07","12"
"7.78","1.2493573264781492","2016","07","12"
"7.78","1.4961439588688947","2016","07","12"
"9.72","1.1975308641975309","2016","07","12"
"9.72","1.1975308641975309","2016","07","12"
"11.64","1.3341924398625429","2016","07","12"
"11.64","1.3341924398625429","2016","07","12"
"11.64","1.3341924398625429","2016","07","12"
"11.64","1.1692439862542954","2016","07","12"
"9.72","1.1975308641975309","2016","07","12"
"11.64","1.1692439862542954","2016","07","12"
"9.72","1.1975308641975309","2016","07","12"
"3.89","1.0","2016","07","12"
"3.89","1.4987146529562982","2016","07","13"
"3.89","1.4987146529562982","2016","07","13"
"3.89","1.4987146529562982","2016","07","13"
"5.83","1.3344768439108061","2016","07","13"
"7.78","1.2493573264781492","2016","07","13"
"7.78","1.2493573264781492","2016","07","13"
"7.78","1.0","2016","07","13"
"7.78","1.0","2016","07","13"
"5.83","1.3344768439108061","2016","07","13"
"7.78","1.0","2016","07","13"
"5.83","1.3344768439108061","2016","07","13"
"7.78","1.0","2016","07","13"
"7.78","1.2493573264781492","2016","07","13"
"7.78","1.4961439588688947","2016","07","13"
"1.94","2.0051546391752577","2016","07","14"
"1.94","2.0051546391752577","2016","08","28"
"5.83","1.3344768439108061","2016","08","28"
"7.78","1.2493573264781492","2016","08","28"
"11.64","1.1692439862542954","2016","08","28"
"9.72","1.1975308641975309","2016","08","28"
"9.72","1.1975308641975309","2016","08","28"
"11.64","1.1692439862542954","2016","08","28"
"13.61","1.1410727406318883","2016","08","28"
"15.53","1.1255634256278173","2016","08","28"
"17.48","1.2219679633867275","2016","08","28"
"17.48","1.110983981693364","2016","08","28"
"17.48","1.2219679633867275","2016","08","28"
"17.48","1.110983981693364","2016","08","28"
"15.53","1.2504829362524148","2016","08","28"
"15.53","1.1255634256278173","2016","08","28"
"15.53","1.2504829362524148","2016","08","28"
"19.42","1.2003089598352212","2016","08","28"
"21.36","1.272940074906367","2016","08","28"
"23.31","1.1664521664521665","2016","08","28"
"25.25","1.2308910891089109","2016","08","28"
"27.19","1.2147848473703566","2016","08","29"
"25.25","1.154059405940594","2016","08","29"
"23.31","1.1664521664521665","2016","08","29"
"25.25","1.2308910891089109","2016","08","29"
"21.36","1.272940074906367","2016","08","29"
"17.48","1.110983981693364","2016","08","29"
"15.53","1.3754024468770123","2016","08","29"
"15.53","1.2504829362524148","2016","08","29"
"17.48","1.110983981693364","2016","08","29"
"17.48","1.2219679633867275","2016","08","29"
"15.53","1.2504829362524148","2016","08","29"
"15.53","1.1255634256278173","2016","08","29"
"9.72","1.4002057613168724","2016","08","30"
"11.64","1.1692439862542954","2016","08","30"
"11.64","1.1692439862542954","2016","08","30"
"9.72","1.1975308641975309","2016","08","30"
"7.78","1.2493573264781492","2016","08","30"
"7.78","1.2493573264781492","2016","08","30"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"7.78","1.2493573264781492","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"7.78","1.2493573264781492","2016","08","31"
"11.64","1.0","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"9.72","1.1975308641975309","2016","08","31"
"11.64","1.0","2016","08","31"
"7.78","1.0","2016","08","31"
"7.78","1.2493573264781492","2016","08","31"
