"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.99","1.3377926421404682","2007","04","22"
"5.0","1.4","2007","04","22"
"5.0","1.202","2007","04","22"
"2.0","2.0","2007","04","22"
"4.0","1.25","2007","04","23"
"5.0","1.4","2007","04","23"
"7.0","1.4271428571428573","2007","04","23"
"8.98","1.3351893095768375","2007","04","23"
"7.99","1.374217772215269","2007","04","23"
"6.01","1.329450915141431","2007","04","23"
"2.0","3.005","2007","04","23"
"5.0","1.4","2007","04","25"
"4.0","1.75","2007","04","25"
"2.99","2.0100334448160533","2007","04","25"
"0.99","4.040404040404041","2007","04","25"
"2.0","1.495","2007","04","26"
"9.99","1.0990990990990992","2007","04","26"
"11.99","1.250208507089241","2007","04","26"
"14.99","1.266844563042028","2007","04","26"
"16.99","1.1759858740435551","2007","04","26"
"17.98","1.1662958843159064","2007","04","26"
"11.99","1.5838198498748957","2007","04","26"
"9.99","1.5005005005005005","2007","04","26"
"0.99","4.040404040404041","2007","04","28"
"4.0","1.25","2007","04","28"
"7.99","1.2503128911138923","2007","04","28"
"0.99","3.0202020202020203","2007","05","01"
"4.0","1.75","2007","05","01"
"9.99","1.0990990990990992","2007","05","01"
"11.99","1.250208507089241","2007","05","01"
"11.99","1.0825688073394495","2007","05","01"
"10.98","1.2750455373406193","2007","05","01"
"12.98","1.078582434514638","2007","05","01"
"14.99","1.067378252168112","2007","05","01"
"16.0","1.12375","2007","05","01"
"14.0","1.2842857142857143","2007","05","01"
"9.99","1.7007007007007005","2007","05","01"
"2.99","1.3377926421404682","2007","05","02"
"0.99","3.0202020202020203","2007","05","02"
"2.99","2.341137123745819","2007","05","02"
"7.99","1.1239048811013768","2007","05","02"
"9.99","1.2002002002002001","2007","05","02"
"8.98","1.3351893095768375","2007","05","02"
"9.99","1.2992992992992993","2007","05","02"
"16.0","1.310625","2007","05","02"
"17.98","1.1112347052280311","2007","05","02"
"14.99","1.266844563042028","2007","05","02"
"16.0","1.12375","2007","05","02"
"9.99","1.7007007007007005","2007","05","02"
"10.98","1.3652094717668488","2007","05","02"
"10.98","1.3652094717668488","2007","05","02"
"9.99","1.7007007007007005","2007","05","02"
"6.01","1.8269550748752081","2007","05","03"
"9.99","1.2002002002002001","2007","05","03"
"8.98","1.1124721603563474","2007","05","03"
"2.0","1.495","2007","05","03"
"2.99","1.672240802675585","2007","05","03"
"7.99","1.1239048811013768","2007","05","03"
"5.0","1.998","2007","05","03"
"2.99","2.0100334448160533","2007","05","03"
"4.0","1.5025","2007","05","03"
"0.99","5.05050505050505","2007","05","03"
"2.0","2.0","2007","05","04"
"2.0","3.005","2007","05","04"
"2.99","2.0100334448160533","2007","05","06"
"2.0","3.995","2007","05","06"
"7.0","1.5685714285714287","2007","05","06"
"7.99","1.6245306633291614","2007","05","06"
"8.98","1.22271714922049","2007","05","06"
"10.98","1.1821493624772312","2007","05","06"
"11.99","1.1676396997497915","2007","05","06"
"12.98","1.1548536209553157","2007","05","06"
"10.98","1.4571948998178506","2007","05","06"
"10.98","1.1821493624772312","2007","05","06"
"8.98","1.44543429844098","2007","05","06"
"7.0","1.282857142857143","2007","05","06"
"2.99","2.341137123745819","2007","05","06"
"0.99","6.070707070707071","2007","05","06"
"5.0","1.202","2007","05","11"
"6.01","1.1647254575707155","2007","05","11"
"5.0","1.202","2007","05","11"
"5.0","1.202","2007","05","11"
"2.99","2.0100334448160533","2007","05","11"
"2.0","2.0","2007","05","11"
"8.98","1.22271714922049","2007","05","15"
"14.0","1.1428571428571428","2007","05","15"
"14.0","1.2135714285714285","2007","05","15"
"14.99","1.1994663108739159","2007","05","15"
