"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.99","7.070707070707071","2007","04","22"
"6.01","1.4941763727121466","2007","04","23"
"2.99","6.013377926421405","2007","04","23"
"2.0","2.0","2007","04","23"
"5.0","1.598","2007","04","23"
"6.01","1.4941763727121466","2007","04","25"
"2.0","3.995","2007","04","25"
"2.0","1.495","2007","04","26"
"2.0","2.0","2007","04","26"
"2.99","2.0100334448160533","2007","04","27"
"0.99","2.0202020202020203","2007","04","28"
"6.01","1.6622296173044926","2007","04","29"
"2.99","2.341137123745819","2007","04","30"
"2.99","2.672240802675585","2007","04","30"
"2.0","2.5","2007","04","30"
"2.0","2.5","2007","05","01"
"5.0","2.398","2007","05","04"
"2.0","1.495","2007","05","04"
"0.99","2.0202020202020203","2007","05","04"
"6.01","1.329450915141431","2007","05","04"
"19.98","1.2502502502502502","2007","05","05"
"0.99","2.0202020202020203","2007","05","06"
"26.98","1.1482579688658265","2007","05","07"
"20.97","1.4291845493562232","2007","05","07"
"9.99","1.2002002002002001","2007","05","09"
"9.99","1.2992992992992993","2007","05","09"
"0.99","4.040404040404041","2007","05","09"
"5.0","1.796","2007","05","10"
"2.99","4.010033444816053","2007","05","10"
"2.0","3.005","2007","05","11"
"16.99","1.3525603296056505","2007","05","12"
"2.99","2.0100334448160533","2007","05","14"
"4.0","1.5025","2007","05","14"
"2.0","2.5","2007","05","14"
"2.99","2.341137123745819","2007","05","14"
"4.0","2.245","2007","05","14"
"6.01","1.329450915141431","2007","05","14"
"6.01","1.4941763727121466","2007","05","14"
"6.01","1.8269550748752081","2007","05","14"
"5.0","1.598","2007","05","15"
"2.99","2.672240802675585","2007","05","15"
"4.0","2.245","2007","05","15"
"4.0","1.75","2007","05","15"
"2.0","4.995","2007","05","16"
"7.0","2.0","2007","05","18"
"6.01","1.995008319467554","2007","05","18"
"2.0","2.0","2007","05","20"
"2.0","4.49","2007","05","20"
"0.99","9.070707070707071","2007","05","21"
"10.98","1.4571948998178506","2007","05","21"
"2.0","5.995","2007","05","21"
"5.0","1.796","2007","05","21"
"2.0","4.49","2007","05","22"
"0.99","3.0202020202020203","2007","05","23"
"2.0","3.995","2007","05","24"
"6.01","1.329450915141431","2007","05","24"
"5.0","1.998","2007","05","24"
"10.98","1.2750455373406193","2007","05","24"
"0.99","9.070707070707071","2007","05","24"
"0.99","2.0202020202020203","2007","05","26"
"16.99","1.3525603296056505","2007","05","28"
"14.99","1.533022014676451","2007","05","28"
"12.98","1.4630200308166408","2007","05","28"
"12.98","1.4630200308166408","2007","05","28"
"14.0","1.0707142857142857","2007","05","28"
"4.0","1.9975","2007","05","28"
"0.99","7.070707070707071","2007","05","28"
"2.99","2.0100334448160533","2007","05","29"
"2.0","1.495","2007","05","30"
"23.99","1.3751563151313049","2007","05","30"
"2.0","3.995","2007","06","02"
"2.99","1.672240802675585","2007","06","04"
"6.01","1.1647254575707155","2007","06","04"
"6.01","1.4941763727121466","2007","06","05"
"0.99","3.0202020202020203","2007","06","05"
"14.0","1.2135714285714285","2007","06","06"
"8.98","1.44543429844098","2007","06","06"
"5.0","2.196","2007","06","06"
"2.99","2.672240802675585","2007","06","06"
