"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"7.99","1.1239048811013768","2006","09","13"
"7.0","1.1414285714285715","2006","09","13"
"6.01","1.1647254575707155","2006","09","13"
"7.0","1.1414285714285715","2006","09","13"
"7.0","1.0","2006","09","13"
"7.99","1.1239048811013768","2006","09","13"
"10.98","1.0919854280510017","2006","09","13"
"9.99","1.0990990990990992","2006","09","13"
"10.98","1.0919854280510017","2006","09","13"
"10.98","1.0919854280510017","2006","09","13"
"10.98","1.0","2006","09","13"
"10.98","1.0919854280510017","2006","09","13"
"10.98","1.0919854280510017","2006","09","13"
"16.99","1.1177163037080635","2006","09","13"
"16.0","1.061875","2006","09","13"
"17.98","1.0","2006","09","13"
"12.98","1.078582434514638","2006","09","13"
"9.99","1.0990990990990992","2006","09","13"
"12.98","1.078582434514638","2006","09","13"
"16.0","1.061875","2006","09","14"
"8.98","1.1124721603563474","2006","09","14"
"10.98","1.1821493624772312","2006","09","14"
"5.0","1.4","2006","09","14"
"14.0","1.0707142857142857","2006","09","14"
"7.99","1.0","2006","09","14"
"12.98","1.1548536209553157","2006","09","14"
"9.99","1.0990990990990992","2006","09","14"
"10.98","1.0919854280510017","2006","09","14"
"12.98","1.078582434514638","2006","09","14"
"8.98","1.1124721603563474","2006","09","14"
"10.98","1.0919854280510017","2006","09","14"
"16.0","1.12375","2006","09","14"
"7.0","1.0","2006","09","14"
"11.99","1.0","2006","09","14"
"8.98","1.22271714922049","2006","09","14"
"17.98","1.0561735261401557","2006","09","14"
"19.98","1.1001001001001","2006","09","14"
"14.99","1.1994663108739159","2006","09","15"
"14.99","1.067378252168112","2006","09","15"
"17.98","1.0561735261401557","2006","09","15"
"16.0","1.12375","2006","09","15"
"14.99","1.067378252168112","2006","09","15"
"10.98","1.0919854280510017","2006","09","15"
"6.01","1.0","2006","09","15"
"5.0","1.0","2006","09","15"
"7.99","1.1239048811013768","2006","09","15"
"2.99","1.3377926421404682","2006","09","16"
"7.0","1.1414285714285715","2006","09","16"
"6.01","1.0","2006","09","16"
"8.98","1.1124721603563474","2006","09","16"
"8.98","1.1124721603563474","2006","09","16"
"8.98","1.1124721603563474","2006","09","16"
"10.98","1.0919854280510017","2006","09","16"
"9.99","1.0990990990990992","2006","09","16"
"11.99","1.0","2006","09","16"
"11.99","1.0825688073394495","2006","09","17"
