"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.99","1.3377926421404682","2006","09","17"
"2.99","1.3377926421404682","2006","09","21"
"4.0","1.0","2006","09","25"
"2.99","1.3377926421404682","2006","09","25"
"2.0","1.0","2006","09","26"
"6.01","1.0","2006","10","01"
"2.0","1.0","2006","10","01"
"0.99","1.0","2006","10","02"
"4.0","1.0","2006","10","02"
"2.99","1.3377926421404682","2006","10","02"
"2.99","1.0","2006","10","02"
"4.0","1.0","2006","10","05"
"2.0","1.0","2006","10","05"
"2.99","1.0","2006","10","09"
"2.0","1.495","2006","10","09"
"8.98","1.0","2006","10","11"
"0.99","2.0202020202020203","2006","10","11"
"5.0","1.202","2006","10","11"
"5.0","1.0","2006","10","11"
"4.0","1.0","2006","10","11"
"2.99","1.3377926421404682","2006","10","12"
"4.0","1.25","2006","10","15"
"10.98","1.0919854280510017","2006","10","24"
"4.0","1.25","2006","10","24"
"16.0","1.12375","2006","10","24"
"14.99","1.0","2006","11","19"
"7.99","1.1239048811013768","2006","11","19"
"0.99","2.0202020202020203","2006","11","29"
"4.0","1.25","2006","12","02"
"8.98","1.1124721603563474","2006","12","02"
"2.99","1.3377926421404682","2006","12","10"
"7.0","1.1414285714285715","2006","12","14"
"7.0","1.1414285714285715","2006","12","14"
"7.0","1.0","2006","12","15"
"6.01","1.329450915141431","2006","12","15"
"25.99","1.1150442477876108","2006","12","21"
"6.01","1.1647254575707155","2006","12","27"
"4.0","1.25","2006","12","27"
"2.0","1.495","2006","12","27"
"4.0","1.25","2006","12","27"
"14.0","1.1428571428571428","2007","01","06"
"12.98","1.1548536209553157","2007","01","07"
"20.97","1.191225560324273","2007","01","07"
"19.98","1.1001001001001","2007","01","07"
"8.98","1.22271714922049","2007","01","07"
"9.99","1.2002002002002001","2007","01","07"
"8.98","1.0","2007","01","09"
"16.0","1.12375","2007","01","25"
"21.98","1.0454959053685169","2007","01","25"
"16.99","1.1177163037080635","2007","01","25"
"12.98","1.078582434514638","2007","01","25"
"7.99","1.1239048811013768","2007","01","25"
"6.01","1.1647254575707155","2007","01","25"
"2.99","1.3377926421404682","2007","01","25"
"2.0","1.495","2007","01","26"
"2.0","1.495","2007","01","27"
"4.0","1.25","2007","01","31"
"5.0","1.0","2007","01","31"
"4.0","1.25","2007","01","31"
"2.0","1.495","2007","02","01"
"17.98","1.1662958843159064","2007","03","26"
"14.0","1.0707142857142857","2007","03","26"
"12.98","1.078582434514638","2007","03","26"
"10.98","1.0919854280510017","2007","03","26"
"6.01","1.6622296173044926","2007","03","26"
"6.01","1.0","2007","03","26"
"4.0","1.0","2007","03","29"
"10.98","1.0","2007","03","31"
"6.01","1.0","2007","04","08"
"2.99","1.3377926421404682","2007","04","09"
"6.01","1.1647254575707155","2007","04","14"
"0.99","2.0202020202020203","2007","04","17"
"4.0","1.25","2007","04","19"
"4.0","1.0","2007","04","21"
"0.99","1.0","2007","04","21"
"8.98","1.1124721603563474","2007","04","23"
"2.0","1.495","2007","04","23"
"2.99","1.0","2007","04","26"
"2.0","1.0","2007","05","02"
"4.0","1.25","2007","05","02"
"5.0","1.202","2007","05","03"
"6.01","1.0","2007","05","08"
"2.99","1.0","2007","05","08"
"2.0","1.0","2007","05","09"
"2.99","1.3377926421404682","2007","05","09"
"2.0","1.0","2007","05","09"
"2.0","1.0","2007","05","11"
"5.0","1.202","2007","05","15"
"4.0","1.25","2007","05","18"
"2.0","1.0","2007","05","18"
"5.0","1.0","2007","05","18"
"4.0","1.0","2007","05","18"
"2.99","1.0","2007","05","19"
"7.99","1.0","2007","05","21"
"7.99","1.0","2007","05","21"
"12.98","1.078582434514638","2007","05","21"
"9.99","1.2002002002002001","2007","05","21"
"2.99","1.0","2007","05","21"
"2.0","1.0","2007","05","22"
"4.0","1.0","2007","05","22"
"5.0","1.0","2007","05","22"
"7.0","1.0","2007","05","22"
"7.0","1.1414285714285715","2007","05","22"
"4.0","1.0","2007","05","22"
"5.0","1.0","2007","05","22"
"7.0","1.1414285714285715","2007","05","23"
"2.0","1.0","2007","05","23"
"0.99","2.0202020202020203","2007","05","24"
"2.99","1.0","2007","05","24"
"2.0","1.0","2007","05","24"
"2.0","1.0","2007","05","25"
"5.0","1.202","2007","05","27"
"7.0","1.1414285714285715","2007","05","27"
"6.01","1.0","2007","05","27"
"5.0","1.0","2007","05","29"
"2.99","1.0","2007","06","02"
"7.0","1.1414285714285715","2007","06","02"
"7.99","1.0","2007","06","05"
"5.0","1.202","2007","06","05"
"2.99","1.3377926421404682","2007","06","06"
"7.99","1.1239048811013768","2007","06","06"
"9.99","1.0","2007","06","06"
"7.0","1.1414285714285715","2007","06","06"
"7.99","1.1239048811013768","2007","06","06"
"7.0","1.0","2007","06","07"
"7.0","1.0","2007","06","07"
"4.0","1.25","2007","06","08"
"2.0","1.0","2007","06","08"
"2.99","1.0","2007","06","09"
"4.0","1.0","2007","06","09"
"4.0","1.0","2007","06","10"
"2.0","1.0","2007","06","14"
"6.01","1.0","2007","06","14"
"4.0","1.25","2007","06","14"
"2.99","1.0","2007","06","14"
"4.0","1.0","2007","06","14"
"2.99","1.0","2007","06","14"
"6.01","1.0","2007","06","15"
"7.0","1.0","2007","06","15"
"6.01","1.1647254575707155","2007","06","15"
"8.98","1.1124721603563474","2007","06","15"
"6.01","1.1647254575707155","2007","06","15"
"5.0","1.0","2007","06","15"
"2.99","1.0","2007","06","15"
"2.99","1.0","2007","06","15"
"2.99","1.0","2007","06","15"
"5.0","1.0","2007","06","15"
"7.99","1.0","2007","06","16"
"6.01","1.0","2007","06","16"
"4.0","1.25","2007","06","16"
"2.0","1.495","2007","06","16"
"4.0","1.0","2007","06","16"
"6.01","1.0","2007","06","16"
"2.99","1.3377926421404682","2007","06","21"
"4.0","1.25","2007","06","21"
"4.0","1.25","2007","06","22"
"0.99","1.0","2007","06","22"
"2.99","1.0","2007","06","22"
"2.99","1.3377926421404682","2007","06","22"
"5.0","1.0","2007","06","22"
"5.0","1.0","2007","06","22"
"7.99","1.0","2007","06","23"
"8.98","1.0","2007","06","23"
"7.0","1.0","2007","06","23"
"2.0","1.495","2007","06","23"
"4.0","1.0","2007","06","24"
"4.0","1.25","2007","06","24"
