"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.0","2.4975","2013","02","28"
"2.99","4.010033444816053","2013","02","28"
"5.0","3.2","2013","03","01"
"7.0","2.2857142857142856","2013","03","01"
"2.0","3.995","2013","03","01"
"0.99","3.0202020202020203","2013","03","01"
"2.99","1.672240802675585","2013","03","01"
"0.99","3.0202020202020203","2013","03","01"
"2.0","2.5","2013","03","01"
"2.0","3.995","2013","03","01"
"2.99","2.672240802675585","2013","03","01"
"2.0","3.995","2013","03","01"
"4.0","1.75","2013","03","01"
"5.0","1.4","2013","03","01"
"2.99","2.0100334448160533","2013","03","01"
"2.0","3.5","2013","03","01"
"2.0","2.5","2013","03","01"
"2.99","3.003344481605351","2013","03","01"
"2.0","4.49","2013","03","01"
"4.0","2.4975","2013","03","01"
"2.0","4.49","2013","03","01"
"2.99","3.341137123745819","2013","03","01"
"2.99","3.672240802675585","2013","03","01"
"0.99","2.0202020202020203","2013","03","01"
"0.99","3.0202020202020203","2013","03","01"
"0.99","3.0202020202020203","2013","03","01"
"0.99","2.0202020202020203","2013","03","01"
"0.99","3.0202020202020203","2013","03","01"
"0.99","4.040404040404041","2013","03","01"
"2.99","2.0100334448160533","2013","03","01"
"2.99","1.672240802675585","2013","03","01"
"2.0","2.5","2013","03","01"
"2.0","2.5","2013","03","01"
"2.0","1.495","2013","03","01"
"0.99","5.05050505050505","2013","03","01"
"2.0","1.495","2013","03","02"
"2.0","2.5","2013","03","02"
"0.99","4.040404040404041","2013","03","02"
"0.99","4.040404040404041","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"4.0","1.25","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"7.0","1.282857142857143","2013","03","02"
"7.99","1.2503128911138923","2013","03","02"
"7.99","1.2503128911138923","2013","03","02"
"7.99","1.2503128911138923","2013","03","02"
"8.98","1.3351893095768375","2013","03","02"
"7.0","1.4271428571428573","2013","03","02"
"7.99","1.2503128911138923","2013","03","02"
"8.98","1.3351893095768375","2013","03","02"
"6.01","1.6622296173044926","2013","03","02"
"8.98","1.3351893095768375","2013","03","02"
"7.99","1.6245306633291614","2013","03","02"
"2.0","1.495","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"4.0","1.5025","2013","03","02"
"4.0","1.5025","2013","03","02"
"2.99","2.0100334448160533","2013","03","02"
"2.99","2.0100334448160533","2013","03","02"
"2.99","1.3377926421404682","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"2.0","2.5","2013","03","02"
"2.0","2.0","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"2.99","1.672240802675585","2013","03","02"
"2.99","2.341137123745819","2013","03","02"
"2.99","1.3377926421404682","2013","03","02"
"2.0","2.0","2013","03","02"
"4.0","1.5025","2013","03","02"
"5.0","1.4","2013","03","02"
"4.0","1.75","2013","03","02"
"2.99","2.0100334448160533","2013","03","02"
"4.0","1.75","2013","03","02"
"6.01","1.329450915141431","2013","03","02"
"6.01","1.329450915141431","2013","03","02"
"6.01","1.4941763727121466","2013","03","02"
"6.01","1.4941763727121466","2013","03","02"
"6.01","1.4941763727121466","2013","03","02"
"7.0","1.1414285714285715","2013","03","02"
"4.0","1.75","2013","03","03"
"2.99","2.341137123745819","2013","03","03"
"2.99","2.341137123745819","2013","03","03"
"2.0","1.495","2013","03","03"
"2.99","1.3377926421404682","2013","03","03"
"0.99","2.0202020202020203","2013","03","03"
"2.0","2.0","2013","03","03"
"4.0","1.25","2013","03","03"
"4.0","1.25","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"5.0","1.4","2013","03","03"
"2.99","2.341137123745819","2013","03","03"
"5.0","1.4","2013","03","03"
"6.01","1.329450915141431","2013","03","03"
"4.0","1.25","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.3377926421404682","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"4.0","1.5025","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"4.0","1.5025","2013","03","03"
"2.99","2.0100334448160533","2013","03","03"
"4.0","1.25","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.3377926421404682","2013","03","03"
"2.99","1.3377926421404682","2013","03","03"
"0.99","4.040404040404041","2013","03","03"
"2.99","1.3377926421404682","2013","03","03"
"2.0","2.0","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"4.0","1.5025","2013","03","03"
"2.99","2.341137123745819","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"2.99","1.672240802675585","2013","03","03"
"4.0","1.5025","2013","03","03"
"2.99","2.0100334448160533","2013","03","04"
"2.99","2.0100334448160533","2013","03","04"
"2.99","2.0100334448160533","2013","03","04"
"2.99","1.672240802675585","2013","03","04"
"2.0","3.005","2013","03","04"
"2.99","2.0100334448160533","2013","03","04"
"2.0","2.0","2013","03","04"
"2.0","3.005","2013","03","04"
"2.99","1.672240802675585","2013","03","04"
"5.0","1.4","2013","03","04"
"4.0","2.245","2013","03","04"
"4.0","2.245","2013","03","04"
"4.0","2.245","2013","03","04"
"10.98","1.4571948998178506","2013","03","04"
"12.98","1.2326656394453004","2013","03","04"
"11.99","1.6663886572143454","2013","03","04"
"12.98","1.3089368258859784","2013","03","04"
"11.99","1.4170141784820682","2013","03","04"
"9.99","1.7007007007007005","2013","03","04"
"11.99","1.1676396997497915","2013","03","04"
"9.99","1.6016016016016015","2013","03","05"
"8.98","1.7817371937639197","2013","03","05"
"7.0","2.2857142857142856","2013","03","05"
"6.01","2.15973377703827","2013","03","05"
"7.0","1.8542857142857143","2013","03","05"
"6.01","2.15973377703827","2013","03","05"
"6.01","2.329450915141431","2013","03","05"
"7.99","1.7521902377972465","2013","03","05"
"6.01","2.329450915141431","2013","03","05"
"7.99","1.2503128911138923","2013","03","05"
"6.01","1.6622296173044926","2013","03","05"
"2.99","3.341137123745819","2013","03","05"
"2.99","3.341137123745819","2013","03","05"
"4.0","2.4975","2013","03","05"
"6.01","1.6622296173044926","2013","03","05"
"2.99","2.341137123745819","2013","03","05"
"2.0","3.5","2013","03","05"
"2.99","2.341137123745819","2013","03","05"
"4.0","1.5025","2013","03","05"
"2.99","1.672240802675585","2013","03","05"
"4.0","2.4975","2013","03","05"
"5.0","1.998","2013","03","05"
"6.01","1.329450915141431","2013","03","05"
"4.0","2.4975","2013","03","05"
"2.99","3.341137123745819","2013","03","05"
"2.99","2.341137123745819","2013","03","05"
"2.99","2.672240802675585","2013","03","05"
"4.0","1.9975","2013","03","05"
"5.0","1.796","2013","03","05"
"4.0","2.245","2013","03","05"
"4.0","2.245","2013","03","05"
"4.0","1.75","2013","03","05"
"5.0","1.598","2013","03","05"
"4.0","1.9975","2013","03","05"
"2.99","2.672240802675585","2013","03","05"
"2.99","2.672240802675585","2013","03","05"
"5.0","1.598","2013","03","05"
"2.99","1.672240802675585","2013","03","05"
"6.01","1.329450915141431","2013","03","05"
"5.0","1.598","2013","03","05"
"6.01","1.6622296173044926","2013","03","05"
"6.01","1.329450915141431","2013","03","05"
