"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"17.38","1.3498273878020715","2019","08","18"
"12.17","1.28594905505341","2019","08","18"
"13.02","1.1344086021505377","2019","08","18"
"13.02","1.2672811059907834","2019","08","18"
"16.5","1.2642424242424242","2019","08","18"
"14.77","1.3527420446851728","2019","08","18"
"17.38","1.2491369390103568","2019","08","18"
"18.25","1.3336986301369862","2019","08","18"
"16.5","1.2642424242424242","2019","08","18"
"17.38","1.5","2019","08","18"
"20.86","1.1668264621284756","2019","08","18"
"24.34","1.285127362366475","2019","08","18"
"19.98","1.434934934934935","2019","08","18"
"19.98","1.3913913913913913","2019","08","18"
"21.71","1.160294795025334","2019","08","18"
"19.13","1.5891270256142185","2019","08","18"
"20.86","1.2914669223394057","2019","08","18"
"25.19","1.1730845573640334","2019","08","18"
"20.86","1.4995206136145733","2019","08","18"
"18.25","1.5232876712328767","2019","08","18"
"20.86","1.2075743048897412","2019","08","18"
"15.65","1.6095846645367413","2019","08","18"
"17.38","1.3498273878020715","2019","08","18"
"16.5","1.1593939393939394","2019","08","19"
"15.65","1.2766773162939298","2019","08","19"
"15.65","1.2766773162939298","2019","08","19"
"14.77","1.1767095463777928","2019","08","19"
"8.69","1.4004602991944766","2019","08","19"
"6.96","1.122126436781609","2019","08","19"
"5.21","1.1669865642994242","2019","08","19"
"6.96","1.5","2019","08","19"
"5.21","1.1669865642994242","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"5.21","1.1669865642994242","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"6.96","1.122126436781609","2019","08","19"
"6.08","1.2845394736842104","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"6.08","1.2845394736842104","2019","08","19"
"4.33","1.2032332563510393","2019","08","19"
"3.48","1.0","2019","08","19"
"2.6","1.3384615384615384","2019","08","19"
"6.96","1.3735632183908046","2019","08","19"
"7.81","1.3367477592829706","2019","08","19"
"8.69","1.2013808975834293","2019","08","19"
"7.81","1.3367477592829706","2019","08","19"
"9.56","1.1809623430962342","2019","08","19"
"6.08","1.2845394736842104","2019","08","20"
"6.08","2.5740131578947367","2019","08","20"
"13.9","1.2503597122302157","2019","08","20"
"11.29","1.3861824623560675","2019","08","20"
"6.08","1.7171052631578947","2019","08","20"
"6.96","1.2485632183908046","2019","08","20"
"7.81","1.2240717029449426","2019","08","20"
"10.44","1.1657088122605364","2019","08","20"
"10.44","1.1657088122605364","2019","08","20"
"8.69","1.1001150747986193","2019","08","20"
"9.56","1.0920502092050208","2019","08","20"
"8.69","1.1001150747986193","2019","08","20"
"6.96","1.2485632183908046","2019","08","20"
"10.44","1.1657088122605364","2019","08","20"
"6.08","1.2845394736842104","2019","08","20"
"6.08","1.144736842105263","2019","08","20"
"7.81","1.3367477592829706","2019","08","20"
"6.08","1.2845394736842104","2019","08","20"
"6.96","1.122126436781609","2019","08","20"
"6.96","1.5","2019","08","20"
"9.56","1.3619246861924685","2019","08","20"
"7.81","1.3367477592829706","2019","08","20"
"9.56","1.0920502092050208","2019","08","20"
"10.44","1.2471264367816093","2019","08","20"
"12.17","1.0698438783894824","2019","08","21"
"11.29","1.308237378210806","2019","08","21"
"11.29","1.1532329495128433","2019","08","21"
"14.77","1.1171293161814488","2019","08","21"
"16.5","1.2642424242424242","2019","08","21"
"13.9","1.2503597122302157","2019","08","21"
"12.17","1.3557929334428924","2019","08","21"
"13.9","1.1870503597122302","2019","08","21"
"14.77","1.3527420446851728","2019","08","21"
