"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.0","3.005","2007","04","22"
"0.99","4.040404040404041","2007","04","22"
"2.0","3.5","2007","04","22"
"2.99","2.672240802675585","2007","04","22"
"6.01","1.995008319467554","2007","04","26"
"2.0","3.005","2007","04","26"
"2.0","4.995","2007","04","26"
"6.01","2.662229617304493","2007","04","28"
"5.0","2.196","2007","04","28"
"5.0","3.2","2007","04","30"
"5.0","1.998","2007","05","01"
"4.0","2.4975","2007","05","01"
"4.0","1.9975","2007","05","02"
"5.0","2.596","2007","05","03"
"4.0","3.5","2007","05","04"
"0.99","14.141414141414142","2007","05","04"
"10.98","2.1848816029143894","2007","05","06"
"5.0","1.796","2007","05","08"
"2.99","2.0100334448160533","2007","05","09"
"5.0","1.598","2007","05","11"
"5.0","2.196","2007","05","11"
"2.99","2.341137123745819","2007","05","14"
"0.99","4.040404040404041","2007","05","14"
"2.0","2.0","2007","05","15"
"6.01","1.995008319467554","2007","05","15"
"2.0","2.5","2007","05","16"
"5.0","1.796","2007","05","18"
"7.0","2.2857142857142856","2007","05","18"
"8.98","2.002227171492205","2007","05","19"
"2.0","5.49","2007","05","19"
"7.0","1.4271428571428573","2007","05","19"
"5.0","1.998","2007","05","19"
"5.0","1.796","2007","05","19"
"5.0","1.598","2007","05","19"
"2.0","6.49","2007","05","19"
"2.99","1.672240802675585","2007","05","20"
"2.99","2.0100334448160533","2007","05","20"
"2.99","3.003344481605351","2007","05","23"
"2.0","4.49","2007","05","23"
"2.99","2.341137123745819","2007","05","23"
"0.99","5.05050505050505","2007","05","23"
"2.99","2.672240802675585","2007","05","23"
"2.99","2.341137123745819","2007","05","23"
"2.99","1.672240802675585","2007","05","24"
"6.01","1.6622296173044926","2007","05","24"
"5.0","1.202","2007","05","25"
"6.01","1.6622296173044926","2007","05","25"
"2.0","2.5","2007","05","26"
"2.99","1.672240802675585","2007","05","26"
"0.99","4.040404040404041","2007","05","26"
"2.0","3.5","2007","05","28"
"5.0","1.598","2007","05","28"
"4.0","1.9975","2007","05","28"
"2.0","2.5","2007","05","29"
"2.99","2.341137123745819","2007","05","29"
"4.0","1.5025","2007","05","29"
"2.99","2.341137123745819","2007","05","29"
"2.0","2.5","2007","05","29"
"5.0","2.596","2007","05","29"
"7.99","1.7521902377972465","2007","05","30"
"5.0","2.596","2007","05","30"
"2.0","3.005","2007","05","30"
"4.0","1.9975","2007","05","30"
"0.99","6.070707070707071","2007","05","31"
"6.01","1.4941763727121466","2007","06","01"
"2.0","4.49","2007","06","01"
"0.99","6.070707070707071","2007","06","02"
"2.99","2.341137123745819","2007","06","02"
"0.99","8.070707070707071","2007","06","02"
"2.99","3.672240802675585","2007","06","05"
"2.0","4.995","2007","06","06"
"4.0","1.9975","2007","06","08"
