"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.08","1.4779411764705883","2016","06","01"
"8.94","1.2371364653243848","2016","06","03"
"9.91","1.5105953582240161","2016","06","04"
"7.95","1.7610062893081762","2016","06","04"
"7.0","2.277142857142857","2016","06","04"
"4.08","2.9485294117647056","2016","06","13"
"4.08","1.9485294117647058","2016","06","13"
"2.92","3.0616438356164384","2016","06","13"
"1.94","2.1030927835051547","2016","06","17"
"1.94","4.608247422680412","2016","06","21"
"7.0","1.58","2016","06","27"
"13.0","1.3146153846153845","2016","07","02"
"9.91","2.116044399596367","2016","07","02"
"11.06","1.4412296564195297","2016","07","02"
"5.05","3.384158415841584","2016","07","02"
"5.05","1.3861386138613863","2016","07","03"
"0.97","3.0103092783505154","2016","07","10"
"4.08","1.7156862745098038","2016","07","12"
"11.06","1.3535262206148282","2016","07","23"
"17.09","1.5231129315389118","2016","07","23"
"7.0","1.8571428571428572","2016","07","24"
"13.0","1.3146153846153845","2016","07","24"
"7.95","2.0050314465408805","2016","07","24"
"4.08","1.7156862745098038","2016","07","25"
"1.94","3.6082474226804124","2016","07","25"
"7.0","1.58","2016","07","25"
"7.0","1.7185714285714284","2016","07","25"
"7.0","1.58","2016","07","25"
"7.0","1.4157142857142857","2016","07","25"
"6.03","1.4825870646766168","2016","07","26"
"1.94","2.1030927835051547","2016","07","29"
"1.94","2.6030927835051547","2016","07","29"
"1.94","2.1030927835051547","2016","07","31"
"0.97","3.0103092783505154","2016","08","01"
"4.08","2.7107843137254903","2016","08","03"
"2.92","2.065068493150685","2016","08","09"
"7.95","1.7610062893081762","2016","08","12"
"8.94","2.0201342281879193","2016","08","14"
"7.0","1.7185714285714284","2016","08","14"
"14.0","1.4285714285714286","2016","08","15"
"13.0","1.5384615384615385","2016","08","15"
"11.06","1.7224231464737794","2016","08","15"
"7.95","2.0050314465408805","2016","08","15"
"2.92","2.397260273972603","2016","08","16"
"5.05","2.1900990099009903","2016","08","17"
"8.94","1.3456375838926176","2016","08","19"
"7.0","2.277142857142857","2016","08","19"
"11.06","1.3535262206148282","2016","08","23"
"7.95","1.8830188679245283","2016","08","23"
"5.05","2.382178217821782","2016","08","24"
"2.92","2.065068493150685","2016","08","25"
"4.08","2.191176470588235","2016","08","28"
"2.92","3.0616438356164384","2016","08","28"
"1.94","4.0979381443298974","2016","08","31"
"5.05","1.9623762376237626","2016","09","01"
"1.94","4.0979381443298974","2016","09","01"
"4.08","2.191176470588235","2016","09","07"
"8.94","1.45413870246085","2016","09","07"
"1.94","4.0979381443298974","2016","09","08"
"1.94","1.5051546391752577","2016","09","08"
"2.92","1.7294520547945205","2016","09","08"
"4.08","1.4779411764705883","2016","09","08"
"2.92","2.065068493150685","2016","09","11"
"11.06","1.5452079566003616","2016","09","13"
"5.05","3.1564356435643566","2016","09","13"
"6.03","1.9950248756218905","2016","09","13"
"6.03","1.834162520729685","2016","09","14"
"6.03","1.4825870646766168","2016","09","14"
"1.94","4.608247422680412","2016","09","14"
"13.0","1.5384615384615385","2016","09","16"
"11.06","1.896021699819168","2016","09","16"
"6.03","2.155887230514096","2016","09","16"
"1.94","3.1082474226804124","2016","09","16"
"7.0","1.4157142857142857","2016","09","16"
"9.91","1.4127144298688195","2016","09","16"
"8.94","1.6744966442953022","2016","09","16"
"7.95","2.271698113207547","2016","09","16"
"27.97","1.3954236682159458","2016","09","22"
"19.05","2.2031496062992124","2016","09","22"
"20.97","1.7129232236528376","2016","09","22"
"22.92","1.8734729493891795","2016","09","22"
"13.0","1.8523076923076922","2016","09","23"
"1.94","2.6030927835051547","2016","09","23"
"2.92","3.3938356164383565","2016","09","24"
"7.0","1.58","2016","09","24"
"4.08","2.9485294117647056","2016","09","24"
"7.0","1.4157142857142857","2016","09","25"
"7.0","1.58","2016","09","25"
"6.03","1.6434494195688225","2016","09","25"
"5.05","1.7702970297029703","2016","09","25"
"0.97","5.206185567010309","2016","09","25"
"0.97","4.206185567010309","2016","09","26"
"4.08","2.191176470588235","2016","09","27"
"1.94","3.6082474226804124","2016","10","02"
"7.0","1.2771428571428571","2016","10","02"
"1.94","4.608247422680412","2016","10","03"
"0.97","4.206185567010309","2016","10","03"
"2.92","2.397260273972603","2016","10","03"
"2.92","1.3972602739726028","2016","10","05"
"1.94","2.1030927835051547","2016","10","09"
"1.94","3.6082474226804124","2016","10","09"
"0.97","3.0103092783505154","2016","10","10"
"0.97","3.0103092783505154","2016","10","10"
"2.92","1.3972602739726028","2016","10","11"
"7.0","1.4157142857142857","2016","10","12"
"8.94","1.45413870246085","2016","10","12"
"8.94","1.45413870246085","2016","10","12"
"7.95","1.6352201257861634","2016","10","12"
"5.05","2.1900990099009903","2016","11","02"
"8.94","2.1308724832214767","2016","11","04"
"11.06","1.7224231464737794","2016","11","04"
"28.94","1.8659295093296475","2016","11","05"
"27.97","1.7500893814801575","2016","11","05"
"20.0","2.049","2016","11","05"
"18.06","1.5487264673311185","2016","11","05"
"6.03","1.9950248756218905","2016","11","05"
"1.94","3.1082474226804124","2016","11","06"
"14.97","1.531062124248497","2016","11","27"
"19.05","1.4173228346456692","2016","11","27"
"4.08","2.9485294117647056","2016","11","29"
"4.08","2.428921568627451","2016","11","29"
"4.08","2.428921568627451","2016","11","29"
"13.0","2.3907692307692305","2016","11","29"
"8.94","2.237136465324385","2016","12","01"
"14.97","1.674014696058784","2016","12","02"
"9.91","2.5287588294651866","2016","12","03"
"14.0","1.4978571428571428","2016","12","03"
"14.0","1.6371428571428572","2016","12","03"
"7.0","3.2742857142857145","2016","12","03"
"7.0","1.7185714285714284","2016","12","03"
"1.94","4.0979381443298974","2017","02","09"
"9.91","1.8224016145307769","2017","02","10"
"9.91","1.6084762865792128","2017","02","11"
"2.92","5.458904109589041","2017","02","11"
"8.94","2.3456375838926173","2017","02","11"
"8.94","2.3456375838926173","2017","02","11"
"7.95","2.271698113207547","2017","02","11"
"14.0","1.5678571428571428","2017","02","11"
"8.94","2.0201342281879193","2017","02","11"
"15.94","1.5106649937264742","2017","02","12"
"15.94","1.6329987452948558","2017","02","12"
"14.97","1.6085504342017367","2017","02","12"
"8.94","2.237136465324385","2017","02","12"
"12.03","1.8246051537822112","2017","02","12"
"2.92","4.11986301369863","2017","02","12"
"7.0","2.0","2017","02","12"
"8.94","1.5659955257270695","2017","02","13"
"14.0","1.4285714285714286","2017","02","13"
"13.0","1.6884615384615385","2017","02","13"
"0.97","5.206185567010309","2017","02","17"
"1.94","2.6030927835051547","2017","02","17"
"1.94","2.6030927835051547","2017","02","21"
"0.97","5.206185567010309","2017","02","23"
"0.97","5.206185567010309","2017","02","24"
"4.08","2.428921568627451","2017","02","27"
"1.94","2.6030927835051547","2017","02","27"
"0.97","11.402061855670103","2017","03","18"
"6.03","4.155887230514096","2017","03","20"
"6.03","1.6434494195688225","2017","03","20"
"8.94","1.45413870246085","2017","03","20"
"8.94","1.7829977628635347","2017","03","20"
"6.03","2.8341625207296848","2017","03","20"
"7.95","1.7610062893081762","2017","03","21"
"0.97","12.402061855670103","2017","03","26"
"5.05","2.382178217821782","2017","03","26"
"2.92","2.397260273972603","2017","03","27"
"7.95","1.7610062893081762","2017","03","28"
"1.94","3.6082474226804124","2017","03","29"
"5.05","3.384158415841584","2017","03","29"
"1.94","5.108247422680413","2017","03","30"
"2.92","2.7226027397260277","2017","03","30"
"0.97","4.206185567010309","2017","03","30"
"14.97","1.4662658650634601","2017","03","31"
"18.06","1.4413067552602439","2017","03","31"
"0.97","12.402061855670103","2017","04","01"
"7.0","2.277142857142857","2017","04","01"
"0.97","11.402061855670103","2017","04","03"
"8.94","1.45413870246085","2017","04","03"
"15.94","2.0106649937264742","2017","04","05"
"8.94","1.5659955257270695","2017","04","06"
"5.05","1.9623762376237626","2017","04","07"
"1.94","1.0","2017","04","09"
"0.97","4.206185567010309","2017","04","15"
"0.97","3.0103092783505154","2017","04","15"
"0.97","4.206185567010309","2017","04","21"
"1.94","2.6030927835051547","2017","04","23"
"2.92","1.7294520547945205","2017","04","23"
"1.94","4.0979381443298974","2017","04","23"
"0.97","3.0103092783505154","2017","04","23"
"0.97","3.0103092783505154","2017","04","24"
"1.94","2.1030927835051547","2017","04","24"
"4.08","1.7156862745098038","2017","04","24"
"0.97","3.0103092783505154","2017","04","26"
"7.95","1.5132075471698112","2017","04","27"
"7.95","1.5132075471698112","2017","04","27"
"7.0","2.0","2017","04","27"
"5.05","2.382178217821782","2017","04","28"
"2.92","2.7226027397260277","2017","04","28"
"0.97","3.0103092783505154","2017","04","28"
"1.94","2.1030927835051547","2017","04","28"
"0.97","10.216494845360826","2017","04","28"
"1.94","4.608247422680412","2017","05","01"
"2.92","2.065068493150685","2017","05","01"
"9.91","1.5105953582240161","2017","05","01"
"12.03","1.2443890274314215","2017","05","01"
"7.0","2.5799999999999996","2017","05","01"
"7.95","1.7610062893081762","2017","05","02"
"5.05","2.1900990099009903","2017","05","02"
"4.08","2.428921568627451","2017","05","02"
"2.92","4.11986301369863","2017","05","03"
"5.05","2.7722772277227725","2017","05","03"
"5.05","3.7722772277227725","2017","05","03"
"7.0","2.277142857142857","2017","05","03"
"7.0","2.5799999999999996","2017","05","03"
"4.08","2.9485294117647056","2017","05","04"
"1.94","7.216494845360825","2017","05","04"
"11.06","1.3535262206148282","2017","05","04"
"6.03","2.482587064676617","2017","05","04"
"9.91","1.922300706357215","2017","05","07"
"2.92","1.7294520547945205","2017","05","14"
"0.97","3.0103092783505154","2017","05","14"
"0.97","4.206185567010309","2017","05","14"
"4.08","1.4779411764705883","2017","05","18"
"14.97","1.4008016032064128","2017","05","22"
"11.06","1.8083182640144664","2017","05","22"
"9.91","1.7245206861755802","2017","05","22"
"11.06","1.6329113924050631","2017","05","22"
"13.0","1.613076923076923","2017","05","22"
"13.0","1.7630769230769232","2017","05","22"
"6.03","1.3184079601990049","2017","05","22"
"12.03","1.743142144638404","2017","05","22"
"4.08","2.9485294117647056","2017","05","22"
"1.94","6.201030927835052","2017","05","22"
"1.94","1.5051546391752577","2017","05","29"
"4.08","1.9485294117647058","2017","06","01"
"1.94","3.6082474226804124","2017","06","01"
"2.92","2.7226027397260277","2017","06","02"
"4.08","3.4313725490196076","2017","06","03"
"4.08","4.901960784313726","2017","06","03"
"7.95","1.6352201257861634","2017","06","03"
"11.06","1.3535262206148282","2017","06","04"
"2.92","5.126712328767123","2017","06","05"
"6.03","2.99502487562189","2017","06","05"
"1.94","2.6030927835051547","2017","06","08"
"2.92","2.065068493150685","2017","06","15"
"7.95","1.6352201257861634","2017","06","15"
"6.03","2.3217247097844114","2017","06","15"
"1.94","2.6030927835051547","2017","06","16"
"1.94","4.0979381443298974","2017","06","16"
"1.94","5.108247422680413","2017","06","16"
"5.05","1.7702970297029703","2017","06","16"
"11.06","1.4412296564195297","2017","06","16"
"7.95","2.3962264150943398","2017","06","16"
"5.05","2.5742574257425743","2017","06","19"
"1.94","1.5051546391752577","2017","06","20"
"0.97","5.206185567010309","2017","06","22"
"0.97","6.216494845360825","2017","07","05"
"2.92","1.7294520547945205","2017","07","06"
"2.92","1.3972602739726028","2017","07","16"
"0.97","3.0103092783505154","2017","07","18"
"7.0","1.2771428571428571","2017","07","21"
"6.03","1.6434494195688225","2017","07","21"
"6.03","1.9950248756218905","2017","07","21"
"0.97","3.0103092783505154","2017","07","22"
"2.92","2.065068493150685","2017","07","22"
"2.92","3.0616438356164384","2017","07","23"
"0.97","3.0103092783505154","2017","07","27"
"1.94","2.6030927835051547","2017","07","28"
"2.92","2.397260273972603","2017","07","28"
"6.03","1.6434494195688225","2017","07","29"
"5.05","1.5742574257425743","2017","08","13"
"9.91","1.7245206861755802","2017","08","13"
"9.91","1.6084762865792128","2017","08","13"
"13.0","1.389230769230769","2017","08","14"
"6.03","1.9950248756218905","2017","08","14"
"7.0","1.4157142857142857","2017","08","14"
"0.97","5.206185567010309","2017","08","15"
"1.94","2.1030927835051547","2017","08","15"
