"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","2.474285714285714","2010","08","24"
"0.87","2.9885057471264367","2010","08","24"
"1.75","2.9771428571428573","2010","08","24"
"0.87","2.9885057471264367","2010","08","24"
"0.87","4.0","2010","08","25"
"0.87","4.0","2010","08","25"
"0.87","4.0","2010","08","25"
"0.87","2.9885057471264367","2010","08","25"
"1.75","1.4857142857142858","2010","08","26"
"1.75","1.4857142857142858","2010","08","26"
"0.87","4.0","2010","08","26"
"0.87","2.0114942528735633","2010","08","26"
"0.87","2.0114942528735633","2010","08","26"
"0.87","4.977011494252873","2010","08","26"
"2.6","1.6653846153846155","2010","08","26"
"3.48","2.0","2010","08","26"
"4.33","1.6073903002309469","2010","08","26"
"4.33","1.6073903002309469","2010","08","27"
"3.48","1.7471264367816093","2010","08","27"
"3.48","1.4971264367816093","2010","08","27"
"1.75","2.9771428571428573","2010","08","27"
"0.87","5.988505747126437","2010","08","27"
"0.87","1.0","2010","08","27"
"0.87","5.988505747126437","2010","08","27"
"1.75","2.9771428571428573","2010","08","27"
"2.6","2.3384615384615386","2010","08","27"
"3.48","2.0","2010","08","27"
"3.48","1.7471264367816093","2010","08","27"
"3.48","1.7471264367816093","2010","08","27"
"2.6","2.003846153846154","2010","08","28"
"1.75","2.474285714285714","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"0.87","2.9885057471264367","2010","08","28"
"0.87","4.977011494252873","2010","08","28"
"0.87","2.0114942528735633","2010","08","28"
"0.87","4.0","2010","08","28"
"1.75","1.9885714285714287","2010","08","28"
"0.87","4.0","2010","08","28"
"4.33","1.2032332563510393","2010","08","28"
"3.48","1.7471264367816093","2010","08","28"
"4.33","1.4041570438799076","2010","08","28"
"1.75","3.474285714285714","2010","08","28"
"0.87","2.9885057471264367","2010","08","29"
"0.87","4.0","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.0114942528735633","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"3.48","1.4971264367816093","2010","08","29"
"2.6","1.6653846153846155","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"0.87","2.9885057471264367","2010","08","29"
"2.6","1.6653846153846155","2010","08","30"
"2.6","2.003846153846154","2010","08","30"
"0.87","4.977011494252873","2010","08","30"
"0.87","4.0","2010","08","30"
"0.87","2.9885057471264367","2010","08","30"
"0.87","2.9885057471264367","2010","08","30"
"0.87","2.9885057471264367","2010","08","30"
"2.6","1.3384615384615384","2010","08","30"
"1.75","1.9885714285714287","2010","08","30"
"2.6","2.3384615384615386","2010","08","30"
"1.75","2.474285714285714","2010","08","30"
"0.87","2.9885057471264367","2010","08","31"
"0.87","4.0","2010","08","31"
"0.87","2.0114942528735633","2010","08","31"
"0.87","2.9885057471264367","2010","08","31"
"0.87","2.9885057471264367","2010","08","31"
"1.75","1.9885714285714287","2010","08","31"
"0.87","2.9885057471264367","2010","08","31"
"0.87","2.9885057471264367","2010","08","31"
"1.75","1.9885714285714287","2010","08","31"
"0.87","2.0114942528735633","2010","08","31"
"0.87","2.0114942528735633","2010","08","31"
"3.48","1.2442528735632183","2010","08","31"
"1.75","1.9885714285714287","2010","08","31"
"2.6","2.003846153846154","2010","08","31"
"1.75","2.9771428571428573","2010","08","31"
"0.87","2.9885057471264367","2010","08","31"
"0.87","2.0114942528735633","2010","09","01"
"0.87","4.0","2010","09","01"
"0.87","4.0","2010","09","01"
"1.75","2.474285714285714","2010","09","01"
"1.75","2.9771428571428573","2010","09","01"
"2.6","1.6653846153846155","2010","09","01"
"1.75","2.474285714285714","2010","09","01"
"0.87","2.9885057471264367","2010","09","01"
"0.87","2.9885057471264367","2010","09","01"
"0.87","4.0","2010","09","01"
"0.87","2.9885057471264367","2010","09","01"
"0.87","2.9885057471264367","2010","09","01"
"0.87","4.0","2010","09","01"
"0.87","4.977011494252873","2010","09","02"
"0.87","2.0114942528735633","2010","09","02"
"0.87","4.977011494252873","2010","09","02"
"0.87","2.0114942528735633","2010","09","02"
"0.87","2.9885057471264367","2010","09","02"
"0.87","4.0","2010","09","02"
"1.75","1.4857142857142858","2010","09","02"
"0.87","2.9885057471264367","2010","09","02"
"0.87","4.0","2010","09","02"
"1.75","1.9885714285714287","2010","09","02"
"1.75","1.4857142857142858","2010","09","02"
"0.87","2.9885057471264367","2010","09","02"
"0.87","2.9885057471264367","2010","09","02"
"0.87","2.0114942528735633","2010","09","02"
"1.75","1.4857142857142858","2010","09","02"
"2.6","2.3384615384615386","2010","09","02"
"1.75","2.474285714285714","2010","09","02"
"1.75","2.474285714285714","2010","09","02"
"0.87","4.0","2010","09","03"
"0.87","4.0","2010","09","03"
"0.87","4.0","2010","09","03"
"0.87","4.0","2010","09","03"
"0.87","2.9885057471264367","2010","09","03"
"0.87","2.0114942528735633","2010","09","03"
"1.75","2.474285714285714","2010","09","03"
"2.6","1.6653846153846155","2010","09","03"
"3.48","2.0","2010","09","03"
"5.21","1.4990403071017273","2010","09","03"
"4.33","1.6073903002309469","2010","09","03"
"4.33","1.4041570438799076","2010","09","03"
"4.33","1.6073903002309469","2010","09","04"
"4.33","1.6073903002309469","2010","09","04"
"3.48","1.7471264367816093","2010","09","04"
"1.75","2.474285714285714","2010","09","04"
"0.87","4.0","2010","09","04"
"0.87","2.0114942528735633","2010","09","04"
"0.87","2.0114942528735633","2010","09","04"
"0.87","2.0114942528735633","2010","09","04"
"0.87","2.0114942528735633","2010","09","04"
"1.75","1.9885714285714287","2010","09","04"
"0.87","5.988505747126437","2010","09","04"
"4.33","1.2032332563510393","2010","09","04"
"2.6","2.003846153846154","2010","09","04"
"2.6","1.6653846153846155","2010","09","05"
"1.75","2.474285714285714","2010","09","05"
"0.87","2.0114942528735633","2010","09","05"
"1.75","1.9885714285714287","2010","09","05"
"1.75","1.9885714285714287","2010","09","05"
"0.87","4.0","2010","09","05"
"0.87","4.0","2010","09","05"
"1.75","2.474285714285714","2010","09","05"
"1.75","1.4857142857142858","2010","09","06"
"0.87","2.9885057471264367","2010","09","06"
"0.87","2.0114942528735633","2010","09","06"
"0.87","4.0","2010","09","06"
"1.75","1.9885714285714287","2010","09","06"
"1.75","1.9885714285714287","2010","09","06"
"1.75","1.4857142857142858","2010","09","06"
"1.75","1.9885714285714287","2010","09","06"
"0.87","2.9885057471264367","2010","09","06"
"0.87","2.9885057471264367","2010","09","06"
"1.75","2.9771428571428573","2010","09","06"
"1.75","3.474285714285714","2010","09","06"
"1.75","1.9885714285714287","2010","09","06"
"0.87","4.977011494252873","2010","09","06"
"0.87","4.0","2010","09","07"
"1.75","1.9885714285714287","2010","09","07"
"0.87","4.977011494252873","2010","09","07"
"1.75","3.9771428571428573","2010","09","07"
"0.87","5.988505747126437","2010","09","07"
"1.75","3.474285714285714","2010","09","07"
"0.87","2.0114942528735633","2010","09","07"
"0.87","4.977011494252873","2010","09","08"
"0.87","2.9885057471264367","2010","09","08"
"0.87","2.9885057471264367","2010","09","08"
"0.87","2.0114942528735633","2010","09","08"
"0.87","2.0114942528735633","2010","09","08"
"0.87","2.9885057471264367","2010","09","08"
"0.87","2.0114942528735633","2010","09","08"
"0.87","4.0","2010","09","08"
"0.87","2.9885057471264367","2010","09","08"
"1.75","2.474285714285714","2010","09","08"
"1.75","1.9885714285714287","2010","09","08"
"0.87","4.0","2010","09","08"
"1.75","1.9885714285714287","2010","09","09"
"0.87","5.988505747126437","2010","09","09"
"0.87","2.0114942528735633","2010","09","09"
"0.87","2.0114942528735633","2010","09","09"
"0.87","4.0","2010","09","09"
"0.87","2.9885057471264367","2010","09","09"
"0.87","2.9885057471264367","2010","09","09"
"0.87","2.9885057471264367","2010","09","09"
"0.87","4.0","2010","09","09"
"1.75","1.9885714285714287","2010","09","09"
"1.75","1.9885714285714287","2010","09","09"
"0.87","4.0","2010","09","09"
"0.87","4.0","2010","09","09"
