"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","1.0","2016","06","02"
"2.6","0.673076923076923","2016","06","04"
"1.75","0.49714285714285716","2016","06","04"
"1.75","0.49714285714285716","2016","06","04"
"2.6","1.0","2016","06","06"
"2.6","1.0","2016","06","06"
"2.6","1.0","2016","06","06"
"2.6","1.0","2016","06","06"
"2.6","1.3384615384615384","2016","06","06"
"4.33","0.8036951501154734","2016","06","06"
"3.48","1.2442528735632183","2016","06","06"
"3.48","1.0","2016","06","06"
"3.48","1.2442528735632183","2016","06","07"
"4.33","0.6004618937644342","2016","06","07"
"4.33","1.4041570438799076","2016","06","07"
"2.6","1.0","2016","06","07"
"3.48","0.7471264367816092","2016","06","07"
"1.75","1.0","2016","06","07"
"2.6","0.673076923076923","2016","06","07"
"2.6","1.3384615384615384","2016","06","07"
"3.48","0.7471264367816092","2016","06","07"
"3.48","0.7471264367816092","2016","06","07"
"2.6","1.3384615384615384","2016","06","07"
"0.87","2.0114942528735633","2016","06","10"
"3.48","1.2442528735632183","2016","06","11"
"1.75","0.49714285714285716","2016","06","11"
"4.33","0.40415704387990764","2016","06","13"
"2.6","1.0","2016","06","14"
"1.75","1.0","2016","06","14"
"0.87","1.0","2016","06","14"
"0.87","2.0114942528735633","2016","06","14"
"1.75","1.4857142857142858","2016","06","14"
"3.48","0.7471264367816092","2016","06","14"
"4.33","0.6004618937644342","2016","06","14"
"5.21","1.0","2016","06","14"
"2.6","0.673076923076923","2016","06","15"
"1.75","1.0","2016","06","15"
"0.87","1.0","2016","06","18"
"1.75","1.0","2016","06","18"
"3.48","0.7471264367816092","2016","06","18"
"1.75","1.0","2016","06","19"
"2.6","1.0","2016","06","20"
"2.6","1.3384615384615384","2016","06","20"
"1.75","1.4857142857142858","2016","06","20"
"1.75","1.0","2016","06","20"
"2.6","0.673076923076923","2016","06","20"
"2.6","1.0","2016","06","20"
"3.48","0.5028735632183908","2016","06","21"
"1.75","1.0","2016","06","22"
"1.75","0.49714285714285716","2016","06","23"
"1.75","1.0","2016","06","23"
"2.6","0.673076923076923","2016","06","24"
"2.6","0.673076923076923","2016","06","24"
"1.75","1.0","2016","06","24"
"0.87","2.9885057471264367","2016","06","27"
"3.48","0.7471264367816092","2016","06","28"
"1.75","1.0","2016","06","28"
"3.48","0.5028735632183908","2016","06","28"
"2.6","1.3384615384615384","2016","06","29"
"1.75","1.4857142857142858","2016","06","29"
"1.75","1.0","2016","06","29"
"1.75","1.0","2016","06","29"
"2.6","1.0","2016","06","29"
"2.6","0.673076923076923","2016","06","29"
"1.75","1.0","2016","06","30"
"1.75","1.0","2016","07","02"
"0.87","1.0","2016","07","02"
"2.6","0.673076923076923","2016","07","02"
"2.6","0.3346153846153846","2016","07","03"
"1.75","1.4857142857142858","2016","07","04"
"2.6","1.0","2016","07","05"
"0.87","2.0114942528735633","2016","07","05"
"1.75","1.0","2016","07","09"
"0.87","1.0","2016","07","09"
"0.87","2.0114942528735633","2016","07","09"
"1.75","1.9885714285714287","2016","07","11"
"0.87","2.0114942528735633","2016","07","15"
"0.87","1.0","2016","07","15"
"2.6","0.673076923076923","2016","07","15"
"1.75","1.0","2016","07","15"
"0.87","1.0","2016","07","15"
"3.48","1.0","2016","07","16"
"2.6","0.673076923076923","2016","07","17"
"0.87","1.0","2016","07","19"
"1.75","1.4857142857142858","2016","07","28"
"0.87","2.0114942528735633","2016","07","29"
"1.75","0.49714285714285716","2016","07","29"
"2.6","1.3384615384615384","2016","07","30"
"1.75","1.0","2016","07","30"
"0.87","1.0","2016","07","30"
"2.6","0.673076923076923","2016","07","30"
"2.6","1.3384615384615384","2016","07","31"
"3.48","0.5028735632183908","2016","07","31"
"1.75","1.0","2016","07","31"
"0.87","1.0","2016","07","31"
"2.6","0.673076923076923","2016","07","31"
"1.75","0.49714285714285716","2016","08","01"
"2.6","0.673076923076923","2016","08","01"
"1.75","0.49714285714285716","2016","08","01"
"1.75","1.0","2016","08","01"
"2.6","1.0","2016","08","01"
"2.6","1.3384615384615384","2016","08","02"
"0.87","1.0","2016","08","02"
"3.48","1.0","2016","08","02"
"3.48","1.0","2016","08","02"
"2.6","1.3384615384615384","2016","08","03"
"4.33","1.0","2016","08","05"
"3.48","0.5028735632183908","2016","08","05"
"1.75","1.0","2016","08","09"
"4.33","0.8036951501154734","2016","08","10"
"3.48","0.5028735632183908","2016","08","10"
"4.33","1.2032332563510393","2016","08","10"
"3.48","1.2442528735632183","2016","08","10"
"2.6","1.0","2016","08","10"
"0.87","1.0","2016","08","10"
"1.75","1.9885714285714287","2016","08","18"
"1.75","1.0","2016","08","19"
"2.6","1.0","2016","08","20"
"2.6","1.0","2016","08","21"
"2.6","1.0","2016","08","21"
"3.48","1.0","2016","08","21"
"2.6","0.673076923076923","2016","08","21"
"2.6","1.6653846153846155","2016","08","21"
"3.48","1.0","2016","08","21"
"2.6","1.0","2016","08","22"
"3.48","0.7471264367816092","2016","08","22"
"1.75","1.4857142857142858","2016","08","22"
"1.75","1.0","2016","08","22"
"1.75","0.49714285714285716","2016","08","24"
"2.6","1.0","2016","08","24"
"1.75","1.0","2016","08","24"
"2.6","0.673076923076923","2016","08","24"
"2.6","0.673076923076923","2016","08","24"
"2.6","1.3384615384615384","2016","08","26"
"5.21","1.0","2016","08","26"
"4.33","1.0","2016","08","26"
"3.48","0.7471264367816092","2016","08","27"
"3.48","1.0","2016","08","27"
"2.6","1.6653846153846155","2016","08","27"
"3.48","1.2442528735632183","2016","08","27"
"1.75","1.0","2016","08","27"
"0.87","2.0114942528735633","2016","08","27"
"2.6","0.673076923076923","2016","08","27"
"0.87","1.0","2016","08","28"
"2.6","0.673076923076923","2016","08","29"
"2.6","1.3384615384615384","2016","08","29"
"2.6","0.673076923076923","2016","08","30"
"0.87","1.0","2016","08","31"
"1.75","1.4857142857142858","2016","09","01"
"0.87","2.0114942528735633","2016","09","03"
"2.6","0.673076923076923","2016","09","03"
"0.87","1.0","2016","09","03"
"2.6","1.3384615384615384","2016","09","07"
"1.75","1.0","2016","09","08"
"1.75","0.49714285714285716","2016","09","08"
"3.48","1.2442528735632183","2016","09","08"
"2.6","1.3384615384615384","2016","09","08"
"2.6","1.3384615384615384","2016","09","08"
"0.87","1.0","2016","09","08"
"1.75","1.0","2016","09","08"
"1.75","1.4857142857142858","2016","09","11"
"2.6","0.673076923076923","2016","09","11"
"2.6","0.673076923076923","2016","09","11"
"1.75","0.49714285714285716","2016","09","11"
"1.75","1.4857142857142858","2016","09","12"
"1.75","0.49714285714285716","2016","09","18"
"1.75","0.49714285714285716","2016","09","18"
"0.87","2.0114942528735633","2016","09","19"
"0.87","2.0114942528735633","2016","09","19"
"0.87","2.0114942528735633","2016","09","20"
"0.87","1.0","2016","09","20"
"0.87","1.0","2016","09","23"
"2.6","1.3384615384615384","2016","09","26"
"4.33","0.8036951501154734","2016","09","26"
"2.6","1.3384615384615384","2016","09","26"
"0.87","1.0","2016","09","26"
"2.6","0.673076923076923","2016","09","28"
"2.6","0.3346153846153846","2016","09","29"
"3.48","1.0","2016","09","29"
"3.48","1.0","2016","09","29"
"2.6","1.6653846153846155","2016","09","29"
"2.6","1.3384615384615384","2016","09","30"
"3.48","1.0","2016","09","30"
"3.48","1.0","2016","10","01"
"1.75","1.9885714285714287","2016","10","01"
"1.75","1.0","2016","10","01"
"2.6","1.0","2016","10","04"
"3.48","1.0","2016","10","04"
"1.75","0.49714285714285716","2016","10","04"
"0.87","2.0114942528735633","2016","10","05"
"0.87","2.0114942528735633","2016","10","05"
"2.6","1.0","2016","10","06"
"2.6","0.673076923076923","2016","10","06"
"1.75","1.0","2016","10","06"
"1.75","0.49714285714285716","2016","10","06"
"1.75","0.49714285714285716","2016","10","06"
"2.6","1.3384615384615384","2016","10","07"
"1.75","1.4857142857142858","2016","10","08"
"1.75","1.0","2016","10","09"
"0.87","1.0","2016","10","09"
"1.75","0.49714285714285716","2016","10","09"
"1.75","1.0","2016","10","10"
"0.87","2.0114942528735633","2016","10","10"
"1.75","1.0","2016","10","10"
"0.87","2.0114942528735633","2016","10","14"
"1.75","1.4857142857142858","2016","10","15"
"0.87","2.0114942528735633","2016","10","16"
"1.75","1.4857142857142858","2016","10","16"
"2.6","1.3384615384615384","2016","10","20"
"1.75","1.4857142857142858","2016","10","23"
"2.6","1.0","2016","10","24"
"1.75","1.4857142857142858","2016","10","24"
"2.6","1.0","2016","10","25"
"1.75","1.0","2016","10","26"
"0.87","2.0114942528735633","2016","10","26"
"2.6","1.0","2016","10","27"
"2.6","1.3384615384615384","2016","10","27"
"1.75","0.49714285714285716","2016","10","28"
"1.75","0.49714285714285716","2016","10","28"
"1.75","1.4857142857142858","2016","10","29"
"0.87","1.0","2016","10","30"
"1.75","0.49714285714285716","2016","10","30"
"1.75","1.4857142857142858","2016","10","31"
"1.75","1.0","2016","10","31"
"0.87","2.0114942528735633","2016","10","31"
"2.6","1.0","2016","11","04"
"0.87","2.9885057471264367","2016","11","04"
"2.6","1.6653846153846155","2016","11","04"
"2.6","0.673076923076923","2016","11","06"
"0.87","2.0114942528735633","2016","11","16"
"3.48","0.7471264367816092","2016","11","16"
"0.87","2.0114942528735633","2016","11","19"
"0.87","1.0","2016","11","21"
"2.6","1.6653846153846155","2016","11","21"
"2.6","1.0","2016","11","22"
"1.75","0.49714285714285716","2016","11","26"
"1.75","1.0","2016","11","28"
"1.75","1.0","2016","11","28"
"0.87","1.0","2016","11","28"
"1.75","0.49714285714285716","2016","11","28"
"1.75","2.474285714285714","2016","11","30"
"0.87","2.0114942528735633","2016","12","04"
"0.87","1.0","2016","12","04"
"0.87","1.0","2016","12","05"
"1.75","1.4857142857142858","2016","12","05"
"2.6","1.0","2016","12","05"
"2.6","1.0","2016","12","05"
"1.75","1.9885714285714287","2016","12","08"
"2.6","1.0","2016","12","08"
"2.6","1.0","2016","12","08"
"2.6","1.0","2016","12","08"
"1.75","0.49714285714285716","2016","12","08"
"0.87","2.0114942528735633","2016","12","09"
"2.6","1.3384615384615384","2016","12","09"
"2.6","1.0","2016","12","10"
"1.75","1.0","2016","12","10"
"1.75","1.0","2016","12","11"
"0.87","2.0114942528735633","2016","12","12"
"2.6","1.0","2016","12","14"
"1.75","1.4857142857142858","2016","12","15"
"1.75","1.0","2016","12","17"
"2.6","1.6653846153846155","2016","12","20"
"2.6","0.673076923076923","2016","12","20"
"2.6","1.0","2016","12","22"
"1.75","1.4857142857142858","2016","12","22"
"2.6","0.673076923076923","2016","12","23"
"0.87","1.0","2016","12","23"
"1.75","1.4857142857142858","2016","12","23"
"1.75","1.0","2016","12","25"
"3.48","1.0","2016","12","29"
"3.48","1.0","2016","12","29"
"2.6","1.0","2016","12","30"
"4.33","1.2032332563510393","2016","12","31"
"4.33","1.0","2016","12","31"
"5.21","1.1669865642994242","2016","12","31"
"5.21","1.0","2016","12","31"
"4.33","0.6004618937644342","2016","12","31"
"1.75","1.0","2017","01","03"
"0.87","2.0114942528735633","2017","01","03"
"1.75","0.49714285714285716","2017","01","04"
"1.75","1.0","2017","01","04"
"3.48","1.2442528735632183","2017","01","04"
"2.6","1.3384615384615384","2017","01","04"
"2.6","1.3384615384615384","2017","01","06"
"2.6","1.0","2017","01","06"
"0.87","2.0114942528735633","2017","01","06"
"3.48","0.7471264367816092","2017","01","06"
"3.48","1.2442528735632183","2017","01","07"
"3.48","0.7471264367816092","2017","01","07"
"0.87","2.0114942528735633","2017","01","07"
"2.6","0.673076923076923","2017","01","07"
"2.6","1.0","2017","01","07"
"3.48","0.7471264367816092","2017","01","08"
"4.33","1.0","2017","01","08"
"6.08","1.144736842105263","2017","01","09"
"2.6","1.0","2017","01","10"
"3.48","1.2442528735632183","2017","01","11"
