"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.48","2.4054054054054053","2016","05","28"
"0.25","7.0","2016","05","29"
"1.13","2.300884955752213","2016","06","06"
"0.35","2.7142857142857144","2016","06","08"
"1.13","2.300884955752213","2016","06","08"
"1.3","2.4076923076923076","2016","06","14"
"1.22","2.418032786885246","2016","06","22"
"0.17","5.117647058823529","2016","06","24"
"1.22","2.5655737704918034","2016","06","29"
"1.65","2.9575757575757575","2016","07","03"
"0.6","3.0500000000000003","2016","07","04"
"0.6","3.6333333333333337","2016","07","05"
"1.48","2.2837837837837838","2016","07","07"
"1.83","1.8469945355191255","2016","07","13"
"0.1","5.999999999999999","2016","07","14"
"0.17","5.117647058823529","2016","07","15"
"0.1","11.299999999999999","2016","07","16"
"0.35","4.228571428571429","2016","07","16"
"0.52","3.0","2016","07","16"
"0.95","2.926315789473684","2016","07","16"
"1.3","2.269230769230769","2016","07","18"
"0.17","6.64705882352941","2016","07","19"
"0.35","4.0","2016","07","30"
"0.1","5.2","2016","07","30"
"0.1","7.8","2016","07","30"
"0.6","2.75","2016","07","30"
"0.78","2.1153846153846154","2016","07","30"
"0.6","3.3333333333333335","2016","07","30"
"1.4","2.607142857142857","2016","07","30"
"1.13","2.920353982300885","2016","07","31"
"0.6","4.216666666666667","2016","08","01"
"0.25","5.92","2016","08","01"
"0.17","5.117647058823529","2016","08","02"
"1.4","3.842857142857143","2016","08","04"
"1.05","2.4095238095238094","2016","08","04"
"0.87","2.413793103448276","2016","08","05"
"0.95","2.368421052631579","2016","08","05"
"0.52","2.692307692307692","2016","08","05"
"0.7","3.471428571428572","2016","08","06"
"0.1","5.999999999999999","2016","08","06"
"0.1","11.299999999999999","2016","08","06"
"0.6","3.3333333333333335","2016","08","06"
"0.35","4.714285714285714","2016","08","07"
"0.1","5.999999999999999","2016","08","07"
"0.25","5.2","2016","08","09"
"0.95","2.736842105263158","2016","08","17"
"0.43","5.883720930232558","2016","08","26"
"0.87","3.482758620689655","2016","08","26"
"0.95","2.5578947368421057","2016","08","27"
"0.25","5.92","2016","09","04"
"1.4","1.9857142857142858","2016","09","08"
"1.13","1.9911504424778763","2016","09","11"
"1.48","2.52027027027027","2016","09","27"
"0.7","3.3571428571428577","2016","09","29"
"0.7","3.714285714285715","2016","10","03"
"0.25","7.0","2016","10","09"
"1.75","2.3885714285714283","2016","10","09"
"1.83","1.9453551912568305","2016","10","12"
"0.43","3.255813953488372","2016","10","13"
"1.13","2.769911504424779","2016","10","14"
"0.87","4.0","2016","10","14"
