"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.7","4.214285714285714","2016","05","28"
"1.65","1.8363636363636364","2016","05","28"
"5.21","1.8023032629558542","2016","05","29"
"4.61","1.4880694143167028","2016","05","29"
"4.08","1.661764705882353","2016","05","30"
"4.78","1.50836820083682","2016","05","30"
"3.3","2.3212121212121213","2016","05","30"
"3.73","1.8176943699731904","2016","05","30"
"0.43","4.4186046511627906","2016","05","30"
"0.35","5.2285714285714295","2016","05","30"
"2.43","2.1851851851851847","2016","05","30"
"2.78","1.910071942446043","2016","05","30"
"3.73","1.6997319034852547","2016","06","01"
"3.48","1.5977011494252873","2016","06","04"
"3.56","1.8792134831460674","2016","06","04"
"3.65","1.6876712328767125","2016","06","04"
"2.6","1.7730769230769232","2016","06","04"
"2.1","2.157142857142857","2016","06","04"
"4.26","2.0985915492957745","2016","06","06"
"2.68","2.42910447761194","2016","06","06"
"2.6","2.042307692307692","2016","06","06"
"3.3","1.790909090909091","2016","06","07"
"2.0","2.44","2016","06","07"
"1.05","2.7428571428571424","2016","06","07"
"1.4","2.0571428571428574","2016","06","09"
"5.56","1.4676258992805757","2016","06","10"
"2.53","2.158102766798419","2016","06","10"
"3.38","2.005917159763314","2016","06","10"
"4.18","1.6220095693779906","2016","06","10"
"4.26","1.6338028169014085","2016","06","10"
"3.48","1.7701149425287357","2016","06","10"
"5.38","1.4702602230483273","2016","06","10"
"5.56","1.5","2016","06","10"
"3.83","1.7702349869451697","2016","06","11"
"4.0","1.8025","2016","06","11"
"2.6","2.203846153846154","2016","06","11"
"2.68","1.8208955223880596","2016","06","11"
"2.1","2.157142857142857","2016","06","11"
"1.75","1.7314285714285713","2016","06","11"
"2.53","1.9604743083003955","2016","06","12"
"1.65","1.7454545454545456","2016","06","12"
"2.95","2.1220338983050846","2016","06","13"
"4.08","1.7058823529411764","2016","06","13"
"4.96","1.4375","2016","06","13"
"4.78","1.6548117154811715","2016","06","13"
"4.88","1.7438524590163935","2016","06","13"
"5.13","1.7134502923976607","2016","06","13"
"4.0","1.6075","2016","06","15"
"4.33","1.7228637413394918","2016","06","15"
"1.05","2.8095238095238098","2016","06","15"
"1.65","2.581818181818182","2016","06","15"
"1.13","2.920353982300885","2016","06","15"
"1.65","2.2121212121212124","2016","06","15"
"2.18","1.9541284403669723","2016","06","15"
"4.33","1.6466512702078522","2016","06","16"
"1.56","1.942307692307692","2016","06","17"
"3.13","2.02555910543131","2016","06","17"
"3.13","2.2236421725239617","2016","06","17"
"5.03","1.453280318091451","2016","06","17"
"4.18","1.6220095693779906","2016","06","17"
"4.08","1.6397058823529413","2016","06","17"
"4.78","1.8912133891213387","2016","06","18"
"4.08","1.8112745098039214","2016","06","18"
"3.83","1.6997389033942558","2016","06","18"
"3.13","1.744408945686901","2016","06","18"
"2.35","1.9276595744680851","2016","06","18"
"4.68","1.465811965811966","2016","06","19"
"4.96","1.5745967741935483","2016","06","20"
"4.96","1.473790322580645","2016","06","20"
"4.26","1.5704225352112677","2016","06","20"
"2.25","1.9244444444444444","2016","06","20"
"2.1","1.6095238095238094","2016","06","23"
"2.35","1.8851063829787231","2016","06","23"
"1.9","1.7789473684210526","2016","06","26"
"1.3","2.215384615384615","2016","06","27"
"2.18","1.9174311926605503","2016","06","27"
"3.3","1.896969696969697","2016","06","28"
"1.9","2.463157894736842","2016","06","28"
"2.25","2.048888888888889","2016","06","28"
"2.53","1.822134387351779","2016","06","29"
"3.38","1.7988165680473374","2016","06","29"
"0.43","5.069767441860465","2016","06","29"
"0.87","2.1839080459770113","2016","06","30"
"2.53","2.059288537549407","2016","06","30"
"2.43","1.9670781893004115","2016","06","30"
"2.78","2.035971223021583","2016","06","30"
"2.35","2.6978723404255316","2016","06","30"
"2.53","2.2964426877470356","2016","07","01"
"1.65","2.533333333333333","2016","07","01"
"2.43","2.2469135802469133","2016","07","02"
"2.78","1.8741007194244605","2016","07","02"
"2.78","1.683453237410072","2016","07","02"
"2.53","1.58102766798419","2016","07","02"
"1.83","2.0382513661202184","2016","07","03"
"2.25","1.9688888888888887","2016","07","04"
"1.83","1.6557377049180326","2016","07","05"
"1.4","2.4857142857142858","2016","07","06"
"0.17","8.705882352941176","2016","07","08"
"0.35","5.0","2016","07","08"
"0.35","7.657142857142858","2016","07","08"
"4.43","1.4514672686230248","2016","07","09"
"0.87","2.7011494252873565","2016","07","09"
"0.1","6.999999999999999","2016","07","09"
"3.03","1.636963696369637","2016","07","09"
"3.13","2.02555910543131","2016","07","09"
"2.68","2.1119402985074625","2016","07","09"
"3.23","1.9628482972136223","2016","07","09"
"3.73","1.7453083109919572","2016","07","09"
"0.87","3.482758620689655","2016","07","10"
"0.17","6.64705882352941","2016","07","10"
"1.56","2.8397435897435894","2016","07","10"
"0.52","2.692307692307692","2016","07","11"
"3.38","1.7988165680473374","2016","07","12"
"4.08","1.5759803921568627","2016","07","12"
"3.48","1.5689655172413792","2016","07","12"
"2.88","1.6006944444444446","2016","07","12"
"4.43","1.6501128668171559","2016","07","13"
"2.43","2.0411522633744856","2016","07","19"
"3.38","1.6952662721893492","2016","07","19"
"3.56","1.856741573033708","2016","07","20"
"2.6","1.876923076923077","2016","07","20"
"2.43","1.7530864197530862","2016","07","20"
"1.65","1.787878787878788","2016","07","20"
"1.83","1.901639344262295","2016","07","20"
"2.25","2.2044444444444444","2016","07","22"
"3.56","1.8792134831460674","2016","07","23"
"3.03","1.7755775577557757","2016","07","24"
"2.43","2.0699588477366255","2016","07","25"
"2.6","1.9076923076923076","2016","07","28"
"2.88","1.78125","2016","07","28"
"2.18","1.8348623853211008","2016","07","28"
"1.75","1.9314285714285713","2016","07","28"
"2.0","1.78","2016","07","28"
"1.83","2.710382513661202","2016","07","28"
"3.48","1.7471264367816093","2016","07","28"
"3.48","1.6695402298850575","2016","07","28"
"3.38","1.6952662721893492","2016","07","28"
"2.78","2.0","2016","07","28"
"2.95","2.206779661016949","2016","07","29"
"3.56","2.0252808988764044","2016","07","29"
"3.73","2.0750670241286864","2016","07","30"
"4.0","1.54","2016","07","30"
"4.18","1.5382775119617225","2016","07","30"
"3.65","1.5917808219178082","2016","07","30"
"0.43","3.255813953488372","2016","08","02"
"5.03","1.4174950298210736","2016","08","03"
"3.73","1.7238605898123325","2016","08","03"
"2.0","1.865","2016","08","03"
"2.6","2.1","2016","08","03"
"2.53","2.4031620553359687","2016","08","03"
"2.53","2.3359683794466406","2016","08","03"
"1.75","1.4857142857142858","2016","08","07"
"1.48","2.3513513513513513","2016","08","08"
"1.56","2.1666666666666665","2016","08","08"
"0.95","2.5578947368421057","2016","08","09"
"0.87","2.0114942528735633","2016","08","09"
"3.03","1.7755775577557757","2016","08","15"
"2.6","1.9076923076923076","2016","08","16"
"3.13","1.7763578274760383","2016","08","18"
"1.9","2.1052631578947367","2016","08","18"
"3.91","2.0434782608695654","2016","08","18"
"3.3","1.6848484848484848","2016","08","18"
"2.78","2.161870503597122","2016","08","18"
"3.83","2.0652741514360313","2016","08","19"
"2.95","1.7050847457627119","2016","08","19"
