"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","12.03076923076923","2011","05","17"
"2.6","2.003846153846154","2011","05","17"
"2.6","1.6653846153846155","2011","05","17"
"1.75","3.474285714285714","2011","05","19"
"1.75","2.474285714285714","2011","05","19"
"0.87","2.9885057471264367","2011","05","20"
"1.75","2.474285714285714","2011","05","20"
"1.75","2.474285714285714","2011","05","20"
"0.87","4.0","2011","05","21"
"2.6","1.6653846153846155","2011","05","21"
"0.87","2.9885057471264367","2011","05","23"
"0.87","4.0","2011","05","24"
"0.87","4.977011494252873","2011","05","24"
"1.75","2.9771428571428573","2011","05","25"
"1.75","1.9885714285714287","2011","05","25"
"0.87","4.0","2011","05","26"
"1.75","2.474285714285714","2011","05","27"
"2.6","1.6653846153846155","2011","05","27"
"0.87","4.977011494252873","2011","06","02"
"0.87","2.0114942528735633","2011","06","03"
"0.87","2.0114942528735633","2011","06","04"
"0.87","4.0","2011","06","06"
"0.87","2.9885057471264367","2011","06","06"
"0.87","4.0","2011","06","06"
"0.87","4.0","2011","06","07"
"0.87","4.0","2011","06","08"
"1.75","2.474285714285714","2011","06","29"
"0.87","2.0114942528735633","2011","06","30"
"0.87","2.9885057471264367","2011","07","03"
"0.87","4.977011494252873","2011","07","03"
"1.75","2.474285714285714","2011","07","04"
"0.87","4.0","2011","07","10"
"1.75","2.9771428571428573","2011","07","19"
"1.75","1.9885714285714287","2011","07","24"
"0.87","2.9885057471264367","2011","07","24"
"0.87","4.0","2011","07","24"
"0.87","4.0","2011","07","24"
"0.87","4.0","2011","07","25"
"0.87","2.0114942528735633","2011","07","26"
"0.87","2.9885057471264367","2011","07","27"
"0.87","2.0114942528735633","2011","07","27"
"0.87","4.0","2011","07","28"
"1.75","2.474285714285714","2011","08","01"
"0.87","2.9885057471264367","2011","08","01"
"1.75","1.9885714285714287","2011","08","06"
"0.87","4.977011494252873","2011","08","07"
"0.87","2.9885057471264367","2011","08","08"
"0.87","2.9885057471264367","2011","08","08"
"0.87","4.0","2011","08","18"
"1.75","1.9885714285714287","2011","08","20"
"0.87","2.9885057471264367","2011","08","22"
"0.87","2.9885057471264367","2011","09","05"
"1.75","1.9885714285714287","2011","09","07"
"0.87","2.9885057471264367","2011","09","07"
"0.87","4.0","2011","09","07"
"0.87","2.9885057471264367","2011","09","07"
"0.87","2.9885057471264367","2011","09","18"
"0.87","2.9885057471264367","2011","09","23"
"0.87","2.9885057471264367","2011","10","01"
"0.87","4.0","2011","10","07"
"1.75","2.474285714285714","2011","10","07"
"0.87","5.988505747126437","2011","10","07"
"0.87","2.0114942528735633","2011","10","14"
"0.87","2.9885057471264367","2011","10","14"
"0.87","4.977011494252873","2011","10","15"
"0.87","4.0","2011","10","15"
"0.87","6.988505747126437","2011","10","23"
"0.87","4.0","2011","10","29"
"1.75","2.9771428571428573","2011","10","31"
"1.75","3.474285714285714","2011","11","10"
"1.75","3.474285714285714","2011","11","29"
"0.87","4.0","2011","11","29"
"0.87","5.988505747126437","2011","11","29"
"0.87","4.977011494252873","2011","11","29"
"0.87","4.0","2011","12","06"
"0.87","2.9885057471264367","2011","12","07"
"1.75","4.462857142857143","2011","12","11"
"0.87","4.0","2011","12","20"
"1.75","3.9771428571428573","2011","12","23"
"0.87","5.988505747126437","2012","01","13"
"0.87","2.9885057471264367","2012","01","13"
"0.87","2.0114942528735633","2012","01","31"
"0.87","4.0","2012","02","12"
"0.87","4.977011494252873","2012","02","15"
"0.87","5.988505747126437","2012","02","22"
"0.87","4.0","2012","02","24"
"0.87","5.988505747126437","2012","03","05"
"1.75","3.474285714285714","2012","03","06"
"0.87","2.9885057471264367","2012","03","08"
"0.87","2.0114942528735633","2012","03","08"
"1.75","1.9885714285714287","2012","03","26"
"1.75","3.9771428571428573","2012","03","29"
"0.87","4.0","2012","03","30"
"0.87","5.988505747126437","2012","04","07"
"0.87","4.0","2012","04","19"
"1.75","2.9771428571428573","2012","04","21"
"0.87","4.0","2012","04","29"
"1.75","2.474285714285714","2012","05","17"
"0.87","2.9885057471264367","2012","05","21"
"0.87","4.977011494252873","2012","05","25"
"0.87","4.977011494252873","2012","05","26"
"0.87","2.9885057471264367","2012","06","04"
"0.87","4.0","2012","06","13"
"1.75","2.474285714285714","2012","06","25"
"0.87","2.9885057471264367","2012","06","26"
"0.87","4.0","2012","06","26"
"1.75","2.474285714285714","2012","06","26"
"1.75","1.9885714285714287","2012","07","03"
"1.75","1.9885714285714287","2012","07","04"
"0.87","4.0","2012","07","30"
"0.87","2.9885057471264367","2012","07","31"
"0.87","4.977011494252873","2012","08","01"
"1.75","2.474285714285714","2012","08","02"
"1.75","1.9885714285714287","2012","08","10"
"0.87","2.9885057471264367","2012","08","10"
"0.87","2.9885057471264367","2012","08","10"
"0.87","2.0114942528735633","2012","08","25"
"0.87","4.0","2012","08","28"
"0.87","4.0","2012","08","28"
"0.87","2.9885057471264367","2012","08","30"
"0.87","4.0","2012","09","01"
"1.75","2.9771428571428573","2012","09","03"
"0.87","4.0","2012","09","03"
"1.75","1.9885714285714287","2012","09","03"
"2.6","2.003846153846154","2012","09","04"
"1.75","2.474285714285714","2012","09","04"
"1.75","2.9771428571428573","2012","09","04"
"1.75","2.474285714285714","2012","09","06"
"0.87","4.0","2012","09","06"
"0.87","4.0","2012","09","07"
"0.87","2.9885057471264367","2012","09","12"
"0.87","2.9885057471264367","2012","09","14"
"1.75","1.9885714285714287","2012","09","15"
"0.87","4.0","2012","09","15"
"1.75","2.474285714285714","2012","09","16"
"0.87","2.0114942528735633","2012","09","18"
"1.75","2.9771428571428573","2012","09","23"
"3.48","2.4971264367816093","2012","12","13"
"0.87","4.977011494252873","2013","01","07"
"1.75","4.965714285714285","2013","01","17"
"0.87","5.988505747126437","2013","02","12"
"1.75","4.462857142857143","2013","02","20"
"1.75","3.474285714285714","2013","03","09"
"0.87","4.0","2013","03","19"
"1.75","2.9771428571428573","2013","03","23"
"0.87","4.977011494252873","2013","03","24"
"0.87","4.977011494252873","2013","03","30"
"1.75","2.9771428571428573","2013","03","30"
"0.87","2.9885057471264367","2013","04","17"
"0.87","4.0","2013","04","18"
"0.87","4.0","2013","04","19"
"1.75","1.4857142857142858","2013","04","25"
"0.87","2.0114942528735633","2013","04","30"
"2.6","2.3384615384615386","2013","05","27"
"0.87","4.0","2013","05","31"
"0.87","2.9885057471264367","2013","06","01"
"0.87","2.9885057471264367","2013","06","01"
"0.87","2.9885057471264367","2013","06","02"
"0.87","4.0","2013","06","09"
"0.87","2.9885057471264367","2013","06","11"
"0.87","4.0","2013","06","14"
"0.87","2.9885057471264367","2013","06","14"
"1.75","2.474285714285714","2013","07","02"
"1.75","2.474285714285714","2013","07","02"
"0.87","4.977011494252873","2013","07","03"
"0.87","4.0","2013","07","06"
"1.75","1.9885714285714287","2013","07","09"
"0.87","4.0","2013","07","10"
"0.87","2.0114942528735633","2013","07","11"
"0.87","4.977011494252873","2013","07","17"
"0.87","2.9885057471264367","2013","07","24"
"0.87","2.9885057471264367","2013","07","26"
"0.87","2.9885057471264367","2013","08","02"
"0.87","2.9885057471264367","2013","08","04"
"1.75","2.474285714285714","2013","08","07"
"1.75","2.9771428571428573","2013","08","10"
"0.87","2.9885057471264367","2013","08","12"
"0.87","2.9885057471264367","2013","08","15"
"0.87","2.0114942528735633","2013","08","17"
"0.87","4.977011494252873","2013","08","19"
"0.87","4.0","2013","08","19"
"1.75","2.474285714285714","2013","08","20"
"1.75","1.9885714285714287","2013","08","21"
"1.75","2.9771428571428573","2013","08","21"
"1.75","2.9771428571428573","2013","08","21"
"1.75","1.9885714285714287","2013","08","23"
"1.75","2.9771428571428573","2013","08","24"
"0.87","2.9885057471264367","2013","08","24"
"1.75","2.474285714285714","2013","08","24"
"1.75","2.474285714285714","2013","09","04"
"2.6","2.6769230769230767","2013","09","07"
"1.75","1.9885714285714287","2013","09","07"
"1.75","2.474285714285714","2013","09","07"
"1.75","2.474285714285714","2013","09","07"
"1.75","2.474285714285714","2013","09","07"
"1.75","2.474285714285714","2013","09","08"
"2.6","2.3384615384615386","2013","09","08"
"0.87","4.0","2013","09","11"
"0.87","2.9885057471264367","2013","09","23"
"1.75","3.9771428571428573","2013","09","26"
"1.75","2.474285714285714","2013","09","26"
"1.75","1.9885714285714287","2013","09","26"
"0.87","2.0114942528735633","2013","10","05"
"0.87","4.0","2013","10","13"
"0.87","4.0","2013","10","13"
"1.75","3.474285714285714","2013","10","14"
"1.75","2.9771428571428573","2013","10","14"
"0.87","4.0","2013","10","18"
"2.6","4.342307692307692","2013","10","29"
"1.75","2.9771428571428573","2013","10","29"
"0.87","4.0","2013","10","30"
"0.87","4.977011494252873","2014","01","12"
"0.87","4.0","2014","01","14"
"1.75","4.462857142857143","2014","01","23"
"1.75","3.9771428571428573","2014","01","23"
"0.87","4.0","2014","03","11"
"1.75","3.474285714285714","2014","03","18"
"1.75","3.474285714285714","2014","04","07"
"1.75","2.9771428571428573","2014","04","16"
"2.6","2.3384615384615386","2014","04","29"
"1.75","2.474285714285714","2014","05","07"
"2.6","2.3384615384615386","2014","05","14"
"2.6","1.6653846153846155","2014","05","19"
"1.75","2.9771428571428573","2014","05","21"
"2.6","1.6653846153846155","2014","05","24"
"1.75","1.9885714285714287","2014","05","26"
"1.75","2.474285714285714","2014","05","28"
"0.87","4.0","2014","05","29"
"0.87","4.977011494252873","2014","05","30"
"0.87","4.0","2014","05","30"
"0.87","4.0","2014","05","30"
"0.87","4.0","2014","05","31"
"0.87","4.0","2014","06","01"
"0.87","2.9885057471264367","2014","06","01"
"0.87","4.977011494252873","2014","06","02"
"0.87","2.9885057471264367","2014","06","06"
"1.75","2.474285714285714","2014","06","07"
"0.87","2.0114942528735633","2014","06","16"
"1.75","2.474285714285714","2014","06","19"
"0.87","2.0114942528735633","2014","06","21"
"1.75","2.474285714285714","2014","06","21"
"0.87","2.9885057471264367","2014","06","24"
"2.6","2.003846153846154","2014","06","28"
"0.87","2.0114942528735633","2014","06","28"
"1.75","2.474285714285714","2014","07","01"
"1.75","1.4857142857142858","2014","07","01"
"1.75","1.4857142857142858","2014","07","01"
"1.75","1.9885714285714287","2014","07","01"
"0.87","2.0114942528735633","2014","07","02"
"0.87","4.0","2014","07","02"
"0.87","2.9885057471264367","2014","07","05"
"0.87","2.0114942528735633","2014","07","06"
"0.87","2.9885057471264367","2014","07","14"
"0.87","2.9885057471264367","2014","07","21"
"1.75","1.9885714285714287","2014","07","21"
"0.87","4.977011494252873","2014","07","22"
"0.87","4.0","2014","07","22"
"0.87","2.0114942528735633","2014","07","22"
"0.87","2.9885057471264367","2014","07","27"
"0.87","4.0","2014","07","29"
"0.87","2.0114942528735633","2014","07","31"
"0.87","2.0114942528735633","2014","08","02"
"0.87","2.0114942528735633","2014","08","04"
"0.87","4.0","2014","08","10"
"0.87","4.0","2014","08","12"
"0.87","4.0","2014","08","20"
"0.87","2.0114942528735633","2014","08","20"
"0.87","4.977011494252873","2014","08","21"
"0.87","2.9885057471264367","2014","08","21"
"1.75","2.474285714285714","2014","08","21"
"0.87","2.9885057471264367","2014","08","23"
"0.87","2.9885057471264367","2014","08","23"
"0.87","2.9885057471264367","2014","08","25"
"0.87","4.0","2014","08","26"
"0.87","4.0","2014","08","26"
"0.87","2.9885057471264367","2014","09","02"
"1.75","2.474285714285714","2014","09","05"
"1.75","1.9885714285714287","2014","09","07"
"1.75","2.9771428571428573","2014","09","07"
"1.75","1.9885714285714287","2014","09","07"
"1.75","2.474285714285714","2014","09","08"
"0.87","2.9885057471264367","2014","09","08"
"0.87","2.9885057471264367","2014","09","08"
"1.75","3.474285714285714","2014","09","08"
"2.6","2.3384615384615386","2014","09","08"
"2.6","2.003846153846154","2014","09","08"
"3.48","1.4971264367816093","2014","09","08"
"2.6","1.3384615384615384","2014","09","23"
