"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","55.146153846153844","2011","05","16"
"5.21","21.685220729366602","2011","05","16"
"3.48","35.45977011494253","2011","05","17"
"0.87","140.82758620689654","2011","05","17"
"2.6","2.003846153846154","2011","05","18"
"4.33","1.4041570438799076","2011","05","18"
"4.33","1.6073903002309469","2011","05","18"
"2.6","2.3384615384615386","2011","05","18"
"1.75","2.474285714285714","2011","05","18"
"1.75","2.474285714285714","2011","05","18"
"0.87","2.9885057471264367","2011","05","18"
"0.87","4.0","2011","05","18"
"0.87","2.9885057471264367","2011","05","18"
"0.87","2.9885057471264367","2011","05","18"
"2.6","1.6653846153846155","2011","05","18"
"1.75","1.9885714285714287","2011","05","18"
"1.75","1.9885714285714287","2011","05","19"
"1.75","2.474285714285714","2011","05","19"
"2.6","2.003846153846154","2011","05","19"
"2.6","1.6653846153846155","2011","05","20"
"1.75","2.474285714285714","2011","05","21"
"1.75","2.474285714285714","2011","05","22"
"1.75","2.474285714285714","2011","05","22"
"0.87","2.9885057471264367","2011","05","22"
"1.75","1.9885714285714287","2011","05","22"
"1.75","2.474285714285714","2011","05","22"
"2.6","1.6653846153846155","2011","05","23"
"1.75","2.474285714285714","2011","05","23"
"1.75","1.4857142857142858","2011","05","23"
"0.87","2.9885057471264367","2011","05","23"
"0.87","2.0114942528735633","2011","05","23"
"2.6","1.6653846153846155","2011","05","24"
"3.48","1.4971264367816093","2011","05","25"
"3.48","1.4971264367816093","2011","05","25"
"0.87","2.0114942528735633","2011","05","26"
"2.6","1.6653846153846155","2011","05","27"
"3.48","2.0","2011","05","27"
"3.48","2.0","2011","05","27"
"1.75","1.9885714285714287","2011","05","28"
"0.87","2.0114942528735633","2011","05","28"
"0.87","2.0114942528735633","2011","05","29"
"0.87","2.0114942528735633","2011","05","29"
"0.87","2.0114942528735633","2011","05","29"
"0.87","2.9885057471264367","2011","05","30"
"0.87","2.9885057471264367","2011","05","30"
"0.87","2.0114942528735633","2011","05","30"
"0.87","2.0114942528735633","2011","05","30"
"0.87","2.0114942528735633","2011","05","30"
"0.87","2.0114942528735633","2011","05","30"
"0.87","2.9885057471264367","2011","05","30"
"2.6","1.3384615384615384","2011","05","30"
"0.87","2.9885057471264367","2011","05","31"
"0.87","2.0114942528735633","2011","05","31"
"0.87","2.0114942528735633","2011","05","31"
"0.87","2.0114942528735633","2011","05","31"
"0.87","2.0114942528735633","2011","05","31"
"0.87","2.0114942528735633","2011","06","01"
"0.87","2.0114942528735633","2011","06","01"
"0.87","2.0114942528735633","2011","06","01"
"0.87","2.0114942528735633","2011","06","01"
"0.87","2.0114942528735633","2011","06","01"
"0.87","2.9885057471264367","2011","06","01"
"0.87","2.0114942528735633","2011","06","02"
"0.87","2.0114942528735633","2011","06","02"
"0.87","2.9885057471264367","2011","06","02"
"0.87","2.9885057471264367","2011","06","02"
"0.87","2.9885057471264367","2011","06","02"
"0.87","2.0114942528735633","2011","06","02"
"0.87","2.9885057471264367","2011","06","03"
"1.75","1.4857142857142858","2011","06","03"
"0.87","4.0","2011","06","03"
"0.87","4.0","2011","06","04"
"0.87","4.0","2011","06","04"
"0.87","2.9885057471264367","2011","06","04"
"0.87","2.0114942528735633","2011","06","06"
"1.75","1.9885714285714287","2011","06","06"
"1.75","1.9885714285714287","2011","06","06"
"1.75","1.9885714285714287","2011","06","06"
"0.87","4.0","2011","06","06"
"0.87","2.9885057471264367","2011","06","06"
"0.87","2.9885057471264367","2011","06","06"
"0.87","2.0114942528735633","2011","06","07"
"0.87","2.9885057471264367","2011","06","07"
"0.87","2.9885057471264367","2011","06","07"
"0.87","2.0114942528735633","2011","06","08"
"0.87","4.0","2011","06","09"
"0.87","2.9885057471264367","2011","06","10"
"1.75","1.9885714285714287","2011","06","10"
"1.75","2.9771428571428573","2011","06","10"
"0.87","4.0","2011","06","10"
"0.87","4.0","2011","06","10"
"0.87","2.9885057471264367","2011","06","10"
"0.87","2.0114942528735633","2011","06","10"
"0.87","2.9885057471264367","2011","06","10"
"0.87","4.0","2011","06","10"
"0.87","2.0114942528735633","2011","06","11"
"0.87","2.9885057471264367","2011","06","11"
"0.87","2.0114942528735633","2011","06","11"
"1.75","2.474285714285714","2011","06","12"
"0.87","2.0114942528735633","2011","06","12"
"0.87","2.0114942528735633","2011","06","12"
"0.87","2.9885057471264367","2011","06","13"
"0.87","2.0114942528735633","2011","06","13"
"0.87","2.9885057471264367","2011","06","13"
"1.75","1.4857142857142858","2011","06","13"
"0.87","2.0114942528735633","2011","06","14"
"0.87","2.0114942528735633","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.0114942528735633","2011","06","14"
"0.87","2.0114942528735633","2011","06","14"
"1.75","1.9885714285714287","2011","06","14"
"0.87","2.9885057471264367","2011","06","14"
"0.87","2.9885057471264367","2011","06","15"
"0.87","2.9885057471264367","2011","06","15"
"1.75","2.474285714285714","2011","06","15"
"0.87","2.0114942528735633","2011","06","16"
"0.87","2.0114942528735633","2011","06","16"
"0.87","2.0114942528735633","2011","06","16"
"0.87","2.0114942528735633","2011","06","17"
"0.87","2.0114942528735633","2011","06","18"
"0.87","2.0114942528735633","2011","06","18"
"0.87","2.9885057471264367","2011","06","18"
"0.87","2.0114942528735633","2011","06","18"
"0.87","2.0114942528735633","2011","06","18"
"0.87","2.0114942528735633","2011","06","21"
