"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.33","2.41108545034642","2015","09","30"
"6.96","1.622126436781609","2015","09","30"
"5.21","2.166986564299424","2015","09","30"
"6.96","1.7485632183908046","2015","09","30"
"5.21","2.3358925143953937","2015","09","30"
"0.87","14.96551724137931","2015","10","12"
"5.21","2.166986564299424","2015","12","06"
"1.75","7.942857142857143","2015","12","08"
"6.96","1.7485632183908046","2016","01","06"
"6.96","1.9971264367816093","2016","01","06"
"10.44","1.331417624521073","2016","01","06"
"2.6","4.680769230769231","2016","01","17"
"3.48","3.244252873563218","2016","01","29"
"3.48","3.244252873563218","2016","02","07"
"0.87","15.977011494252874","2016","02","19"
"5.21","2.6679462571976966","2016","02","19"
"2.6","5.346153846153846","2016","03","02"
"4.33","2.6073903002309464","2016","03","07"
"1.75","6.451428571428571","2016","03","07"
"1.75","5.4628571428571435","2016","03","13"
"4.33","2.6073903002309464","2016","03","13"
"5.21","1.834932821497121","2016","03","14"
"5.21","2.166986564299424","2016","03","21"
"1.75","5.4628571428571435","2016","03","21"
"2.6","3.676923076923077","2016","04","20"
"1.75","5.965714285714285","2016","05","10"
"2.6","3.676923076923077","2016","05","10"
"5.21","2.0038387715930903","2016","05","10"
"2.6","3.676923076923077","2016","05","10"
"4.33","2.41108545034642","2016","05","10"
"1.75","5.4628571428571435","2016","05","10"
"5.21","2.0038387715930903","2016","05","11"
"4.33","2.41108545034642","2016","05","11"
"2.6","4.342307692307692","2016","05","11"
"4.33","2.6073903002309464","2016","05","11"
"4.33","2.207852193995381","2016","05","11"
"0.87","13.988505747126437","2016","05","11"
"3.48","2.7471264367816093","2016","05","12"
"0.87","12.977011494252872","2016","05","14"
"4.33","2.207852193995381","2016","05","21"
"2.6","4.342307692307692","2016","05","27"
"1.75","5.965714285714285","2016","05","28"
"0.87","10.988505747126437","2016","06","08"
"4.33","2.207852193995381","2016","06","14"
"2.6","3.676923076923077","2016","06","14"
"2.6","4.342307692307692","2016","06","14"
"1.75","5.4628571428571435","2016","06","14"
"3.48","2.7471264367816093","2016","06","15"
"6.96","1.3735632183908046","2016","06","15"
"6.96","1.622126436781609","2016","06","15"
"5.21","2.0038387715930903","2016","06","15"
"6.08","2.0016447368421053","2016","06","15"
"1.75","6.954285714285715","2016","06","15"
"6.96","1.5","2016","06","15"
"4.33","2.207852193995381","2016","06","15"
"5.21","2.166986564299424","2016","06","15"
"2.6","4.015384615384615","2016","06","15"
"2.6","3.676923076923077","2016","06","15"
"3.48","2.7471264367816093","2016","06","15"
"4.33","2.41108545034642","2016","06","23"
"4.33","2.207852193995381","2016","07","05"
"2.6","3.676923076923077","2016","07","05"
"6.08","1.7171052631578947","2016","07","08"
"4.33","2.41108545034642","2016","07","18"
"5.21","1.834932821497121","2016","07","18"
"2.6","3.676923076923077","2016","08","04"
"6.96","1.3735632183908046","2016","08","05"
"5.21","1.834932821497121","2016","08","26"
"3.48","2.7471264367816093","2016","08","27"
"6.08","1.5723684210526316","2016","09","10"
"1.75","5.965714285714285","2016","09","30"
"0.87","12.0","2016","10","13"
"0.87","10.988505747126437","2016","10","15"
"6.96","1.622126436781609","2016","10","25"
"1.75","5.4628571428571435","2016","10","27"
"2.6","4.680769230769231","2016","11","03"
"4.33","3.0069284064665127","2016","11","07"
"1.75","6.954285714285715","2016","11","07"
"1.75","6.451428571428571","2016","11","07"
"3.48","2.7471264367816093","2016","11","07"
"5.21","2.166986564299424","2016","11","10"
"5.21","2.3358925143953937","2016","11","18"
"5.21","1.834932821497121","2017","01","06"
"2.6","4.680769230769231","2017","01","06"
"2.6","5.346153846153846","2017","01","06"
"0.87","14.96551724137931","2017","01","06"
"5.21","2.3358925143953937","2017","01","07"
"2.6","5.007692307692308","2017","01","07"
"0.87","13.988505747126437","2017","01","08"
"0.87","10.988505747126437","2017","01","08"
"0.87","12.0","2017","01","08"
"2.6","5.007692307692308","2017","01","09"
"2.6","5.007692307692308","2017","01","09"
"0.87","13.988505747126437","2017","01","09"
"6.08","2.286184210526316","2017","01","09"
"0.87","12.977011494252872","2017","01","09"
"3.48","3.244252873563218","2017","01","21"
"4.33","2.207852193995381","2017","01","21"
"2.6","4.342307692307692","2017","01","21"
"4.33","3.6143187066974596","2017","01","21"
"1.75","6.451428571428571","2017","01","22"
"2.6","3.676923076923077","2017","02","03"
"2.6","4.342307692307692","2017","02","04"
"2.6","4.015384615384615","2017","02","04"
"5.21","2.0038387715930903","2017","02","06"
"2.6","4.680769230769231","2017","02","25"
"1.75","5.4628571428571435","2017","03","04"
"5.21","2.6679462571976966","2017","03","04"
"5.21","2.0038387715930903","2017","03","04"
"0.87","10.988505747126437","2017","03","04"
"0.87","12.977011494252872","2017","03","04"
"0.87","13.988505747126437","2017","03","04"
"3.48","3.4971264367816093","2017","03","04"
"6.08","1.856907894736842","2017","03","04"
"6.08","1.856907894736842","2017","03","04"
"8.69","1.4982738780207134","2017","03","05"
"2.6","4.015384615384615","2017","03","06"
"0.87","10.988505747126437","2017","03","06"
"0.87","10.988505747126437","2017","03","06"
"3.48","2.7471264367816093","2017","03","06"
"3.48","3.0","2017","03","06"
"0.87","13.988505747126437","2017","03","07"
"1.75","5.4628571428571435","2017","03","09"
"2.6","4.015384615384615","2017","03","10"
"2.6","3.676923076923077","2017","03","11"
"0.87","10.988505747126437","2017","03","12"
"2.6","4.342307692307692","2017","04","13"
"2.6","4.015384615384615","2017","04","14"
"6.96","1.3735632183908046","2017","04","30"
"4.33","2.41108545034642","2017","05","05"
"4.33","2.207852193995381","2017","05","05"
"5.21","2.0038387715930903","2017","05","23"
"6.96","1.5","2017","05","23"
"6.08","1.7171052631578947","2017","05","23"
"6.08","1.5723684210526316","2017","05","23"
"6.96","1.622126436781609","2017","05","23"
"4.33","2.41108545034642","2017","05","23"
"3.48","3.0","2017","05","23"
"0.87","12.0","2017","05","23"
"6.08","1.7171052631578947","2017","05","23"
"3.48","3.7413793103448274","2017","05","23"
"2.6","4.680769230769231","2017","05","23"
"1.75","5.965714285714285","2017","05","23"
"4.33","2.810623556581986","2017","05","23"
"6.08","1.5723684210526316","2017","05","23"
"4.33","2.207852193995381","2017","07","09"
"3.48","2.7471264367816093","2017","08","14"
"5.21","2.166986564299424","2017","08","14"
"1.75","6.954285714285715","2017","11","07"
"3.48","3.4971264367816093","2017","11","07"
"1.75","6.954285714285715","2017","11","08"
"6.96","1.7485632183908046","2017","11","12"
"5.21","1.834932821497121","2017","11","12"
"4.33","2.6073903002309464","2017","11","14"
"1.75","6.954285714285715","2017","11","14"
"3.48","3.244252873563218","2017","11","14"
"1.75","6.451428571428571","2017","11","14"
"4.33","2.41108545034642","2017","11","14"
"2.6","4.342307692307692","2017","11","14"
"1.75","6.451428571428571","2017","11","14"
"2.6","4.015384615384615","2017","11","14"
"3.48","3.0","2017","11","15"
"1.75","5.965714285714285","2017","11","15"
"1.75","6.954285714285715","2017","11","15"
"2.6","4.015384615384615","2017","11","15"
"6.08","1.7171052631578947","2017","11","15"
"2.6","4.342307692307692","2017","11","15"
"2.6","4.342307692307692","2017","11","15"
"0.87","12.0","2017","11","15"
"2.6","4.342307692307692","2017","11","15"
"2.6","3.676923076923077","2017","11","16"
"0.87","12.0","2017","11","16"
"1.75","5.965714285714285","2017","11","16"
"6.96","1.622126436781609","2017","11","16"
"1.75","7.4399999999999995","2017","11","20"
"2.6","5.346153846153846","2017","11","20"
"4.33","2.41108545034642","2017","11","20"
"1.75","5.965714285714285","2017","11","20"
"1.75","5.965714285714285","2017","11","20"
"5.21","2.0038387715930903","2017","11","20"
"1.75","6.451428571428571","2017","11","20"
"2.6","4.015384615384615","2017","11","21"
"1.75","5.965714285714285","2017","11","21"
"2.6","4.015384615384615","2017","11","21"
"4.33","2.41108545034642","2017","11","21"
"3.48","2.7471264367816093","2017","12","17"
"1.75","6.954285714285715","2017","12","17"
"3.48","3.244252873563218","2017","12","27"
"5.21","2.166986564299424","2017","12","27"
"6.08","1.856907894736842","2017","12","27"
"2.6","4.015384615384615","2017","12","27"
"6.96","1.8706896551724137","2017","12","27"
"5.21","2.3358925143953937","2017","12","27"
"4.33","2.6073903002309464","2017","12","27"
"3.48","3.0","2017","12","28"
"1.75","5.4628571428571435","2017","12","28"
"6.08","2.1414473684210527","2017","12","28"
"8.69","1.4982738780207134","2017","12","28"
"2.6","4.015384615384615","2017","12","30"
"1.75","6.954285714285715","2018","01","10"
"0.87","13.988505747126437","2018","01","21"
"0.87","15.977011494252874","2018","01","21"
"1.75","5.965714285714285","2018","01","21"
"1.75","6.451428571428571","2018","01","21"
"4.33","2.41108545034642","2018","01","21"
"3.48","3.7413793103448274","2018","01","21"
"0.87","12.977011494252872","2018","01","21"
"5.21","3.0038387715930903","2018","01","24"
"1.75","5.965714285714285","2018","01","24"
"0.87","12.0","2018","01","25"
"2.6","4.015384615384615","2018","01","25"
"3.48","3.0","2018","01","25"
"2.6","4.015384615384615","2018","01","25"
"0.87","14.96551724137931","2018","01","26"
"6.96","1.7485632183908046","2018","01","26"
"2.6","5.007692307692308","2018","01","26"
"3.48","3.9942528735632186","2018","01","26"
"6.08","1.856907894736842","2018","01","26"
"3.48","3.244252873563218","2018","01","26"
"2.6","5.007692307692308","2018","01","26"
"3.48","3.7413793103448274","2018","01","26"
"1.75","5.965714285714285","2018","01","26"
"0.87","10.988505747126437","2018","01","26"
"6.08","1.5723684210526316","2018","01","28"
"0.87","12.977011494252872","2018","01","28"
"2.6","3.676923076923077","2018","01","28"
"4.33","2.810623556581986","2018","01","28"
"3.48","3.7413793103448274","2018","01","28"
"0.87","14.96551724137931","2018","01","28"
"0.87","12.977011494252872","2018","02","02"
"0.87","15.977011494252874","2018","02","02"
"1.75","6.451428571428571","2018","02","03"
"6.08","1.7171052631578947","2018","02","03"
"3.48","3.244252873563218","2018","02","03"
"6.08","2.286184210526316","2018","02","03"
"6.08","2.286184210526316","2018","02","03"
"5.21","2.3358925143953937","2018","02","03"
"0.87","10.988505747126437","2018","02","03"
"0.87","12.0","2018","02","03"
"1.75","6.451428571428571","2018","02","04"
"5.21","2.3358925143953937","2018","02","04"
"2.6","5.007692307692308","2018","02","04"
"0.87","14.96551724137931","2018","02","04"
"0.87","12.977011494252872","2018","02","04"
"3.48","3.7413793103448274","2018","02","04"
"10.44","1.2471264367816093","2018","02","04"
"3.48","3.244252873563218","2018","02","04"
"3.48","3.9942528735632186","2018","02","04"
"2.6","3.676923076923077","2018","02","07"
"0.87","12.0","2018","02","17"
"0.87","12.0","2018","02","17"
"0.87","10.988505747126437","2018","02","17"
"0.87","12.0","2018","02","17"
"0.87","12.0","2018","02","28"
"1.75","5.965714285714285","2018","02","28"
"6.08","1.7171052631578947","2018","02","28"
"4.33","2.41108545034642","2018","02","28"
"6.08","1.5723684210526316","2018","02","28"
"1.75","5.4628571428571435","2018","02","28"
"4.33","2.207852193995381","2018","02","28"
"3.48","3.244252873563218","2018","02","28"
"4.33","2.207852193995381","2018","02","28"
"5.21","2.0038387715930903","2018","02","28"
"5.21","2.166986564299424","2018","02","28"
"2.6","4.342307692307692","2018","02","28"
"0.87","10.988505747126437","2018","02","28"
"2.6","3.676923076923077","2018","02","28"
"3.48","3.0","2018","02","28"
"1.75","5.965714285714285","2018","02","28"
"1.75","5.4628571428571435","2018","02","28"
"6.96","1.622126436781609","2018","02","28"
"6.96","1.622126436781609","2018","02","28"
"5.21","2.166986564299424","2018","02","28"
"1.75","5.4628571428571435","2018","02","28"
"1.75","5.965714285714285","2018","02","28"
"1.75","6.451428571428571","2018","02","28"
"1.75","6.451428571428571","2018","02","28"
"8.69","1.4982738780207134","2018","02","28"
"6.08","2.1414473684210527","2018","02","28"
"8.69","1.800920598388953","2018","02","28"
"1.75","6.954285714285715","2018","03","01"
