"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","4.342307692307692","2015","10","09"
"1.75","5.965714285714285","2015","10","09"
"4.33","3.2101616628175518","2015","10","12"
"1.75","7.942857142857143","2015","10","22"
"1.75","6.451428571428571","2015","12","19"
"2.6","5.007692307692308","2016","01","17"
"2.6","4.015384615384615","2016","01","21"
"1.75","5.4628571428571435","2016","02","09"
"1.75","6.954285714285715","2016","02","19"
"5.21","2.0038387715930903","2016","03","06"
"1.75","6.451428571428571","2016","03","13"
"0.87","12.0","2016","03","21"
"1.75","5.965714285714285","2016","03","21"
"1.75","6.451428571428571","2016","03","21"
"0.87","15.977011494252874","2016","04","16"
"0.87","12.977011494252872","2016","05","11"
"2.6","4.342307692307692","2016","05","28"
"0.87","10.988505747126437","2016","10","15"
"2.6","5.346153846153846","2016","11","07"
"2.6","4.680769230769231","2016","11","07"
"2.6","4.342307692307692","2016","11","07"
"0.87","14.96551724137931","2016","11","10"
"0.87","10.988505747126437","2016","11","13"
"0.87","13.988505747126437","2016","11","14"
"0.87","10.988505747126437","2016","11","19"
"4.33","3.0069284064665127","2017","01","08"
"7.81","2.670934699103713","2017","01","08"
"1.75","9.428571428571429","2017","01","08"
"7.81","1.4455825864276568","2017","01","08"
"7.81","1.6670934699103714","2017","01","09"
"3.48","3.9942528735632186","2017","01","09"
"2.6","5.346153846153846","2017","01","09"
"0.87","13.988505747126437","2017","01","09"
"3.48","3.4971264367816093","2017","01","09"
"0.87","10.988505747126437","2017","01","09"
"1.75","5.965714285714285","2017","01","09"
"5.21","2.0038387715930903","2017","01","21"
"1.75","9.428571428571429","2017","01","21"
"4.33","2.41108545034642","2017","01","22"
"3.48","3.0","2017","02","06"
"0.87","10.988505747126437","2017","03","04"
"2.6","4.680769230769231","2017","04","19"
"0.87","13.988505747126437","2017","11","08"
"0.87","10.988505747126437","2017","11","15"
"0.87","12.0","2017","11","19"
"2.6","4.015384615384615","2017","11","20"
"5.21","2.6679462571976966","2017","11","20"
"2.6","5.007692307692308","2017","11","20"
"1.75","7.4399999999999995","2017","11","20"
"0.87","12.977011494252872","2017","11","20"
"1.75","6.451428571428571","2017","11","20"
"2.6","4.680769230769231","2017","11","20"
"5.21","2.6679462571976966","2017","11","20"
"3.48","3.244252873563218","2017","11","20"
"5.21","2.166986564299424","2017","11","20"
"1.75","5.965714285714285","2017","11","20"
"5.21","2.3358925143953937","2017","11","21"
"0.87","12.0","2017","11","21"
"2.6","4.015384615384615","2017","11","21"
"2.6","4.015384615384615","2017","11","21"
"2.6","4.015384615384615","2017","11","21"
"0.87","12.0","2017","11","21"
"2.6","5.346153846153846","2018","01","02"
"5.21","3.3358925143953932","2018","01","10"
"1.75","6.451428571428571","2018","01","10"
"0.87","12.0","2018","01","16"
"0.87","14.96551724137931","2018","01","20"
"0.87","10.988505747126437","2018","01","20"
"0.87","12.0","2018","01","21"
"0.87","12.977011494252872","2018","01","21"
"0.87","12.977011494252872","2018","01","21"
"1.75","6.954285714285715","2018","01","21"
"0.87","14.96551724137931","2018","01","21"
"1.75","7.4399999999999995","2018","01","21"
"1.75","5.965714285714285","2018","01","21"
"0.87","13.988505747126437","2018","01","21"
"2.6","4.015384615384615","2018","01","21"
"0.87","12.977011494252872","2018","01","21"
"3.48","3.4971264367816093","2018","01","24"
"1.75","5.4628571428571435","2018","01","24"
"3.48","3.4971264367816093","2018","01","25"
"0.87","13.988505747126437","2018","01","25"
"2.6","5.007692307692308","2018","01","25"
"4.33","2.6073903002309464","2018","01","25"
"1.75","6.954285714285715","2018","01","25"
"0.87","12.0","2018","01","25"
"1.75","5.965714285714285","2018","01","26"
"0.87","15.977011494252874","2018","01","26"
"4.33","3.0069284064665127","2018","01","26"
"0.87","15.977011494252874","2018","01","26"
"2.6","3.676923076923077","2018","01","26"
"0.87","12.0","2018","01","26"
"2.6","5.007692307692308","2018","01","26"
"6.08","2.0016447368421053","2018","01","26"
"5.21","2.4990403071017275","2018","01","26"
"2.6","5.007692307692308","2018","01","26"
"0.87","14.96551724137931","2018","01","26"
"4.33","2.6073903002309464","2018","01","26"
"4.33","3.0069284064665127","2018","01","26"
"3.48","3.0","2018","01","26"
"0.87","13.988505747126437","2018","01","26"
"3.48","3.7413793103448274","2018","01","26"
"0.87","13.988505747126437","2018","01","26"
"2.6","3.676923076923077","2018","01","26"
"1.75","5.4628571428571435","2018","01","28"
"0.87","14.96551724137931","2018","02","08"
"2.6","3.676923076923077","2018","02","17"
"1.75","5.965714285714285","2018","02","17"
"3.48","3.0","2018","03","01"
"0.87","13.988505747126437","2018","03","01"
"1.75","5.965714285714285","2018","03","01"
"2.6","4.680769230769231","2018","03","01"
"1.75","6.451428571428571","2018","03","01"
"0.87","12.0","2018","03","02"
"1.75","7.4399999999999995","2018","03","02"
"0.87","12.0","2018","03","03"
"2.6","4.342307692307692","2018","03","03"
"1.75","6.451428571428571","2018","03","05"
"0.87","13.988505747126437","2018","03","05"
"0.87","10.988505747126437","2018","03","05"
"2.6","3.676923076923077","2018","03","22"
"0.87","10.988505747126437","2018","03","22"
"2.6","5.346153846153846","2018","03","22"
"0.87","12.977011494252872","2018","03","23"
"1.75","6.451428571428571","2018","03","30"
"2.6","3.676923076923077","2018","03","30"
"0.87","10.988505747126437","2018","06","13"
"0.87","10.988505747126437","2018","10","01"
"2.6","5.007692307692308","2018","10","01"
"0.87","12.0","2018","10","09"
"0.87","14.96551724137931","2018","10","28"
"4.33","2.207852193995381","2018","10","28"
"3.48","3.4971264367816093","2018","10","28"
"1.75","7.4399999999999995","2018","10","28"
"0.87","12.977011494252872","2018","10","28"
"1.75","7.4399999999999995","2018","10","28"
"0.87","10.988505747126437","2018","10","29"
"0.87","12.977011494252872","2018","11","16"
"0.87","10.988505747126437","2018","11","26"
"3.48","3.0","2018","12","13"
"2.6","4.342307692307692","2018","12","13"
"1.75","6.954285714285715","2018","12","13"
"3.48","3.0","2018","12","16"
"0.87","17.98850574712644","2018","12","16"
"6.96","1.5","2018","12","16"
"6.08","2.1414473684210527","2018","12","16"
"3.48","3.4971264367816093","2018","12","16"
"1.75","7.4399999999999995","2018","12","16"
"2.6","3.676923076923077","2018","12","16"
"0.87","12.0","2018","12","16"
"0.87","12.0","2018","12","16"
"4.33","2.6073903002309464","2018","12","16"
"2.6","4.342307692307692","2018","12","16"
"1.75","7.4399999999999995","2018","12","16"
"2.6","4.680769230769231","2018","12","16"
"4.33","2.6073903002309464","2018","12","16"
"2.6","4.342307692307692","2018","12","16"
"6.96","1.8706896551724137","2018","12","16"
"2.6","5.007692307692308","2018","12","16"
"2.6","6.019230769230769","2018","12","26"
"4.33","2.207852193995381","2019","01","06"
"0.87","12.0","2019","01","09"
"2.6","4.680769230769231","2019","01","10"
"0.87","14.96551724137931","2019","01","10"
"3.48","3.244252873563218","2019","01","16"
"0.87","10.988505747126437","2019","01","17"
"0.87","14.96551724137931","2019","01","17"
"2.6","5.007692307692308","2019","01","17"
"3.48","3.7413793103448274","2019","01","17"
"1.75","5.965714285714285","2019","01","17"
"0.87","12.0","2019","01","18"
"1.75","5.965714285714285","2019","01","18"
"2.6","4.342307692307692","2019","01","18"
"2.6","5.007692307692308","2019","01","18"
"1.75","5.4628571428571435","2019","01","18"
"1.75","5.4628571428571435","2019","01","18"
"4.33","2.810623556581986","2019","01","18"
"1.75","6.954285714285715","2019","01","18"
"2.6","4.342307692307692","2019","01","18"
