"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","12.0","2015","10","09"
"2.6","4.015384615384615","2015","10","09"
"2.6","3.676923076923077","2015","10","09"
"3.48","3.244252873563218","2015","10","09"
"4.33","3.6143187066974596","2015","10","10"
"0.87","15.977011494252874","2015","10","12"
"0.87","12.977011494252872","2015","10","12"
"1.75","7.4399999999999995","2015","10","12"
"1.75","6.451428571428571","2015","10","12"
"2.6","4.680769230769231","2015","10","13"
"1.75","7.4399999999999995","2015","10","13"
"0.87","15.977011494252874","2015","10","13"
"1.75","6.451428571428571","2015","10","14"
"6.96","1.9971264367816093","2015","10","17"
"0.87","12.0","2015","10","17"
"1.75","5.4628571428571435","2015","10","17"
"1.75","5.965714285714285","2015","10","17"
"4.33","2.41108545034642","2015","10","17"
"4.33","3.2101616628175518","2015","10","17"
"1.75","7.942857142857143","2015","10","17"
"2.6","5.007692307692308","2015","10","20"
"1.75","7.942857142857143","2015","10","21"
"4.33","3.6143187066974596","2015","10","21"
"5.21","2.4990403071017275","2015","10","22"
"1.75","7.942857142857143","2015","10","22"
"3.48","3.9942528735632186","2015","10","22"
"3.48","3.4971264367816093","2015","10","22"
"1.75","5.4628571428571435","2015","10","28"
"1.75","7.942857142857143","2015","11","06"
"4.33","3.6143187066974596","2015","11","06"
"0.87","15.977011494252874","2015","11","07"
"1.75","8.942857142857143","2015","11","07"
"1.75","7.4399999999999995","2015","11","07"
"2.6","6.019230769230769","2015","11","09"
"2.6","3.676923076923077","2015","11","12"
"3.48","3.4971264367816093","2015","11","12"
"1.75","7.942857142857143","2015","11","12"
"1.75","6.451428571428571","2015","11","13"
"1.75","6.954285714285715","2015","11","15"
"3.48","3.7413793103448274","2015","12","01"
"1.75","8.942857142857143","2015","12","07"
"3.48","2.7471264367816093","2015","12","09"
"2.6","4.342307692307692","2015","12","20"
"0.87","10.988505747126437","2015","12","20"
"5.21","2.4990403071017275","2015","12","21"
"3.48","3.7413793103448274","2016","01","01"
"6.96","1.8706896551724137","2016","01","01"
"6.08","1.856907894736842","2016","01","18"
"4.33","3.2101616628175518","2016","01","21"
"3.48","2.7471264367816093","2016","01","21"
"1.75","5.965714285714285","2016","01","22"
"1.75","5.965714285714285","2016","01","23"
"0.87","13.988505747126437","2016","01","23"
"3.48","3.244252873563218","2016","01","28"
"1.75","5.965714285714285","2016","02","04"
"4.33","3.6143187066974596","2016","02","09"
"1.75","5.965714285714285","2016","02","11"
"2.6","4.680769230769231","2016","02","12"
"3.48","3.7413793103448274","2016","02","25"
"2.6","3.676923076923077","2016","02","25"
"0.87","12.0","2016","02","27"
"2.6","4.342307692307692","2016","02","27"
"1.75","5.4628571428571435","2016","03","06"
"0.87","10.988505747126437","2016","03","08"
"1.75","7.4399999999999995","2016","03","11"
"2.6","5.346153846153846","2016","03","11"
"2.6","3.676923076923077","2016","03","12"
"0.87","12.977011494252872","2016","03","27"
"0.87","12.977011494252872","2016","03","27"
"4.33","2.6073903002309464","2016","03","30"
"0.87","12.0","2016","04","01"
"1.75","6.451428571428571","2016","04","06"
"4.33","2.41108545034642","2016","04","17"
"1.75","5.965714285714285","2016","04","21"
"0.87","12.977011494252872","2016","04","21"
"1.75","6.954285714285715","2016","04","28"
"5.21","2.6679462571976966","2016","04","30"
"0.87","15.977011494252874","2016","05","01"
"1.75","7.942857142857143","2016","05","01"
"1.75","5.4628571428571435","2016","05","01"
"1.75","5.965714285714285","2016","05","02"
"0.87","12.977011494252872","2016","05","02"
"6.08","2.1414473684210527","2016","05","06"
"1.75","5.965714285714285","2016","05","07"
"1.75","7.4399999999999995","2016","05","13"
"1.75","5.965714285714285","2016","05","18"
"3.48","2.7471264367816093","2016","05","28"
"2.6","4.015384615384615","2016","06","04"
"4.33","2.41108545034642","2016","06","06"
"0.87","14.96551724137931","2016","07","02"
"1.75","7.942857142857143","2016","07","23"
"4.33","2.41108545034642","2016","07","27"
"1.75","7.4399999999999995","2016","07","28"
"1.75","6.451428571428571","2016","08","14"
"3.48","3.0","2016","08","23"
"2.6","4.680769230769231","2016","09","10"
"0.87","10.988505747126437","2016","09","21"
"5.21","2.4990403071017275","2016","09","23"
"0.87","12.977011494252872","2016","10","09"
"2.6","5.007692307692308","2016","10","13"
"1.75","7.942857142857143","2016","11","04"
"2.6","5.346153846153846","2016","11","05"
"5.21","3.0038387715930903","2016","11","05"
"4.33","3.2101616628175518","2016","11","05"
"4.33","2.41108545034642","2016","11","07"
"2.6","4.680769230769231","2016","11","08"
"0.87","14.96551724137931","2016","11","08"
"0.87","15.977011494252874","2016","11","09"
"1.75","5.965714285714285","2016","11","10"
"1.75","6.954285714285715","2016","11","11"
"1.75","6.451428571428571","2016","11","12"
"3.48","3.7413793103448274","2016","11","13"
"1.75","6.451428571428571","2016","11","22"
"3.48","3.244252873563218","2016","11","27"
"3.48","3.7413793103448274","2016","11","29"
"1.75","6.451428571428571","2016","12","01"
"2.6","4.680769230769231","2016","12","02"
"0.87","14.96551724137931","2016","12","02"
"3.48","3.7413793103448274","2016","12","02"
"2.6","4.015384615384615","2016","12","18"
"1.75","6.954285714285715","2016","12","18"
"2.6","3.676923076923077","2017","01","07"
"1.75","5.965714285714285","2017","01","09"
"1.75","7.4399999999999995","2017","01","16"
"2.6","6.019230769230769","2017","01","16"
"0.87","13.988505747126437","2017","01","19"
"0.87","10.988505747126437","2017","01","24"
"10.44","1.2471264367816093","2017","01","25"
"3.48","3.244252873563218","2017","01","26"
"5.21","2.3358925143953937","2017","01","26"
"3.48","2.7471264367816093","2017","01","26"
"0.87","12.977011494252872","2017","02","03"
"2.6","3.676923076923077","2017","02","13"
"3.48","3.4971264367816093","2017","02","14"
"4.33","3.6143187066974596","2017","02","14"
"1.75","7.4399999999999995","2017","02","28"
"2.6","4.342307692307692","2017","03","15"
"1.75","6.954285714285715","2017","03","16"
"3.48","4.49712643678161","2017","03","31"
"6.96","1.8706896551724137","2017","04","28"
"0.87","12.977011494252872","2017","05","21"
"2.6","5.007692307692308","2017","05","21"
"3.48","4.49712643678161","2017","05","21"
"1.75","6.451428571428571","2017","05","22"
"0.87","12.0","2017","06","16"
"2.6","4.680769230769231","2017","06","19"
"0.87","10.988505747126437","2017","06","21"
"0.87","15.977011494252874","2017","08","31"
"2.6","5.007692307692308","2017","08","31"
"1.75","6.451428571428571","2017","09","07"
"2.6","4.342307692307692","2017","09","08"
"1.75","5.4628571428571435","2017","09","17"
"3.48","3.7413793103448274","2017","09","27"
"2.6","5.346153846153846","2017","09","27"
"1.75","6.451428571428571","2017","10","08"
"3.48","3.4971264367816093","2017","11","06"
"3.48","4.49712643678161","2017","11","07"
"3.48","3.4971264367816093","2017","11","08"
"4.33","2.6073903002309464","2017","11","29"
"2.6","4.015384615384615","2017","11","29"
"3.48","3.244252873563218","2017","11","29"
"6.08","2.286184210526316","2017","11","29"
"1.75","6.451428571428571","2017","11","29"
"6.96","1.9971264367816093","2017","11","29"
"4.33","3.2101616628175518","2017","11","29"
"1.75","6.451428571428571","2017","11","29"
"2.6","5.007692307692308","2017","11","30"
"4.33","3.0069284064665127","2017","11","30"
"3.48","2.7471264367816093","2017","11","30"
"2.6","4.342307692307692","2017","12","04"
"6.08","2.5740131578947367","2017","12","04"
"2.6","6.019230769230769","2017","12","04"
"0.87","13.988505747126437","2017","12","04"
"5.21","2.4990403071017275","2017","12","05"
"2.6","5.007692307692308","2017","12","05"
"1.75","7.942857142857143","2017","12","05"
"0.87","10.988505747126437","2017","12","06"
"2.6","5.007692307692308","2017","12","06"
"1.75","6.954285714285715","2017","12","06"
"5.21","1.834932821497121","2017","12","06"
"5.21","2.6679462571976966","2017","12","06"
"1.75","6.451428571428571","2017","12","07"
"2.6","4.680769230769231","2017","12","07"
"2.6","3.676923076923077","2017","12","07"
"0.87","15.977011494252874","2017","12","08"
"0.87","14.96551724137931","2017","12","08"
"1.75","6.954285714285715","2017","12","08"
"6.96","1.9971264367816093","2017","12","08"
"0.87","17.98850574712644","2017","12","08"
"1.75","6.954285714285715","2017","12","09"
"1.75","7.942857142857143","2017","12","09"
"2.6","4.680769230769231","2017","12","09"
"2.6","5.007692307692308","2017","12","09"
"2.6","4.342307692307692","2017","12","09"
"1.75","7.4399999999999995","2017","12","10"
"3.48","3.4971264367816093","2017","12","10"
"1.75","7.4399999999999995","2017","12","10"
"2.6","6.019230769230769","2017","12","10"
"1.75","6.451428571428571","2017","12","11"
"2.6","4.680769230769231","2017","12","11"
"4.33","3.0069284064665127","2017","12","11"
"3.48","3.7413793103448274","2017","12","11"
"7.81","1.6670934699103714","2017","12","11"
"0.87","12.977011494252872","2017","12","12"
"2.6","4.342307692307692","2017","12","12"
"1.75","7.4399999999999995","2017","12","12"
"5.21","1.834932821497121","2017","12","13"
"0.87","12.977011494252872","2017","12","13"
"3.48","3.4971264367816093","2017","12","13"
"4.33","2.6073903002309464","2017","12","14"
"7.81","1.6670934699103714","2017","12","14"
"1.75","6.954285714285715","2017","12","14"
"7.81","2.2253521126760565","2017","12","14"
"4.33","3.6143187066974596","2017","12","14"
"1.75","7.942857142857143","2017","12","14"
"2.6","4.680769230769231","2017","12","14"
"2.6","5.346153846153846","2017","12","14"
"1.75","8.942857142857143","2017","12","14"
"0.87","17.98850574712644","2017","12","14"
"4.33","2.41108545034642","2017","12","16"
"0.87","14.96551724137931","2017","12","16"
"0.87","14.96551724137931","2017","12","16"
"1.75","7.4399999999999995","2017","12","16"
"4.33","2.810623556581986","2017","12","16"
"6.08","2.286184210526316","2017","12","27"
