"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"2.6","3.0038461538461534","2019","02","04"
"6.08","1.7171052631578947","2019","02","04"
"4.33","2.810623556581986","2019","02","04"
"1.75","5.965714285714285","2019","02","05"
"1.75","6.451428571428571","2019","02","05"
"1.75","5.4628571428571435","2019","02","05"
"6.08","2.286184210526316","2019","02","05"
"6.08","2.1414473684210527","2019","02","05"
"1.75","7.4399999999999995","2019","02","05"
"2.6","3.0038461538461534","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","2.0114942528735633","2019","02","05"
"0.87","2.0114942528735633","2019","02","05"
"0.87","2.0114942528735633","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","5.988505747126437","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.0114942528735633","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","4.977011494252873","2019","02","05"
"0.87","4.0","2019","02","05"
"2.6","3.0038461538461534","2019","02","05"
"2.6","2.3384615384615386","2019","02","05"
"1.75","3.9771428571428573","2019","02","05"
"3.48","2.0","2019","02","05"
"2.6","2.6769230769230767","2019","02","05"
"0.87","6.988505747126437","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"1.75","2.9771428571428573","2019","02","05"
"2.6","2.003846153846154","2019","02","05"
"0.87","5.988505747126437","2019","02","05"
"0.87","5.988505747126437","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","2.9885057471264367","2019","02","05"
"0.87","4.0","2019","02","05"
"0.87","4.0","2019","02","05"
"1.75","2.474285714285714","2019","02","05"
"0.87","12.0","2019","02","05"
"3.48","2.244252873563218","2019","02","05"
"3.48","2.4971264367816093","2019","02","05"
"2.6","3.342307692307692","2019","02","05"
"1.75","3.9771428571428573","2019","02","05"
"4.33","2.207852193995381","2019","02","05"
"6.96","1.622126436781609","2019","02","05"
"6.96","1.622126436781609","2019","02","05"
"3.48","3.0","2019","02","05"
"6.96","1.8706896551724137","2019","02","05"
"6.08","2.0016447368421053","2019","02","05"
"7.81","1.7797695262483997","2019","02","05"
"6.08","1.856907894736842","2019","02","06"
"6.08","1.856907894736842","2019","02","06"
"5.21","2.166986564299424","2019","02","06"
"2.6","3.676923076923077","2019","02","06"
"5.21","1.834932821497121","2019","02","06"
"1.75","4.462857142857143","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"1.75","1.9885714285714287","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"0.87","2.0114942528735633","2019","02","07"
"1.75","3.9771428571428573","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"0.87","2.9885057471264367","2019","02","07"
"1.75","1.4857142857142858","2019","02","07"
