"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"1.75","1.9885714285714287","2019","02","05"
"5.21","2.3358925143953937","2019","02","14"
"6.08","2.8585526315789473","2019","02","14"
"0.87","4.0","2019","02","14"
"3.48","2.7471264367816093","2019","02","14"
"2.6","3.0038461538461534","2019","02","14"
"5.21","1.6679462571976966","2019","02","14"
"5.21","1.6679462571976966","2019","02","14"
"5.21","1.834932821497121","2019","02","14"
"1.75","6.451428571428571","2019","02","14"
"5.21","2.166986564299424","2019","02","14"
"7.81","1.7797695262483997","2019","02","14"
"6.96","2.248563218390805","2019","02","14"
"6.08","2.286184210526316","2019","02","14"
"11.29","1.6944198405668733","2019","02","14"
"6.96","2.6221264367816093","2019","02","14"
"5.21","3.502879078694818","2019","02","14"
"7.81","2.3367477592829706","2019","02","14"
"12.17","1.4995891536565324","2019","02","14"
"9.56","2.089958158995816","2019","02","14"
"7.81","1.8911651728553138","2019","02","14"
"11.29","1.4614703277236494","2019","02","14"
"10.44","1.913793103448276","2019","02","14"
"11.29","1.6164747564216122","2019","02","14"
"11.29","1.6944198405668733","2019","02","14"
"8.69","2.100115074798619","2019","02","14"
"9.56","1.725941422594142","2019","02","14"
"7.81","2.558258642765685","2019","02","14"
"6.08","3.4309210526315788","2019","02","14"
"11.29","1.5394154118689105","2019","02","14"
"12.17","1.4281018898931799","2019","02","14"
"10.44","1.4147509578544062","2019","02","14"
"9.56","1.817991631799163","2019","02","14"
"4.33","4.817551963048499","2019","02","14"
"9.56","1.6370292887029287","2019","02","14"
"8.69","1.89873417721519","2019","02","14"
"8.69","2.2013808975834293","2019","02","14"
"10.44","1.913793103448276","2019","02","14"
"11.29","1.6164747564216122","2019","02","14"
"12.17","1.6417419884963025","2019","02","14"
"13.9","1.2503597122302157","2019","02","14"
"6.96","2.6221264367816093","2019","02","14"
"13.9","1.1870503597122302","2019","02","14"
"12.17","1.4995891536565324","2019","02","14"
"11.29","1.6164747564216122","2019","02","14"
"13.02","1.4692780337941629","2019","02","14"
"7.81","2.4494238156209986","2019","02","14"
"10.44","1.832375478927203","2019","02","14"
"10.44","1.9980842911877394","2019","02","14"
"11.29","1.5394154118689105","2019","02","14"
"5.21","4.166986564299425","2019","02","14"
"11.29","1.6944198405668733","2019","02","14"
