"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.96","1.5443548387096775","2018","05","22"
"1.56","2.3397435897435894","2018","05","23"
"4.78","1.4560669456066946","2018","05","23"
"4.18","1.5382775119617225","2018","05","23"
"4.0","1.54","2018","05","23"
"3.48","1.4741379310344827","2018","05","23"
"2.35","1.702127659574468","2018","05","23"
"3.38","2.109467455621302","2018","05","24"
"5.13","1.9473684210526316","2018","05","24"
"5.66","2.1024734982332154","2018","05","24"
"10.24","1.2392578125","2018","05","24"
"7.99","1.32540675844806","2018","05","24"
"6.43","1.4447900466562986","2018","05","24"
"7.13","1.3281907433380085","2018","05","24"
"6.08","1.4868421052631577","2018","05","24"
"7.99","1.5006257822277846","2018","05","24"
"6.78","1.2964601769911503","2018","05","26"
"7.04","1.3338068181818183","2018","05","26"
"7.39","1.198917456021651","2018","05","26"
"5.66","1.3056537102473498","2018","05","26"
"6.61","1.7080181543116488","2018","05","27"
"3.48","1.5689655172413792","2018","05","27"
"6.08","1.445723684210526","2018","05","27"
"8.69","1.4695051783659379","2018","05","27"
"9.04","1.3263274336283188","2018","05","27"
"9.74","1.1878850102669405","2018","05","27"
"7.13","1.2047685834502104","2018","05","27"
"6.96","1.3491379310344829","2018","05","27"
"3.65","1.4958904109589042","2018","05","28"
"3.83","2.0861618798955615","2018","05","28"
"3.23","1.9071207430340558","2018","05","28"
"1.65","1.6242424242424245","2018","05","28"
"4.26","1.9577464788732395","2018","05","29"
"3.03","1.7194719471947195","2018","05","29"
"4.68","1.373931623931624","2018","05","29"
"4.68","1.2414529914529915","2018","05","29"
"4.08","1.7475490196078431","2018","05","29"
"4.43","1.5711060948081266","2018","05","29"
"3.48","1.4252873563218391","2018","05","29"
"4.33","1.464203233256351","2018","05","29"
"4.88","1.514344262295082","2018","05","29"
"4.53","1.399558498896247","2018","05","29"
"3.48","1.3448275862068966","2018","05","29"
"4.0","1.4325","2018","05","29"
"3.65","1.4958904109589042","2018","05","29"
"3.91","1.3324808184143222","2018","05","29"
"5.13","1.405458089668616","2018","05","29"
"3.65","1.7835616438356163","2018","05","29"
"2.88","1.5729166666666667","2018","05","29"
"2.25","1.4355555555555555","2018","05","30"
"1.3","1.946153846153846","2018","05","30"
"2.18","2.0779816513761467","2018","05","30"
"4.26","1.6737089201877935","2018","06","01"
"2.78","1.6582733812949642","2018","06","01"
"2.78","1.683453237410072","2018","06","01"
"1.75","1.6457142857142857","2018","06","01"
"6.51","1.9615975422427034","2018","06","02"
"2.6","1.3384615384615384","2018","06","02"
"5.46","1.3663003663003663","2018","06","02"
"6.86","1.1647230320699709","2018","06","02"
"4.68","1.373931623931624","2018","06","02"
"3.73","1.3753351206434317","2018","06","02"
"3.65","1.358904109589041","2018","06","02"
"4.08","1.5759803921568627","2018","06","03"
"7.46","1.2815013404825737","2018","06","03"
"2.6","1.6384615384615384","2018","06","03"
"3.23","1.263157894736842","2018","06","03"
