"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"0.87","2.9885057471264367","2015","08","28"
"2.6","2.3384615384615386","2015","09","02"
"0.87","2.9885057471264367","2015","09","04"
"0.87","2.0114942528735633","2015","09","10"
"5.21","2.0038387715930903","2015","09","11"
"5.21","2.0038387715930903","2015","09","11"
"3.48","2.4971264367816093","2015","09","11"
"4.33","2.0069284064665127","2015","09","11"
"3.48","2.4971264367816093","2015","09","11"
"1.75","2.9771428571428573","2015","09","11"
"2.6","3.0038461538461534","2015","09","11"
"0.87","4.977011494252873","2015","09","12"
"0.87","2.0114942528735633","2015","09","12"
"0.87","2.9885057471264367","2015","09","13"
"1.75","2.474285714285714","2015","09","15"
"1.75","2.9771428571428573","2015","09","17"
"0.87","2.9885057471264367","2015","09","18"
"1.75","2.9771428571428573","2015","09","18"
"3.48","1.7471264367816093","2015","09","18"
"1.75","2.9771428571428573","2015","09","18"
"1.75","1.9885714285714287","2015","09","24"
"0.87","4.0","2015","09","29"
"2.6","2.3384615384615386","2015","09","29"
"2.6","2.3384615384615386","2015","09","30"
"2.6","2.6769230769230767","2015","09","30"
"5.21","1.834932821497121","2015","09","30"
"3.48","3.4971264367816093","2015","09","30"
"3.48","2.7471264367816093","2015","09","30"
"3.48","2.244252873563218","2015","09","30"
"2.6","3.342307692307692","2015","09","30"
"1.75","3.9771428571428573","2015","09","30"
"0.87","4.0","2015","10","03"
"0.87","2.9885057471264367","2015","10","03"
"1.75","2.474285714285714","2015","10","05"
"0.87","2.9885057471264367","2015","10","09"
"0.87","2.9885057471264367","2015","10","10"
"5.21","2.6679462571976966","2015","10","10"
"4.33","2.0069284064665127","2015","10","10"
"2.6","2.6769230769230767","2015","10","10"
"3.48","2.4971264367816093","2015","10","10"
"2.6","2.6769230769230767","2015","10","10"
"1.75","2.9771428571428573","2015","10","10"
"3.48","3.244252873563218","2015","10","12"
"2.6","3.0038461538461534","2015","10","12"
"4.33","2.207852193995381","2015","10","12"
"0.87","4.977011494252873","2015","10","13"
"2.6","2.6769230769230767","2015","10","13"
"0.87","4.0","2015","10","13"
"4.33","2.41108545034642","2015","10","13"
"2.6","3.0038461538461534","2015","10","13"
"0.87","4.0","2015","10","17"
"0.87","4.977011494252873","2015","10","21"
"0.87","4.977011494252873","2015","10","21"
"0.87","2.9885057471264367","2015","10","21"
"0.87","2.0114942528735633","2015","10","23"
"0.87","2.9885057471264367","2015","10","25"
"0.87","4.0","2015","10","26"
"0.87","4.0","2015","10","28"
"0.87","2.9885057471264367","2015","10","29"
"0.87","2.9885057471264367","2015","10","31"
"0.87","2.0114942528735633","2015","11","02"
"4.33","2.207852193995381","2015","11","21"
"6.08","1.856907894736842","2015","11","21"
"7.81","1.4455825864276568","2015","11","21"
"8.69","1.6996547756041427","2015","11","21"
"6.08","2.0016447368421053","2015","11","21"
"7.81","1.6670934699103714","2015","11","21"
"8.69","1.800920598388953","2015","11","21"
"3.48","2.7471264367816093","2015","11","22"
"2.6","2.6769230769230767","2015","11","22"
"7.81","1.7797695262483997","2016","01","26"
"6.08","2.0016447368421053","2016","01","26"
"0.87","2.0114942528735633","2016","01","30"
"0.87","2.9885057471264367","2016","01","31"
"4.33","3.0069284064665127","2016","02","09"
"2.6","2.6769230769230767","2016","02","09"
"1.75","1.9885714285714287","2016","02","17"
"0.87","2.9885057471264367","2016","02","18"
"2.6","2.003846153846154","2016","02","22"
"0.87","2.9885057471264367","2016","02","23"
"0.87","2.9885057471264367","2016","03","02"
"0.87","2.9885057471264367","2016","03","03"
"0.87","2.0114942528735633","2016","03","05"
"0.87","4.0","2016","03","07"
"0.87","2.9885057471264367","2016","03","08"
"1.75","1.9885714285714287","2016","03","10"
"0.87","4.0","2016","03","12"
"0.87","2.0114942528735633","2016","03","18"
"2.6","2.6769230769230767","2016","03","28"
"0.87","2.9885057471264367","2016","03","30"
"1.75","1.9885714285714287","2016","04","01"
"0.87","4.977011494252873","2016","04","02"
"1.75","2.474285714285714","2016","04","03"
"0.87","2.0114942528735633","2016","04","03"
"0.87","2.9885057471264367","2016","04","03"
"3.48","1.7471264367816093","2016","04","05"
"0.87","2.0114942528735633","2016","04","05"
"3.48","2.0","2016","04","05"
"3.48","2.7471264367816093","2016","04","06"
"4.33","2.0069284064665127","2016","04","06"
"4.33","2.810623556581986","2016","04","06"
"3.48","2.4971264367816093","2016","04","06"
"2.6","3.342307692307692","2016","04","06"
"1.75","3.474285714285714","2016","04","06"
"0.87","2.9885057471264367","2016","04","07"
"0.87","2.0114942528735633","2016","04","07"
"0.87","2.9885057471264367","2016","04","12"
"1.75","2.9771428571428573","2016","04","15"
"3.48","2.0","2016","04","18"
"5.21","1.4990403071017273","2016","04","18"
"5.21","1.6679462571976966","2016","04","18"
"4.33","2.0069284064665127","2016","04","19"
"1.75","2.474285714285714","2016","04","19"
"1.75","1.9885714285714287","2016","04","20"
"1.75","1.9885714285714287","2016","04","22"
"1.75","2.9771428571428573","2016","04","23"
"2.6","2.003846153846154","2016","04","24"
"2.6","2.3384615384615386","2016","04","24"
"0.87","2.0114942528735633","2016","04","25"
"4.33","2.0069284064665127","2016","04","29"
"5.21","1.4990403071017273","2016","04","29"
"3.48","2.244252873563218","2016","04","30"
"3.48","2.244252873563218","2016","04","30"
"1.75","2.9771428571428573","2016","04","30"
"0.87","2.9885057471264367","2016","05","01"
"2.6","2.6769230769230767","2016","05","02"
"5.21","1.834932821497121","2016","05","02"
"7.81","1.4455825864276568","2016","05","02"
"7.81","1.4455825864276568","2016","05","02"
"4.33","1.6073903002309469","2016","05","04"
"6.08","1.5723684210526316","2016","05","04"
"6.08","1.7171052631578947","2016","05","04"
"5.21","1.834932821497121","2016","05","04"
"4.33","1.6073903002309469","2016","05","05"
"3.48","2.0","2016","05","05"
"4.33","1.8036951501154732","2016","05","07"
"1.75","1.9885714285714287","2016","05","08"
"3.48","1.7471264367816093","2016","05","10"
"2.6","2.003846153846154","2016","05","10"
"1.75","1.9885714285714287","2016","05","10"
"1.75","1.9885714285714287","2016","05","16"
