"Sustained Wind Speed (kts)","Gust Factor","Year","Month","Day"
"4.33","2.810623556581986","2015","08","28"
"2.6","3.0038461538461534","2015","08","28"
"3.48","2.4971264367816093","2015","08","28"
"6.08","2.1414473684210527","2015","08","28"
"5.21","2.4990403071017275","2015","08","28"
"4.33","2.41108545034642","2015","08","28"
"9.56","1.544979079497908","2015","08","28"
"7.81","1.7797695262483997","2015","08","28"
"8.69","2.100115074798619","2015","08","28"
"6.08","2.5740131578947367","2015","08","28"
"7.81","3.2253521126760565","2015","08","28"
"4.33","2.6073903002309464","2015","08","29"
"3.48","2.7471264367816093","2015","08","29"
"5.21","2.4990403071017275","2015","08","29"
"1.75","2.474285714285714","2015","08","29"
"1.75","2.9771428571428573","2015","08","29"
"4.33","2.6073903002309464","2015","08","29"
"5.21","2.4990403071017275","2015","08","29"
"5.21","1.834932821497121","2015","08","29"
"3.48","2.7471264367816093","2015","08","30"
"2.6","2.003846153846154","2015","08","30"
"2.6","2.3384615384615386","2015","08","30"
"3.48","3.9942528735632186","2015","08","30"
"4.33","2.41108545034642","2015","08","30"
"3.48","2.7471264367816093","2015","08","30"
"4.33","1.8036951501154732","2015","08","30"
"3.48","2.0","2015","08","30"
"3.48","2.244252873563218","2015","08","30"
"4.33","3.41108545034642","2015","08","30"
"6.08","2.286184210526316","2015","08","30"
"3.48","3.0","2015","08","30"
"4.33","2.0069284064665127","2015","08","30"
"1.75","2.474285714285714","2015","08","30"
"1.75","2.9771428571428573","2015","08","30"
"2.6","1.6653846153846155","2015","08","31"
"3.48","2.0","2015","08","31"
"2.6","2.003846153846154","2015","08","31"
"3.48","1.4971264367816093","2015","08","31"
"2.6","1.6653846153846155","2015","08","31"
"1.75","2.474285714285714","2015","08","31"
"4.33","2.6073903002309464","2015","08","31"
"6.08","1.7171052631578947","2015","08","31"
"4.33","2.207852193995381","2015","08","31"
"2.6","3.342307692307692","2015","08","31"
"2.6","2.3384615384615386","2015","08","31"
"2.6","2.3384615384615386","2015","09","01"
"3.48","1.7471264367816093","2015","09","01"
"2.6","2.003846153846154","2015","09","01"
"2.6","2.6769230769230767","2015","09","01"
"4.33","3.2101616628175518","2015","09","01"
"6.08","1.856907894736842","2015","09","01"
"5.21","2.4990403071017275","2015","09","01"
"6.96","1.9971264367816093","2015","09","01"
"13.9","1.6251798561151078","2015","09","01"
"13.02","1.6021505376344085","2015","09","01"
"13.9","1.7510791366906475","2015","09","01"
"13.02","1.534562211981567","2015","09","01"
"13.9","1.5007194244604316","2015","09","01"
"13.9","1.8755395683453238","2015","09","01"
"13.9","1.6251798561151078","2015","09","01"
"12.17","1.6417419884963025","2015","09","01"
"12.17","1.57189811010682","2015","09","01"
"10.44","2.163793103448276","2015","09","01"
"9.56","2.0010460251046025","2015","09","02"
"14.77","1.5883547731888965","2015","09","02"
"14.77","1.6479350033852405","2015","09","02"
"13.9","1.6251798561151078","2015","09","02"
"13.9","1.9381294964028777","2015","09","02"
"5.21","2.4990403071017275","2015","09","02"
"5.21","2.834932821497121","2015","09","02"
"6.96","3.2456896551724137","2015","09","02"
"5.21","3.0038387715930903","2015","09","02"
"6.08","2.5740131578947367","2015","09","03"
"7.81","2.4494238156209986","2015","09","03"
"10.44","1.832375478927203","2015","09","03"
"13.02","1.7350230414746544","2015","09","03"
"10.44","1.832375478927203","2015","09","03"
"6.96","2.248563218390805","2015","09","03"
"6.08","2.286184210526316","2015","09","03"
"6.08","2.0016447368421053","2015","09","03"
"4.33","2.41108545034642","2015","09","03"
"5.21","2.0038387715930903","2015","09","03"
"5.21","2.0038387715930903","2015","09","03"
"5.21","2.3358925143953937","2015","09","03"
"4.33","2.207852193995381","2015","09","03"
"5.21","2.0038387715930903","2015","09","03"
"7.81","2.003841229193342","2015","09","03"
"7.81","1.6670934699103714","2015","09","03"
"7.81","1.6670934699103714","2015","09","03"
"6.08","2.286184210526316","2015","09","03"
"5.21","2.4990403071017275","2015","09","03"
"4.33","2.6073903002309464","2015","09","03"
"2.6","5.007692307692308","2015","09","03"
"1.75","2.9771428571428573","2015","09","03"
"1.75","3.474285714285714","2015","09","03"
"5.21","1.6679462571976966","2015","09","04"
"5.21","1.834932821497121","2015","09","04"
"4.33","2.41108545034642","2015","09","04"
"5.21","1.834932821497121","2015","09","04"
"2.6","2.3384615384615386","2015","09","04"
"4.33","2.207852193995381","2015","09","04"
"2.6","2.3384615384615386","2015","09","04"
"3.48","2.0","2015","09","04"
"2.6","1.6653846153846155","2015","09","04"
"5.21","2.3358925143953937","2015","09","04"
"1.75","3.9771428571428573","2015","09","04"
"3.48","2.244252873563218","2015","09","04"
"2.6","3.676923076923077","2015","09","04"
"4.33","2.6073903002309464","2015","09","05"
"4.33","2.207852193995381","2015","09","05"
"2.6","1.6653846153846155","2015","09","05"
"2.6","2.003846153846154","2015","09","05"
"2.6","1.6653846153846155","2015","09","05"
"2.6","3.0038461538461534","2015","09","05"
"3.48","3.4971264367816093","2015","09","05"
"3.48","2.244252873563218","2015","09","05"
"3.48","2.244252873563218","2015","09","05"
"4.33","2.0069284064665127","2015","09","05"
"2.6","2.6769230769230767","2015","09","05"
"4.33","2.0069284064665127","2015","09","05"
"5.21","1.834932821497121","2015","09","05"
"3.48","2.0","2015","09","05"
"4.33","2.207852193995381","2015","09","05"
"4.33","2.0069284064665127","2015","09","05"
"2.6","2.6769230769230767","2015","09","05"
"2.6","3.342307692307692","2015","09","05"
"1.75","2.9771428571428573","2015","09","05"
"1.75","2.474285714285714","2015","09","06"
"2.6","2.3384615384615386","2015","09","06"
"2.6","2.6769230769230767","2015","09","06"
"5.21","1.834932821497121","2015","09","06"
"5.21","2.0038387715930903","2015","09","06"
"6.96","1.7485632183908046","2015","09","06"
"6.08","1.4292763157894737","2015","09","06"
"4.33","2.41108545034642","2015","09","06"
"5.21","1.834932821497121","2015","09","06"
"5.21","1.6679462571976966","2015","09","06"
"6.08","1.856907894736842","2015","09","06"
"5.21","2.3358925143953937","2015","09","06"
"4.33","2.207852193995381","2015","09","06"
"5.21","1.834932821497121","2015","09","06"
"6.08","2.0016447368421053","2015","09","06"
"6.08","1.7171052631578947","2015","09","06"
"6.08","1.7171052631578947","2015","09","06"
"4.33","1.8036951501154732","2015","09","06"
"3.48","2.244252873563218","2015","09","06"
"1.75","2.9771428571428573","2015","09","06"
"1.75","1.9885714285714287","2015","09","06"
"0.87","2.9885057471264367","2015","09","07"
"0.87","4.0","2015","09","07"
"0.87","4.0","2015","09","07"
"2.6","2.3384615384615386","2015","09","07"
"5.21","2.0038387715930903","2015","09","07"
"6.08","1.7171052631578947","2015","09","07"
"5.21","1.6679462571976966","2015","09","07"
"4.33","2.0069284064665127","2015","09","07"
"4.33","2.207852193995381","2015","09","07"
"2.6","2.3384615384615386","2015","09","07"
"2.6","3.0038461538461534","2015","09","07"
"1.75","4.462857142857143","2015","09","07"
"0.87","4.977011494252873","2015","09","07"
"2.6","2.003846153846154","2015","09","07"
"2.6","3.0038461538461534","2015","09","08"
"4.33","2.0069284064665127","2015","09","08"
"4.33","1.8036951501154732","2015","09","08"
"2.6","2.3384615384615386","2015","09","08"
"2.6","2.003846153846154","2015","09","08"
"2.6","1.6653846153846155","2015","09","08"
"2.6","1.6653846153846155","2015","09","08"
"2.6","1.6653846153846155","2015","09","08"
"4.33","2.0069284064665127","2015","09","08"
"3.48","2.244252873563218","2015","09","08"
"3.48","2.0","2015","09","08"
"4.33","1.6073903002309469","2015","09","08"
"5.21","1.6679462571976966","2015","09","08"
"5.21","2.166986564299424","2015","09","08"
"3.48","2.0","2015","09","08"
"2.6","2.003846153846154","2015","09","08"
"0.87","2.0114942528735633","2015","09","09"
"1.75","2.9771428571428573","2015","09","09"
"5.21","1.6679462571976966","2015","09","09"
"4.33","1.8036951501154732","2015","09","09"
"4.33","1.8036951501154732","2015","09","09"
"2.6","3.0038461538461534","2015","09","09"
"1.75","2.474285714285714","2015","09","09"
"2.6","2.3384615384615386","2015","09","09"
"2.6","2.003846153846154","2015","09","09"
"3.48","1.7471264367816093","2015","09","09"
"2.6","1.6653846153846155","2015","09","09"
"1.75","2.474285714285714","2015","09","09"
"3.48","2.0","2015","09","09"
"2.6","1.6653846153846155","2015","09","09"
"0.87","4.0","2015","09","09"
"1.75","3.9771428571428573","2015","09","10"
"1.75","2.9771428571428573","2015","09","10"
"1.75","3.474285714285714","2015","09","10"
"1.75","2.9771428571428573","2015","09","10"
"1.75","2.474285714285714","2015","09","13"
"1.75","2.9771428571428573","2015","09","13"
"1.75","1.4857142857142858","2015","09","13"
"2.6","1.6653846153846155","2015","09","13"
"2.6","1.6653846153846155","2015","09","13"
"1.75","2.474285714285714","2015","09","13"
"0.87","4.0","2015","09","13"
"0.87","4.0","2015","09","13"
"1.75","1.4857142857142858","2015","09","13"
"1.75","1.9885714285714287","2015","09","13"
"0.87","2.9885057471264367","2015","09","13"
"4.33","2.6073903002309464","2015","09","15"
"4.33","2.207852193995381","2015","09","15"
"4.33","2.41108545034642","2015","09","15"
"5.21","2.0038387715930903","2015","09","15"
"4.33","2.207852193995381","2015","09","15"
"6.08","1.7171052631578947","2015","09","15"
"4.33","2.207852193995381","2015","09","15"
"4.33","2.810623556581986","2015","09","15"
"4.33","2.41108545034642","2015","09","15"
"4.33","2.0069284064665127","2015","09","15"
"4.33","1.8036951501154732","2015","09","15"
"4.33","2.810623556581986","2015","09","15"
"2.6","4.342307692307692","2015","09","16"
"2.6","3.342307692307692","2015","09","16"
"3.48","2.4971264367816093","2015","09","16"
"2.6","4.680769230769231","2015","09","16"
"2.6","2.6769230769230767","2015","09","16"
"2.6","3.676923076923077","2015","09","16"
"3.48","2.0","2015","09","16"
"2.6","2.003846153846154","2015","09","16"
"6.08","1.5723684210526316","2015","09","16"
"5.21","2.166986564299424","2015","09","16"
"2.6","3.342307692307692","2015","09","16"
"4.33","2.810623556581986","2015","09","16"
"4.33","2.0069284064665127","2015","09","16"
"4.33","2.0069284064665127","2015","09","16"
"3.48","2.244252873563218","2015","09","18"
"2.6","2.6769230769230767","2015","09","19"
"3.48","3.7413793103448274","2015","09","19"
"4.33","3.41108545034642","2015","09","20"
"1.75","3.474285714285714","2015","09","20"
"3.48","1.7471264367816093","2015","09","21"
"2.6","2.3384615384615386","2015","09","21"
"2.6","2.6769230769230767","2015","09","21"
"4.33","2.207852193995381","2015","09","21"
"5.21","2.6679462571976966","2015","09","21"
"6.96","1.8706896551724137","2015","09","21"
"4.33","2.41108545034642","2015","09","21"
"6.08","2.1414473684210527","2015","09","21"
"3.48","2.4971264367816093","2015","09","21"
"3.48","2.0","2015","09","21"
"2.6","3.0038461538461534","2015","09","21"
"1.75","2.474285714285714","2015","09","21"
"2.6","2.3384615384615386","2015","09","21"
"0.87","2.9885057471264367","2015","09","21"
"2.6","2.003846153846154","2015","09","21"
"1.75","4.462857142857143","2015","09","21"
"3.48","2.0","2015","09","22"
"2.6","2.6769230769230767","2015","09","22"
"2.6","2.6769230769230767","2015","09","22"
"2.6","2.6769230769230767","2015","09","22"
"3.48","1.7471264367816093","2015","09","22"
"4.33","2.207852193995381","2015","09","22"
"6.08","1.7171052631578947","2015","09","22"
"5.21","1.4990403071017273","2015","09","22"
"6.08","1.856907894736842","2015","09","22"
"5.21","1.834932821497121","2015","09","22"
"5.21","1.4990403071017273","2015","09","22"
"4.33","1.8036951501154732","2015","09","22"
"4.33","1.6073903002309469","2015","09","22"
"2.6","3.0038461538461534","2015","09","22"
"2.6","2.3384615384615386","2015","09","22"
"1.75","4.462857142857143","2015","09","22"
"2.6","3.0038461538461534","2015","09","22"
"4.33","2.6073903002309464","2015","09","22"
"3.48","3.4971264367816093","2015","09","23"
"5.21","2.0038387715930903","2015","09","23"
"7.81","1.6670934699103714","2015","09","23"
"5.21","2.0038387715930903","2015","09","23"
"4.33","2.207852193995381","2015","09","23"
"4.33","2.0069284064665127","2015","09","23"
"3.48","2.0","2015","09","23"
"4.33","2.0069284064665127","2015","09","23"
"3.48","2.0","2015","09","23"
"3.48","2.0","2015","09","23"
"3.48","2.244252873563218","2015","09","23"
"5.21","1.6679462571976966","2015","09","23"
"1.75","2.9771428571428573","2015","09","23"
"0.87","4.0","2015","09","23"
"1.75","1.9885714285714287","2015","09","23"
"0.87","2.9885057471264367","2015","09","23"
"1.75","2.474285714285714","2015","09","23"
"1.75","1.9885714285714287","2015","09","24"
"0.87","4.0","2015","09","24"
"3.48","2.0","2015","09","24"
"4.33","1.6073903002309469","2015","09","24"
"4.33","1.8036951501154732","2015","09","24"
"5.21","1.6679462571976966","2015","09","24"
"4.33","2.6073903002309464","2015","09","24"
"6.08","1.856907894736842","2015","09","24"
"4.33","2.41108545034642","2015","09","24"
"4.33","2.207852193995381","2015","09","24"
"6.96","2.1221264367816093","2015","09","24"
"6.08","2.1414473684210527","2015","09","24"
"1.75","3.474285714285714","2015","09","24"
"0.87","4.977011494252873","2015","09","24"
"2.6","2.3384615384615386","2015","09","24"
"2.6","1.6653846153846155","2015","09","24"
"1.75","2.9771428571428573","2015","09","24"
"2.6","2.003846153846154","2015","09","25"
"1.75","1.9885714285714287","2015","09","25"
"0.87","4.0","2015","09","25"
"1.75","1.9885714285714287","2015","09","25"
"2.6","2.3384615384615386","2015","09","25"
"1.75","2.9771428571428573","2015","09","25"
"1.75","3.474285714285714","2015","09","25"
"2.6","2.003846153846154","2015","09","25"
"1.75","2.474285714285714","2015","09","25"
"1.75","2.9771428571428573","2015","09","26"
"2.6","3.342307692307692","2015","09","26"
"4.33","2.207852193995381","2015","09","26"
"4.33","2.41108545034642","2015","09","26"
"3.48","2.244252873563218","2015","09","26"
